# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.098247339060700920e-07 -6.098247339060700920e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.711162815202770698e-07 -6.612631130024062581e-07 1.145781772588942593e-07
6.135923151542564680e-02 8.361422328031035075e-07 -7.627510873956957260e-07 3.425559985661366583e-07
9.203884727313846326e-02 1.067745314566320310e-06 -7.881909905728266342e-07 7.203020332875345197e-07
1.227184630308512936e-01 1.327851570335473433e-06 -6.161973683318763035e-07 1.176218770511358838e-06
1.533980787885641239e-01 1.578536634576809020e-06 -2.073977542370772127e-07 1.564852733722408355e-06
1.840776945462769265e-01 1.784313596194069425e-06 3.651855247133439561e-07 1.746543598683655005e-06
2.147573103039897569e-01 1.918475458646446703e-06 9.515780782538188401e-07 1.665847305852328990e-06
2.454369260617025872e-01 1.971651924277842683e-06 1.406223072193853471e-06 1.382008676433762594e-06
2.761165418194154175e-01 1.961440154571445427e-06 1.667764944780660756e-06 1.032379566305928023e-06
3.067961575771282479e-01 1.940093893374731655e-06 1.789667298148429133e-06 7.490362321330158098e-07
3.374757733348410782e-01 1.987631208058931000e-06 1.902024599911525971e-06 5.770444008750149558e-07
3.681553890925538530e-01 2.170694010472625649e-06 2.124975000680341450e-06 4.431633260834127347e-07
3.988350048502666834e-01 2.490774365994597112e-06 2.483081759499167526e-06 1.956065385878124145e-07
4.295146206079795137e-01 2.887047902874271800e-06 2.870865993985635173e-06 -3.052442269193686902e-07
4.601942363656923440e-01 3.279682464246687799e-06 3.091475398081187130e-06 -1.095032843957654519e-06
4.908738521234051744e-01 3.599681343630833086e-06 2.949327008246996084e-06 -2.063777113476331867e-06
5.215534678811180047e-01 3.799437562064820980e-06 2.347292168329353859e-06 -2.987632049722447206e-06
5.522330836388308350e-01 3.855558556253890495e-06 1.337270424976993807e-06 -3.616218963390413647e-06
5.829126993965436654e-01 3.768945785856797536e-06 1.007761209593198174e-07 -3.767598241608585562e-06
6.135923151542564957e-01 3.563387048595294411e-06 -1.123214883178279248e-06 -3.381732630517008316e-06
6.442719309119693261e-01 3.284741657298412982e-06 -2.117063511200721302e-06 -2.511487576066024782e-06
6.749515466696821564e-01 3.006194458039350741e-06 -2.724581579102523511e-06 -1.270378029706790941e-06
7.056311624273949867e-01 2.845627918224359297e-06 -2.837339893590454495e-06 2.170266739781296990e-07
7.363107781851077061e-01 2.975052789230949311e-06 -2.352787732926318743e-06 1.820804487720272849e-06
7.669903939428205364e-01 3.553659628851964843e-06 -1.154215142646399828e-06 3.360994519813746044e-06
7.976700097005333667e-01 4.627988838185403599e-06 8.476570340321594544e-07 4.549698697608940107e-06
8.283496254582461971e-01 6.153525575591417629e-06 3.613917600674879992e-06 4.980509671207356245e-06
8.590292412159590274e-01 8.057090737633785705e-06 6.870065604735884268e-06 4.209383534567633702e-06
8.897088569736718577e-01 1.025077859711892548e-05 1.006959825304645004e-05 1.918763369828424218e-06
9.203884727313846881e-01 1.262888942349189975e-05 1.248459771892590808e-05 -1.903593409154276033e-06
9.510680884890975184e-01 1.507246821193521341e-05 1.341555885512260576e-05 -6.870376889555545008e-06
9.817477042468103487e-01 1.746508320196199249e-05 1.243864890104449893e-05 -1.226006300016437540e-05
1.012427320004523068e+00 1.971855668029565427e-05 9.567943900903620589e-06 -1.724169153717794778e-05
1.043106935762236009e+00 2.180621679240671689e-05 5.233705506337661884e-06 -2.116883127313295106e-05
1.073786551519948729e+00 2.379814388395465536e-05 6.288340969020758568e-08 -2.379806080331323898e-05
1.104466167277661670e+00 2.588533256857360873e-05 -5.444573686284577638e-06 -2.530626522346344224e-05
1.135145783035374389e+00 2.836935252421858274e-05 -1.117871064125423712e-05 -2.607405973458096782e-05
1.165825398793087331e+00 3.159540818529349974e-05 -1.746789002700063062e-05 -2.632760217718132931e-05
1.196505014550800050e+00 3.584159182344342652e-05 -2.485704635833740203e-05 -2.582144362303921188e-05
1.227184630308512991e+00 4.122727957792499630e-05 -3.370261472735061023e-05 -2.374494350248408601e-05
1.257864246066225711e+00 4.769965491562690272e-05 -4.378150461720432482e-05 -1.893243070827425000e-05
1.288543861823938652e+00 5.509438801707764729e-05 -5.412337203224725678e-05 -1.029816444009629717e-05
1.319223477581651371e+00 6.322736367674020811e-05 -6.316907864523002201e-05 2.714225602913651354e-06
1.349903093339364313e+00 7.198571896411991094e-05 -6.918009612587075713e-05 1.990120686783929674e-05
1.380582709097077032e+00 8.140547215000664338e-05 -7.066939147580821533e-05 4.040653417956647164e-05
1.411262324854789973e+00 9.172508343244967666e-05 -6.659136291620845109e-05 6.307995969919188474e-05
1.441941940612502693e+00 1.033962772507808161e-04 -5.615952680919492269e-05 8.681530796977944054e-05
1.472621556370215412e+00 1.170312340369219340e-04 -3.840945227522587428e-05 1.105487390978383914e-04
1.503301172127928353e+00 1.332823371863325142e-04 -1.186459920488323170e-05 1.327532021894715670e-04
