# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.726044491517570409e-07 -5.726044491517570409e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.292951074623441353e-07 -6.154239229942974873e-07 1.313991144656318658e-07
6.135923151542564680e-02 7.850495593568381397e-07 -6.951293162664939941e-07 3.648260466485944313e-07
9.203884727313846326e-02 1.008933189012096474e-06 -6.959900611733578230e-07 7.304409727267660215e-07
1.227184630308512936e-01 1.265119812996673647e-06 -5.085707268066079759e-07 1.158397149975835032e-06
1.533980787885641239e-01 1.515518706196958479e-06 -1.016388371701817623e-07 1.512106641613479650e-06
1.840776945462769265e-01 1.723871218759853049e-06 4.510471711823155441e-07 1.663817426353327895e-06
2.147573103039897569e-01 1.862851919632893232e-06 1.006335691564290156e-06 1.567643374739221996e-06
2.454369260617025872e-01 1.922892348970737480e-06 1.429735115740487906e-06 1.285835325595285822e-06
2.761165418194154175e-01 1.921862260126422286e-06 1.670000754888651574e-06 9.511319706379202261e-07
3.067961575771282479e-01 1.912379565244482070e-06 1.785142893643162620e-06 6.859011961208337680e-07
3.374757733348410782e-01 1.973575998659329185e-06 1.902390762582587926e-06 5.252728899577908586e-07
3.681553890925538530e-01 2.168843955752065503e-06 2.133363856924692685e-06 3.906952244008957812e-07
3.988350048502666834e-01 2.496425294908245474e-06 2.492922791225971527e-06 1.321938351203687380e-07
4.295146206079795137e-01 2.894986128689296243e-06 2.869678791656465000e-06 -3.819532929829653566e-07
4.601942363656923440e-01 3.285909115090658664e-06 3.067710090534796533e-06 -1.177435141766571637e-06
4.908738521234051744e-01 3.601557270851153089e-06 2.898855532919565170e-06 -2.137253231248564490e-06
5.215534678811180047e-01 3.795414488063490358e-06 2.276384338838460622e-06 -3.036979663760235280e-06
5.522330836388308350e-01 3.844947543851599735e-06 1.260697991421533858e-06 -3.632390698891869446e-06
5.829126993965436654e-01 3.751683030702610092e-06 3.614787791936589918e-08 -3.751508882274417739e-06
6.135923151542564957e-01 3.539661059586932055e-06 -1.161947788334519749e-06 -3.343512786567534364e-06
6.442719309119693261e-01 3.254428062267770901e-06 -2.123741574912147681e-06 -2.465973182227582612e-06
6.749515466696821564e-01 2.968407719965397305e-06 -2.700879987762628001e-06 -1.231540370289789976e-06
7.056311624273949867e-01 2.799633814028518224e-06 -2.789358987154882425e-06 2.396370869255366073e-07
7.363107781851077061e-01 2.923825360203555940e-06 -2.286778846582342764e-06 1.821921305598291314e-06
7.669903939428205364e-01 3.505236965741389372e-06 -1.074426033357639680e-06 3.336509386296293508e-06
7.976700097005333667e-01 4.589993978645680576e-06 9.374777397420810702e-07 4.493237163948913909e-06
8.283496254582461971e-01 6.130108545904424460e-06 3.706324468666956515e-06 4.882764556839809277e-06
8.590292412159590274e-01 8.049893129661638355e-06 6.950093418242977552e-06 4.061647556924319971e-06
8.897088569736718577e-01 1.025979058109230207e-05 1.011470367177649055e-05 1.719323238958125778e-06
9.203884727313846881e-01 1.265283598441021837e-05 1.246988609392135340e-05 -2.143874822141661881e-06
9.510680884890975184e-01 1.510928798501592787e-05 1.332260995054868256e-05 -7.127316993068845623e-06
9.817477042468103487e-01 1.751275412773548929e-05 1.226351039124229005e-05 -1.250211462203129618e-05
1.012427320004523068e+00 1.977631504684503863e-05 9.323360199509262997e-06 -1.744068781391021005e-05
1.043106935762236009e+00 2.187605433915359093e-05 4.943092414504978129e-06 -2.131026960953952875e-05
1.073786551519948729e+00 2.388618896632239185e-05 -2.520092313419292091e-07 -2.388485952820698473e-05
1.104466167277661670e+00 2.600226850790908939e-05 -5.776245342194467974e-06 -2.535257299179271285e-05
1.135145783035374389e+00 2.852873952164972660e-05 -1.153934967603582525e-05 -2.609084873568338068e-05
1.165825398793087331e+00 3.180962527088439885e-05 -1.788301276714867797e-05 -2.630684538754286242e-05
1.196505014550800050e+00 3.611736556137065728e-05 -2.534855947399931986e-05 -2.572770156245602699e-05
1.227184630308512991e+00 4.156386441018394308e-05 -3.426866061370724919e-05 -2.352049583768812998e-05
1.257864246066225711e+00 4.809056888058296255e-05 -4.438332595847501973e-05 -1.851548519812139750e-05
1.288543861823938652e+00 5.553111529971899190e-05 -5.468685499896000962e-05 -9.646380500136207635e-06
1.319223477581651371e+00 6.370340476068289334e-05 -6.360123521743353298e-05 3.606474306034620648e-06
1.349903093339364313e+00 7.250035966240361970e-05 -6.939211346959754418e-05 2.100087472941021137e-05
1.380582709097077032e+00 8.196692749146466050e-05 -7.059300844178545821e-05 4.165578425055797493e-05
1.411262324854789973e+00 9.235225846284793880e-05 -6.617799431921904277e-05 6.441593522626277827e-05
1.441941940612502693e+00 1.041179588259624132e-04 -5.536182874478108042e-05 8.817946057965161759e-05
1.472621556370215412e+00 1.178818324910307740e-04 -3.715846909491462446e-05 1.118721350737783907e-04
1.503301172127928353e+00 1.342947251958878771e-04 -1.006482840049671057e-05 1.339170356777195123e-04
1.533980787885641073e+00 1.538827195921716720e-04 2.769350417624496019e-05 1.513702785077811642e-04
1.564660403643354014e+00 1.769104072656432867e-04 7.710479215102661711e-05 1.592235636651898034e-04
1.595340019401066733e+00 2.033078754068645211e-04 1.366645623216690376e-04 1.505220568816403957e-04
1.626019635158779675e+00 2.326666010610574777e-04 2.006572348878707369e-04 1.177727529459133378e-04
1.656699250916492394e+00 2.642820575978306543e-04 2.583627332002355961e-04 5.562107569480255974e-05
1.687378866674205335e+00 2.972176196174095291e-04 2.950434413750895675e-04 -3.588427388959157299e-05
1.718058482431918055e+00 3.303741609242968153e-04 2.950408242059568962e-04 -1.486539547348230479e-04
1.748738098189630996e+00 3.625591114029050040e-04 2.464772463167944267e-04 -2.658910985899195730e-04
1.779417713947343715e+00 3.925532577585243979e-04 1.462269721178767890e-04 -3.643017057358751017e-04
1.810097329705056657e+00 4.191745425860035471e-04 3.360149607580923868e-06 -4.191610747037466953e-04
1.840776945462769376e+00 4.413376683790919608e-04 -1.605548236192342910e-04 -4.110974168526115901e-04
1.871456561220482318e+00 4.581076994915136177e-04 -3.150449027291268031e-04 -3.325798755153444694e-04
1.902136176978195037e+00 4.687455387982477294e-04 -4.276816789863548932e-04 -1.918613082480989597e-04
1.932815792735907978e+00 4.727432120723177927e-04 -4.725723956175937939e-04 -1.270729950464959060e-05
1.963495408493620697e+00 4.698472605302626360e-04 -4.378243540925737991e-04 1.704883667327862539e-04
