# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.064734728738029462e-02 -1.064734728738029462e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.090393137993123790e-02 -1.080544188261900462e-02 1.462239809194173634e-03
6.135923151542564680e-02 1.156896399327217093e-02 -1.106513553851213791e-02 3.376936983715220046e-03
9.203884727313846326e-02 1.240009589868110509e-02 -1.091613829945420333e-02 5.882202217169777390e-03
1.227184630308512936e-01 1.314489200226444734e-02 -9.872382969408887224e-03 8.678953868786327269e-03
1.533980787885641239e-01 1.362021984561000328e-02 -7.784828726642155014e-03 1.117617243691218683e-02
1.840776945462769265e-01 1.374397511159427404e-02 -4.956192097533351076e-03 1.281924380610926714e-02
2.147573103039897569e-01 1.355038074096739237e-02 -1.984155451843639360e-03 1.340432562153348953e-02
2.454369260617025872e-01 1.319931747433247642e-02 5.770905031569087624e-04 1.318669588408653490e-02
2.761165418194154175e-01 1.296201671397390585e-02 2.535069735413238157e-03 1.271169928569468310e-02
3.067961575771282479e-01 1.313953469053860158e-02 4.162125058953927703e-03 1.246290844375802509e-02
3.374757733348410782e-01 1.390254164239982347e-02 6.012546150783142605e-03 1.253514869889320489e-02
3.681553890925538530e-01 1.517179263914702689e-02 8.552203786383012069e-03 1.253168393638508411e-02
3.988350048502666834e-01 1.666772256028397139e-02 1.181392809090385694e-02 1.175772420196834200e-02
4.295146206079795137e-01 1.805306527454947699e-02 1.528283243322283574e-02 9.609797012693679225e-03
4.601942363656923440e-01 1.903794956958877738e-02 1.808621392741391679e-02 5.944105448763872292e-03
4.908738521234051744e-01 1.942590435007626737e-02 1.938776342631571420e-02 1.216712432552073155e-03
5.215534678811180047e-01 1.912660415767476058e-02 1.876922121369116805e-02 -3.680125220139496278e-03
5.522330836388308350e-01 1.814940373291831777e-02 1.639465218807189401e-02 -7.785642908110983716e-03
5.829126993965436654e-01 1.657797954497648718e-02 1.288676672770987415e-02 -1.042883738003659404e-02
6.135923151542564957e-01 1.452288168245693609e-02 9.019637145580803109e-03 -1.138245308027677032e-02
6.442719309119693261e-01 1.205516924386144072e-02 5.438638104238468531e-03 -1.075863936886390163e-02
6.749515466696821564e-01 9.141380113420617681e-03 2.586468703843634604e-03 -8.767839529900131948e-03
7.056311624273949867e-01 5.624637582914478011e-03 8.588978701512025703e-04 -5.558672718175063435e-03
7.363107781851077061e-01 1.545947867227118449e-03 8.317986944201945449e-04 -1.303098515134192177e-03
7.669903939428205364e-01 4.813093255443884853e-03 3.314552775536633300e-03 3.489929309281466878e-03
7.976700097005333667e-01 1.186190308157790939e-02 9.066382670955743656e-03 7.648885538465123417e-03
8.283496254582461971e-01 2.046780490669301150e-02 1.823194885988940750e-02 9.301993252460668410e-03
8.590292412159590274e-01 3.044782877083515235e-02 2.978553945090755065e-02 6.316004787563632428e-03
8.897088569736718577e-01 4.146533299330746464e-02 4.136594525319522292e-02 -2.869218283004661141e-03
9.203884727313846881e-01 5.303254642907770378e-02 4.974783197877383212e-02 -1.837400865799213717e-02
9.510680884890975184e-01 6.457557715894060579e-02 5.187097057754991997e-02 -3.846306769816006110e-02
9.817477042468103487e-01 7.553571815759603514e-02 4.600093698850164087e-02 -5.991292443007338597e-02
1.012427320004523068e+00 8.550454385884635744e-02 3.243092000207613290e-02 -7.911550068304136485e-02
1.043106935762236009e+00 9.438713792042806305e-02 1.328483385087934725e-02 -9.344755210472041607e-02
1.073786551519948729e+00 1.025706960748481583e-01 -8.588046956118450259e-03 -1.022105334237052854e-01
1.104466167277661670e+00 1.110344787913582348e-01 -3.113196169011636996e-02 -1.065807508032933087e-01
1.135145783035374389e+00 1.212787149290757288e-01 -5.422173773917616374e-02 -1.084828551034310584e-01
1.165825398793087331e+00 1.349575881837721814e-01 -7.972857201951037698e-02 -1.088894182742767558e-01
1.196505014550800050e+00 1.533037138404849120e-01 -1.103335865311337732e-01 -1.064355596615252503e-01
1.227184630308512991e+00 1.767020942014901896e-01 -1.475842162954842940e-01 -9.717267720733034631e-02
1.257864246066225711e+00 2.046982579712014194e-01 -1.901678474286137011e-01 -7.574672679932795138e-02
1.288543861823938652e+00 2.363558754923950622e-01 -2.333586023564095391e-01 -3.752149498673645195e-02
1.319223477581651371e+00 2.707178664453065986e-01 -2.700210939533779775e-01 1.941061650025241794e-02
1.349903093339364313e+00 3.072331988343608433e-01 -2.926879392626389187e-01 9.341310762512766708e-02
1.380582709097077032e+00 3.461124663965038928e-01 -2.955379460953428405e-01 1.801420600881906142e-01
1.411262324854789973e+00 3.885694805138814045e-01 -2.750363984572575249e-01 2.744835527139802278e-01
