# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 3.749798028357581544e-07 -3.749798028357581544e-07 0.000000000000000000e+00
3.067961575771282340e-02 4.508561630033367867e-07 -4.499341634586362792e-07 2.881888739817222402e-08
6.135923151542564680e-02 6.428104250647888388e-07 -6.109269740492389386e-07 1.999336763804814938e-07
9.203884727313846326e-02 9.022870634602184130e-07 -7.045463155413553456e-07 5.636811458127415596e-07
1.227184630308512936e-01 1.191284873856784631e-06 -5.802166280399346792e-07 1.040436598369138241e-06
1.533980787885641239e-01 1.470686832587069263e-06 -1.829122587826236883e-07 1.459267920956266358e-06
1.840776945462769265e-01 1.701094013252088963e-06 4.081624313786058875e-07 1.651400699870629034e-06
2.147573103039897569e-01 1.849951380423936915e-06 1.018269556391461732e-06 1.544489307330667749e-06
2.454369260617025872e-01 1.900552384638823911e-06 1.471689131229230928e-06 1.202593226231576611e-06
2.761165418194154175e-01 1.862462114188413752e-06 1.687713105062786479e-06 7.876481459297060460e-07
3.067961575771282479e-01 1.783220373753169235e-06 1.721902855806242236e-06 4.636005355202909712e-07
3.374757733348410782e-01 1.752767966110031087e-06 1.727212926988591256e-06 2.982130913709162677e-07
3.681553890925538530e-01 1.868627561648578122e-06 1.855613331703219078e-06 2.201547804568194775e-07
3.988350048502666834e-01 2.156616174937274821e-06 2.155825332762009219e-06 5.839914916037031975e-08
4.295146206079795137e-01 2.551364317632025373e-06 2.526444057505479732e-06 -3.557250421058092225e-07
4.601942363656923440e-01 2.957648529422605942e-06 2.753537828502671260e-06 -1.079682476749760291e-06
4.908738521234051744e-01 3.294824389345841486e-06 2.614706527204995731e-06 -2.004788650511516812e-06
5.215534678811180047e-01 3.508385708398137229e-06 1.994389197502001282e-06 -2.886378701379917718e-06
5.522330836388308350e-01 3.571666077047425497e-06 9.492911844634180311e-07 -3.443202697058566251e-06
5.829126993965436654e-01 3.486271539200023198e-06 -3.084570404594036781e-07 -3.472598954562292046e-06
6.135923151542564957e-01 3.282521538498242893e-06 -1.496211494476095774e-06 -2.921694510810888894e-06
6.442719309119693261e-01 3.021412121807981571e-06 -2.362628938279555376e-06 -1.883325704654463498e-06
6.749515466696821564e-01 2.800738652529284371e-06 -2.749871043906357670e-06 -5.313626272677755581e-07
7.056311624273949867e-01 2.759497481707545336e-06 -2.589186840003165188e-06 9.544306465661647809e-07
7.363107781851077061e-01 3.046573272705634991e-06 -1.849076856646543334e-06 2.421264852133789690e-06
7.669903939428205364e-01 3.746067798245551767e-06 -4.889026012517593701e-07 3.714027220624741425e-06
7.976700097005333667e-01 4.859866975308008284e-06 1.530965147782979603e-06 4.612423737468539777e-06
8.283496254582461971e-01 6.355596832921908248e-06 4.170327868978686845e-06 4.796037590330863454e-06
8.590292412159590274e-01 8.187653060091037362e-06 7.203514996829672497e-06 3.891919105385946448e-06
8.897088569736718577e-01 1.029031512754793365e-05 1.016331392815412641e-05 1.611718158373290355e-06
9.203884727313846881e-01 1.257254128916424019e-05 1.239966428479679932e-05 -2.077768055408077698e-06
9.510680884890975184e-01 1.492377238887611874e-05 1.326055840365854495e-05 -6.846646853616879948e-06
9.817477042468103487e-01 1.723067544988139308e-05 1.232689260956076743e-05 -1.203926472221212395e-05
1.012427320004523068e+00 1.940344929250970132e-05 9.583668916186812838e-06 -1.687148880662017508e-05
1.043106935762236009e+00 2.140978382146117476e-05 5.422119879710522517e-06 -2.071181931390259632e-05
1.073786551519948729e+00 2.331170524565754173e-05 4.444995355084707520e-07 -2.330746707867137636e-05
1.104466167277661670e+00 2.529302855292155590e-05 -4.849376706783932056e-06 -2.482379582043419916e-05
1.135145783035374389e+00 2.765379470372011204e-05 -1.033522916775739080e-05 -2.564986158959606317e-05
1.165825398793087331e+00 3.074665292529054852e-05 -1.633706845578907838e-05 -2.604720446380262558e-05
1.196505014550800050e+00 3.486359281996044698e-05 -2.342871156761114863e-05 -2.581793133846476416e-05
1.227184630308512991e+00 4.013652894346085944e-05 -3.203445555489630147e-05 -2.418128642009445721e-05
1.257864246066225711e+00 4.651725244238764061e-05 -4.201911402165528893e-05 -1.995617276994642405e-05
1.288543861823938652e+00 5.383634045767984091e-05 -5.248439516752307428e-05 -1.198915417260518695e-05
1.319223477581651371e+00 6.189568930132962731e-05 -6.189455812762896655e-05 3.742035172061572332e-07
1.349903093339364313e+00 7.056069074130195409e-05 -6.847792317763209252e-05 1.701720056789521169e-05
1.380582709097077032e+00 7.983974751013894430e-05 -7.068477078051476129e-05 3.712207513311754296e-05
1.411262324854789973e+00 8.994213677376306502e-05 -6.742826120885371966e-05 5.952325224465558888e-05
1.441941940612502693e+00 1.012965414234023956e-04 -5.794679991386845753e-05 8.308524347972491553e-05
1.472621556370215412e+00 1.145078669188946690e-04 -4.136936406604885659e-05 1.067737200957520182e-04
1.503301172127928353e+00 1.302438924534860508e-04 -1.632023923358946754e-05 1.292173413779808895e-04
1.533980787885641073e+00 1.490772689289891675e-04 1.898724564581325705e-05 1.478631685515757765e-04
1.564660403643354014e+00 1.713379321296531436e-04 6.585575706591428413e-05 1.581761873599844587e-04
1.595340019401066733e+00 1.970253525727555012e-04 1.234775857633376123e-04 1.535326524569813258e-04
1.626019635158779675e+00 2.257932976345635725e-04 1.871314900375941020e-04 1.263503806602910300e-04
1.656699250916492394e+00 2.569872619196275046e-04 2.471126412312201013e-04 7.055349270360415301e-05
1.687378866674205335e+00 2.897072851237189562e-04 2.893092358385922712e-04 -1.518147266392850045e-05
1.718058482431918055e+00 3.228780423562046110e-04 2.978933423240821420e-04 -1.245382946517344818e-04
1.748738098189630996e+00 3.553185998655957020e-04 2.597961629662902199e-04 -2.423989709516937536e-04
1.779417713947343715e+00 3.858097907697957056e-04 1.697734685953684430e-04 -3.464479239581772733e-04
1.810097329705056657e+00 4.131585978773127119e-04 3.430605847219484573e-05 -4.117318561297502420e-04
1.840776945462769376e+00 4.362585600097263860e-04 -1.273751280069713077e-04 -4.172494552985872053e-04
1.871456561220482318e+00 4.541445328267609783e-04 -2.861101228185206633e-04 -3.526871904637421829e-04
1.902136176978195037e+00 4.660397211746134232e-04 -4.092059067898231846e-04 -2.230326154642633366e-04
1.932815792735907978e+00 4.713928751391117879e-04 -4.688164248985854919e-04 -4.921790809479009211e-05
1.963495408493620697e+00 4.699038533532715945e-04 -4.498249206417158385e-04 1.358939739868072984e-04
1.994175024251333417e+00 4.615363105259389677e-04 -3.546693999519062311e-04 2.953394363637384772e-04
2.024854640009046136e+00 4.465169683125201649e-04 -2.033852882695831902e-04 3.975070156695384351e-04
2.055534255766759077e+00 4.253216967470761474e-04 -2.863434295992188619e-05 4.243567133050511753e-04
2.086213871524472019e+00 3.986493961953007942e-04 1.328698962133920505e-04 3.758549344722247627e-04
2.116893487282184960e+00 3.673853674037038351e-04 2.499332028566494273e-04 2.692682719745707106e-04
2.147573103039897457e+00 3.325564423761001261e-04 3.045277343274519475e-04 1.336287633379777088e-04
2.178252718797610399e+00 2.952805885232311035e-04 2.952780157708493084e-04 1.232623647256661548e-06
2.208932334555323340e+00 2.567139775639331158e-04 2.359742687040155954e-04 -1.010851660052087235e-04
2.239611950313036282e+00 2.179986385883158620e-04 1.499446618817368098e-04 -1.582403387241407256e-04
2.270291566070748779e+00 1.802138445674498070e-04 6.238986765197831552e-05 -1.690696134382213252e-04
2.300971181828461720e+00 1.443344674007391833e-04 -6.744778810281171098e-06 -1.441767888345950668e-04
2.331650797586174662e+00 1.112001338612282739e-04 -4.722505029207522845e-05 -1.006740502595681463e-04
