# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.226392817993600835e-07 -7.226392817993600835e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.834588023603415247e-07 -7.725736403501517846e-07 1.301447856505018939e-07
6.135923151542564680e-02 9.464571121161723938e-07 -8.701084347242216777e-07 3.724142544224773862e-07
9.203884727313846326e-02 1.172466066540450364e-06 -8.904216940966609706e-07 7.627751201178942655e-07
1.227184630308512936e-01 1.422125154498971108e-06 -7.131748133364179966e-07 1.230374593642638349e-06
1.533980787885641239e-01 1.658261525848502073e-06 -2.989444182463125630e-07 1.631092738905049260e-06
1.840776945462769265e-01 1.847527578877664388e-06 2.805708702318348861e-07 1.826099159818796674e-06
2.147573103039897569e-01 1.965908472312055747e-06 8.772456871315119983e-07 1.759328316692902436e-06
2.454369260617025872e-01 2.006707929495346620e-06 1.346568134032855112e-06 1.487827602481811755e-06
2.761165418194154175e-01 1.989576429663830225e-06 1.626281651686918979e-06 1.146133656630125207e-06
3.067961575771282479e-01 1.967020495382523351e-06 1.766837987848489646e-06 8.645537310950698438e-07
3.374757733348410782e-01 2.015737810095393029e-06 1.894358382406712224e-06 6.889159876600301536e-07
3.681553890925538530e-01 2.196016037143157744e-06 2.126122093290067973e-06 5.496283106007181910e-07
3.988350048502666834e-01 2.504990680292487483e-06 2.486939041961137519e-06 3.001874579685793992e-07
4.295146206079795137e-01 2.882006214791557783e-06 2.875428062689112943e-06 -1.946105814109226390e-07
4.601942363656923440e-01 3.249497671126806440e-06 3.101502794688199919e-06 -9.694924080155692939e-07
4.908738521234051744e-01 3.540875674458293010e-06 2.976160434488290594e-06 -1.918402880042911527e-06
5.215534678811180047e-01 3.710591598596911644e-06 2.405354182798491929e-06 -2.825378075032044809e-06
5.522330836388308350e-01 3.736791055389105132e-06 1.438461033333050039e-06 -3.448831287149088396e-06
5.829126993965436654e-01 3.621166526296119400e-06 2.492597386008964480e-07 -3.612577555413878448e-06
6.135923151542564957e-01 3.387436290167864664e-06 -9.331673529435855584e-07 -3.256366581229221165e-06
6.442719309119693261e-01 3.081201180502596609e-06 -1.898733862791834711e-06 -2.426645922465449811e-06
6.749515466696821564e-01 2.778428718262541396e-06 -2.492688102335471752e-06 -1.227262061232731836e-06
7.056311624273949867e-01 2.610697265067714331e-06 -2.600974056527070565e-06 2.251092337181169471e-07
7.363107781851077061e-01 2.775606681088998322e-06 -2.111149904003790655e-06 1.801954086798736992e-06
7.669903939428205364e-01 3.435835157770057288e-06 -8.979644299958285261e-07 3.316417210459362575e-06
7.976700097005333667e-01 4.608400766344670649e-06 1.129186490613996860e-06 4.467918474263042612e-06
8.283496254582461971e-01 6.228169496233628868e-06 3.922468839104671535e-06 4.837802546618443530e-06
8.590292412159590274e-01 8.216912793071463512e-06 7.190085744299755587e-06 3.977476943812360858e-06
8.897088569736718577e-01 1.048577490742096963e-05 1.036647449343925889e-05 1.577238721935434043e-06
9.203884727313846881e-01 1.292800455052320751e-05 1.271159355782383336e-05 -2.355565936041783755e-06
9.510680884890975184e-01 1.542342808484647583e-05 1.352745216671011345e-05 -7.408790168833295791e-06
9.817477042468103487e-01 1.785504913037908733e-05 1.240645141471144571e-05 -1.284066753493195045e-05
1.012427320004523068e+00 2.013567493660583428e-05 9.387851599820052210e-06 -1.781329973621991440e-05
1.043106935762236009e+00 2.224196923931781919e-05 4.925529335437682998e-06 -2.168972928389155519e-05
1.073786551519948729e+00 2.425018583458952434e-05 -3.420236393062838381e-07 -2.424777377084919594e-05
1.104466167277661670e+00 2.635997133311487897e-05 -5.920567654477145825e-06 -2.568647440446814701e-05
1.135145783035374389e+00 2.888207508945381881e-05 -1.171977530449028151e-05 -2.639736972285512630e-05
1.165825398793087331e+00 3.216788573323550032e-05 -1.809054367867884703e-05 -2.659896806186866179e-05
1.196505014550800050e+00 3.649562790649408134e-05 -2.558943793562944312e-05 -2.602136665180824969e-05
