# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.542723308231114959e-07 -6.542723308231114959e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.070157832626095850e-07 -6.889311181431882674e-07 1.588874829444333850e-07
6.135923151542564680e-02 8.529909958711042205e-07 -7.484849637037334947e-07 4.091013299252385272e-07
9.203884727313846326e-02 1.063986478349100575e-06 -7.277784193987985748e-07 7.761480518348981373e-07
1.227184630308512936e-01 1.305918400340666596e-06 -5.282349780637147889e-07 1.194315986788401023e-06
1.533980787885641239e-01 1.542751149287305747e-06 -1.234606057813932335e-07 1.537803169279929222e-06
1.840776945462769265e-01 1.741007645369962634e-06 4.171619034564577759e-07 1.690290971265375534e-06
2.147573103039897569e-01 1.876697490272698410e-06 9.622618147144867480e-07 1.611224897380321526e-06
2.454369260617025872e-01 1.943735589527993700e-06 1.390435935513012148e-06 1.358232657254195391e-06
2.761165418194154175e-01 1.962496099207623645e-06 1.657483279786060789e-06 1.050780717673664358e-06
3.067961575771282479e-01 1.984077519909475861e-06 1.817656446573942918e-06 7.954172786898225047e-07
3.374757733348410782e-01 2.077830132732241633e-06 1.984142578709938824e-06 6.168924443048070149e-07
3.681553890925538530e-01 2.292220712846447657e-06 2.250073786745184276e-06 4.375428557346875985e-07
3.988350048502666834e-01 2.618570178456279111e-06 2.615814054190629381e-06 1.201108379761493032e-07
4.295146206079795137e-01 2.999918457647012681e-06 2.966310090739127567e-06 -4.477892340269675592e-07
4.601942363656923440e-01 3.365176116123138852e-06 3.114540448150670829e-06 -1.274381453631146044e-06
4.908738521234051744e-01 3.652729183391872454e-06 2.889488095890925076e-06 -2.234566855322813895e-06
5.215534678811180047e-01 3.820254491216409995e-06 2.221673851745215307e-06 -3.107814292091908884e-06
5.522330836388308350e-01 3.848030498114762516e-06 1.181256392561746975e-06 -3.662235935798423289e-06
5.829126993965436654e-01 3.739246041209560359e-06 -4.804881615457122749e-08 -3.738937318004610777e-06
6.135923151542564957e-01 3.518751223911553851e-06 -1.238508874742615261e-06 -3.293585575472852314e-06
6.442719309119693261e-01 3.233120958916964004e-06 -2.187027427003680835e-06 -2.381172435696711094e-06
6.749515466696821564e-01 2.958738002158069200e-06 -2.743835027145842977e-06 -1.107022993989687722e-06
7.056311624273949867e-01 2.823687899493628782e-06 -2.793507340099917242e-06 4.117403241785107283e-07
7.363107781851077061e-01 3.013488390024664385e-06 -2.218209177715666966e-06 2.039769673446349450e-06
7.669903939428205364e-01 3.683368286832507295e-06 -8.914356190716227603e-07 3.573869677743416471e-06
7.976700097005333667e-01 4.860028770210939177e-06 1.265482071492091489e-06 4.692380501835943227e-06
8.283496254582461971e-01 6.485808227430133602e-06 4.176157832565128800e-06 4.962400036323686697e-06
8.590292412159590274e-01 8.481038854287950020e-06 7.510030799588830738e-06 3.940489492076970102e-06
8.897088569736718577e-01 1.075244281407550393e-05 1.066769950869769158e-05 1.347298653638083139e-06
9.203884727313846881e-01 1.318950665542709751e-05 1.289737301940347909e-05 -2.760589613093346205e-06
9.510680884890975184e-01 1.567037948750067583e-05 1.352125741124732284e-05 -7.920630738840899089e-06
9.817477042468103487e-01 1.807930850783859004e-05 1.217947691029765195e-05 -1.336120272704262303e-05
1.012427320004523068e+00 2.033400879269962313e-05 8.967660652288981081e-06 -1.824973906681883352e-05
1.043106935762236009e+00 2.242024539152396705e-05 4.379191602074536532e-06 -2.198840795347565451e-05
1.073786551519948729e+00 2.442721880967162982e-05 -9.442120800928635940e-07 -2.440896315543497922e-05
1.104466167277661670e+00 2.656885559558865468e-05 -6.543442130013191736e-06 -2.575048451486711666e-05
1.135145783035374389e+00 2.916579276828522855e-05 -1.238307624755476676e-05 -2.640649333875673554e-05
1.165825398793087331e+00 3.256797503393572672e-05 -1.885698546704883563e-05 -2.655347617368712819e-05
1.196505014550800050e+00 3.703900662722332213e-05 -2.652362270390214803e-05 -2.585315165685877795e-05
1.227184630308512991e+00 4.267159446776551895e-05 -3.568071773102041313e-05 -2.340408845951242174e-05
1.257864246066225711e+00 4.938727862293489773e-05 -4.598980227030711603e-05 -1.800114932212542047e-05
1.288543861823938652e+00 5.700654796429431044e-05 -5.635448151026318988e-05 -8.597611558729094050e-06
1.319223477581651371e+00 6.534412061986379105e-05 -6.513232585148770514e-05 5.256826871691098385e-06
1.349903093339364313e+00 7.430057826201699560e-05 -7.057530005528271156e-05 2.323150774652659465e-05
1.380582709097077032e+00 8.393912031241725254e-05 -7.124907044766330927e-05 4.437731266273759785e-05
1.411262324854789973e+00 9.453570925774426690e-05 -6.617192986689786392e-05 6.751500590650277834e-05
1.441941940612502693e+00 1.065821773656013899e-04 -5.457128822707046234e-05 9.155181611104452552e-05
1.472621556370215412e+00 1.207215663334908033e-04 -3.541863152353537576e-05 1.154089126498098822e-04
1.503301172127928353e+00 1.376159169444751045e-04 -7.135368824842041273e-06 1.374308084390183022e-04
1.533980787885641073e+00 1.577832226394795963e-04 3.208893882123407972e-05 1.544857448175289644e-04
1.564660403643354014e+00 1.814618524059367184e-04 8.314097884362255087e-05 1.612947039289209356e-04
1.595340019401066733e+00 2.085433641828998187e-04 1.442025445836018593e-04 1.506517868474712037e-04
1.626019635158779675e+00 2.385750712004883884e-04 2.090353869921007118e-04 1.149881367071439140e-04
1.656699250916492394e+00 2.708077257936113797e-04 2.663012755678956884e-04 4.919811968377960944e-05
1.687378866674205335e+00 3.042626715739740794e-04 3.007610324637749162e-04 -4.602797697766196328e-05
1.718058482431918055e+00 3.378036009209182955e-04 2.966200498118968382e-04 -1.616410184474438149e-04
1.748738098189630996e+00 3.702073328835780715e-04 2.424198910231920620e-04 -2.797964720239983004e-04
1.779417713947343715e+00 4.002321667123802688e-04 1.360447963348954462e-04 -3.764008510371401610e-04
1.810097329705056657e+00 4.266830646814971043e-04 -1.200628913304943200e-05 -4.265141107949985176e-04
1.840776945462769376e+00 4.484723519197741362e-04 -1.786776862804765633e-04 -4.113413848154709560e-04
1.871456561220482318e+00 4.646739843500262142e-04 -3.324032956622901104e-04 -3.246998009925115380e-04
1.902136176978195037e+00 4.745691416126299775e-04 -4.404544100810166784e-04 -1.766798879644540889e-04
1.932815792735907978e+00 4.776809990849009853e-04 -4.776281463109532770e-04 7.105683521782413061e-06
1.963495408493620697e+00 4.737969490318646114e-04 -4.336168212495205405e-04 1.909450215150022725e-04
