# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.079231120106781357e-07 -7.079231120106781357e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.719131213597482603e-07 -7.651419402505193950e-07 1.020180287842305791e-07
6.135923151542564680e-02 9.395856606752688974e-07 -8.821983496268929404e-07 3.233377269391368667e-07
9.203884727313846326e-02 1.165240831878438461e-06 -9.284522519819747109e-07 7.041041201884525238e-07
1.227184630308512936e-01 1.407306877077075042e-06 -7.771438532063733142e-07 1.173268970736028584e-06
1.533980787885641239e-01 1.629222813335475512e-06 -3.848192447421402365e-07 1.583123849977900534e-06
1.840776945462769265e-01 1.799347137812656399e-06 1.770330247171844397e-07 1.790617053005494894e-06
2.147573103039897569e-01 1.895748552253292133e-06 7.576342113976973917e-07 1.737772417519118868e-06
2.454369260617025872e-01 1.914173083687822630e-06 1.209777444568071080e-06 1.483407270081044076e-06
2.761165418194154175e-01 1.877710397781753979e-06 1.471518267138714878e-06 1.166374865733477117e-06
3.067961575771282479e-01 1.844264963260428673e-06 1.598013039358468327e-06 9.206886448470520308e-07
3.374757733348410782e-01 1.896348752066619760e-06 1.723126200712610756e-06 7.918173311328500887e-07
3.681553890925538530e-01 2.093224071124313834e-06 1.971258263446502813e-06 7.040794491590599251e-07
3.988350048502666834e-01 2.421892922030970067e-06 2.369599578218889507e-06 5.005628478908237379e-07
4.295146206079795137e-01 2.812412534782975977e-06 2.812188926470543114e-06 3.546417404730378082e-08
4.601942363656923440e-01 3.183905420530496195e-06 3.098646089829580333e-06 -7.318784987054408723e-07
4.908738521234051744e-01 3.469927019878227777e-06 3.028439197897004375e-06 -1.693797375107763443e-06
5.215534678811180047e-01 3.626079447214160403e-06 2.500312944367033311e-06 -2.626192555343116679e-06
5.522330836388308350e-01 3.631837935827885525e-06 1.564273502708619520e-06 -3.277696630385774624e-06
5.829126993965436654e-01 3.490282974984931319e-06 4.016186555706160373e-07 -3.467099320897414770e-06
6.135923151542564957e-01 3.226486713191303155e-06 -7.497915820586601689e-07 -3.138156958132271620e-06
6.442719309119693261e-01 2.886910060351239483e-06 -1.677642595769667575e-06 -2.349418016747213112e-06
6.749515466696821564e-01 2.547311119405267513e-06 -2.237187524036847629e-06 -1.218107516329981361e-06
7.056311624273949867e-01 2.340037349465353866e-06 -2.336166649134497617e-06 1.345369256543790371e-07
7.363107781851077061e-01 2.469805953930200090e-06 -1.887756269659862836e-06 1.592582090954480607e-06
7.669903939428205364e-01 3.100788445058601060e-06 -7.831208621893734232e-07 3.000268437359015821e-06
7.976700097005333667e-01 4.236751898557182964e-06 1.073458222449668868e-06 4.098506324819213299e-06
8.283496254582461971e-01 5.807945317843857285e-06 3.665849569547617221e-06 4.504861346202781407e-06
8.590292412159590274e-01 7.742327279703658150e-06 6.754235786922861523e-06 3.784696902090571897e-06
8.897088569736718577e-01 9.959471025986033096e-06 9.828532652116491882e-06 1.609661151837634927e-06
9.203884727313846881e-01 1.235984999213443333e-05 1.218665746905068001e-05 -2.061861188367638064e-06
9.510680884890975184e-01 1.482840424347476326e-05 1.313498614610736477e-05 -6.881403297981307449e-06
9.817477042468103487e-01 1.725058201591160665e-05 1.223352731351855202e-05 -1.216237597499306661e-05
1.012427320004523068e+00 1.953820532238291396e-05 9.464763151293157520e-06 -1.709268047175501875e-05
1.043106935762236009e+00 2.166257758012159868e-05 5.224737413290263167e-06 -2.102306795824415001e-05
