# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 3.899632791591789997e-07 -3.899632791591789997e-07 0.000000000000000000e+00
3.067961575771282340e-02 4.607847184727787874e-07 -4.594529407269301064e-07 3.500788533193728103e-08
6.135923151542564680e-02 6.415929969188342679e-07 -6.090153779086218729e-07 2.018460878147251958e-07
9.203884727313846326e-02 8.865355192262857987e-07 -6.971480982742804401e-07 5.476584299747191810e-07
1.227184630308512936e-01 1.158488944506801333e-06 -5.848284867128351784e-07 1.000036137183880757e-06
1.533980787885641239e-01 1.420029619953060864e-06 -2.206538675993200204e-07 1.402781519787559716e-06
1.840776945462769265e-01 1.634313299078562760e-06 3.240458928353834590e-07 1.601865855457807949e-06
2.147573103039897569e-01 1.772039646226327168e-06 8.912892719520603591e-07 1.531576945994256369e-06
2.454369260617025872e-01 1.820534749408959080e-06 1.323358748737584826e-06 1.250227337705121332e-06
2.761165418194154175e-01 1.794314919406014795e-06 1.550109999875471177e-06 9.037283985186480332e-07
3.067961575771282479e-01 1.745700914127192163e-06 1.625209352551847641e-06 6.373117306016875341e-07
3.374757733348410782e-01 1.763118798892368594e-06 1.688814451212471060e-06 5.064520198237827966e-07
3.681553890925538530e-01 1.927552322830233350e-06 1.876756855363300112e-06 4.395926103736093179e-07
3.988350048502666834e-01 2.244960050129740277e-06 2.227891586290831789e-06 2.763054585292282024e-07
4.295146206079795137e-01 2.647121283934700273e-06 2.643491366782291249e-06 -1.385802497024361819e-07
4.601942363656923440e-01 3.046714082636474142e-06 2.923760691339562474e-06 -8.567905935017122971e-07
4.908738521234051744e-01 3.370888635893034198e-06 2.863105593998745039e-06 -1.779189858673292620e-06
5.215534678811180047e-01 3.570360330346330208e-06 2.352793365391123516e-06 -2.685486225673530807e-06
5.522330836388308350e-01 3.621045509172559197e-06 1.436285073166395890e-06 -3.324011998789739181e-06
5.829126993965436654e-01 3.523637556363237686e-06 2.907657343043302417e-07 -3.511620269386761720e-06
6.135923151542564957e-01 3.301680304603145268e-06 -8.485654082011019267e-07 -3.190772568173547338e-06
6.442719309119693261e-01 2.999637361615515067e-06 -1.772960323271504522e-06 -2.419594179465781560e-06
6.749515466696821564e-01 2.686669106938272791e-06 -2.343687533814704336e-06 -1.313514230611167470e-06
7.056311624273949867e-01 2.475810278830630037e-06 -2.475777784052195401e-06 1.268466621566894012e-08
7.363107781851077061e-01 2.544505928514653259e-06 -2.086813139495783195e-06 1.455926282843320985e-06
7.669903939428205364e-01 3.068165726220619986e-06 -1.064182880383231013e-06 2.877699727326351163e-06
7.976700097005333667e-01 4.095282381610487061e-06 7.030211353304530621e-07 4.034488699749689231e-06
8.283496254582461971e-01 5.576097228011502250e-06 3.223624825901672173e-06 4.549846511484532377e-06
8.590292412159590274e-01 7.439360357513640313e-06 6.285379780298860244e-06 3.979708977595689520e-06
8.897088569736718577e-01 9.602517581422906717e-06 9.398099338474255225e-06 1.970805095818909546e-06
