# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.768916324766322226e-03 -9.768916324766322226e-03 0.000000000000000000e+00
3.067961575771282340e-02 1.008787526427330078e-02 -1.002580664093634909e-02 1.117330992183495448e-03
6.135923151542564680e-02 1.090538177505557399e-02 -1.053827605647889021e-02 2.805724401497412465e-03
9.203884727313846326e-02 1.191341918932506405e-02 -1.068726340533824801e-02 5.264214821366674027e-03
1.227184630308512936e-01 1.281012135317985065e-02 -9.867631702996921064e-03 8.168785323241422799e-03
1.533980787885641239e-01 1.338458380103745016e-02 -7.860475409607894925e-03 1.083328250632945196e-02
1.840776945462769265e-01 1.353882835556338357e-02 -4.981501289964232471e-03 1.258906343377027594e-02
2.147573103039897569e-01 1.329841129953557299e-02 -1.914890978309106723e-03 1.315982278120817958e-02
2.454369260617025872e-01 1.282609903892908271e-02 6.724790206440229732e-04 1.280845769494560159e-02
2.761165418194154175e-01 1.242118027908738209e-02 2.510027938706060977e-03 1.216492824773349364e-02
3.067961575771282479e-01 1.244832358435021998e-02 3.869508544093654915e-03 1.183163825038088812e-02
3.374757733348410782e-01 1.314974276423171162e-02 5.385478338509231029e-03 1.199634768714678661e-02
3.681553890925538530e-01 1.446920206273692895e-02 7.647728519495980426e-03 1.228291727662441171e-02
3.988350048502666834e-01 1.609570457595417906e-02 1.079905955509019751e-02 1.193532649415203137e-02
4.295146206079795137e-01 1.764636901089174092e-02 1.437295342130292045e-02 1.023780001844229806e-02
4.601942363656923440e-01 1.879639247098235932e-02 1.746990013969346514e-02 6.935918038179274964e-03
4.908738521234051744e-01 1.932921696537945669e-02 1.917688451811313741e-02 2.421926644980343900e-03
5.215534678811180047e-01 1.914899897672941997e-02 1.899599458518422615e-02 -2.415854203058593209e-03
5.522330836388308350e-01 1.827543599775205072e-02 1.704788121154013694e-02 -6.584930303742650079e-03
5.829126993965436654e-01 1.682040037072634470e-02 1.395477434202730717e-02 -9.390960637476193640e-03
6.135923151542564957e-01 1.493963465605687053e-02 1.050245509743360194e-02 -1.062502332152011862e-02
6.442719309119693261e-01 1.275844494186221395e-02 7.311225195142964477e-03 -1.045580716541942741e-02
6.749515466696821564e-01 1.029383291656468108e-02 4.728551302612280828e-03 -9.143511289035203757e-03
7.056311624273949867e-01 7.444771007151434160e-03 2.996272949279713341e-03 -6.815200933379530340e-03
7.363107781851077061e-01 4.328561304768048339e-03 2.539952260620784771e-03 -3.505008628078201422e-03
7.669903939428205364e-01 4.143931925990831759e-03 4.110878807855868240e-03 5.223478097662493259e-04
7.976700097005333667e-01 9.621933192295571008e-03 8.571606332146484639e-03 4.371402891945045527e-03
8.283496254582461971e-01 1.753335206379712935e-02 1.633747035375765141e-02 6.364392903737857952e-03
8.590292412159590274e-01 2.710250842807147148e-02 2.674640829868281042e-02 4.378996028068135940e-03
8.897088569736718577e-01 3.791098704115751505e-02 3.776257690344452661e-02 -3.351227244794208800e-03
9.203884727313846881e-01 4.944557615346664020e-02 4.631645655730812217e-02 -1.731042613927393295e-02
9.510680884890975184e-01 6.110659022332889240e-02 4.926710800017129743e-02 -3.614923841550871791e-02
9.817477042468103487e-01 7.229580994734241539e-02 4.459872130167013421e-02 -5.690024775164172210e-02
1.012427320004523068e+00 8.254708287629765329e-02 3.225069427234832087e-02 -7.598627251246026226e-02
1.043106935762236009e+00 9.168959159881955034e-02 1.408263571223878838e-02 -9.060165880906760616e-02
1.073786551519948729e+00 1.000233023510873204e-01 -7.116203686769931487e-03 -9.976983841976207190e-02
1.104466167277661670e+00 1.084483614782395383e-01 -2.913985280029752697e-02 -1.044601172031311836e-01
1.135145783035374389e+00 1.184287897774611992e-01 -5.161371697202001702e-02 -1.065898797657934827e-01
1.165825398793087331e+00 1.316587023700508119e-01 -7.623391400863296918e-02 -1.073424625425091483e-01
1.196505014550800050e+00 1.494799739382866588e-01 -1.057242245084002441e-01 -1.056723755798469749e-01
1.227184630308512991e+00 1.723990090550422960e-01 -1.419226160028257411e-01 -9.787435511958698930e-02
1.257864246066225711e+00 2.000354553981304739e-01 -1.839458002365614298e-01 -7.860105591955160453e-02
1.288543861823938652e+00 2.314584395627121427e-01 -2.274396453795258788e-01 -4.294434717679580793e-02
1.319223477581651371e+00 2.656545615137332339e-01 -2.654079944443027417e-01 1.144301263246842032e-02
1.349903093339364313e+00 3.019686823930824993e-01 -2.902455220121962776e-01 8.332239853774028870e-02
1.380582709097077032e+00 3.404759927666613506e-01 -2.958450942501921754e-01 1.685217548524182152e-01
1.411262324854789973e+00 3.822489305225156286e-01 -2.784810040336149761e-01 2.618445632012181279e-01
1.441941940612502693e+00 4.294275375379186244e-01 -2.357993498168822200e-01 3.588964706176645536e-01
1.472621556370215412e+00 4.849745762403576133e-01 -1.644575139358822879e-01 4.562390444816659119e-01
1.503301172127928353e+00 5.520780316240124774e-01 -5.813996131544167667e-02 5.490081036743292842e-01
1.533980787885641073e+00 6.333560456962338270e-01 9.189027991483419977e-02 6.266546553542415854e-01
1.564660403643354014e+00 7.301683971109496074e-01 2.923335222821203949e-01 6.690941636942459025e-01
1.595340019401066733e+00 8.422722445901482669e-01 5.400227008474424162e-01 6.463729701777142234e-01
1.626019635158779675e+00 9.678398190224876130e-01 8.135353865360088754e-01 5.242843599986444225e-01
1.656699250916492394e+00 1.103700525118611164e+00 1.068601968567719274e+00 2.761243957354964640e-01
1.687378866674205335e+00 1.245664762729367991e+00 1.241456493576942322e+00 -1.023057948566743064e-01
1.718058482431918055e+00 1.388852793883825987e+00 1.261966878081794530e+00 -5.799583448002089137e-01
1.748738098189630996e+00 1.528006014865889828e+00 1.074552948418848519e+00 -1.086341724555720756e+00
1.779417713947343715e+00 1.657779870409819889e+00 6.609721664059168278e-01 -1.520312433012592557e+00
1.810097329705056657e+00 1.773019757936227903e+00 5.675648406101099080e-02 -1.772111103613222216e+00
1.840776945462769376e+00 1.869017026197364206e+00 -6.462737199326185067e-01 -1.753726011422563902e+00
1.871456561220482318e+00 1.941738107132643387e+00 -1.315175364120545254e+00 -1.428516936651943459e+00
1.902136176978195037e+00 1.988017806915232333e+00 -1.806572847700679496e+00 -8.297646332320428586e-01
1.932815792735907978e+00 2.005707817587018216e+00 -2.004800530849725426e+00 -6.032148070413777263e-02
1.963495408493620697e+00 1.993773094657624201e+00 -1.855827855673753524e+00 7.287208814669707824e-01
1.994175024251333417e+00 1.952331353038303297e+00 -1.385635239443737454e+00 1.375359115019807899e+00
2.024854640009046136e+00 1.882634115613573744e+00 -6.961714346756802119e-01 1.749187396139621375e+00
2.055534255766759077e+00 1.786991134716047203e+00 6.079735286293157931e-02 1.785956605698639565e+00
2.086213871524472019e+00 1.668643288423365956e+00 7.242671883484961270e-01 1.503265599913105266e+00
2.116893487282184960e+00 1.531591977322496634e+00 1.166460000934183672e+00 9.925447351224325754e-01
2.147573103039897457e+00 1.380395413722542042e+00 1.324071675176679230e+00 3.902892481494333321e-01
2.178252718797610399e+00 1.219943862234425858e+00 1.209167385450929277e+00 -1.617938842021265367e-01
2.208932334555323340e+00 1.055226778331047832e+00 8.975836685997469200e-01 -5.548397170083824159e-01
2.239611950313036282e+00 8.911048887140980979e-01 5.001430183273738450e-01 -7.375126330501392546e-01
2.270291566070748779e+00 7.320996359904484718e-01 1.272065787863633779e-01 -7.209634965314234423e-01
2.300971181828461720e+00 5.822112736217235351e-01 -1.416578310908001848e-01 -5.647149953940303613e-01
2.331650797586174662e+00 4.447757632940044781e-01 -2.740136228495709259e-01 -3.503455638460652444e-01
2.362330413343887603e+00 3.223711168898100166e-01 -2.837040790840202331e-01 -1.530853765578918946e-01
2.393010029101600100e+00 2.167927711612633868e-01 -2.157910265860092103e-01 -2.081678343875874651e-02
