# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.067280678653614000e-02 -1.067280678653614000e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.095831152891393358e-02 -1.088048731161883088e-02 1.303682256698192451e-03
6.135923151542564680e-02 1.169138020520602179e-02 -1.126834272239909777e-02 3.116540292253336657e-03
9.203884727313846326e-02 1.259185942877562824e-02 -1.127516187911124269e-02 5.605858406513878137e-03
1.227184630308512936e-01 1.337659551559024565e-02 -1.036028730175850461e-02 8.461545639700262383e-03
1.533980787885641239e-01 1.384695831880533058e-02 -8.344309686987988472e-03 1.105037332085982531e-02
1.840776945462769265e-01 1.391885102403731846e-02 -5.537785185117880156e-03 1.276978265566151328e-02
2.147573103039897569e-01 1.363584191462402680e-02 -2.577126611540374659e-03 1.339009347049929625e-02
2.454369260617025872e-01 1.317798768503651921e-02 -6.187866753226753250e-05 1.317784240524519888e-02
2.761165418194154175e-01 1.284640823995888623e-02 1.791142925027921357e-03 1.272092809860216230e-02
3.067961575771282479e-01 1.297193070504766566e-02 3.266810083782639880e-03 1.255384156714806076e-02
3.374757733348410782e-01 1.373249746016157354e-02 4.964638147010381683e-03 1.280366566896345461e-02
3.681553890925538530e-01 1.502404175296370020e-02 7.407416711985498337e-03 1.307103699978676148e-02
3.988350048502666834e-01 1.653193256563391736e-02 1.067135925039511095e-02 1.262643600164646725e-02
4.295146206079795137e-01 1.789639290816001302e-02 1.425650349859994975e-02 1.081817854898168424e-02
4.601942363656923440e-01 1.882236799854456605e-02 1.727976249458339914e-02 7.462663412175538080e-03
4.908738521234051744e-01 1.912261083888551483e-02 1.888655278562804962e-02 2.995391321872172604e-03
5.215534678811180047e-01 1.872813357118370894e-02 1.865081661152209400e-02 -1.700007877472879420e-03
5.522330836388308350e-01 1.768093355694360519e-02 1.674383434848088562e-02 -5.679737912587697925e-03
5.829126993965436654e-01 1.610744005233270132e-02 1.379460854088480036e-02 -8.316152971370827790e-03
6.135923151542564957e-01 1.416654385284256239e-02 1.055312090254674311e-02 -9.451063641238608218e-03
6.442719309119693261e-01 1.197395784527181470e-02 7.585497567269645393e-03 -9.264766221405306215e-03
6.749515466696821564e-01 9.533621939169904108e-03 5.199828819980698014e-03 -7.990727596528357513e-03
7.056311624273949867e-01 6.773936689207781491e-03 3.635877431004318205e-03 -5.715471422035868672e-03
7.363107781851077061e-01 4.153410767127102034e-03 3.351846780708903680e-03 -2.452742171354074102e-03
7.669903939428205364e-01 5.355911718508461587e-03 5.138431947312134714e-03 1.510730769958131816e-03
7.976700097005333667e-01 1.116243899451512672e-02 9.866371233016131212e-03 5.220609447045776452e-03
8.283496254582461971e-01 1.920059216695923360e-02 1.790345321490940944e-02 6.937514147260983449e-03
8.590292412159590274e-01 2.884824331550731383e-02 2.849184807794251720e-02 4.520590171001526852e-03
8.897088569736718577e-01 3.966982522531880412e-02 3.949300583454043445e-02 -3.741326443962783750e-03
9.203884727313846881e-01 5.113640091159942641e-02 4.778424390624160661e-02 -1.820981967238111815e-02
9.510680884890975184e-01 6.264567200152663939e-02 5.026174951520055723e-02 -3.739300410764151428e-02
9.817477042468103487e-01 7.361245420446710375e-02 4.503516827958872065e-02 -5.822909094287744697e-02
1.012427320004523068e+00 8.360058529092742607e-02 3.220646626998287937e-02 -7.714791890508833350e-02
1.043106935762236009e+00 9.248626727665047731e-02 1.375538733794697682e-02 -9.145763474938041482e-02
1.073786551519948729e+00 1.006301850221797273e-01 -7.518345699117807111e-03 -1.003489343019978580e-01
1.104466167277661670e+00 1.089952734033779735e-01 -2.952277604500486499e-02 -1.049208049858253861e-01
1.135145783035374389e+00 1.190856041686163963e-01 -5.206770134245424647e-02 -1.070996526470435195e-01
1.165825398793087331e+00 1.325823334735457271e-01 -7.700098755665520101e-02 -1.079301768023675362e-01
1.196505014550800050e+00 1.507547442180849351e-01 -1.070641891587565953e-01 -1.061331819179949093e-01
1.227184630308512991e+00 1.740123276193936419e-01 -1.439362987347341805e-01 -9.778871136314530588e-02
1.257864246066225711e+00 2.019013968357273314e-01 -1.864456257580261733e-01 -7.747388385718045889e-02
1.288543861823938652e+00 2.334647673696621240e-01 -2.299419755498926521e-01 -4.040402805640836564e-02
1.319223477581651371e+00 2.677091021556384787e-01 -2.672607926926466315e-01 1.548651239873652732e-02
1.349903093339364313e+00 3.040377406962638807e-01 -2.908273866842882027e-01 8.864749811515319766e-02
1.380582709097077032e+00 3.426144990084513120e-01 -2.947209581691326297e-01 1.747119107178455866e-01
1.411262324854789973e+00 3.846188633819591085e-01 -2.754116599907373009e-01 2.684773502744256524e-01
1.441941940612502693e+00 4.322956263328255333e-01 -2.305826218574395514e-01 3.656653703098489139e-01
1.472621556370215412e+00 4.886802680381254760e-01 -1.566953591303829885e-01 4.628768397714606575e-01
1.503301172127928353e+00 5.569742273318117887e-01 -4.711641661485160837e-02 5.549777772102632012e-01
1.533980787885641073e+00 6.397428806218923292e-01 1.070324230777803115e-01 6.307257832976989054e-01
1.564660403643354014e+00 7.382461985929276160e-01 3.120418883001210286e-01 6.690570302171581218e-01
1.595340019401066733e+00 8.521253743604760844e-01 5.635336906109496002e-01 6.391771532019772106e-01
1.626019635158779675e+00 9.794439869529689702e-01 8.381469381810415786e-01 5.067743418880567008e-01
1.656699250916492394e+00 1.116939281172286691e+00 1.089444992833773940e+00 2.462985290558646345e-01
1.687378866674205335e+00 1.260345273126263432e+00 1.252106098190990169e+00 -1.438767749313629163e-01
1.718058482431918055e+00 1.404717555022939379e+00 1.255961260873855956e+00 -6.291205930294910820e-01
1.748738098189630996e+00 1.544741061701512486e+00 1.047506355036747827e+00 -1.135321709412949742e+00
1.779417713947343715e+00 1.675021334375892623e+00 6.126280791635284606e-01 -1.558968667816900355e+00
1.810097329705056657e+00 1.790360630502664474e+00 -7.812165378820524683e-03 -1.790343586389493202e+00
1.840776945462769376e+00 1.886015562362455489e+00 -7.169503905287066825e-01 -1.744430233340990899e+00
1.871456561220482318e+00 1.957928801435023347e+00 -1.378760833409423237e+00 -1.390145228292691604e+00
1.902136176978195037e+00 2.002925373845534818e+00 -1.850021085457905556e+00 -7.675493707608840310e-01
1.932815792735907978e+00 2.018864112524903831e+00 -2.018812528620525182e+00 1.443187880247528455e-02
1.963495408493620697e+00 2.004736422898815373e+00 -1.837654482587668614e+00 8.012453606246879856e-01
1.994175024251333417e+00 1.960707152975051271e+00 -1.340111391547452513e+00 1.431249104094840074e+00
2.024854640009046136e+00 1.888095603566699809e+00 -6.345451567985703756e-01 1.778273728139562415e+00
2.055534255766759077e+00 1.789298207457169498e+00 1.239467775730895699e-01 1.785000076061254992e+00
2.086213871524472019e+00 1.667657838848783491e+00 7.750738191787664988e-01 1.476598537957232171e+00
2.116893487282184960e+00 1.527287824516894377e+00 1.195497503683406793e+00 9.504703138995402867e-01
2.147573103039897457e+00 1.372861301703641956e+00 1.328597498042837000e+00 3.457988460213999860e-01
2.178252718797610399e+00 1.209378444722264190e+00 1.193245401355524482e+00 -1.968797468068662904e-01
2.208932334555323340e+00 1.041925164907452794e+00 8.701792990066625766e-01 -5.730584933911161416e-01
2.239611950313036282e+00 8.754371558713563983e-01 4.719529060958305711e-01 -7.373267039161336411e-01
2.270291566070748779e+00 7.144826956220967640e-01 1.073457172938991483e-01 -7.063727198314471156e-01
2.300971181828461720e+00 5.630767276561340351e-01 -1.480496602611943158e-01 -5.432648519133969067e-01
2.331650797586174662e+00 4.245383291513144530e-01 -2.666142681899777434e-01 -3.303780030754354669e-01
2.362330413343887603e+00 3.014070670434218502e-01 -2.662759325533735066e-01 -1.412209184453530886e-01
2.393010029101600100e+00 1.954574256539881594e-01 -1.943873366555330662e-01 -2.042470541409977663e-02
2.423689644859313042e+00 1.080163243490550873e-01 -1.055487611105458967e-01 2.295616156741337247e-02
2.454369260617025983e+00 4.285130980805770123e-02 -4.188492349476362342e-02 9.049195329085341771e-03
2.485048876374738480e+00 3.529361431232189150e-02 -2.199797034938185541e-02 -2.759942955451524099e-02
2.515728492132451422e+00 6.785749928050195667e-02 -4.065120369934496769e-02 -5.433341371934663488e-02
2.546408107890164363e+00 9.301511865702542792e-02 -7.701891967548042672e-02 -5.215264433183049858e-02
2.577087723647877304e+00 1.084657655864850190e-01 -1.066619520095661161e-01 -1.969899230344864666e-02
2.607767339405589802e+00 1.160298205420155770e-01 -1.120173789309252682e-01 3.024939788587265727e-02
2.638446955163302743e+00 1.179944788211646362e-01 -8.786296477592997478e-02 7.875783423293174212e-02
2.669126570921015684e+00 1.165703345306077082e-01 -4.090295401512263063e-02 1.091585601105774794e-01
2.699806186678728626e+00 1.136450924131658102e-01 1.493743665457432021e-02 1.126591319680192299e-01
2.730485802436441123e+00 1.106231440930876969e-01 6.465751346928065579e-02 8.976015798231326559e-02
2.761165418194154064e+00 1.083542922602439840e-01 9.709540856185966406e-02 4.809505470860719889e-02
2.791845033951867006e+00 1.071780859956628917e-01 1.071681868615017297e-01 -1.456654561643029545e-03
2.822524649709579947e+00 1.070654123864831497e-01 9.550178109528445480e-02 -4.839847453294441465e-02
2.853204265467292444e+00 1.077833044751439345e-01 6.656781884988469122e-02 -8.477007854868671977e-02
2.883883881225005386e+00 1.090087221945830742e-01 2.667349986171423451e-02 -1.056949663873494039e-01
2.914563496982718327e+00 1.103714538943289664e-01 -1.734544362973156062e-02 -1.089999698166737446e-01
2.945243112740430824e+00 1.114571899868091465e-01 -5.866504707207705061e-02 -9.476875778328347488e-02
2.975922728498143766e+00 1.118129159140873879e-01 -9.076240894183357222e-02 -6.530170968884463356e-02
3.006602344255856707e+00 1.109773387622033924e-01 -1.080462748183086685e-01 -2.533717065158157603e-02
