# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.306637182084100768e-07 -5.306637182084100768e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.851026804266576942e-07 -5.707986759455407221e-07 1.285846731973808464e-07
6.135923151542564680e-02 7.355905873002740761e-07 -6.449411281829076252e-07 3.537576194273705840e-07
9.203884727313846326e-02 9.535938871663425762e-07 -6.434343897055397707e-07 7.037993235186254837e-07
1.227184630308512936e-01 1.204755660684058067e-06 -4.630035179072226878e-07 1.112233763359041907e-06
1.533980787885641239e-01 1.451880541123134085e-06 -7.483218488777840550e-08 1.449950774956490183e-06
1.840776945462769265e-01 1.659638147767759510e-06 4.508183058082759508e-07 1.597235623405061616e-06
2.147573103039897569e-01 1.801948728100712645e-06 9.794536073590124339e-07 1.512511107309692902e-06
2.454369260617025872e-01 1.870881764890590215e-06 1.386853586846770360e-06 1.255721189934444626e-06
2.761165418194154175e-01 1.886045840486538135e-06 1.628855676026980885e-06 9.507881462719541722e-07
3.067961575771282479e-01 1.900417897810830826e-06 1.763578686757962686e-06 7.080807877162018473e-07
3.374757733348410782e-01 1.988923586910298615e-06 1.910572080884312048e-06 5.527489107302861708e-07
3.681553890925538530e-01 2.205904614903372425e-06 2.168782245804235085e-06 4.029872706877151892e-07
3.988350048502666834e-01 2.543294603073752721e-06 2.540728884744978436e-06 1.142110863559827456e-07
4.295146206079795137e-01 2.940574350043221739e-06 2.908485651238597236e-06 -4.332305675634048261e-07
4.601942363656923440e-01 3.323038734716718936e-06 3.078418345503002454e-06 -1.251370018219331638e-06
4.908738521234051744e-01 3.626662500353733519e-06 2.872526980253152801e-06 -2.213881125803663722e-06
5.215534678811180047e-01 3.807651026862334169e-06 2.217564889590875532e-06 -3.095256419558740860e-06
5.522330836388308350e-01 3.845514810162875972e-06 1.184772965136475374e-06 -3.658455572542018060e-06
5.829126993965436654e-01 3.743272382790437375e-06 -3.773304637034873754e-08 -3.743082199067128751e-06
6.135923151542564957e-01 3.525870032638321610e-06 -1.218623359636354675e-06 -3.308582263508882679e-06
6.442719309119693261e-01 3.239148233443251057e-06 -2.156458215024555232e-06 -2.416975226408338942e-06
6.749515466696821564e-01 2.955515862145958238e-06 -2.710303414511372861e-06 -1.178698185577784804e-06
7.056311624273949867e-01 2.793552308693732721e-06 -2.778280671034289607e-06 2.917036413302786576e-07
7.363107781851077061e-01 2.930326083308133633e-06 -2.254304448377908194e-06 1.872143800176568148e-06
7.669903939428205364e-01 3.529893795903876813e-06 -1.014017932118821768e-06 3.381111924160770841e-06
7.976700097005333667e-01 4.636224942024159736e-06 1.033803614359119245e-06 4.519494639888949457e-06
8.283496254582461971e-01 6.199500319336236179e-06 3.839143771591173807e-06 4.867728352168267684e-06
8.590292412159590274e-01 8.142206580238878000e-06 7.104014112880338737e-06 3.978506186910138063e-06
8.897088569736718577e-01 1.037245069420236324e-05 1.025603013230727494e-05 1.549702980852883586e-06
9.203884727313846881e-01 1.278082104197865856e-05 1.255393606990676790e-05 -2.397514475405355253e-06
9.510680884890975184e-01 1.524570983926665127e-05 1.330904721005207634e-05 -7.436459565123516505e-06
9.817477042468103487e-01 1.765021517563570723e-05 1.213297165381105703e-05 -1.281877898218307111e-05
1.012427320004523068e+00 1.990913051434033110e-05 9.086523485067972398e-06 -1.771464277913459612e-05
1.043106935762236009e+00 2.200335507840503252e-05 4.635899179512871290e-06 -2.150944149678843523e-05
1.073786551519948729e+00 2.401553783976667706e-05 -5.866728130427956896e-07 -2.400837088899831031e-05
1.104466167277661670e+00 2.615247855889696750e-05 -6.112551725226941133e-06 -2.542811133725804144e-05
1.135145783035374389e+00 2.872935913484415637e-05 -1.188594633276768621e-05 -2.615531219606104555e-05
1.165825398793087331e+00 3.209493990943175365e-05 -1.828325531226012766e-05 -2.637816792305233216e-05
1.196505014550800050e+00 3.651673073532556889e-05 -2.586070737601226427e-05 -2.578168802868687276e-05
1.227184630308512991e+00 4.209429080681435971e-05 -3.493355325860810872e-05 -2.348565892745286708e-05
1.257864246066225711e+00 4.875559407627330584e-05 -4.519463334744758834e-05 -1.829079195442655361e-05
1.288543861823938652e+00 5.632484768166792647e-05 -5.557912973773519423e-05 -9.135031689003139806e-06
1.319223477581651371e+00 6.461690392833426238e-05 -6.446256502779296638e-05 4.463404902217837927e-06
1.349903093339364313e+00 7.352880683357077094e-05 -7.009480613147454475e-05 2.220818740373831497e-05
1.380582709097077032e+00 8.311695931249895360e-05 -7.102451688401279417e-05 4.317345164274206671e-05
1.411262324854789973e+00 9.364841242764938682e-05 -6.625231277239906034e-05 6.618652583817437416e-05
1.441941940612502693e+00 1.056061333569745974e-04 -5.500192541531937775e-05 9.015233553945647645e-05
1.472621556370215412e+00 1.196272786970760355e-04 -3.625944904450456238e-05 1.139997287867689608e-04
1.503301172127928353e+00 1.363735820867587750e-04 -8.465984055007164412e-06 1.361105470018921827e-04
1.533980787885641073e+00 1.563691758376676210e-04 3.019315532709094537e-05 1.534265052836229304e-04
1.564660403643354014e+00 1.798637456221729135e-04 8.066584271481444925e-05 1.607606569044383422e-04
1.595340019401066733e+00 2.067629320930408903e-04 1.412706356184814400e-04 1.509752218069630118e-04
1.626019635158779675e+00 2.366286697635215110e-04 2.059688596320903683e-04 1.164901550171084884e-04
1.656699250916492394e+00 2.687254253539290939e-04 2.636336416260018291e-04 5.206397252095687213e-05
1.687378866674205335e+00 3.020865564944481461e-04 2.991689261940269563e-04 -4.188366286019244727e-05
1.718058482431918055e+00 3.355855891757595104e-04 2.967710903100980314e-04 -1.566671874343740750e-04
1.748738098189630996e+00 3.680065995906931084e-04 2.447662736585423811e-04 -2.748059835986404521e-04
1.779417713947343715e+00 3.981121735436975867e-04 1.406217532738206872e-04 -3.724497620215159945e-04
1.810097329705056657e+00 4.247082018268931295e-04 -5.705360740826115397e-06 -4.246698783265067637e-04
1.840776945462769376e+00 4.467042381275892322e-04 -1.716897876719754572e-04 -4.123921594432924226e-04
1.871456561220482318e+00 4.631675172448883652e-04 -3.261246571358486219e-04 -3.288873014253045133e-04
1.902136176978195037e+00 4.733684350290299418e-04 -4.363362752050496175e-04 -1.835438100890796802e-04
1.932815792735907978e+00 4.768153830439096413e-04 -4.768136332290683326e-04 -1.291771731296049991e-06
1.963495408493620697e+00 4.732772393007287303e-04 -4.366205267405397802e-04 1.826303941542393625e-04
1.994175024251333417e+00 4.627924438101375221e-04 -3.231266718977377742e-04 3.313095228876631899e-04
2.024854640009046136e+00 4.456643407227017014e-04 -1.606571889915225763e-04 4.156993772152449938e-04
2.055534255766759077e+00 4.224432649994009433e-04 1.572144396562722544e-05 4.221506228148784348e-04
2.086213871524472019e+00 3.938966201526750599e-04 1.694546730574037906e-04 3.555835501632621429e-04
2.116893487282184960e+00 3.609688761635345506e-04 2.719579882975026717e-04 2.373549707925675138e-04
2.147573103039897457e+00 3.247339683457350413e-04 3.094033669110407537e-04 9.859871572024033750e-05
2.178252718797610399e+00 2.863429696829237234e-04 2.848969674962301894e-04 -2.874046273614480439e-05
2.208932334555323340e+00 2.469701317535969126e-04 2.156815718039769268e-04 -1.203150263373406226e-04
2.239611950313036282e+00 2.077604620475674731e-04 1.266224452423886208e-04 -1.647154089666689721e-04
2.270291566070748779e+00 1.697820011130927943e-04 4.233718879009729563e-05 -1.644186435515081689e-04
2.300971181828461720e+00 1.339860913800311199e-04 -1.945080078201203534e-05 -1.325667342595288067e-04
2.331650797586174662e+00 1.011798541691823807e-04 -5.143417015930275445e-05 -8.713144684739777769e-05
2.362330413343887603e+00 7.201934243498378692e-05 -5.647740042596916497e-05 -4.468880090013820452e-05
2.393010029101600100e+00 4.705162345286477427e-05 -4.430105666688469396e-05 -1.585155032631337720e-05
2.423689644859313042e+00 2.694812146302194916e-05 -2.671393385944034559e-05 -3.544994801016073754e-06
2.454369260617025983e+00 1.387827302647926305e-05 -1.324197762111757118e-05 -4.154093268009680209e-06
2.485048876374738480e+00 1.359709998973044106e-05 -8.544192250077361977e-06 -1.057723531573565280e-05
2.515728492132451422e+00 1.986428016444081559e-05 -1.212436676682462496e-05 -1.573497241671924533e-05
2.546408107890164363e+00 2.507057613751671496e-05 -1.993391665085545743e-05 -1.520436630786597634e-05
2.577087723647877304e+00 2.809740465908010790e-05 -2.686286651837644580e-05 -8.237144589721998335e-06
2.607767339405589802e+00 2.914362371746687726e-05 -2.900590835213666982e-05 2.829855836035794864e-06
2.638446955163302743e+00 2.866841755870678228e-05 -2.492269338475777259e-05 1.416818689069701221e-05
2.669126570921015684e+00 2.718607722449530931e-05 -1.567245518359430291e-05 2.221389077524355430e-05
2.699806186678728626e+00 2.519547100770684134e-05 -3.924799408164069927e-06 2.488790286275384639e-05
2.730485802436441123e+00 2.314106320469756315e-05 7.271375056546592583e-06 2.196897610337904331e-05
2.761165418194154064e+00 2.138160968474889524e-05 1.550311919714345173e-05 1.472503065769677288e-05
2.791845033951867006e+00 2.015974982140651109e-05 1.948441114035676385e-05 5.174285977334549226e-06
2.822524649709579947e+00 1.957988419589872217e-05 1.902734315313180772e-05 -4.618666220649924355e-06
2.853204265467292444e+00 1.961313848964157543e-05 1.471824144644125394e-05 -1.296335489516964102e-05
2.883883881225005386e+00 2.013563594852093154e-05 7.570591215129203855e-06 -1.865824170989262697e-05
2.914563496982718327e+00 2.097742354025290747e-05 -1.179701359964270210e-06 -2.094422600834070931e-05
2.945243112740430824e+00 2.195577705739536027e-05 -1.013843570938804362e-05 -1.947481110462060232e-05
2.975922728498143766e+00 2.288941318620218925e-05 -1.779937027157258542e-05 -1.439123531682199905e-05
3.006602344255856707e+00 2.360483259638478399e-05 -2.270561829241676710e-05 -6.453140310145033216e-06
3.037281960013569648e+00 2.394358432261467853e-05 -2.376508100572647658e-05 2.918245192820154367e-06
3.067961575771282146e+00 2.377224083763073104e-05 -2.062594925647004919e-05 1.181903768129372185e-05
3.098641191528995087e+00 2.299311765174349916e-05 -1.393062194360684548e-05 1.829265512743346971e-05
3.129320807286708028e+00 2.155333817160147179e-05 -5.279251992279806244e-06 2.089679125467407074e-05
3.160000423044420970e+00 1.945092162895277959e-05 3.153919869910515065e-06 1.919351822021816577e-05
3.190680038802133467e+00 1.673830268504383968e-05 9.252365603497123190e-06 1.394863819572968618e-05
3.221359654559846408e+00 1.352702659197364303e-05 1.161643346238087081e-05 6.931011616931545662e-06
3.252039270317559350e+00 1.000889723092488831e-05 1.000228808112039239e-05 3.636714471783732618e-07
3.282718886075272291e+00 6.570193035518493051e-06 5.374628557248734936e-06 -3.778995156861424409e-06
3.313398501832984788e+00 4.396351380242765763e-06 -4.410348112312817185e-07 -4.374173493797961646e-06
3.344078117590697730e+00 5.559367488099157373e-06 -5.367857939620825903e-06 -1.446605684968641595e-06
3.374757733348410671e+00 8.660849657133111413e-06 -7.721777280797752652e-06 3.922304476862854941e-06
3.405437349106123612e+00 1.202472968454624047e-05 -6.671279486901001964e-06 1.000440672874016294e-05
3.436116964863836110e+00 1.516925914574165792e-05 -2.385430774978725072e-06 1.498052545969103499e-05
3.466796580621549051e+00 1.792575995864941442e-05 4.129922833836156381e-06 1.744352623415567960e-05
3.497476196379261992e+00 2.022373686785332135e-05 1.140159758666193905e-05 1.670338604511056418e-05
3.528155812136974490e+00 2.204163187660260382e-05 1.791175311326124596e-05 1.284533519193797033e-05
3.558835427894687431e+00 2.338757161380447183e-05 2.244160246466013432e-05 6.584298353582778214e-06
3.589515043652400372e+00 2.428695903745229113e-05 2.426679446284146872e-05 -9.894775313729718279e-07
3.620194659410113314e+00 2.477293442301568838e-05 2.320331617420998016e-05 -8.677810694333050169e-06
3.650874275167825811e+00 2.487979216323887499e-05 1.954585971763939448e-05 -1.539361640370202661e-05
3.681553890925538752e+00 2.464011355590913310e-05 1.394846301535809730e-05 -2.031195646798417969e-05
3.712233506683251694e+00 2.408591130424457102e-05 7.280736702815188704e-06 -2.295913753650637908e-05
3.742913122440964635e+00 2.325322340619158951e-05 4.733239711185546599e-07 -2.324840560547370227e-05
3.773592738198677132e+00 2.218878531114211924e-05 -5.639711569269330552e-06 -2.146009895129577359e-05
3.804272353956390074e+00 2.095685547115325704e-05 -1.046348306135901505e-05 -1.815778933305095685e-05
3.834951969714103015e+00 1.964385384672505909e-05 -1.373671034700508439e-05 -1.404221431235039829e-05
3.865631585471815956e+00 1.835784472768497771e-05 -1.554205819572716582e-05 -9.770101846266554475e-06
3.896311201229528454e+00 1.721901242509287831e-05 -1.621614483555674434e-05 -5.790598895429491443e-06
3.926990816987241395e+00 1.633769412425892839e-05 -1.618072633942499103e-05 -2.259279625562789239e-06
3.957670432744954336e+00 1.578214560104258097e-05 -1.575460584818593553e-05 9.319411681073275125e-07
3.988350048502666834e+00 1.555013099547879584e-05 -1.502259781128900993e-05 4.015984185328050652e-06
4.019029664260379775e+00 1.556463908735060137e-05 -1.382049611308777532e-05 7.159041633319913460e-06
4.049709280018092272e+00 1.569939042233050566e-05 -1.184750859576639331e-05 1.030084461129300887e-05
4.080388895775805658e+00 1.581719832242187450e-05 -8.860361678244943310e-06 1.310258576394422219e-05
4.111068511533518155e+00 1.580065628644953331e-05 -4.863282452946294161e-06 1.503360312318313693e-05
4.141748127291231540e+00 1.556774484783407143e-05 -2.055129735980161961e-07 1.556638827939696294e-05
4.172427743048944038e+00 1.507549832437306229e-05 4.464241128939415098e-06 1.439934723766535081e-05
4.203107358806656535e+00 1.431700381706837596e-05 8.375358513491889035e-06 1.161163072390908286e-05
4.233786974564369920e+00 1.331535338674171935e-05 1.087613078853125083e-05 7.681693490668368678e-06
4.264466590322082418e+00 1.211646194070221441e-05 1.164164722496600873e-05 3.358675311774945401e-06
4.295146206079794915e+00 1.078176332897592066e-05 1.076705999287280004e-05 -5.628850610274953880e-07
4.325825821837508300e+00 9.381467647481269660e-06 8.713593083716233585e-06 -3.476381853615964056e-06
4.356505437595220798e+00 7.988985461248887678e-06 6.135295045384040575e-06 -5.116839200730480130e-06
4.387185053352934183e+00 6.677072341998858867e-06 3.659815560023444812e-06 -5.584715312967744179e-06
4.417864669110646680e+00 5.515896427815265667e-06 1.707993218610205033e-06 -5.244794807003107409e-06
4.448544284868359178e+00 4.571727979896136033e-06 4.127368943397191712e-07 -4.553058859515875701e-06
4.479223900626072563e+00 3.900944068756066243e-06 -3.484712475614303451e-07 -3.885348429315718097e-06
4.509903516383785060e+00 3.530975979432408152e-06 -8.389748332770056180e-07 -3.429856060603196127e-06
4.540583132141497558e+00 3.435692414274337240e-06 -1.323904370632340284e-06 -3.170372152117604123e-06
4.571262747899210943e+00 3.540925124033459844e-06 -1.962652397364171097e-06 -2.947226883212768036e-06
4.601942363656923440e+00 3.765152875300021415e-06 -2.764714930348332269e-06 -2.555920094269191521e-06
4.632621979414635938e+00 4.050277283530450008e-06 -3.608882828960825307e-06 -1.838670933123845093e-06
4.663301595172349323e+00 4.364705019321595119e-06 -4.301694319334180833e-06 -7.389694775152480914e-07
