# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.324980663389452723e-07 -5.324980663389452723e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.896739451384704869e-07 -5.807996123549856665e-07 1.019174757510524953e-07
6.135923151542564680e-02 7.438442449613661544e-07 -6.765537976680339372e-07 3.091588905774921813e-07
9.203884727313846326e-02 9.607642971616079092e-07 -7.027837628537267694e-07 6.551053482987259754e-07
1.227184630308512936e-01 1.204648312550757758e-06 -5.478291941698242732e-07 1.072874983838578203e-06
1.533980787885641239e-01 1.439166233553882821e-06 -1.771529328932021619e-07 1.428221371555896352e-06
1.840776945462769265e-01 1.630352861192983209e-06 3.397700040056999948e-07 1.594555360085724402e-06
2.147573103039897569e-01 1.753352103307317337e-06 8.645621118825020700e-07 1.525377314918987882e-06
2.454369260617025872e-01 1.801215830004666773e-06 1.267054114959831161e-06 1.280215738078063148e-06
2.761165418194154175e-01 1.794634331323658976e-06 1.498664708333410624e-06 9.872773040850525878e-07
3.067961575771282479e-01 1.788666573176483018e-06 1.617422537860896843e-06 7.637227533722683793e-07
3.374757733348410782e-01 1.861482887130285268e-06 1.747793359191543337e-06 6.405754542946851540e-07
3.681553890925538530e-01 2.068205675246312837e-06 1.997000279203123114e-06 5.380191446256406252e-07
3.988350048502666834e-01 2.396120773262468078e-06 2.376190530640266661e-06 3.084044781702368143e-07
4.295146206079795137e-01 2.779113179342294748e-06 2.773591162272890645e-06 -1.751060483128802281e-07
4.601942363656923440e-01 3.139884770450831401e-06 2.997863339250443735e-06 -9.336443492504244317e-07
4.908738521234051744e-01 3.414293755818288009e-06 2.869772889710448301e-06 -1.849812264123766203e-06
5.215534678811180047e-01 3.559523738419340496e-06 2.312529509966317726e-06 -2.705996398723720059e-06
5.522330836388308350e-01 3.556324196832369793e-06 1.392281404362782816e-06 -3.272459974398617385e-06
5.829126993965436654e-01 3.408582599127779100e-06 2.898521867801477914e-07 -3.396236305809042322e-06
6.135923151542564957e-01 3.140849918039027557e-06 -7.747707293154246862e-07 -3.043791800475487753e-06
6.442719309119693261e-01 2.796071071787454334e-06 -1.617118324403256848e-06 -2.280995783285415699e-06
6.749515466696821564e-01 2.441592777691651532e-06 -2.118141168238726854e-06 -1.214435376415029808e-06
7.056311624273949867e-01 2.199158154427285857e-06 -2.198415382999133057e-06 5.715235757869081761e-08
7.363107781851077061e-01 2.280106713290701802e-06 -1.767343982951309784e-06 1.440618571974943971e-06
7.669903939428205364e-01 2.879084466749835782e-06 -7.008719151502345416e-07 2.792473084066134778e-06
7.976700097005333667e-01 4.008796499455771233e-06 1.112276568593505447e-06 3.851401070910001324e-06
8.283496254582461971e-01 5.589535554393121148e-06 3.661321349421845107e-06 4.223462287045145565e-06
8.590292412159590274e-01 7.541193431972468677e-06 6.698167037486047254e-06 3.464701533517724746e-06
8.897088569736718577e-01 9.777536130128542722e-06 9.697256717727122626e-06 1.250369915850998069e-06
9.203884727313846881e-01 1.219402124765385115e-05 1.194702051641801459e-05 -2.441895773476142301e-06
9.510680884890975184e-01 1.467166607427726864e-05 1.276247327117278150e-05 -7.237199831267540283e-06
9.817477042468103487e-01 1.709420208759574136e-05 1.173312667942201749e-05 -1.243163236812438531e-05
1.012427320004523068e+00 1.937542636673407365e-05 8.881222238118882106e-06 -1.722007660987246241e-05
1.043106935762236009e+00 2.149387976017721666e-05 4.632443783046084528e-06 -2.098874297669761754e-05
1.073786551519948729e+00 2.352878364377680460e-05 -4.099738773619238304e-07 -2.352521160745509212e-05
1.104466167277661670e+00 2.568296592787891035e-05 -5.788262733309941577e-06 -2.502220520623161390e-05
1.135145783035374389e+00 2.826800834154785487e-05 -1.144211006822878762e-05 -2.584876037229554376e-05
1.165825398793087331e+00 3.163058002806245936e-05 -1.773794710474135692e-05 -2.618890653351264888e-05
1.196505014550800050e+00 3.603830554097515299e-05 -2.522808159784168983e-05 -2.573525529613650227e-05
1.227184630308512991e+00 4.159269570091003862e-05 -3.423658332112209312e-05 -2.361797404868513505e-05
1.257864246066225711e+00 4.822425016128622176e-05 -4.447612712609445395e-05 -1.864007562972316460e-05
1.288543861823938652e+00 5.575885743124526448e-05 -5.490379035939266467e-05 -9.727486119743212732e-06
1.319223477581651371e+00 6.401115545310878078e-05 -6.390839056756148601e-05 3.625691314229010510e-06
1.349903093339364313e+00 7.287554015077799701e-05 -6.973897852836219565e-05 2.114992260241844717e-05
1.380582709097077032e+00 8.240338578519846820e-05 -7.093300980772186150e-05 4.193836082254386483e-05
1.411262324854789973e+00 9.285515875573463712e-05 -6.648074568691236482e-05 6.482585101998095643e-05
1.441941940612502693e+00 1.047074084196279368e-04 -5.560770674113634199e-05 8.872104783503488991e-05
1.472621556370215412e+00 1.185933444389797330e-04 -3.731549565923914115e-05 1.125696900987463488e-04
