# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.264140482130428439e-07 -6.264140482130428439e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.925440290482029344e-07 -6.856878194251094487e-07 9.720826334400032309e-08
6.135923151542564680e-02 8.673478726430731883e-07 -8.069183704143800505e-07 3.180802975134831439e-07
9.203884727313846326e-02 1.107403096021403025e-06 -8.545211532928212006e-07 7.043686645875836034e-07
1.227184630308512936e-01 1.372304906420772704e-06 -6.964460096613308677e-07 1.182448185678059493e-06
1.533980787885641239e-01 1.623954420636016578e-06 -2.865761989326519788e-07 1.598468655466404012e-06
1.840776945462769265e-01 1.827208108590913511e-06 3.017088703733217216e-07 1.802126862803625794e-06
2.147573103039897569e-01 1.955595334516739838e-06 9.112761182119795686e-07 1.730297358479214105e-06
2.454369260617025872e-01 1.999732732212042242e-06 1.386271404674420122e-06 1.441243419017845629e-06
2.761165418194154175e-01 1.977159580737682492e-06 1.657152200118640966e-06 1.078427834092182470e-06
3.067961575771282479e-01 1.940890114947365112e-06 1.775534562819716978e-06 7.839205664689456924e-07
3.374757733348410782e-01 1.974109714741693556e-06 1.877047647687559438e-06 6.113929130666553548e-07
3.681553890925538530e-01 2.148623616415275869e-06 2.091976319305478419e-06 4.901209284274250828e-07
3.988350048502666834e-01 2.468406412944470449e-06 2.454349922859060378e-06 2.630526099986697955e-07
4.295146206079795137e-01 2.870749580811563190e-06 2.862294140071023315e-06 -2.201713229393085280e-07
4.601942363656923440e-01 3.272809644820971512e-06 3.114319077368721956e-06 -1.006131033002365352e-06
4.908738521234051744e-01 3.603314063438876740e-06 3.003735757627804028e-06 -1.990337594008742678e-06
5.215534678811180047e-01 3.813102135528531387e-06 2.421013301217727339e-06 -2.945919634222747537e-06
5.522330836388308350e-01 3.877707713518955568e-06 1.410343236503719906e-06 -3.612139126159541571e-06
5.829126993965436654e-01 3.797443856504818621e-06 1.539022887757493640e-07 -3.794323909317149514e-06
6.135923151542564957e-01 3.596192715090853090e-06 -1.100968835106647854e-06 -3.423517148810040766e-06
6.442719309119693261e-01 3.320754826512708477e-06 -2.125327687872941105e-06 -2.551547537665740805e-06
6.749515466696821564e-01 3.045678805858185829e-06 -2.755060861681243508e-06 -1.298383239604527421e-06
7.056311624273949867e-01 2.888566597872604900e-06 -2.881475178870087724e-06 2.022814472484151395e-07
7.363107781851077061e-01 3.016417915145814936e-06 -2.408982674564907211e-06 1.815373105578776312e-06
7.669903939428205364e-01 3.582026083380511373e-06 -1.229750402510463068e-06 3.364316395576325444e-06
7.976700097005333667e-01 4.632360597655932155e-06 7.421826483576784188e-07 4.572518958210233793e-06
8.283496254582461971e-01 6.127551192123673140e-06 3.475434197484085329e-06 5.046606855210182839e-06
8.590292412159590274e-01 7.998591337614475159e-06 6.713336155266143392e-06 4.348399826667014469e-06
8.897088569736718577e-01 1.016098447282303332e-05 9.930412083395548855e-06 2.152329275669133285e-06
9.203884727313846881e-01 1.251192369683519396e-05 1.241228514328275881e-05 -1.575884550742270948e-06
9.510680884890975184e-01 1.493456365683110915e-05 1.345678777167722429e-05 -6.477349341202687316e-06
9.817477042468103487e-01 1.731326876482094061e-05 1.261971337848904177e-05 -1.185293674865891831e-05
1.012427320004523068e+00 1.955871680350665159e-05 9.884692162920550047e-06 -1.687709287300601609e-05
1.043106935762236009e+00 2.164056692202293345e-05 5.655313841004807341e-06 -2.088855098053219911e-05
1.073786551519948729e+00 2.362248720880763211e-05 5.488417992398264181e-07 -2.361611048859839899e-05
1.104466167277661670e+00 2.568713677759123661e-05 -4.922328634418384910e-06 -2.521110224971262991e-05
1.135145783035374389e+00 2.812846788443159980e-05 -1.062051068284855485e-05 -2.604640970193396364e-05
1.165825398793087331e+00 3.128881997124322370e-05 -1.684765476973904493e-05 -2.636563642229328581e-05
1.196505014550800050e+00 3.545067656601658406e-05 -2.414199780011290771e-05 -2.595986154061035762e-05
1.227184630308512991e+00 4.074313464844086109e-05 -3.288320923671447202e-05 -2.405613375576878119e-05
1.257864246066225711e+00 4.712356370432226407e-05 -4.289678859557807719e-05 -1.950630114556834739e-05
1.288543861823938652e+00 5.443435002103705090e-05 -5.326788141676208388e-05 -1.120853565737064593e-05
1.319223477581651371e+00 6.249291184926112101e-05 -6.247630340698817576e-05 1.440674840995574392e-06
1.349903093339364313e+00 7.118227824534759021e-05 -6.879033521051895316e-05 1.829771892402219966e-05
1.380582709097077032e+00 8.052883653249079171e-05 -7.069953053080328459e-05 3.855476489359825870e-05
1.411262324854789973e+00 9.075690718311544929e-05 -6.712433680346097835e-05 6.108305501642961508e-05
1.441941940612502693e+00 1.023021916810064054e-04 -5.726000760711836944e-05 8.477635254934079781e-05
1.472621556370215412e+00 1.157633382057716932e-04 -4.015403707734622064e-05 1.085762578970880966e-04
1.503301172127928353e+00 1.317865018763379346e-04 -1.435901321221507198e-05 1.310019114989298839e-04
1.533980787885641073e+00 1.509109527297115329e-04 2.190329683482593521e-05 1.493129640773189224e-04
1.564660403643354014e+00 1.734294642080349766e-04 6.978570332373919749e-05 1.587694387062483419e-04
