# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.036612356643923719e-02 -1.036612356643923719e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.067264265256918053e-02 -1.059607138631403316e-02 1.276155306213121003e-03
6.135923151542564680e-02 1.146114525644265948e-02 -1.103325993531109779e-02 3.102422567790700820e-03
9.203884727313846326e-02 1.243707295415577216e-02 -1.107285162799814121e-02 5.663280011736300003e-03
1.227184630308512936e-01 1.330494317865971513e-02 -1.012677785727609213e-02 8.629593456052624123e-03
1.533980787885641239e-01 1.385417923266787921e-02 -7.990163069708134877e-03 1.131793162774710586e-02
1.840776945462769265e-01 1.398488652992583778e-02 -4.986979585190115007e-03 1.306549217870487181e-02
2.147573103039897569e-01 1.371971974337439677e-02 -1.805385615795367452e-03 1.360041516333293510e-02
2.454369260617025872e-01 1.321690299865841550e-02 8.841300784158780731e-04 1.318729839202807154e-02
2.761165418194154175e-01 1.276931987710949040e-02 2.804732404588855792e-03 1.245748795956041696e-02
3.067961575771282479e-01 1.273777326718599986e-02 4.219875346251369258e-03 1.201846578679401090e-02
3.374757733348410782e-01 1.337195069948147845e-02 5.758013994872159674e-03 1.206873399923204596e-02
3.681553890925538530e-01 1.463297988158859288e-02 8.010002791198735442e-03 1.224597711495350669e-02
3.988350048502666834e-01 1.622309362538493574e-02 1.112840903742616343e-02 1.180454484822422538e-02
4.295146206079795137e-01 1.776278239395212219e-02 1.466070432069146827e-02 1.002896740428215611e-02
4.601942363656923440e-01 1.892446301231024558e-02 1.771628477595690865e-02 6.653461808825240562e-03
4.908738521234051744e-01 1.948539131518535125e-02 1.937686552874489515e-02 2.053669152234240559e-03
5.215534678811180047e-01 1.933994751055248540e-02 1.912263902386152417e-02 -2.891063208235631569e-03
5.522330836388308350e-01 1.849317411513751869e-02 1.704390180720121231e-02 -7.176552099669840194e-03
5.829126993965436654e-01 1.703673815325692717e-02 1.374129626966893308e-02 -1.007110836660111107e-02
6.135923151542564957e-01 1.510234418118376783e-02 1.000664399086995809e-02 -1.131140467877095150e-02
6.442719309119693261e-01 1.279283977078313206e-02 6.504187634477800843e-03 -1.101600166196595350e-02
6.749515466696821564e-01 1.010984627827942947e-02 3.657101697692205933e-03 -9.425210816908937903e-03
7.056311624273949867e-01 6.930357627287675633e-03 1.791471155774420482e-03 -6.694810523094191050e-03
7.363107781851077061e-01 3.250256399422439546e-03 1.393295090900493203e-03 -2.936476707154189302e-03
7.669903939428205364e-01 3.546253449085010577e-03 3.222790297946015632e-03 1.479708153864256991e-03
7.976700097005333667e-01 9.816809750404881588e-03 8.090142208089297349e-03 5.560517307637519689e-03
8.283496254582461971e-01 1.798372327041840996e-02 1.631124502981977364e-02 7.573479269409032558e-03
8.590292412159590274e-01 2.764449761549787887e-02 2.711104347321823330e-02 5.404587884986139686e-03
8.897088569736718577e-01 3.845716632663868234e-02 3.836603963280034446e-02 -2.645873158173891061e-03
9.203884727313846881e-01 4.994130340231246745e-02 4.697184311264460121e-02 -1.696407203836768074e-02
9.510680884890975184e-01 6.152110918400768153e-02 4.980985828448156877e-02 -3.610851551795583175e-02
9.817477042468103487e-01 7.261925052193009267e-02 4.492471020352391264e-02 -5.705546388818725362e-02
1.012427320004523068e+00 8.278741095425456997e-02 3.232248971016325051e-02 -7.621687524062516206e-02
1.043106935762236009e+00 9.186739195645811373e-02 1.390793341313555434e-02 -9.080851883527939206e-02
1.073786551519948729e+00 1.001632558073448642e-01 -7.516047102173949515e-03 -9.988086328163922611e-02
1.104466167277661670e+00 1.085674153808892234e-01 -2.974953358170323234e-02 -1.044119195023137936e-01
1.135145783035374389e+00 1.185240366538668905e-01 -5.241878120883257386e-02 -1.063024865245762868e-01
1.165825398793087331e+00 1.317024150016206652e-01 -7.719358603720868905e-02 -1.067083707680666210e-01
1.196505014550800050e+00 1.494285936969995399e-01 -1.067399244174018769e-01 -1.045729082967013224e-01
1.227184630308512991e+00 1.722122010581753904e-01 -1.428244811786295310e-01 -9.621959140090301232e-02
1.257864246066225711e+00 1.996927794580770077e-01 -1.845107536589476738e-01 -7.637400049689228865e-02
1.288543861823938652e+00 2.309663115856568638e-01 -2.274365620487752981e-01 -4.022495905425301638e-02
1.319223477581651371e+00 2.650446598452303459e-01 -2.646483523300214302e-01 1.448866182498258215e-02
1.349903093339364313e+00 3.012909503806219802e-01 -2.886122606046175876e-01 8.648236704641429351e-02
1.380582709097077032e+00 3.397878558024086670e-01 -2.932834430224095512e-01 1.715826593794358701e-01
