# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.123237528046830934e-02 -1.123237528046830934e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.144640854397499345e-02 -1.132554869647162642e-02 1.658980192598327914e-03
6.135923151542564680e-02 1.200288268364703252e-02 -1.142329324756021294e-02 3.684774633222370841e-03
9.203884727313846326e-02 1.269879248508116142e-02 -1.109707007435531238e-02 6.173683369270044352e-03
1.227184630308512936e-01 1.331638451752073515e-02 -9.949769189539119443e-03 8.850321445764778791e-03
1.533980787885641239e-01 1.369686659101964320e-02 -7.882705795128114659e-03 1.120120992391642097e-02
1.840776945462769265e-01 1.377608376981029337e-02 -5.183749920066585068e-03 1.276358965178057796e-02
2.147573103039897569e-01 1.360141437564061674e-02 -2.377150485532282965e-03 1.339207334907544650e-02
2.454369260617025872e-01 1.333567486320094871e-02 7.761094406738727779e-05 1.333544902125048844e-02
2.761165418194154175e-01 1.322960653124150530e-02 2.054331204990736577e-03 1.306913203972127555e-02
3.067961575771282479e-01 1.353077755700013256e-02 3.826459478053544170e-03 1.297844941277010410e-02
3.374757733348410782e-01 1.434434272973242677e-02 5.880319965663407047e-03 1.308365413213937768e-02
3.681553890925538530e-01 1.555778699195468906e-02 8.577537981355309177e-03 1.297962165340121009e-02
3.988350048502666834e-01 1.690343249443255341e-02 1.186495464586435379e-02 1.203947180508431816e-02
4.295146206079795137e-01 1.807901296545842348e-02 1.520907485029603795e-02 9.774188048288527317e-03
4.601942363656923440e-01 1.883399977249981816e-02 1.780362565222329968e-02 6.144140384628246979e-03
4.908738521234051744e-01 1.900973267076940670e-02 1.893859567547644812e-02 1.643024666565459169e-03
5.215534678811180047e-01 1.855093336614638960e-02 1.832406681034873946e-02 -2.892352724872809724e-03
5.522330836388308350e-01 1.749703319301507479e-02 1.619177274906564643e-02 -6.631188867773747490e-03
5.829126993965436654e-01 1.595171403846076461e-02 1.313568933261110953e-02 -9.050461122061842500e-03
6.135923151542564957e-01 1.402788149607275998e-02 9.815430115690736493e-03 -1.002191553106749483e-02
6.442719309119693261e-01 1.177641307839389501e-02 6.729160948075012250e-03 -9.664486428562511777e-03
6.749515466696821564e-01 9.133909127124917315e-03 4.208033162077033998e-03 -8.106833712950810289e-03
7.056311624273949867e-01 5.980621641349277706e-03 2.619377759152009474e-03 -5.376494710481460881e-03
7.363107781851077061e-01 3.023324814120876159e-03 2.593721723567464846e-03 -1.553415769320386523e-03
7.669903939428205364e-01 5.789669075056437519e-03 5.029599804792917253e-03 2.867646038529146624e-03
7.976700097005333667e-01 1.263297944411018517e-02 1.073960122735479090e-02 6.652302993152819227e-03
8.283496254582461971e-01 2.132980898083524507e-02 1.983583948934617910e-02 7.842207783004382163e-03
8.590292412159590274e-01 3.146937068285247247e-02 3.117811170439921398e-02 4.271608797956508684e-03
8.897088569736718577e-01 4.263380608077218387e-02 4.227203312114471978e-02 -5.542259172731951906e-03
9.203884727313846881e-01 5.428804978538606663e-02 4.983274298943578262e-02 -2.153810752246804183e-02
9.510680884890975184e-01 6.583172804229471542e-02 5.088295424930792260e-02 -4.177010155479024545e-02
9.817477042468103487e-01 7.670162298168385628e-02 4.391176851211175958e-02 -6.288796032757847099e-02
1.012427320004523068e+00 8.651184146518947626e-02 2.949065106221280402e-02 -8.133019250945423828e-02
1.043106935762236009e+00 9.522309385760706346e-02 9.940560114087554702e-03 -9.470281341350347826e-02
1.073786551519948729e+00 1.033137261379123151e-01 -1.189070538163264010e-02 -1.026271754167810968e-01
1.104466167277661670e+00 1.118779538980295973e-01 -3.417589962140546445e-02 -1.065302044186401259e-01
1.135145783035374389e+00 1.225154406192129342e-01 -5.715347074209008171e-02 -1.083674949985139330e-01
1.165825398793087331e+00 1.369044715524531663e-01 -8.301147997735305872e-02 -1.088665629246463040e-01
1.196505014550800050e+00 1.561960810864216898e-01 -1.145144017460476976e-01 -1.062246089166762192e-01
1.227184630308512991e+00 1.806285917640475525e-01 -1.529679017233836757e-01 -9.605992507288448057e-02
1.257864246066225711e+00 2.096096365255634142e-01 -1.965572756392609810e-01 -7.281096838835744711e-02
1.288543861823938652e+00 2.421203279286575361e-01 -2.399980282584368019e-01 -3.198749174823248276e-02
1.319223477581651371e+00 2.771887644098653403e-01 -2.757848850542244934e-01 2.786230950039884566e-02
1.349903093339364313e+00 3.143170493540862753e-01 -2.964223009287818567e-01 1.045419869083509118e-01
1.380582709097077032e+00 3.538351607575245250e-01 -2.963653044086669297e-01 1.933052697964063316e-01
1.411262324854789973e+00 3.971331244409203043e-01 -2.724336014717550492e-01 2.889544104479743192e-01
1.441941940612502693e+00 4.466634042187206943e-01 -2.222981974425275453e-01 3.874167111548743048e-01
1.472621556370215412e+00 5.055979671303065803e-01 -1.419410027811521535e-01 4.852649339235007298e-01
1.503301172127928353e+00 5.771426025828001460e-01 -2.407021402605573346e-02 5.766404499450137333e-01
1.533980787885641073e+00 6.637194633142884381e-01 1.403761639865647448e-01 6.487049086962608513e-01
1.564660403643354014e+00 7.663370045678622455e-01 3.566421378859414015e-01 6.782910806240849411e-01
1.595340019401066733e+00 8.843395826554473205e-01 6.176276947146975838e-01 6.329237933374119995e-01
1.626019635158779675e+00 1.015498927073389179e+00 8.958289768271187059e-01 4.782557006080347950e-01
1.656699250916492394e+00 1.156291450363456708e+00 1.140349460918347324e+00 1.913453034878592751e-01
1.687378866674205335e+00 1.302230987194354928e+00 1.282825606686100128e+00 -2.239732279528582615e-01
1.718058482431918055e+00 1.448197228089436628e+00 1.253250830521225989e+00 -7.256979862475743115e-01
1.748738098189630996e+00 1.588746521512674814e+00 1.002569181534427534e+00 -1.232465231094172609e+00
1.779417713947343715e+00 1.718406735514115047e+00 5.251460610730354084e-01 -1.636197825203222100e+00
1.810097329705056657e+00 1.831956832913311572e+00 -1.274515610508036578e-01 -1.827517971797673946e+00
1.840776945462769376e+00 1.924686776801107779e+00 -8.484072728359518534e-01 -1.727606520071077734e+00
1.871456561220482318e+00 1.992629430574485161e+00 -1.495757124149581285e+00 -1.316541937481434887e+00
1.902136176978195037e+00 2.032754426926013824e+00 -1.926763970251767599e+00 -6.478203170069247729e-01
1.932815792735907978e+00 2.043114330821697688e+00 -2.037019673495441996e+00 1.576927981916645127e-01
1.963495408493620697e+00 2.022935283408156426e+00 -1.791980871579593071e+00 9.386542050992366937e-01
