# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.976158883666180235e-07 -6.976158883666180235e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.508952925449930175e-07 -7.394592951878760525e-07 1.305514884115854973e-07
6.135923151542564680e-02 8.942817234887637803e-07 -8.196585041967181032e-07 3.576307277961898446e-07
9.203884727313846326e-02 1.093425555331477067e-06 -8.303847262784048994e-07 7.113653431363433377e-07
1.227184630308512936e-01 1.312633639760853367e-06 -6.688399710081237868e-07 1.129451267392125309e-06
1.533980787885641239e-01 1.518269984222973480e-06 -3.033718065579194094e-07 1.487652275223687165e-06
1.840776945462769265e-01 1.681142969976502570e-06 2.020514176207783415e-07 1.668956832916552680e-06
2.147573103039897569e-01 1.782076024091936225e-06 7.204854395168689676e-07 1.629937326122543576e-06
2.454369260617025872e-01 1.819631632924367783e-06 1.132893551609207899e-06 1.423942232066061080e-06
2.761165418194154175e-01 1.818125120746562209e-06 1.394860839748622870e-06 1.166165593912575054e-06
3.067961575771282479e-01 1.830551440279072289e-06 1.558295438826913525e-06 9.605383390781565840e-07
3.374757733348410782e-01 1.922791098715319893e-06 1.733439405626237612e-06 8.320537460531151852e-07
3.681553890925538530e-01 2.132450920058893952e-06 2.012119408107854681e-06 7.062028136277286501e-07
3.988350048502666834e-01 2.439076776245357604e-06 2.397152885409252629e-06 4.502816500741957278e-07
4.295146206079795137e-01 2.781017473154035372e-06 2.780652856334694049e-06 -4.503197248359152458e-08
4.601942363656923440e-01 3.089096649361649837e-06 2.986427068757774144e-06 -7.897920435711043211e-07
4.908738521234051744e-01 3.306381823752597284e-06 2.854694834531985462e-06 -1.668196081441851607e-06
5.215534678811180047e-01 3.395650832047111439e-06 2.322840693690863086e-06 -2.476864082850730136e-06
5.522330836388308350e-01 3.341515193550975933e-06 1.458689081364737889e-06 -3.006318338539569036e-06
5.829126993965436654e-01 3.149635917198985024e-06 4.313838538355060890e-07 -3.119954227478332915e-06
6.135923151542564957e-01 2.843999747982156128e-06 -5.578857107782797366e-07 -2.788744896944139658e-06
6.442719309119693261e-01 2.465850366431643886e-06 -1.340397995364411512e-06 -2.069722504021768070e-06
6.749515466696821564e-01 2.086713182599137774e-06 -1.801285416718684638e-06 -1.053443284638341648e-06
7.056311624273949867e-01 1.860095081623846579e-06 -1.851949854324617128e-06 1.738834372453398834e-07
7.363107781851077061e-01 2.056099884996680056e-06 -1.385844259215981402e-06 1.518875382077630394e-06
7.669903939428205364e-01 2.835697033760675342e-06 -2.680937250013752374e-07 2.822995469690657842e-06
7.976700097005333667e-01 4.128311985089506495e-06 1.607542477099163940e-06 3.802468544321641539e-06
8.283496254582461971e-01 5.837472313892828901e-06 4.206522846326528188e-06 4.047375514923004499e-06
8.590292412159590274e-01 7.888483544664456231e-06 7.246323142985886067e-06 3.117526830978211172e-06
8.897088569736718577e-01 1.019776703058088170e-05 1.017256531978387298e-05 7.164964931755274884e-07
9.203884727313846881e-01 1.266097770128628516e-05 1.226720252781751597e-05 -3.133065351054155376e-06
9.510680884890975184e-01 1.515987124609190688e-05 1.286914229156102417e-05 -8.012919123368191659e-06
9.817477042468103487e-01 1.758165070176894281e-05 1.161573481767449149e-05 -1.319807357323321407e-05
1.012427320004523068e+00 1.984780579978520580e-05 8.581408826742676954e-06 -1.789678232572241540e-05
1.043106935762236009e+00 2.194958530925170161e-05 4.224122508130408181e-06 -2.153929163840872656e-05
1.073786551519948729e+00 2.398339494831669343e-05 -8.573708437135789304e-07 -2.396806518022038062e-05
1.104466167277661670e+00 2.617047345280328055e-05 -6.246325998699873987e-06 -2.541411206912111127e-05
1.135145783035374389e+00 2.883510663327281670e-05 -1.194094395301213627e-05 -2.624647084968256944e-05
1.165825398793087331e+00 3.232303182685916372e-05 -1.835369196911957576e-05 -2.660677315239158837e-05
1.196505014550800050e+00 3.688561929045786026e-05 -2.604401137494194297e-05 -2.612007622390278704e-05
1.227184630308512991e+00 4.260087337973193804e-05 -3.529530207525674232e-05 -2.385531521762667028e-05
1.257864246066225711e+00 4.937963630864182041e-05 -4.574631135453307651e-05 -1.859095154713323920e-05
1.288543861823938652e+00 5.703837396023357322e-05 -5.627869832081815529e-05 -9.278158186935059256e-06
1.319223477581651371e+00 6.539386651306598719e-05 -6.523704500620304124e-05 4.526117142466843362e-06
1.349903093339364313e+00 7.435340335437965245e-05 -7.087243319379358912e-05 2.248392322461407894e-05
1.380582709097077032e+00 8.399020224414544932e-05 -7.175769216073330805e-05 4.364845574333518687e-05
1.411262324854789973e+00 9.459193921508786721e-05 -6.691586743917064253e-05 6.685732307933228995e-05
1.441941940612502693e+00 1.066613396737437771e-04 -5.556407575486540552e-05 9.104545494699516290e-05
1.472621556370215412e+00 1.208481852038366882e-04 -3.664002622282994608e-05 1.151598556157967053e-04
1.503301172127928353e+00 1.378142304988422815e-04 -8.509533784622604958e-06 1.375512630358456255e-04
1.533980787885641073e+00 1.580695166673342896e-04 3.070107645181952141e-05 1.550593950850583178e-04
1.564660403643354014e+00 1.818389314569502290e-04 8.192580477704737021e-05 1.623377944442962108e-04
1.595340019401066733e+00 2.089985797428286476e-04 1.433533260919842337e-04 1.520862591849925401e-04
1.626019635158779675e+00 2.390814533212043966e-04 2.086973724240080122e-04 1.166419652847727376e-04
1.656699250916492394e+00 2.713268970597897969e-04 2.665213101350370956e-04 5.083971195824323400e-05
1.687378866674205335e+00 3.047484145822663883e-04 3.014630483933350446e-04 -4.462764439002620692e-05
1.718058482431918055e+00 3.382054699914078849e-04 2.976212095185011021e-04 -1.606379643074872822e-04
1.748738098189630996e+00 3.704740709637874491e-04 2.434878882215731641e-04 -2.792215707030531904e-04
1.779417713947343715e+00 4.003148431517524397e-04 1.369797789920854005e-04 -3.761495896513667348e-04
1.810097329705056657e+00 4.265378795636666910e-04 -1.129456387998141661e-05 -4.263883154231950341e-04
1.840776945462769376e+00 4.480630410034338392e-04 -1.781293386079711044e-04 -4.111331018542919774e-04
1.871456561220482318e+00 4.639737471280024343e-04 -3.318258633742173901e-04 -3.242888132821648080e-04
1.902136176978195037e+00 4.735620173271336687e-04 -4.395990858659208091e-04 -1.761068651722335623e-04
1.932815792735907978e+00 4.763626327872867391e-04 -4.763016270313349954e-04 7.623516468039228598e-06
1.963495408493620697e+00 4.721747185339933818e-04 -4.317884536111942406e-04 1.910698724307667183e-04
1.994175024251333417e+00 4.610696882107017920e-04 -3.144594331640569837e-04 3.371950804517375431e-04
2.024854640009046136e+00 4.433852617045500911e-04 -1.496294017843902092e-04 4.173745708814301063e-04
2.055534255766759077e+00 4.197060742428421762e-04 2.697081205241980844e-05 4.188385894990708587e-04
2.086213871524472019e+00 3.908321742903542585e-04 1.786458402747467637e-04 3.476139413387436422e-04
2.116893487282184960e+00 3.577373970723034843e-04 2.772383291676186901e-04 2.260861652211696078e-04
2.147573103039897457e+00 3.215201540120000371e-04 3.097889466138193087e-04 8.605822442858328356e-05
2.178252718797610399e+00 2.833495630385284665e-04 2.804570067305435467e-04 -4.038368791812957457e-05
2.208932334555323340e+00 2.444100436015968062e-04 2.074199920655866091e-04 -1.292796051388092268e-04
2.239611950313036282e+00 2.058475146752150131e-04 1.161109155305345067e-04 -1.699748645906915847e-04
2.270291566070748779e+00 1.687201896786601186e-04 3.123474341029503328e-05 -1.658037792370730995e-04
2.300971181828461720e+00 1.339567274886345894e-04 -2.982403557487388549e-05 -1.305945318207962671e-04
2.331650797586174662e+00 1.023243497189995732e-04 -6.032889550566157707e-05 -8.264803030008092456e-05
2.362330413343887603e+00 7.441001250329860883e-05 -6.368970715135143868e-05 -3.847689129485578702e-05
2.393010029101600100e+00 5.062093129074481801e-05 -4.992588610852205522e-05 -8.359699816452267261e-06
2.423689644859313042e+00 3.122736853337214509e-05 -3.079875957885056794e-05 5.156059922382717176e-06
2.454369260617025983e+00 1.657437543856472208e-05 -1.550136861930582476e-05 5.866642319666175918e-06
2.485048876374738480e+00 8.303990257689345216e-06 -8.274108709301743889e-06 7.038318452986945676e-07
2.515728492132451422e+00 9.189147109550182979e-06 -8.378630276323933193e-06 -3.773457207074489184e-06
2.546408107890164363e+00 1.252603838824724376e-05 -1.192091699959984927e-05 -3.846215749603096747e-06
2.577087723647877304e+00 1.443958031511442362e-05 -1.442586019216696527e-05 6.293150186452451418e-07
2.607767339405589802e+00 1.481802292447006431e-05 -1.300072488553536151e-05 7.110200829845939068e-06
2.638446955163302743e+00 1.419656374405127550e-05 -7.322926815503391027e-06 1.216212008630454922e-05
2.669126570921015684e+00 1.325070626581930469e-05 6.877554801839733070e-07 1.323284583687499562e-05
2.699806186678728626e+00 1.261444240146199787e-05 8.091665302570240036e-06 9.677247011985546372e-06
2.730485802436441123e+00 1.265209890818030644e-05 1.234603789276301221e-05 2.766035996301774114e-06
2.761165418194154064e+00 1.330249981788438433e-05 1.228161924187603799e-05 -5.110609572486865463e-06
2.791845033951867006e+00 1.422853538872907456e-05 8.324131035505502151e-06 -1.153950006768273030e-05
2.822524649709579947e+00 1.509508033867640932e-05 2.034182399061423165e-06 -1.495739122970459037e-05
2.853204265467292444e+00 1.570394091856925706e-05 -4.684775208317237007e-06 -1.498888393515174472e-05
2.883883881225005386e+00 1.599678539415798101e-05 -1.029724361081259161e-05 -1.224189188672753275e-05
2.914563496982718327e+00 1.601291538566746857e-05 -1.398758395355785192e-05 -7.794931320461834348e-06
2.945243112740430824e+00 1.583889575607113419e-05 -1.560859038421069669e-05 -2.691193971012413696e-06
2.975922728498143766e+00 1.556021045681643339e-05 -1.538448537225659479e-05 2.331900360487631890e-06
3.006602344255856707e+00 1.522332604627999801e-05 -1.360608462991648466e-05 6.828185480411131967e-06
3.037281960013569648e+00 1.481885972706719749e-05 -1.049719897538787612e-05 1.045980005935150819e-05
3.067961575771282146e+00 1.429106980767593199e-05 -6.288547716679758227e-06 1.283311512700281250e-05
3.098641191528995087e+00 1.356702127450332367e-05 -1.396807449368557730e-06 1.349492479461128007e-05
3.129320807286708028e+00 1.259201812674361170e-05 3.454694296545096823e-06 1.210884006920805288e-05
3.160000423044420970e+00 1.136231598547839606e-05 7.296940085608516942e-06 8.709586094694595992e-06
3.190680038802133467e+00 9.956756933284230859e-06 9.171243139189609448e-06 3.876249206432828148e-06
3.221359654559846408e+00 8.577698380247603506e-06 8.478592230637203826e-06 -1.300147410519590213e-06
3.252039270317559350e+00 7.595300658664495225e-06 5.261257560053120957e-06 -5.477934006748638639e-06
3.282718886075272291e+00 7.470775290417370878e-06 2.793208240747371187e-07 -7.465551775799894099e-06
3.313398501832984788e+00 8.385004155036580083e-06 -5.165134045611911469e-06 -6.605277054813177124e-06
3.344078117590697730e+00 1.005020320453004115e-05 -9.594812159091584356e-06 -2.991013888983836619e-06
3.374757733348410671e+00 1.205268077704454193e-05 -1.177852668737610539e-05 2.556056139467183778e-06
3.405437349106123612e+00 1.409102540240154940e-05 -1.105955721385344294e-05 8.731734714512805721e-06
3.436116964863836110e+00 1.597899382207275469e-05 -7.493542468010452192e-06 1.411293962454183572e-05
3.466796580621549051e+00 1.760485224792690634e-05 -1.778810939137905431e-06 1.751475533126684446e-05
3.497476196379261992e+00 1.890356300713605796e-05 4.966454275630298447e-06 1.823949084521923601e-05
3.528155812136974490e+00 1.983991862684982138e-05 1.149095249734020879e-05 1.617344681333862292e-05
3.558835427894687431e+00 2.039743528488503871e-05 1.667814557850408750e-05 1.174286277971848852e-05
3.589515043652400372e+00 2.057103450155237535e-05 1.974450844176716964e-05 5.772507848157775015e-06
3.620194659410113314e+00 2.036335674898021527e-05 2.035111930830094573e-05 -7.058618742633416606e-07
3.650874275167825811e+00 1.978507953600113162e-05 1.863035216831587096e-05 -6.660281550386503448e-06
3.681553890925538752e+00 1.885954569018872821e-05 1.513190014734993951e-05 -1.125646754408091339e-05
3.712233506683251694e+00 1.763191116081892537e-05 1.069017445321044885e-05 -1.402157128651913036e-05
3.742913122440964635e+00 1.618323985401184603e-05 6.222585130327055084e-06 -1.493909925224107836e-05
3.773592738198677132e+00 1.465006350371847705e-05 2.490650684133651183e-06 -1.443679395962305308e-05
3.804272353956390074e+00 1.324648571246256806e-05 -1.156848678969723560e-07 -1.324598055040904308e-05
3.834951969714103015e+00 1.226832915995095915e-05 -1.694734120895678207e-06 -1.215071095188981150e-05
3.865631585471815956e+00 1.202283847341248770e-05 -2.789984327069147084e-06 -1.169464118357104739e-05
3.896311201229528454e+00 1.265708816424980713e-05 -4.175688141395367627e-06 -1.194845217354124990e-05
3.926990816987241395e+00 1.404668666234267207e-05 -6.527610501002263121e-06 -1.243783370757305690e-05
3.957670432744954336e+00 1.589849163750854541e-05 -1.009308801196303305e-05 -1.228379463890117302e-05
3.988350048502666834e+00 1.791245416755281637e-05 -1.449236391866973807e-05 -1.052745944440156334e-05
4.019029664260379775e+00 1.985215488804734671e-05 -1.874664563315765406e-05 -6.532329691911845725e-06
4.049709280018092272e+00 2.154933165180458412e-05 -2.154704685627824550e-05 -3.137935831348445020e-07
4.080388895775805658e+00 2.289201789713658954e-05 -2.168369926621512784e-05 7.339050996904392612e-06
4.111068511533518155e+00 2.381368936711398144e-05 -1.848553069251020038e-05 1.501255995124285381e-05
4.141748127291231540e+00 2.428525045136117671e-05 -1.210889186557607456e-05 2.105108375531111983e-05
4.172427743048944038e+00 2.430855429882497758e-05 -3.564438803524029174e-06 2.404580188130257771e-05
4.203107358806656535e+00 2.391038097858250291e-05 5.533361866004120588e-06 2.326130316643526419e-05
4.233786974564369920e+00 2.313642695348579705e-05 1.340914557336359663e-05 1.885441770955357757e-05
4.264466590322082418e+00 2.204531147674646069e-05 1.861059071139128690e-05 1.181700772107074340e-05
4.295146206079794915e+00 2.070285329133891280e-05 2.037429652751707773e-05 3.673714116736355428e-06
4.325825821837508300e+00 1.917696341072487850e-05 1.876526299887835915e-05 -3.952319602361068125e-06
4.356505437595220798e+00 1.753347984971550058e-05 1.456733713369666954e-05 -9.757848352664723552e-06
4.387185053352934183e+00 1.583317167226754978e-05 8.987284169202324806e-06 -1.303526173367841446e-05
