# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.154899146455991046e-07 -7.154899146455991046e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.687672817458037796e-07 -7.571646503583143308e-07 1.330594819267068763e-07
6.135923151542564680e-02 9.120515008702816254e-07 -8.369006757480511088e-07 3.625399276937491162e-07
9.203884727313846326e-02 1.110694236573689131e-06 -8.469768009886038275e-07 7.185206926353068713e-07
1.227184630308512936e-01 1.328744933077949186e-06 -6.847139738529247569e-07 1.138740475784917236e-06
1.533980787885641239e-01 1.532556043098093667e-06 -3.185273967804895207e-07 1.499089164371729564e-06
1.840776945462769265e-01 1.693150291088291049e-06 1.876435640887281464e-07 1.682720357358418862e-06
2.147573103039897569e-01 1.791730664889904240e-06 7.069903202945869443e-07 1.646348524012025606e-06
2.454369260617025872e-01 1.827378813311405712e-06 1.120691264261174554e-06 1.443386440821754268e-06
2.761165418194154175e-01 1.825031198468535199e-06 1.384574894849229338e-06 1.188987483507182983e-06
3.067961575771282479e-01 1.838190146800191256e-06 1.550768599720076641e-06 9.869446620330550827e-07
3.374757733348410782e-01 1.932593308458079446e-06 1.729677819605508322e-06 8.620507735984464771e-07
3.681553890925538530e-01 2.144784985663879274e-06 2.013238988156671477e-06 7.395751559477297691e-07
3.988350048502666834e-01 2.453104470572317059e-06 2.404360357850853373e-06 4.865930672925829410e-07
4.295146206079795137e-01 2.795282578268041732e-06 2.795275117398423118e-06 -6.458360632757501008e-09
4.601942363656923440e-01 3.101992553701724970e-06 3.009968060037214978e-06 -7.499667197794552769e-07
4.908738521234051744e-01 3.316331068140161037e-06 2.888856654880091036e-06 -1.628667854741006269e-06
5.215534678811180047e-01 3.401154789733982365e-06 2.369410803396099751e-06 -2.440029989258381239e-06
5.522330836388308350e-01 3.341119863470249216e-06 1.519190846073268600e-06 -2.975758914173431892e-06
5.829126993965436654e-01 3.141719813133171904e-06 5.064353750335308898e-07 -3.100633257118322722e-06
6.135923151542564957e-01 2.826124791627109914e-06 -4.694515679899081138e-07 -2.786861418004345667e-06
6.442719309119693261e-01 2.433157708377826837e-06 -1.242451280628582564e-06 -2.092025632993733823e-06
6.749515466696821564e-01 2.028935629322757810e-06 -1.701017834904377288e-06 -1.105946704535331263e-06
7.056311624273949867e-01 1.761988716573862881e-06 -1.759808256179191679e-06 8.763069563321605415e-08
7.363107781851077061e-01 1.920063006094367412e-06 -1.314492059576402497e-06 1.399554419335927600e-06
7.669903939428205364e-01 2.686629931581582223e-06 -2.303774883061547075e-07 2.676734316691106146e-06
7.976700097005333667e-01 3.977492600970437897e-06 1.601274394883117499e-06 3.640929510862066354e-06
8.283496254582461971e-01 5.686405063831228729e-06 4.151057146223285646e-06 3.886377119986431993e-06
8.590292412159590274e-01 7.737799918686387825e-06 7.143318624349580319e-06 2.974314477765172663e-06
8.897088569736718577e-01 1.004898016378923310e-05 1.003067357509776276e-05 6.062919775693481605e-07
9.203884727313846881e-01 1.251634594095863051e-05 1.210030813941029851e-05 -3.200227905176825097e-06
9.510680884890975184e-01 1.502198755026811585e-05 1.269309886322653671e-05 -8.034012148905895904e-06
9.817477042468103487e-01 1.745300646355627688e-05 1.144456803680244954e-05 -1.317684700783677341e-05
1.012427320004523068e+00 1.973032784434930665e-05 8.424252239172807461e-06 -1.784146325434933088e-05
1.043106935762236009e+00 2.184412116347084402e-05 4.083982843994885839e-06 -2.145895415751546646e-05
1.073786551519948729e+00 2.388916924054541397e-05 -9.825374246892465199e-07 -2.386895530207608425e-05
1.104466167277661670e+00 2.608466847078910487e-05 -6.360594679212723432e-06 -2.529728769172201295e-05
1.135145783035374389e+00 2.875290765365714780e-05 -1.204657438296002420e-05 -2.610765681127946334e-05
1.165825398793087331e+00 3.223847069389926783e-05 -1.844789524028411741e-05 -2.643849757238305232e-05
1.196505014550800050e+00 3.679302760822567427e-05 -2.611752127005088773e-05 -2.591528435668989254e-05
1.227184630308512991e+00 4.249612449975711663e-05 -3.533320517688352829e-05 -2.361112469636098913e-05
1.257864246066225711e+00 4.926051066251726303e-05 -4.573068714110386802e-05 -1.831125785778940616e-05
1.288543861823938652e+00 5.690409653817309489e-05 -5.619195899602912433e-05 -8.974405106429322559e-06
1.319223477581651371e+00 6.524421823078699844e-05 -6.506476015191272797e-05 4.835803854647990516e-06
1.349903093339364313e+00 7.418771913274497046e-05 -7.060493753399344960e-05 2.277631370393239205e-05
1.380582709097077032e+00 8.380644569565001364e-05 -7.139066247827210207e-05 4.389639678893208878e-05
1.411262324854789973e+00 9.438605133603675409e-05 -6.645086006540785193e-05 6.702991782313738199e-05
1.441941940612502693e+00 1.064271170346673740e-04 -5.501027089297816450e-05 9.110763599496995253e-05
1.472621556370215412e+00 1.205778907254766879e-04 -3.601787911888928908e-05 1.150727600936993109e-04
1.503301172127928353e+00 1.374998766543018239e-04 -7.855803229058034451e-06 1.372752797686988381e-04
1.533980787885641073e+00 1.577044199339872619e-04 3.132888275628520672e-05 1.545612667260408304e-04
