# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.713389388229991732e-07 -5.713389388229991732e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.202765692273181670e-07 -5.983822337773299600e-07 1.633454150934907664e-07
6.135923151542564680e-02 7.577266793066238818e-07 -6.394777424590386211e-07 4.064700941428960295e-07
9.203884727313846326e-02 9.600595144105026787e-07 -6.005419948743105679e-07 7.490417769407214346e-07
1.227184630308512936e-01 1.195526597531345729e-06 -3.954638723920619967e-07 1.128225230633294658e-06
1.533980787885641239e-01 1.428696912193069722e-06 -5.717803714524312779e-09 1.428685470504510395e-06
1.840776945462769265e-01 1.626166518266161341e-06 4.998960908437042937e-07 1.547424131739282705e-06
2.147573103039897569e-01 1.764027848535913487e-06 9.989228083674600672e-07 1.453942046071132151e-06
2.454369260617025872e-01 1.836443203152322806e-06 1.383156791559998057e-06 1.208056674318640968e-06
2.761165418194154175e-01 1.864156829863130037e-06 1.619802748987232942e-06 9.226698980126960082e-07
3.067961575771282479e-01 1.898252958205892247e-06 1.767518846757982028e-06 6.922726483783344803e-07
3.374757733348410782e-01 2.006302359407671392e-06 1.935050492566681867e-06 5.299327774182593600e-07
3.681553890925538530e-01 2.232633735188695751e-06 2.204655448455273858e-06 3.523460644013251811e-07
3.988350048502666834e-01 2.565047872072595825e-06 2.564922222770283856e-06 2.538852424422075834e-08
4.295146206079795137e-01 2.946460252303389728e-06 2.894109985681958155e-06 -5.529515432474441820e-07
4.601942363656923440e-01 3.307992145256750631e-06 3.007147262872508415e-06 -1.378360392814135996e-06
4.908738521234051744e-01 3.590744258227878139e-06 2.742990923307586502e-06 -2.317206318532872099e-06
5.215534678811180047e-01 3.754888919070369775e-06 2.045685370454084023e-06 -3.148708014355664137e-06
5.522330836388308350e-01 3.782904463334921925e-06 9.963155868142844231e-07 -3.649345342686847465e-06
5.829126993965436654e-01 3.679960092668992122e-06 -2.179037445438737555e-07 -3.673502993295382216e-06
6.135923151542564957e-01 3.472728615008725657e-06 -1.374384745108554005e-06 -3.189186511622253466e-06
6.442719309119693261e-01 3.209377167232019268e-06 -2.280976743180091352e-06 -2.257708328952561111e-06
6.749515466696821564e-01 2.966882715356855408e-06 -2.799360511826388473e-06 -9.828396468958541971e-07
7.056311624273949867e-01 2.869675011966439936e-06 -2.821121028258373870e-06 5.256527544139804010e-07
7.363107781851077061e-01 3.090574138909132845e-06 -2.228899559340414225e-06 2.140947281570948488e-06
7.669903939428205364e-01 3.771966920237796788e-06 -8.917580412352442636e-07 3.665037795611457887e-06
7.976700097005333667e-01 4.943277322409071456e-06 1.274208267852587405e-06 4.776231147712588191e-06
8.283496254582461971e-01 6.555674205368915988e-06 4.194676521768815917e-06 5.038010834115071121e-06
8.590292412159590274e-01 8.534056165429659447e-06 7.536615515567453240e-06 4.003690947765061943e-06
8.897088569736718577e-01 1.078628333889275312e-05 1.069574159956642592e-05 1.394639703356961159e-06
9.203884727313846881e-01 1.320197764532947812e-05 1.291723141512080712e-05 -2.727149852134169705e-06
9.510680884890975184e-01 1.565971940664813485e-05 1.352566088402923104e-05 -7.891977543378700337e-06
9.817477042468103487e-01 1.804509527704823170e-05 1.216909498767481316e-05 -1.332436080037973415e-05
1.012427320004523068e+00 2.027836729222521001e-05 8.952692867279885437e-06 -1.819509468132949936e-05
1.043106935762236009e+00 2.234909836615692411e-05 4.374709236310660197e-06 -2.191675425052478754e-05
1.073786551519948729e+00 2.435111348694365960e-05 -9.277148021962846810e-07 -2.433343529590089287e-05
1.104466167277661670e+00 2.650247461716577417e-05 -6.509335492746092116e-06 -2.569065418155777719e-05
1.135145783035374389e+00 2.912510733246178622e-05 -1.235173084181438174e-05 -2.637625110471142876e-05
1.165825398793087331e+00 3.256523266729138225e-05 -1.885924284712489320e-05 -2.654850914661668990e-05
1.196505014550800050e+00 3.707828726470065373e-05 -2.658615273581217654e-05 -2.584522913792271749e-05
1.227184630308512991e+00 4.274822047970420070e-05 -3.580981383579285340e-05 -2.334668257434577252e-05
1.257864246066225711e+00 4.949123668869166069e-05 -4.616205055066918326e-05 -1.784510010993388168e-05
1.288543861823938652e+00 5.712743011632683612e-05 -5.651984921854153539e-05 -8.309627910390199966e-06
1.319223477581651371e+00 6.547556940370851558e-05 -6.522852221057081267e-05 5.682436006231881587e-06
