# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.061560430445441061e-07 -5.061560430445441061e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.729045592902439612e-07 -5.684494122107265731e-07 7.130848345623462746e-08
6.135923151542564680e-02 7.480895815988794908e-07 -6.985584077126542091e-07 2.676829712752528882e-07
9.203884727313846326e-02 9.888603247456509775e-07 -7.604138602033201383e-07 6.321514874353773174e-07
1.227184630308512936e-01 1.256552458202595757e-06 -6.212865556948299381e-07 1.092212019677425375e-06
1.533980787885641239e-01 1.513295747598429316e-06 -2.342242610274412873e-07 1.495059535686000075e-06
1.840776945462769265e-01 1.723013980178064278e-06 3.284919045264189827e-07 1.691410726154253768e-06
2.147573103039897569e-01 1.857854741771090801e-06 9.112701502748515983e-07 1.619015427579174060e-06
2.454369260617025872e-01 1.907024459047804648e-06 1.360299437949941833e-06 1.336535718385275484e-06
2.761165418194154175e-01 1.887016486633347264e-06 1.608332746725107119e-06 9.869635234585590335e-07
3.067961575771282479e-01 1.850914657387440759e-06 1.708964731720593938e-06 7.108618815683017689e-07
3.374757733348410782e-01 1.883890441041191240e-06 1.798838810951633897e-06 5.596625108585400713e-07
3.681553890925538530e-01 2.060081546167758427e-06 2.007967826687589214e-06 4.604358629043381508e-07
3.988350048502666834e-01 2.382820062242697821e-06 2.369152546115045848e-06 2.548483122621947080e-07
4.295146206079795137e-01 2.787031719563747997e-06 2.779307823001294175e-06 -2.073495378781204082e-07
4.601942363656923440e-01 3.188574256168032335e-06 3.036926863189525554e-06 -9.716383147732248346e-07
4.908738521234051744e-01 3.516011942679148688e-06 2.937154645850547421e-06 -1.932734479286005721e-06
5.215534678811180047e-01 3.720491233910067085e-06 2.373660941105896390e-06 -2.864923866051229667e-06
5.522330836388308350e-01 3.778018267795518903e-06 1.393469423217387004e-06 -3.511647049228446339e-06
5.829126993965436654e-01 3.689394310396058308e-06 1.788399776337681048e-07 -3.685057209865642875e-06
6.135923151542564957e-01 3.478748543096250313e-06 -1.027426538073584317e-06 -3.323565274664605195e-06
6.442719309119693261e-01 3.192428855056550337e-06 -2.005738349888515333e-06 -2.483669798178528247e-06
6.749515466696821564e-01 2.903542691030698789e-06 -2.604073562523021459e-06 -1.284274518787339811e-06
7.056311624273949867e-01 2.728773853108697141e-06 -2.724701035810249253e-06 1.490335762982361782e-07
7.363107781851077061e-01 2.839092788711189346e-06 -2.277624064399582348e-06 1.694956189457357635e-06
7.669903939428205364e-01 3.394121239452485744e-06 -1.152447376463693242e-06 3.192479292428445977e-06
7.976700097005333667e-01 4.440693035025326219e-06 7.474495523413998080e-07 4.377336381639762445e-06
8.283496254582461971e-01 5.935769617989371957e-06 3.406327524670532246e-06 4.861100055801938415e-06
8.590292412159590274e-01 7.809690676503214238e-06 6.583115980296409510e-06 4.201648777876047158e-06
8.897088569736718577e-01 9.978436309574075243e-06 9.762983999611182166e-06 2.062361415359192206e-06
9.203884727313846881e-01 1.233928896620196459e-05 1.223446745964193847e-05 -1.604948027319273742e-06
9.510680884890975184e-01 1.477478566120040540e-05 1.329094186179741313e-05 -6.453305800962339944e-06
9.817477042468103487e-01 1.716811830563133920e-05 1.247943356538937258e-05 -1.179016641287081247e-05
1.012427320004523068e+00 1.942851749577560947e-05 9.774589704425539510e-06 -1.679061309761490292e-05
1.043106935762236009e+00 2.152425974971527983e-05 5.573925271670455365e-06 -2.079002440688915401e-05
1.073786551519948729e+00 2.351809177568288273e-05 4.923881106635958959e-07 -2.351293675230552407e-05
1.104466167277661670e+00 2.559261508070869812e-05 -4.957552881024319422e-06 -2.510785964795019440e-05
1.135145783035374389e+00 2.804278584547850039e-05 -1.063802839037174445e-05 -2.594667974791792497e-05
1.165825398793087331e+00 3.121265974633824784e-05 -1.685213226020641569e-05 -2.627233843275459421e-05
1.196505014550800050e+00 3.538620478706470973e-05 -2.414004497797485880e-05 -2.587357180007105178e-05
