# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.060178359808025376e-02 -1.060178359808025376e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.086901252490095511e-02 -1.077740845252680296e-02 1.408154932476420951e-03
6.135923151542564680e-02 1.156030376657802596e-02 -1.108227986931557482e-02 3.289938612454772725e-03
9.203884727313846326e-02 1.242181216170074737e-02 -1.098703787748097314e-02 5.795378853826120384e-03
1.227184630308512936e-01 1.319139153638529925e-02 -9.983128297815228175e-03 8.622642289668433144e-03
1.533980787885641239e-01 1.367971553466896216e-02 -7.905591177924005397e-03 1.116406042786375827e-02
1.840776945462769265e-01 1.380061134179446855e-02 -5.055398900693466001e-03 1.284133230479351032e-02
2.147573103039897569e-01 1.358499285227284664e-02 -2.044584022746686377e-03 1.343025342166830755e-02
2.454369260617025872e-01 1.319014059319893045e-02 5.471222628020649785e-04 1.317878849128024249e-02
2.761165418194154175e-01 1.288793041093635322e-02 2.500632331023201933e-03 1.264300550589848859e-02
3.067961575771282479e-01 1.298798212771190910e-02 4.072099082888987372e-03 1.233311350831162168e-02
3.374757733348410782e-01 1.367696807921526918e-02 5.818301055209359335e-03 1.237767460675966678e-02
3.681553890925538530e-01 1.488848057003934293e-02 8.227799868871347316e-03 1.240847142085759261e-02
3.988350048502666834e-01 1.634559369650933139e-02 1.137023372853558645e-02 1.174292204904032154e-02
4.295146206079795137e-01 1.770789828770289245e-02 1.477015284303072502e-02 9.767919264671593577e-03
4.601942363656923440e-01 1.868240534280574475e-02 1.758443346576046146e-02 6.310306575844002591e-03
4.908738521234051744e-01 1.907151913532501714e-02 1.898772928341661143e-02 1.785771202800522268e-03
5.215534678811180047e-01 1.878567012270868433e-02 1.855208505364486574e-02 -2.953225714630777592e-03
5.522330836388308350e-01 1.783634830972255850e-02 1.641587290531954652e-02 -6.975273312361197388e-03
5.829126993965436654e-01 1.631028159619991175e-02 1.316862282322512137e-02 -9.623547094859146236e-03
6.135923151542564957e-01 1.432153799602204139e-02 9.551937730930196505e-03 -1.067084514721936689e-02
6.442719309119693261e-01 1.194521319184355806e-02 6.184013443241928761e-03 -1.021988727591437163e-02
6.749515466696821564e-01 9.156277856311468774e-03 3.485828476419943270e-03 -8.466783569630178391e-03
7.056311624273949867e-01 5.838228289040739254e-03 1.834640557507210548e-03 -5.542472695440654393e-03
7.363107781851077061e-01 2.398012920145669875e-03 1.789831789615415562e-03 -1.595922344623208712e-03
7.669903939428205364e-01 5.059319661843875333e-03 4.148926171559862500e-03 2.895363027957917421e-03
7.976700097005333667e-01 1.182204045857005760e-02 9.670442004342031522e-03 6.800234705120448628e-03
8.283496254582461971e-01 2.028833947971512425e-02 1.851691296128163064e-02 8.290998325201120317e-03
8.590292412159590274e-01 3.016676919580011176e-02 2.970265992976760250e-02 5.271238640893884976e-03
8.897088569736718577e-01 4.110079796639196092e-02 4.092450173809900060e-02 -3.802729409582215718e-03
9.203884727313846881e-01 5.259735167790754312e-02 4.902060530490478379e-02 -1.906467044221390322e-02
9.510680884890975184e-01 6.408163230548352685e-02 5.098243746692076445e-02 -3.882327483439160232e-02
9.817477042468103487e-01 7.499582141459626428e-02 4.509996602842660657e-02 -5.991966533522014027e-02
1.012427320004523068e+00 8.493325742065149786e-02 3.165624324698091546e-02 -7.881332678913274825e-02
1.043106935762236009e+00 9.380133468986055767e-02 1.273481398687371056e-02 -9.293285157746405956e-02
1.073786551519948729e+00 1.019899262916690030e-01 -8.871579792352818003e-03 -1.016033470756155382e-01
1.104466167277661670e+00 1.104806973709734075e-01 -3.116204464405918778e-02 -1.059948652774193173e-01
1.135145783035374389e+00 1.207742259529005213e-01 -5.405040792447667747e-02 -1.080044770262785919e-01
1.165825398793087331e+00 1.345206823560905485e-01 -7.942558352036216407e-02 -1.085697502253651914e-01
1.196505014550800050e+00 1.529443796820097179e-01 -1.099690510798804061e-01 -1.062957716981508260e-01
1.227184630308512991e+00 1.764216191030967273e-01 -1.472205697745049002e-01 -9.721466721759776386e-02
1.257864246066225711e+00 2.044928129066188871e-01 -1.898606410680423739e-01 -7.596214520202422549e-02
1.288543861823938652e+00 2.362205775660266849e-01 -2.331612101130503545e-01 -3.789474058817674657e-02
1.319223477581651371e+00 2.706489244670030048e-01 -2.699878674114870036e-01 1.890480800597620081e-02
1.349903093339364313e+00 3.072282841392295349e-01 -2.928734334957401320e-01 9.281363330648931265e-02
1.380582709097077032e+00 3.461704597457946342e-01 -2.959939309742988800e-01 1.795037047723438417e-01
1.411262324854789973e+00 3.886905328652343061e-01 -2.758100238086736433e-01 2.738780040560370721e-01
1.441941940612502693e+00 4.370388353789094182e-01 -2.298509979732735187e-01 3.717142213583490284e-01
1.472621556370215412e+00 4.942111483465262967e-01 -1.543444551192922620e-01 4.694916914322563861e-01
1.503301172127928353e+00 5.633227707465165990e-01 -4.250354051844162234e-02 5.617170044470165546e-01
1.533980787885641073e+00 6.468245305432357428e-01 1.144306812195661077e-01 6.366220169834713172e-01
1.564660403643354014e+00 7.458609070777739714e-01 3.222344135370269758e-01 6.726614865140773114e-01
1.595340019401066733e+00 8.599772785964708843e-01 5.756588424588979791e-01 6.388879532445997933e-01
1.626019635158779675e+00 9.871680543632067595e-01 8.503516005065588912e-01 5.014009603811830917e-01
1.656699250916492394e+00 1.124125970440504441e+00 1.099141192413565449e+00 2.356858853611969729e-01
1.687378866674205335e+00 1.266561306203475290e+00 1.256615086686366345e+00 -1.584173799937045601e-01
1.718058482431918055e+00 1.409524426590904822e+00 1.253389270181164195e+00 -6.448057432678057088e-01
1.748738098189630996e+00 1.547713215491205885e+00 1.037565542336992497e+00 -1.148422371238504880e+00
1.779417713947343715e+00 1.675765020938170480e+00 5.970821371989033510e-01 -1.565784572295275012e+00
1.810097329705056657e+00 1.788533523084095300e+00 -2.530823453496485603e-02 -1.788354454927861825e+00
1.840776945462769376e+00 1.881346578971939243e+00 -7.316546023230227069e-01 -1.733247383701749023e+00
1.871456561220482318e+00 1.950237238256305794e+00 -1.386102303934104940e+00 -1.371913149040473678e+00
1.902136176978195037e+00 1.992138308130162905e+00 -1.846942099017332195e+00 -7.466055997627923935e-01
1.932815792735907978e+00 2.005031013679619001e+00 -2.004766139188822738e+00 3.258976801179439692e-02
1.963495408493620697e+00 1.988039978666771512e+00 -1.814919679591129320e+00 8.113997248028926856e-01
1.994175024251333417e+00 1.941469450886917469e+00 -1.313300309145450262e+00 1.429876192796289969e+00
2.024854640009046136e+00 1.866778991563461609e+00 -6.094379390357316240e-01 1.764496869310505422e+00
2.055534255766759077e+00 1.766500379344149163e+00 1.418858424575661081e-01 1.760793002579556399e+00
2.086213871524472019e+00 1.644100937005536611e+00 7.820463818845069248e-01 1.446192016173452499e+00
2.116893487282184960e+00 1.503801608998981409e+00 1.190187687709413744e+00 9.191694877729810198e-01
2.147573103039897457e+00 1.350360683266033979e+00 1.312238196219100539e+00 3.185983228053030913e-01
2.178252718797610399e+00 1.188835895790254504e+00 1.168965604110219658e+00 -2.164490783686681408e-01
2.208932334555323340e+00 1.024338672946516038e+00 8.418918908232250198e-01 -5.835132912453019349e-01
2.239611950313036282e+00 8.617944090176825611e-01 4.431767172751091555e-01 -7.391102763995334168e-01
2.270291566070748779e+00 7.057219663467197979e-01 8.035653799227381044e-02 -7.011321705542948868e-01
2.300971181828461720e+00 5.600441269421021495e-01 -1.724718768367950461e-01 -5.328253708512150633e-01
2.331650797586174662e+00 4.279387524557592415e-01 -2.887859397441991938e-01 -3.158073096992077833e-01
2.362330413343887603e+00 3.117385056645998742e-01 -2.867288451860176002e-01 -1.223415924871444072e-01
2.393010029101600100e+00 2.128871054233335280e-01 -2.128491495517572663e-01 4.019849576686082386e-03
2.423689644859313042e+00 1.319717583497160840e-01 -1.201930876577608359e-01 5.449923560206762496e-02
2.454369260617025983e+00 6.894676107038365254e-02 -4.919453043107011730e-02 4.830687360783233325e-02
2.485048876374738480e+00 2.496345636332763379e-02 -1.740406675547218063e-02 1.789616199007013422e-02
2.515728492132451422e+00 2.101614263678035568e-02 -1.986170194347997020e-02 -6.869574021572313199e-03
2.546408107890164363e+00 3.891298712980911095e-02 -3.769849580921447868e-02 -9.645930804610210532e-03
2.577087723647877304e+00 5.082673716277377740e-02 -4.995322637612780586e-02 9.382557499371833518e-03
2.607767339405589802e+00 5.753739556113703774e-02 -4.335889936456988059e-02 3.782271452251746713e-02
2.638446955163302743e+00 6.171524703991123489e-02 -1.669563471726104656e-02 5.941403452539693875e-02
2.669126570921015684e+00 6.557544815544687211e-02 2.085656899716601190e-02 6.217027368810720822e-02
2.699806186678728626e+00 7.016748595056984672e-02 5.540983722413291013e-02 4.304911176108645182e-02
2.730485802436441123e+00 7.533439931777997922e-02 7.491183231704326428e-02 7.968004736062959600e-03
2.761165418194154064e+00 8.026014742758331988e-02 7.366800617818926311e-02 -3.185460925561129503e-02
2.791845033951867006e+00 8.408961942709065884e-02 5.342297868020182139e-02 -6.493881308068114033e-02
2.822524649709579947e+00 8.627548381963968949e-02 2.133239993073204194e-02 -8.359657780978964337e-02
2.853204265467292444e+00 8.666401273307650088e-02 -1.360741683293539145e-02 -8.558907237570455295e-02
2.883883881225005386e+00 8.543459715958540146e-02 -4.382293898402420812e-02 -7.333907833224474759e-02
2.914563496982718327e+00 8.297049722572084895e-02 -6.487460441282257018e-02 -5.172416371642110655e-02
2.945243112740430824e+00 7.970340280277493639e-02 -7.540106443379025747e-02 -2.583238085412956769e-02
2.975922728498143766e+00 7.596809092703447897e-02 -7.596742683864286805e-02 3.176454212198164310e-04
3.006602344255856707e+00 7.190925581234199060e-02 -6.783152706219833239e-02 2.387100768495324307e-02
3.037281960013569648e+00 6.747590693540128637e-02 -5.238061887595125976e-02 4.253550026656878480e-02
3.067961575771282146e+00 6.250787504197752309e-02 -3.137428165904874305e-02 5.406374841464615250e-02
3.098641191528995087e+00 5.688344037197368835e-02 -7.548022579727624998e-03 5.638043227652487360e-02
3.129320807286708028e+00 5.068979739496942000e-02 1.509975046439675748e-02 4.838856368870643465e-02
3.160000423044420970e+00 4.440304640297052657e-02 3.180845335889623954e-02 3.098149164871305539e-02
3.190680038802133467e+00 3.906833265318802872e-02 3.832513027615437606e-02 7.584128533717832826e-03
