# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.252816158220945834e-07 -6.252816158220945834e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.846935935948086999e-07 -6.738952441451093686e-07 1.211219097784393771e-07
6.135923151542564680e-02 8.450627868396605505e-07 -7.684153200684157098e-07 3.516660483830759271e-07
9.203884727313846326e-02 1.070376103374295579e-06 -7.865442776236824335e-07 7.259842298646575667e-07
1.227184630308512936e-01 1.323075934370276675e-06 -6.111744764963016146e-07 1.173454595367563603e-06
1.533980787885641239e-01 1.565769007166618179e-06 -2.056362053287402946e-07 1.552206923983247024e-06
1.840776945462769265e-01 1.763713424012313677e-06 3.572396729199446063e-07 1.727155134356288997e-06
2.147573103039897569e-01 1.891116831147942723e-06 9.305313115789090083e-07 1.646339681603487329e-06
2.454369260617025872e-01 1.939648372924109298e-06 1.373236480922108253e-06 1.369838449617986584e-06
2.761165418194154175e-01 1.928028603270478903e-06 1.628027334360999266e-06 1.032870414719355360e-06
3.067961575771282479e-01 1.909415998950937310e-06 1.750137129508615639e-06 7.634719935696071280e-07
3.374757733348410782e-01 1.963334785874545198e-06 1.868550615763479176e-06 6.026624907483195730e-07
3.681553890925538530e-01 2.153208552130014142e-06 2.100170942630604668e-06 4.749621887012792320e-07
3.988350048502666834e-01 2.476537401535281586e-06 2.465925994772474175e-06 2.290119855127807874e-07
4.295146206079795137e-01 2.871059429422857933e-06 2.858127423847041689e-06 -2.721945560281812764e-07
4.601942363656923440e-01 3.257797701491431563e-06 3.080166782958890589e-06 -1.061045924076584510e-06
4.908738521234051744e-01 3.569263882120907097e-06 2.938903590168435504e-06 -2.025460527363564315e-06
5.215534678811180047e-01 3.759260438600781843e-06 2.340483821293981784e-06 -2.941797839330579000e-06
5.522330836388308350e-01 3.805535907647835518e-06 1.339163635635508425e-06 -3.562126373584817395e-06
5.829126993965436654e-01 3.709837539902786719e-06 1.166660707433806220e-07 -3.708002642988440398e-06
6.135923151542564957e-01 3.496531104687528667e-06 -1.090074563966599167e-06 -3.322268383355025939e-06
6.442719309119693261e-01 3.211994846970360581e-06 -2.066691418653888730e-06 -2.458800007529389444e-06
6.749515466696821564e-01 2.930605641743923175e-06 -2.659965540064362099e-06 -1.230053963487543968e-06
7.056311624273949867e-01 2.773503984678834491e-06 -2.762957078166738437e-06 2.416454784135033310e-07
7.363107781851077061e-01 2.917092289990511298e-06 -2.272948206040799921e-06 1.828423878912653591e-06
7.669903939428205364e-01 3.518524195005197878e-06 -1.072271306717451284e-06 3.351156032718773053e-06
7.976700097005333667e-01 4.615979290736370194e-06 9.287929106008732235e-07 4.521571468165088720e-06
8.283496254582461971e-01 6.160432615475519814e-06 3.690413352415318471e-06 4.932725341850009983e-06
8.590292412159590274e-01 8.078354195982080058e-06 6.936104827657290160e-06 4.141286797058434178e-06
8.897088569736718577e-01 1.028233843560836742e-05 1.011773773490835263e-05 1.832448316324567309e-06
9.203884727313846881e-01 1.266707420881660653e-05 1.250789466384906322e-05 -2.001834181375421783e-06
9.510680884890975184e-01 1.511402844879789605e-05 1.341064899617307873e-05 -6.970534373526473828e-06
