# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.886825464541471691e-07 -5.886825464541471691e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.528639365298208769e-07 -6.456857105413479242e-07 9.654679085256375819e-08
6.135923151542564680e-02 8.234116302852723019e-07 -7.616140737763202610e-07 3.129707901943690041e-07
9.203884727313846326e-02 1.059493226069643654e-06 -8.046433634040255646e-07 6.892568126738524509e-07
1.227184630308512936e-01 1.322059277579235426e-06 -6.468152744041020814e-07 1.153026770821421985e-06
1.533980787885641239e-01 1.573242683661093296e-06 -2.443387781166122869e-07 1.554152857090202727e-06
1.840776945462769265e-01 1.777625949328470840e-06 3.300456318457771160e-07 1.746718035810436497e-06
2.147573103039897569e-01 1.908268660377459306e-06 9.224685222264017553e-07 1.670491276744724967e-06
2.454369260617025872e-01 1.955160573116912523e-06 1.381232614080047307e-06 1.383780810848471680e-06
2.761165418194154175e-01 1.934947967016129555e-06 1.639621346320134911e-06 1.027455826666626963e-06
3.067961575771282479e-01 1.899379547938911038e-06 1.749255966406953022e-06 7.400987982143325789e-07
3.374757733348410782e-01 1.930246928068582712e-06 1.843116847925320815e-06 5.733877293873931078e-07
3.681553890925538530e-01 2.098632218426281075e-06 2.048094524735971222e-06 4.577837982752881166e-07
3.988350048502666834e-01 2.408863633288422800e-06 2.396831624321367282e-06 2.404624054452136059e-07
4.295146206079795137e-01 2.799128082453396437e-06 2.790162099964105006e-06 -2.238603982465912048e-07
4.601942363656923440e-01 3.187573918249358691e-06 3.033447201795790478e-06 -9.791963838887764136e-07
4.908738521234051744e-01 3.503911528767014087e-06 2.928545326099405551e-06 -1.923803075787051519e-06
5.215534678811180047e-01 3.699886233624602379e-06 2.372087035680988018e-06 -2.839429737978918155e-06
5.522330836388308350e-01 3.751708471601261608e-06 1.408232620644091773e-06 -3.477383692093603996e-06
5.829126993965436654e-01 3.659866567340913665e-06 2.114910241262713890e-07 -3.653750790277544815e-06
6.135923151542564957e-01 3.447570551113261262e-06 -9.840234089118574581e-07 -3.304155056231000364e-06
6.442719309119693261e-01 3.160002515233455136e-06 -1.963091592234413710e-06 -2.476264787291600589e-06
6.749515466696821564e-01 2.870444266699517855e-06 -2.569974792651321745e-06 -1.278545991884893824e-06
7.056311624273949867e-01 2.700591376576187472e-06 -2.695296995043905588e-06 1.690203885481240649e-07
7.363107781851077061e-01 2.832343396684184775e-06 -2.234334937517441772e-06 1.740665534710627643e-06
7.669903939428205364e-01 3.430022992747812943e-06 -1.066749118678568229e-06 3.259923932943399363e-06
7.976700097005333667e-01 4.531597713702633750e-06 9.019527802813661597e-07 4.440929972537019736e-06
8.283496254582461971e-01 6.084804876581779568e-06 3.639040136281488660e-06 4.876703525190536900e-06
8.590292412159590274e-01 8.015105081916780856e-06 6.875552639965993337e-06 4.119306418467176663e-06
8.897088569736718577e-01 1.023533143297050807e-05 1.006776208962083407e-05 1.844498861357101974e-06
9.203884727313846881e-01 1.264023369527198700e-05 1.248619023931786504e-05 -1.967374183690694436e-06
9.510680884890975184e-01 1.511053026297059333e-05 1.342553581546357652e-05 -6.934198792640354677e-06
9.817477042468103487e-01 1.752875099797916904e-05 1.245411688831734870e-05 -1.233499428784968478e-05
1.012427320004523068e+00 1.980517626851797803e-05 9.579642088105567345e-06 -1.733422811926923284e-05
1.043106935762236009e+00 2.191141643032511630e-05 5.230673240193590306e-06 -2.127792817539912897e-05
1.073786551519948729e+00 2.391619170695776897e-05 3.811350591635872020e-08 -2.391616133756883309e-05
1.104466167277661670e+00 2.601031050058567860e-05 -5.490614368849319961e-06 -2.542418939100051477e-05
1.135145783035374389e+00 2.849725654992044924e-05 -1.123906513720379248e-05 -2.618734514443329912e-05
1.165825398793087331e+00 3.172653907863722618e-05 -1.753469357379019904e-05 -2.644064679960715045e-05
1.196505014550800050e+00 3.598166732112064386e-05 -2.492907632808794531e-05 -2.594651299570265821e-05
1.227184630308512991e+00 4.138607135682890634e-05 -3.379056646448960028e-05 -2.389570087612926652e-05
1.257864246066225711e+00 4.788780783946497719e-05 -4.390743601631978812e-05 -1.911489477193915236e-05
1.288543861823938652e+00 5.532014168256059369e-05 -5.431375076551614797e-05 -1.050402558831481568e-05
1.319223477581651371e+00 6.349429891514061760e-05 -6.344475921190685446e-05 2.507692817788457474e-06
1.349903093339364313e+00 7.229183678829267240e-05 -6.954908725367120145e-05 1.972394809378624989e-05
1.380582709097077032e+00 8.174370507214864866e-05 -7.112751862880155134e-05 4.028534985117927455e-05
1.411262324854789973e+00 9.208540567482580055e-05 -6.713154021313086589e-05 6.303235872875164857e-05
1.441941940612502693e+00 1.037694024662862656e-04 -5.678415457575693588e-05 8.685418054029777810e-05
1.472621556370215412e+00 1.174132005097615539e-04 -3.913589152468200397e-05 1.106988782622199516e-04
1.503301172127928353e+00 1.336783485265047246e-04 -1.271416250608428180e-05 1.330723522620027460e-04
1.533980787885641073e+00 1.531105662099176048e-04 2.428843123453576681e-05 1.511718148111174695e-04
1.564660403643354014e+00 1.759973471317911420e-04 7.301014675600038517e-05 1.601392664779487628e-04
1.595340019401066733e+00 2.022888054726278714e-04 1.322278101807639820e-04 1.530900618405470735e-04
1.626019635158779675e+00 2.315897116071791693e-04 1.965866239187658048e-04 1.224234202206348767e-04
1.656699250916492394e+00 2.632010256013611626e-04 2.556872529599326163e-04 6.244044003217626984e-05
1.687378866674205335e+00 2.961845250987741500e-04 2.949175596323881285e-04 -2.736614566326722001e-05
1.718058482431918055e+00 3.294338697904680723e-04 2.984174156740242124e-04 -1.395482733234622514e-04
1.748738098189630996e+00 3.617453235889419509e-04 2.537372660389364048e-04 -2.578314933470198444e-04
1.779417713947343715e+00 3.918862616094173786e-04 1.568971172562435049e-04 -3.591074165690334480e-04
1.810097329705056657e+00 4.186606988007241068e-04 1.604617380171807550e-05 -4.183530817702143492e-04
1.840776945462769376e+00 4.409706272055308944e-04 -1.479487399216433653e-04 -4.154109584659957614e-04
1.871456561220482318e+00 4.578712899378596852e-04 -3.048363317497064886e-04 -3.416444482129666303e-04
1.902136176978195037e+00 4.686181630039468388e-04 -4.217961996498374591e-04 -2.041836150579868071e-04
1.932815792735907978e+00 4.727034516243743901e-04 -4.719878897799113641e-04 -2.599971305040621580e-05
1.963495408493620697e+00 4.698802762284130753e-04 -4.422650032995139365e-04 1.587108718549889508e-04
1.994175024251333417e+00 4.601733297654475065e-04 -3.375182451695926656e-04 3.127953446025980196e-04
2.024854640009046136e+00 4.438755385605254282e-04 -1.800555397532065225e-04 4.057160291836865306e-04
2.055534255766759077e+00 4.215310693615533931e-04 -3.992803876598993110e-06 4.215121587265280409e-04
2.086213871524472019e+00 3.939058218345681760e-04 1.537283734716048003e-04 3.626697997696270233e-04
2.116893487282184960e+00 3.619472658502597708e-04 2.629546319614837709e-04 2.487180829503139214e-04
2.147573103039897457e+00 3.267360756343802119e-04 3.076318615198816346e-04 1.100867880300256086e-04
2.178252718797610399e+00 2.894324406200222423e-04 2.886898258314218152e-04 -2.072009036384860750e-05
2.208932334555323340e+00 2.512201726514180344e-04 2.218905082176373582e-04 -1.177971880391331439e-04
2.239611950313036282e+00 2.132517740368990785e-04 1.316902946502601451e-04 -1.677318855340639750e-04
2.270291566070748779e+00 1.765974918377273550e-04 4.337762777762404202e-05 -1.711871944152426389e-04
2.300971181828461720e+00 1.422010950886173214e-04 -2.389514358317311950e-05 -1.401790767466440477e-04
2.331650797586174662e+00 1.108447485594918965e-04 -6.113472858659874164e-05 -9.246136081553140503e-05
2.362330413343887603e+00 8.312509530377770175e-05 -6.975126001813606778e-05 -4.521662520737805167e-05
2.393010029101600100e+00 5.944299940188011187e-05 -5.856323148042328453e-05 -1.018911656927518137e-05
2.423689644859313042e+00 4.001206356618524984e-05 -3.911916348310159099e-05 8.405728951543710802e-06
2.454369260617025983e+00 2.490303037265209838e-05 -2.122376441521433085e-05 1.302738445693204830e-05
2.485048876374738480e+00 1.419161424544362726e-05 -1.016432583057583600e-05 9.903958567227921011e-06
2.515728492132451422e+00 8.357038119557686162e-06 -6.257245457123997188e-06 5.539581700908595702e-06
2.546408107890164363e+00 7.544551549933154226e-06 -6.370441385437742936e-06 4.041996368664970802e-06
2.577087723647877304e+00 8.843594598007744009e-06 -6.403938956798860563e-06 6.099076262148695202e-06
2.607767339405589802e+00 1.026874445309443468e-05 -3.542845696233254604e-06 9.638223747954764695e-06
2.638446955163302743e+00 1.182015131000745697e-05 2.580020715249378931e-06 1.153514066235670358e-05
2.669126570921015684e+00 1.380248376065412368e-05 1.006800141681355826e-05 9.441605024261551029e-06
2.699806186678728626e+00 1.621478239661796331e-05 1.594730573659197293e-05 2.933020271551593856e-06
2.730485802436441123e+00 1.878274948027312883e-05 1.766234829520469041e-05 -6.390080651883853716e-06
2.761165418194154064e+00 2.116443795953318132e-05 1.418549073417900476e-05 -1.570685477024125993e-05
2.791845033951867006e+00 2.307954826932540076e-05 6.336409691138784353e-06 -2.219268934902130324e-05
2.822524649709579947e+00 2.435191175253056535e-05 -3.687568713595287524e-06 -2.407109143735592407e-05
2.853204265467292444e+00 2.491085788898576882e-05 -1.323926153608174698e-05 -2.110148797465408573e-05
2.883883881225005386e+00 2.477638933009141488e-05 -2.015067046666673886e-05 -1.441596156973486583e-05
2.914563496982718327e+00 2.403696045404336249e-05 -2.330023505712082557e-05 -5.905464770207510724e-06
2.945243112740430824e+00 2.282309334328407554e-05 -2.268552099546616705e-05 2.502144464358863379e-06
2.975922728498143766e+00 2.127912798757418002e-05 -1.910626565487678208e-05 9.367598445537608499e-06
3.006602344255856707e+00 1.953629598728268835e-05 -1.369945420608231380e-05 1.392809446256634584e-05
3.037281960013569648e+00 1.769194446540979095e-05 -7.562376398890763506e-06 1.599422902701609156e-05
3.067961575771282146e+00 1.580086559865067687e-05 -1.584610908925222570e-06 1.572120739427915651e-05
3.098641191528995087e+00 1.388367918096594453e-05 3.535069073349488105e-06 1.342608782358566194e-05
3.129320807286708028e+00 1.195405771198776583e-05 7.206463479383806436e-06 9.537629679424631745e-06
3.160000423044420970e+00 1.006510699827696259e-05 8.925935053480966855e-06 4.651243092744520438e-06
3.190680038802133467e+00 8.379485852256935495e-06 8.369242537574548261e-06 -4.142010326241330256e-07
3.221359654559846408e+00 7.253610239911434424e-06 5.557345503178187491e-06 -4.661627663258101580e-06
3.252039270317559350e+00 7.169628788218878994e-06 9.892646779479212193e-07 -7.101051496632135497e-06
3.282718886075272291e+00 8.267778664487000282e-06 -4.361832082862132598e-06 -7.023573515373855499e-06
3.313398501832984788e+00 1.016228950145379707e-05 -9.230230365573489673e-06 -4.251467430170803016e-06
3.344078117590697730e+00 1.239394211450532728e-05 -1.237124356332699027e-05 7.497558499600486775e-07
3.374757733348410671e+00 1.465295202560459695e-05 -1.289696852155993027e-05 6.955372457213354758e-06
3.405437349106123612e+00 1.674841810260639283e-05 -1.051348599942824116e-05 1.303748906344852251e-05
3.436116964863836110e+00 1.856146429215777401e-05 -5.581986229468052622e-06 1.770224241171375348e-05
3.466796580621549051e+00 2.002022260855809395e-05 1.001971312548845175e-06 1.999513357757456313e-05
3.497476196379261992e+00 2.108609778940841804e-05 8.052693803826119350e-06 1.948788450515640233e-05
3.528155812136974490e+00 2.174399789037462940e-05 1.437406350633022481e-05 1.631526103292871020e-05
3.558835427894687431e+00 2.199418323820711546e-05 1.899711628001781856e-05 1.108393744836701618e-05
3.589515043652400372e+00 2.184587515851005806e-05 2.133328451852881740e-05 4.704597017036169477e-06
3.620194659410113314e+00 2.131374723074874343e-05 2.123742638405509795e-05 -1.802093670731384135e-06
3.650874275167825811e+00 2.041856876797165134e-05 1.899400943552004116e-05 -7.493033837889896955e-06
3.681553890925538752e+00 1.919304547155823131e-05 1.523944702083650268e-05 -1.166757253983961158e-05
3.712233506683251694e+00 1.769379991360841604e-05 1.082553160031118742e-05 -1.399565721763265549e-05
3.742913122440964635e+00 1.602082155809510280e-05 6.629543865130609088e-06 -1.458478219023629729e-05
3.773592738198677132e+00 1.434561652205874759e-05 3.334333228657653145e-06 -1.395273934817942472e-05
3.804272353956390074e+00 1.294167626989162362e-05 1.229836244067664420e-06 -1.288310861117973738e-05
3.834951969714103015e+00 1.217573348063463569e-05 1.072629296506109761e-07 -1.217526100152969927e-05
3.865631585471815956e+00 1.236918854376099190e-05 -6.913323763338356694e-07 -1.234985363381043261e-05
3.896311201229528454e+00 1.356599335694532630e-05 -2.049788050814625368e-06 -1.341024029268015475e-05
3.926990816987241395e+00 1.550381610553251181e-05 -4.730782659794241167e-06 -1.476441699695451706e-05
3.957670432744954336e+00 1.781950245929404743e-05 -9.018290526867023195e-06 -1.536896560832273767e-05
3.988350048502666834e+00 2.020101562066883640e-05 -1.448925398016651128e-05 -1.407631170458850019e-05
4.019029664260379775e+00 2.241841854066828387e-05 -2.002433062887321770e-05 -1.008026154076120617e-05
4.049709280018092272e+00 2.431158303787397671e-05 -2.408650653977492399e-05 -3.300495798637164651e-06
4.080388895775805658e+00 2.577584665686924684e-05 -2.519359515226183468e-05 5.447663185473799021e-06
4.111068511533518155e+00 2.675240875147158809e-05 -2.242828963062199569e-05 1.458297631660791727e-05
