# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.070370562906942068e-02 -1.070370562906942068e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.103284114316844394e-02 -1.097744797739074428e-02 1.104182772040149252e-03
6.135923151542564680e-02 1.186975777487402940e-02 -1.153599613799351740e-02 2.794985284108146995e-03
9.203884727313846326e-02 1.288140092472210216e-02 -1.174884814218076466e-02 5.281577142805641417e-03
1.227184630308512936e-01 1.374307050426984422e-02 -1.099745634991484804e-02 8.241840857299379333e-03
1.533980787885641239e-01 1.423429862279496604e-02 -9.053079820720321899e-03 1.098439816478668715e-02
1.840776945462769265e-01 1.426437646673926925e-02 -6.228562927796770822e-03 1.283267079914936389e-02
2.147573103039897569e-01 1.388186509297405224e-02 -3.211840901461988917e-03 1.350519368551326288e-02
2.454369260617025872e-01 1.328356115930734091e-02 -6.763103755742478707e-04 1.326633337998669310e-02
2.761165418194154175e-01 1.280220092775227921e-02 1.103549876751294505e-03 1.275454923798028696e-02
3.067961575771282479e-01 1.281194951406193668e-02 2.402542555213965213e-03 1.258466684585880790e-02
3.374757733348410782e-01 1.352050107595831330e-02 3.866592965282500058e-03 1.295582526070098578e-02
3.681553890925538530e-01 1.481354265287022909e-02 6.103353779637415120e-03 1.349778198701516961e-02
3.988350048502666834e-01 1.634100484631251238e-02 9.276385293748419525e-03 1.345277351586419631e-02
4.295146206079795137e-01 1.771281800312889121e-02 1.293958365175986586e-02 1.209591238936012607e-02
4.601942363656923440e-01 1.861961361853368968e-02 1.621202585984585567e-02 9.157523072489341665e-03
4.908738521234051744e-01 1.887409387146863834e-02 1.819740228601793991e-02 5.008589572907638787e-03
5.215534678811180047e-01 1.841896121217899765e-02 1.841194973769027382e-02 5.081722075452459490e-04
5.522330836388308350e-01 1.731940606995802795e-02 1.698410297297374763e-02 -3.391470598357475708e-03
5.829126993965436654e-01 1.573796717759982575e-02 1.452950396613664728e-02 -6.047902560493912533e-03
6.135923151542564957e-01 1.388320404293576747e-02 1.180266044812417793e-02 -7.310305112926085598e-03
6.442719309119693261e-01 1.193080614485147843e-02 9.360228852027190072e-03 -7.397989666369072549e-03
6.749515466696821564e-01 9.952846399279872622e-03 7.454802723293045205e-03 -6.594320875150140593e-03
7.056311624273949867e-01 7.979119202911172035e-03 6.216475845080107407e-03 -5.002176658395959818e-03
7.363107781851077061e-01 6.500351388953021399e-03 5.969282063437671149e-03 -2.573371295982136882e-03
7.669903939428205364e-01 7.427610377136135977e-03 7.406355681396668139e-03 5.615081790888836475e-04
7.976700097005333667e-01 1.197829490749212182e-02 1.140326801622078973e-02 3.666746165347103438e-03
8.283496254582461971e-01 1.919034988086490770e-02 1.846989793418958234e-02 5.208876927959724991e-03
8.590292412159590274e-01 2.828168217132688567e-02 2.810563353830873579e-02 3.150699898474003825e-03
8.897088569736718577e-01 3.870183283673119673e-02 3.846453711656980939e-02 -4.279164559853735651e-03
9.203884727313846881e-01 4.987690209664359664e-02 4.664382547568144549e-02 -1.766518915133207315e-02
9.510680884890975184e-01 6.118595987705453126e-02 4.959831301187148100e-02 -3.582916455142300810e-02
9.817477042468103487e-01 7.203306935361830643e-02 4.530995336539235530e-02 -5.599795716389262962e-02
1.012427320004523068e+00 8.196961466822103026e-02 3.362182945827251607e-02 -7.475687468544599257e-02
1.043106935762236009e+00 9.085071212095366389e-02 1.623673622320758250e-02 -8.938803213910896661e-02
1.073786551519948729e+00 9.900197452469616799e-02 -4.222680817500278766e-03 -9.891187960251339450e-02
1.104466167277661670e+00 1.073360722202360007e-01 -2.567799989908911215e-02 -1.042193490713221593e-01
1.135145783035374389e+00 1.173003608449192381e-01 -4.781390187188137159e-02 -1.071130498218324512e-01
1.165825398793087331e+00 1.305342419219222561e-01 -7.231725074320033420e-02 -1.086710796811921759e-01
1.196505014550800050e+00 1.483017948393017815e-01 -1.018600535114698030e-01 -1.077866033011471714e-01
1.227184630308512991e+00 1.710442963337297506e-01 -1.382251260575320384e-01 -1.007470388382712134e-01
1.257864246066225711e+00 1.983555591972875620e-01 -1.805053707256255024e-01 -8.223587418926814330e-02
1.288543861823938652e+00 2.293184476534508298e-01 -2.243701665135161283e-01 -4.738120738104430879e-02
1.319223477581651371e+00 2.629582380242431738e-01 -2.628861506339327248e-01 6.156845757998063821e-03
1.349903093339364313e+00 2.986683641771875064e-01 -2.885232449890698936e-01 7.718243881385362937e-02
1.380582709097077032e+00 3.365711510394448491e-01 -2.952287827800579856e-01 1.616171572891384745e-01
1.411262324854789973e+00 3.777758416361646776e-01 -2.792844381919186159e-01 2.543910161694727390e-01
1.441941940612502693e+00 4.244414701969630443e-01 -2.382855287701270142e-01 3.512414673720921088e-01
1.472621556370215412e+00 4.795273648620146933e-01 -1.687850557386844086e-01 4.488408388402251314e-01
1.503301172127928353e+00 5.461977882648649807e-01 -6.432360685556477720e-02 5.423969925308592677e-01
1.533980787885641073e+00 6.270384473923873436e-01 8.400357180821610426e-02 6.213860429971995725e-01
1.564660403643354014e+00 7.233853078885220667e-01 2.830763687496991032e-01 6.656981847086982373e-01
1.595340019401066733e+00 8.349943289729510054e-01 5.299095867556594674e-01 6.452994338145934261e-01
1.626019635158779675e+00 9.600631438189334288e-01 8.032523504985660256e-01 5.258392354494125787e-01
1.656699250916492394e+00 1.095467532073362449e+00 1.058974149670309339e+00 2.803976892860364778e-01
1.687378866674205335e+00 1.237074459394490011e+00 1.233381799025667247e+00 -9.551207210807863279e-02
1.718058482431918055e+00 1.380059121732470917e+00 1.256309091336057060e+00 -5.711835488731883403e-01
1.748738098189630996e+00 1.519205613218445494e+00 1.071999392827413633e+00 -1.076477123311075701e+00
1.779417713947343715e+00 1.649191395785858827e+00 6.618756813645761961e-01 -1.510547199643985650e+00
1.810097329705056657e+00 1.764857303343742911e+00 6.099358227421571715e-02 -1.763803017371017523e+00
1.840776945462769376e+00 1.861460393007932534e+00 -6.393915087525271490e-01 -1.748202875318655369e+00
1.871456561220482318e+00 1.934902797995518453e+00 -1.306903671775552667e+00 -1.426832726843081600e+00
1.902136176978195037e+00 1.981927600623366814e+00 -1.798628651617804497e+00 -8.324493904690023482e-01
1.932815792735907978e+00 2.000272610017394648e+00 -1.999144387094848874e+00 -6.717316378556108247e-02
1.963495408493620697e+00 1.988774319832853799e+00 -1.854351192053363073e+00 7.187523577400651842e-01
1.994175024251333417e+00 1.947416740434698257e+00 -1.389792055089159151e+00 1.364151752752001068e+00
2.024854640009046136e+00 1.877322826124270039e+00 -7.066148650803277809e-01 1.739263184781051574e+00
2.055534255766759077e+00 1.780689500588988450e+00 4.449782366713651849e-02 1.780133433537146592e+00
2.086213871524472019e+00 1.660670527394106255e+00 7.037495017224186800e-01 1.504181916983736045e+00
2.116893487282184960e+00 1.521214428392116513e+00 1.144473453222558668e+00 1.002134647648301735e+00
2.147573103039897457e+00 1.366867118723351648e+00 1.304141385182558954e+00 4.093176855465617270e-01
2.178252718797610399e+00 1.202550749041397360e+00 1.195059561030885398e+00 -1.340184674165960377e-01
2.208932334555323340e+00 1.033331323172884231e+00 8.926747355392131711e-01 -5.204857730814737016e-01
2.239611950313036282e+00 8.641879481656102868e-01 5.068379550916357612e-01 -6.999543535354405543e-01
2.270291566070748779e+00 6.997960877859463746e-01 1.465510609069073655e-01 -6.842787085885222442e-01
2.300971181828461720e+00 5.443360103106393844e-01 -1.100807122143321881e-01 -5.330890440810895914e-01
2.331650797586174662e+00 4.013359339221962419e-01 -2.319069411737776365e-01 -3.275510685261514010e-01
2.362330413343887603e+00 2.735577167094859208e-01 -2.337097652978185058e-01 -1.421744350287559300e-01
2.393010029101600100e+00 1.629341392356017382e-01 -1.611471613290777483e-01 -2.406503945616227796e-02
2.423689644859313042e+00 7.060459350410770718e-02 -6.901861534436608270e-02 1.488083868021967959e-02
2.454369260617025983e+00 7.460665252094449487e-03 -1.330776869104469042e-03 -7.341018929853406448e-03
2.485048876374738480e+00 6.042810066835011679e-02 2.043942645470586683e-02 -5.686638019592003823e-02
2.515728492132451422e+00 1.000163770159735316e-01 -1.442757375234972241e-03 -1.000059704345573897e-01
2.546408107890164363e+00 1.249392749534616043e-01 -4.837065858550387842e-02 -1.151959279397553049e-01
2.577087723647877304e+00 1.373432293831223228e-01 -9.673432683382943154e-02 -9.749683415060625413e-02
2.607767339405589802e+00 1.396821239082280952e-01 -1.280554098790769313e-01 -5.579343814657057588e-02
2.638446955163302743e+00 1.345143474405147144e-01 -1.343975890493649683e-01 -5.603367297038462994e-03
2.669126570921015684e+00 1.243409841378312758e-01 -1.182102391230088340e-01 3.856189444056757482e-02
2.699806186678728626e+00 1.114538975369687712e-01 -8.820849318672166484e-02 6.812659543753238345e-02
2.730485802436441123e+00 9.778807220704424652e-02 -5.412873837350203055e-02 8.144069466834787108e-02
2.761165418194154064e+00 8.477849883979679535e-02 -2.293452315971301197e-02 8.161740937426287257e-02
