# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.312238869022962557e-07 -7.312238869022962557e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.766373865095386966e-07 -7.501611288804663477e-07 2.010569840645957052e-07
6.135923151542564680e-02 9.038518886887171988e-07 -7.705317872558202312e-07 4.724711647439583371e-07
9.203884727313846326e-02 1.089902461857049395e-06 -7.071328949873029491e-07 8.293674970656451533e-07
1.227184630308512936e-01 1.304408094191597039e-06 -4.833022606887726089e-07 1.211568983180766366e-06
1.533980787885641239e-01 1.514522341336258217e-06 -8.543907395264764751e-08 1.512110474485503805e-06
1.840776945462769265e-01 1.690495376005300215e-06 4.200467799330179831e-07 1.637478341524920386e-06
2.147573103039897569e-01 1.812818657748673842e-06 9.193560308167039731e-07 1.562400708679645779e-06
2.454369260617025872e-01 1.880342291278920340e-06 1.314726439747627669e-06 1.344314517142691619e-06
2.761165418194154175e-01 1.917509168442324492e-06 1.579888247907613949e-06 1.086643702040270729e-06
3.067961575771282479e-01 1.974827103043186275e-06 1.772085467720073987e-06 8.715819995899816074e-07
3.374757733348410782e-01 2.111040873899630861e-06 1.990517234975312154e-06 7.030894029504039805e-07
3.681553890925538530e-01 2.356587921167563588e-06 2.303651217560172990e-06 4.966867202033821887e-07
3.988350048502666834e-01 2.691130475360994073e-06 2.688176908977291826e-06 1.260481711806344377e-07
4.295146206079795137e-01 3.058399498085996180e-06 3.017692944195835450e-06 -4.973296536939507795e-07
4.601942363656923440e-01 3.394159153130720052e-06 3.111578135686198733e-06 -1.355875312224780551e-06
4.908738521234051744e-01 3.644308503808036844e-06 2.819831423782684958e-06 -2.308578612994430799e-06
5.215534678811180047e-01 3.773065785234624533e-06 2.098614747937310497e-06 -3.135576750686895267e-06
5.522330836388308350e-01 3.766109709726079814e-06 1.036711768685282561e-06 -3.620609210390219886e-06
5.829126993965436654e-01 3.630946110744165047e-06 -1.778227200752815159e-07 -3.626589132966844168e-06
6.135923151542564957e-01 3.395981230641338263e-06 -1.326472903351083710e-06 -3.126205072535005919e-06
6.442719309119693261e-01 3.111866122499528727e-06 -2.220979980023418985e-06 -2.179669399862150499e-06
6.749515466696821564e-01 2.862530347891044553e-06 -2.721774684456009501e-06 -8.865791333274293937e-07
7.056311624273949867e-01 2.788277766211452961e-06 -2.712761604344216133e-06 6.445288042786964094e-07
7.363107781851077061e-01 3.076776122007818446e-06 -2.066541333955244734e-06 2.279464459036803456e-06
7.669903939428205364e-01 3.857837709931975140e-06 -6.477347326842984928e-07 3.803071326210907412e-06
7.976700097005333667e-01 5.134012982066882750e-06 1.618796446111896112e-06 4.872123496596405226e-06
8.283496254582461971e-01 6.842960107717646742e-06 4.634450434394245381e-06 5.034676971460839974e-06
8.590292412159590274e-01 8.905312904101186033e-06 8.032265593869810689e-06 3.845426809794508232e-06
8.897088569736718577e-01 1.122623578189871749e-05 1.117713552800977245e-05 1.048814196740696491e-06
9.203884727313846881e-01 1.369285827232479314e-05 1.330076624697524445e-05 -3.253303691526139376e-06
9.510680884890975184e-01 1.618235319801350521e-05 1.374010570537549204e-05 -8.548570069337074580e-06
9.817477042468103487e-01 1.858118144691781769e-05 1.217880605190978137e-05 -1.403342392694130003e-05
1.012427320004523068e+00 2.081384916930532620e-05 8.766820110620632863e-06 -1.887747817878780452e-05
1.043106935762236009e+00 2.287827915526428684e-05 4.036750886450768882e-06 -2.251933168162277563e-05
