# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.250517273411629210e-07 -6.250517273411629210e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.874090975212519452e-07 -6.820125834115446191e-07 8.596571074150984458e-08
6.135923151542564680e-02 8.500756177741368502e-07 -7.997376569184427551e-07 2.881809085291382945e-07
9.203884727313846326e-02 1.068405411159497627e-06 -8.512434878932925806e-07 6.456583050764212893e-07
1.227184630308512936e-01 1.302337584208074250e-06 -7.138971850960500549e-07 1.089235508213379182e-06
1.533980787885641239e-01 1.516060386684296592e-06 -3.467439101516106280e-07 1.475875251112407026e-06
1.840776945462769265e-01 1.678060256815135494e-06 1.793969966036625809e-07 1.668443269371801012e-06
2.147573103039897569e-01 1.766324237804656810e-06 7.178231196152900697e-07 1.613887010295941891e-06
2.454369260617025872e-01 1.776644993834333924e-06 1.127526406064220210e-06 1.373008243873467750e-06
2.761165418194154175e-01 1.732743608775493340e-06 1.352565511735558451e-06 1.083035987498036146e-06
3.067961575771282479e-01 1.694358269982836423e-06 1.451641843126460599e-06 8.738340267714705970e-07
3.374757733348410782e-01 1.746000255319608893e-06 1.558745640037224945e-06 7.866568001619770685e-07
3.681553890925538530e-01 1.944155215262551646e-06 1.796092490560509141e-06 7.441715302164721511e-07
3.988350048502666834e-01 2.267839414359520331e-06 2.189316796195562851e-06 5.915974773598414434e-07
4.295146206079795137e-01 2.641623259540363427e-06 2.634946029201300306e-06 1.877042049101561156e-07
4.601942363656923440e-01 2.984078602157034014e-06 2.941029608350962728e-06 -5.050444996774655170e-07
4.908738521234051744e-01 3.230726912619808359e-06 2.920087789506588242e-06 -1.382274822710898048e-06
5.215534678811180047e-01 3.339967754360675862e-06 2.483604727520390917e-06 -2.233179831004986336e-06
5.522330836388308350e-01 3.294138764408256274e-06 1.686872778468436572e-06 -2.829454086646279224e-06
5.829126993965436654e-01 3.098295798905423429e-06 7.025746114752598847e-07 -3.017586083747302589e-06
6.135923151542564957e-01 2.776551535675678474e-06 -2.564706578834218737e-07 -2.764681036197089959e-06
6.442719309119693261e-01 2.367574176838658252e-06 -1.015969020141439629e-06 -2.138507524640980451e-06
6.749515466696821564e-01 1.928537945207582516e-06 -1.473047648680729426e-06 -1.244744644825459520e-06
7.056311624273949867e-01 1.578544427277993795e-06 -1.569154723809195270e-06 -1.719184738115622116e-07
