# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.843472781786892847e-03 -9.843472781786892847e-03 0.000000000000000000e+00
3.067961575771282340e-02 1.014991781952926872e-02 -1.008394700680029579e-02 1.155354710572109546e-03
6.135923151542564680e-02 1.093948793200089607e-02 -1.056035487764191323e-02 2.855048348567479789e-03
9.203884727313846326e-02 1.192278424933499240e-02 -1.068404497655229234e-02 5.291877473562510772e-03
1.227184630308512936e-01 1.281279391671373558e-02 -9.875787437812796887e-03 8.163118915911702841e-03
1.533980787885641239e-01 1.340730693750818471e-02 -7.917535535187505275e-03 1.081982025569733046e-02
1.840776945462769265e-01 1.361197215222081230e-02 -5.094954441602768738e-03 1.262248886356518406e-02
2.147573103039897569e-01 1.345039564612201741e-02 -2.045117854483283551e-03 1.329400752213160883e-02
2.454369260617025872e-01 1.307450106661935639e-02 6.026618559279568700e-04 1.306060399937308304e-02
2.761165418194154175e-01 1.275881358397141715e-02 2.581609673764832889e-03 1.249490358357588024e-02
3.067961575771282479e-01 1.283184311958485493e-02 4.126419222137593136e-03 1.215026181811777045e-02
3.374757733348410782e-01 1.351280893811841917e-02 5.809156650406144956e-03 1.220039771520318485e-02
3.681553890925538530e-01 1.476095415649316192e-02 8.162092918375406236e-03 1.229902462807107300e-02
3.988350048502666834e-01 1.630400308759153566e-02 1.130408421862164059e-02 1.174896576973920477e-02
4.295146206079795137e-01 1.779151947088930541e-02 1.478851306123863535e-02 9.891311668358626977e-03
4.601942363656923440e-01 1.891582392663766418e-02 1.776504086041966884e-02 6.497054567354154479e-03
4.908738521234051744e-01 1.946473753407932175e-02 1.936762451206533800e-02 1.941939244735081107e-03
5.215534678811180047e-01 1.933634515141711974e-02 1.911329162313833707e-02 -2.928536689816633315e-03
5.522330836388308350e-01 1.853404495878410024e-02 1.709612378438578675e-02 -7.157749233047280835e-03
5.829126993965436654e-01 1.714309444437011123e-02 1.388880242973230747e-02 -1.004922157166690186e-02
6.135923151542564957e-01 1.528465147954027707e-02 1.024213177746229921e-02 -1.134545316433458947e-02
6.442719309119693261e-01 1.304912088448375966e-02 6.790797223951467072e-03 -1.114291833053815753e-02
6.749515466696821564e-01 1.042951845346190218e-02 3.955219002142778412e-03 -9.650445472422037804e-03
7.056311624273949867e-01 7.309427499979293495e-03 2.082058077504640205e-03 -7.006622905462461630e-03
7.363107781851077061e-01 3.733256504044256321e-03 1.680697633385570648e-03 -3.333535599048087061e-03
7.669903939428205364e-01 3.643627707045677625e-03 3.512760955330571783e-03 9.677465258299789656e-04
7.976700097005333667e-01 9.675023080173983381e-03 8.355595175220947510e-03 4.877509699603241149e-03
