# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.659341562691773039e-07 -5.659341562691773039e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.154667742976688071e-07 -5.943899102504250875e-07 1.596871468117247951e-07
6.135923151542564680e-02 7.544802447149534606e-07 -6.394182444109735836e-07 4.004806466978455745e-07
9.203884727313846326e-02 9.589281996191060719e-07 -6.060896590367596186e-07 7.431006777237151651e-07
1.227184630308512936e-01 1.196651503677916742e-06 -4.070946202864719473e-07 1.125277206464448445e-06
1.533980787885641239e-01 1.431833108529664342e-06 -2.262746025790215237e-08 1.431654304894864720e-06
1.840776945462769265e-01 1.630784631028279637e-06 4.795822953704529009e-07 1.558672298709786602e-06
2.147573103039897569e-01 1.769547394099050904e-06 9.777027217105437493e-07 1.474922156563707163e-06
2.454369260617025872e-01 1.842597249058737098e-06 1.363592108843836371e-06 1.239266389013131005e-06
2.761165418194154175e-01 1.871393764207185767e-06 1.604030302936768711e-06 9.639509364973503303e-07
3.067961575771282479e-01 1.907827380194653230e-06 1.757034854746024993e-06 7.433934569445770809e-07
3.374757733348410782e-01 2.019438140886617721e-06 1.930937368541077486e-06 5.912793617565711481e-07
3.681553890925538530e-01 2.248931954300673670e-06 2.208323606745071325e-06 4.254430431527663663e-07
3.988350048502666834e-01 2.581749667109015738e-06 2.579279108319090485e-06 1.129186654463818461e-07
4.295146206079795137e-01 2.958967112579739933e-06 2.924867261783196602e-06 -4.479261928904663271e-07
4.601942363656923440e-01 3.310525207122036235e-06 3.063783059101958476e-06 -1.254117424227191689e-06
4.908738521234051744e-01 3.576742049326260527e-06 2.838770432084442971e-06 -2.175882837227620723e-06
5.215534678811180047e-01 3.717252428766872485e-06 2.196192417792064063e-06 -2.999117284003054638e-06
5.522330836388308350e-01 3.714015967722863782e-06 1.216221269669142759e-06 -3.509233596058372964e-06
5.829126993965436654e-01 3.571096168876495788e-06 8.038881471288465315e-08 -3.570191239392288291e-06
