# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.855789344043265978e-07 -6.855789344043265978e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.323281691338271515e-07 -7.057446242805492336e-07 1.955225629077363534e-07
6.135923151542564680e-02 8.637848916510181184e-07 -7.290143287935219760e-07 4.633167895277395312e-07
9.203884727313846326e-02 1.057287724315372563e-06 -6.681720077848375495e-07 8.193921527576149132e-07
1.227184630308512936e-01 1.282211805984340721e-06 -4.442388787445106924e-07 1.202796297806675386e-06
1.533980787885641239e-01 1.504778963523004307e-06 -4.217133225704563504e-08 1.504187923032568689e-06
1.840776945462769265e-01 1.693762126117898546e-06 4.712207970598288350e-07 1.626893082009301416e-06
2.147573103039897569e-01 1.827727390956063376e-06 9.795965762869035894e-07 1.543041789252007293e-06
2.454369260617025872e-01 1.903183837519965119e-06 1.381148022893744830e-06 1.309404008797101883e-06
2.761165418194154175e-01 1.942060331038052741e-06 1.645525454885352895e-06 1.031428284814792214e-06
3.067961575771282479e-01 1.993335074646643169e-06 1.827636571225295598e-06 7.956942147184329508e-07
3.374757733348410782e-01 2.117579701819047628e-06 2.027385592311537125e-06 6.114339323619894156e-07
3.681553890925538530e-01 2.351063585717162221e-06 2.317094899318214226e-06 3.982100094658039548e-07
3.988350048502666834e-01 2.679306495332991805e-06 2.679130968917271037e-06 3.066834397161706831e-08
4.295146206079795137e-01 3.048420584025190366e-06 2.992265775625044425e-06 -5.824204539089741362e-07
4.601942363656923440e-01 3.393696188520807046e-06 3.078234865672389334e-06 -1.428861061034116034e-06
4.908738521234051744e-01 3.659373246665678746e-06 2.785421441587526831e-06 -2.373276206250965362e-06
5.215534678811180047e-01 3.807662940267954017e-06 2.065090483201192166e-06 -3.199015217669629760e-06
5.522330836388308350e-01 3.822160016424528069e-06 1.000195840879946444e-06 -3.688972142893031196e-06
5.829126993965436654e-01 3.708308018314519216e-06 -2.250370239814398535e-07 -3.701473584470560202e-06
6.135923151542564957e-01 3.492460082800656047e-06 -1.391876440997964739e-06 -3.203116826303843138e-06
6.442719309119693261e-01 3.222821929059029420e-06 -2.307766150454089262e-06 -2.249621430650517117e-06
6.749515466696821564e-01 2.979067916894646434e-06 -2.826856708228645604e-06 -9.400674468428919880e-07
7.056311624273949867e-01 2.893724875766959590e-06 -2.828006927819703958e-06 6.132050822002899637e-07
7.363107781851077061e-01 3.148999327607024509e-06 -2.182650866527148987e-06 2.269852849882075572e-06
7.669903939428205364e-01 3.884342701806814146e-06 -7.587177331881050427e-07 3.809523018230204468e-06
7.976700097005333667e-01 5.116447828928102585e-06 1.513024108383190245e-06 4.887616641431112796e-06
8.283496254582461971e-01 6.787347261359212726e-06 4.528874271586040400e-06 5.055430810370804422e-06
8.590292412159590274e-01 8.817145492671860706e-06 7.920648073866478521e-06 3.873678965647379340e-06
8.897088569736718577e-01 1.111063019361935697e-05 1.105683118992502956e-05 1.092056471464341195e-06
9.203884727313846881e-01 1.355549254832382803e-05 1.317567720869698892e-05 -3.186362866951210244e-06
9.510680884890975184e-01 1.602986368231718145e-05 1.361990172759666763e-05 -8.453094498719425484e-06
9.817477042468103487e-01 1.842088387233921387e-05 1.207463781728925566e-05 -1.391158093889746108e-05
1.012427320004523068e+00 2.065285832614273002e-05 8.685897929087606640e-06 -1.873754877792702841e-05
1.043106935762236009e+00 2.272212873584241434e-05 3.979073181363059245e-06 -2.237101050255783130e-05
1.073786551519948729e+00 2.473158752326349357e-05 -1.406632738455271497e-06 -2.469155332821222680e-05
1.104466167277661670e+00 2.690877078168659852e-05 -7.048049286110606795e-06 -2.596934628060371751e-05
1.135145783035374389e+00 2.958180275653724556e-05 -1.295935981417569844e-05 -2.659206737982969783e-05
1.165825398793087331e+00 3.309597094362391658e-05 -1.956792873820328044e-05 -2.669156154288835969e-05
1.196505014550800050e+00 3.769824671005146698e-05 -2.742490960938692742e-05 -2.586565556735151341e-05
1.227184630308512991e+00 4.346089726712943214e-05 -3.677435982246400376e-05 -2.316238439608330578e-05
1.257864246066225711e+00 5.029064676634060604e-05 -4.719619385745667841e-05 -1.736860493955152967e-05
