# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 4.356916470091726237e-07 -4.356916470091726237e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.061332719646192260e-07 -5.054237673417503601e-07 2.679000551853921570e-08
6.135923151542564680e-02 6.820526142562741086e-07 -6.570185448358478263e-07 1.830912350594725525e-07
9.203884727313846326e-02 9.119341247182406529e-07 -7.521906755210111580e-07 5.155899877663148158e-07
1.227184630308512936e-01 1.157568191945220011e-06 -6.552741410135631188e-07 9.542431132170997490e-07
1.533980787885641239e-01 1.384234878538677288e-06 -3.163400078629716304e-07 1.347603501920443087e-06
1.840776945462769265e-01 1.559319195985836561e-06 1.949877591486748738e-07 1.547079871484369771e-06
2.147573103039897569e-01 1.658031103746894709e-06 7.255017702075350826e-07 1.490877031286577501e-06
2.454369260617025872e-01 1.672001009611628089e-06 1.123761619631382537e-06 1.238041678775700954e-06
2.761165418194154175e-01 1.619884364229658556e-06 1.325059337284039382e-06 9.317956354008679383e-07
3.067961575771282479e-01 1.558211843441565306e-06 1.385679717284092028e-06 7.126821662908649421e-07
3.374757733348410782e-01 1.577220261880708891e-06 1.445068040018882739e-06 6.319826850500232487e-07
3.681553890925538530e-01 1.748804304462732443e-06 1.636440568453220546e-06 6.167485397047011915e-07
3.988350048502666834e-01 2.060781952309651100e-06 1.997006825399990752e-06 5.087101279422565942e-07
4.295146206079795137e-01 2.435354102615041380e-06 2.430300148163529827e-06 1.568145240729950615e-07
4.601942363656923440e-01 2.787074530537918970e-06 2.743984316907363898e-06 -4.881951529251287833e-07
4.908738521234051744e-01 3.049166529498977357e-06 2.743563762040555857e-06 -1.330516594498057979e-06
5.215534678811180047e-01 3.178744460665374953e-06 2.330634062372956094e-06 -2.161610791404811500e-06
5.522330836388308350e-01 3.157302172376046709e-06 1.552385720686390216e-06 -2.749300926035471046e-06
5.829126993965436654e-01 2.989626775717940432e-06 5.782828047596825897e-07 -2.933165057716480516e-06
6.135923151542564957e-01 2.700905142404060620e-06 -3.771552885277183912e-07 -2.674442460887927316e-06
6.442719309119693261e-01 2.333736523075908788e-06 -1.135749785196000727e-06 -2.038724744678808006e-06
6.749515466696821564e-01 1.954070521986477187e-06 -1.592145311506148889e-06 -1.132901104221146295e-06
7.056311624273949867e-01 1.689358894083181222e-06 -1.688700431309679271e-06 -4.716276404592780829e-08
7.363107781851077061e-01 1.779284175594019904e-06 -1.356661283166955192e-06 1.151226450475787836e-06
7.669903939428205364e-01 2.410879676356102434e-06 -4.795537522204107654e-07 2.362703750493961344e-06
7.976700097005333667e-01 3.543885460232841152e-06 1.074044606834729615e-06 3.377210733398046096e-06
8.283496254582461971e-01 5.092579074039442368e-06 3.345315341467822684e-06 3.839690989062068967e-06
8.590292412159590274e-01 6.993594478895254457e-06 6.159476496725318902e-06 3.312282147028324958e-06
8.897088569736718577e-01 9.174970917761234113e-06 9.062383147280908105e-06 1.432935111455998141e-06
9.203884727313846881e-01 1.154150470208446852e-05 1.138490099755535224e-05 -1.894824547049427813e-06
9.510680884890975184e-01 1.397969931320312243e-05 1.243712021183335469e-05 -6.383575308867127074e-06
9.817477042468103487e-01 1.637531136426457993e-05 1.175649810514217386e-05 -1.139892865932589267e-05
1.012427320004523068e+00 1.864032632405364964e-05 9.286684638670099546e-06 -1.616227873442034981e-05
1.043106935762236009e+00 2.074694680838912091e-05 5.380832492785879632e-06 -2.003702681424335578e-05
1.073786551519948729e+00 2.276324525220860246e-05 6.050791929964371147e-07 -2.275520190159604635e-05
1.104466167277661670e+00 2.487740679121287272e-05 -4.573150116174541722e-06 -2.445345919640853623e-05
1.135145783035374389e+00 2.738703613572853135e-05 -1.005044047994931083e-05 -2.547623195173683109e-05
1.165825398793087331e+00 3.063173356017024761e-05 -1.614869967844813291e-05 -2.602926429226437468e-05
1.196505014550800050e+00 3.488284609449489055e-05 -2.340871130597263930e-05 -2.586204142456364645e-05
1.227184630308512991e+00 4.025382566579205302e-05 -3.219410696665555508e-05 -2.416422887972052272e-05
1.257864246066225711e+00 4.668846316115910156e-05 -4.229897647555719238e-05 -1.976383519135821855e-05
1.288543861823938652e+00 5.402129929858101251e-05 -5.277079082822058839e-05 -1.155614179867395912e-05
1.319223477581651371e+00 6.206770978535570786e-05 -6.205894080459462383e-05 1.043294882073079774e-06
1.349903093339364313e+00 7.071353064155561075e-05 -6.842142260755249646e-05 1.785811703828058425e-05
1.380582709097077032e+00 7.999244865174333623e-05 -7.036311113163787215e-05 3.805028821413278635e-05
1.411262324854789973e+00 9.014069678120136854e-05 -6.683844804603232223e-05 6.048112994148111752e-05
1.441941940612502693e+00 1.016100393373938138e-04 -5.707653189893455864e-05 8.406467510516308413e-05
1.472621556370215412e+00 1.150171627935714564e-04 -4.013528533768050008e-05 1.077873211836433240e-04
1.503301172127928353e+00 1.310242755723680231e-04 -1.453877670334317912e-05 1.302151479714789412e-04
1.533980787885641073e+00 1.501807013943184954e-04 2.155510944240171791e-05 1.486257727590189592e-04
1.564660403643354014e+00 1.727816035474413520e-04 6.937171815945642004e-05 1.582436325544574315e-04
1.595340019401066733e+00 1.987894672314815289e-04 1.278362121089437315e-04 1.522338830740824905e-04
1.626019635158779675e+00 2.278260728037185764e-04 1.917886862802574226e-04 1.229708065520360659e-04
1.656699250916492394e+00 2.592131256590852421e-04 2.510286222788741910e-04 6.462256038507790588e-05
1.687378866674205335e+00 2.920352174168693439e-04 2.910828663749292253e-04 -2.356550688343526188e-05
1.718058482431918055e+00 3.252086992994072880e-04 2.961035099125318838e-04 -1.344745682926383305e-04
1.748738098189630996e+00 3.575499532836684492e-04 2.534805639396379268e-04 -2.521697301382476637e-04
1.779417713947343715e+00 3.878414160136508171e-04 1.588982269403484398e-04 -3.537970003415621067e-04
1.810097329705056657e+00 4.148947871061809214e-04 2.004608888031274798e-05 -4.144102299515369631e-04
1.840776945462769376e+00 4.376103879407077218e-04 -1.426924767725980270e-04 -4.136927709135346785e-04
1.871456561220482318e+00 4.550309686384012989e-04 -2.994484166604650379e-04 -3.426132340986586108e-04
1.902136176978195037e+00 4.663878881164669975e-04 -4.175671219360573699e-04 -2.077386840715419070e-04
1.932815792735907978e+00 4.711375986736487400e-04 -4.700879469858203273e-04 -3.143181481602174744e-05
1.963495408493620697e+00 4.689866915319041265e-04 -4.434594672919059594e-04 1.526178813351187829e-04
1.994175024251333417e+00 4.599043100573837052e-04 -3.419594327221900268e-04 3.075316581779444854e-04
