# # Once                                                         FEFF 10.0.0 
# # POT  SCF 100  9.0000   0, core-hole, FOLP (folp(0)= 1.150)
# # Abs   Z=30 Rmt= 1.386 Rnm= 1.528 K  shell
# #   RGRID 0.0100
# # Pot 1 Z= 6 Rmt= 0.898 Rnm= 1.121
# # Pot 2 Z= 6 Rmt= 0.927 Rnm= 1.163
# # Pot 3 Z= 1 Rmt= 0.549 Rnm= 0.932
# # Pot 4 Z=16 Rmt= 1.256 Rnm= 1.472
# # Gam_ch=1.897E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-6.807E+00eV kf=2.016E+00 Vint=-1.348E+01eV Rs_int= 1.799
# # PATH  Rmax= 6.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp=  10.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00302    100.00      2.00     2   2.3625
#           2       0.00310     49.69      1.00     2   2.3681
#           3       0.00310     49.64      1.00     2   2.3690
#           4       0.02912      7.00      1.00     2   2.9140
#           5       0.02833      6.99      1.00     2   2.9154
#           6       0.02239      5.22      1.00     2   3.2578
#           7       0.02213      5.14      1.00     2   3.2779
#           8       0.00596     19.82      1.00     2   3.2933
#           9       0.00586     19.72      1.00     2   3.2995
#          10       0.00558     18.22      1.00     2   3.3977
#          11       0.03028      4.67      1.00     2   3.3976
#          12       0.00552     18.06      1.00     2   3.4091
#          13       0.03018      4.61      1.00     2   3.4131
#          14       0.00872     32.77      2.00     2   3.5353
#          16       0.00420     21.09      2.00     3   3.7411
#          17       0.00418     21.04      2.00     3   3.7448
#          19       0.01491     11.06      2.00     3   3.7704
#          20       0.01449     11.04      2.00     3   3.7712
#          21       0.00411     20.72      2.00     3   3.7925
#          22       0.00411     20.70      2.00     3   3.7980
#          23       0.01484      4.09      2.00     3   3.8918
#          24       0.01471      4.03      2.00     3   3.9027
#          27       0.01206      4.04      2.00     3   4.1147
#          29       0.00459      5.94      1.00     4   4.1873
#          30       0.00458      5.84      1.00     4   4.1869
#          31       0.00450      6.84      1.00     4   4.1889
#          32       0.00450      6.79      1.00     4   4.1900
#          33       0.00428      4.41      2.00     3   4.2468
#          34       0.00433      4.44      2.00     3   4.2510
#          39       0.00423      5.22      2.00     3   4.3319
#          40       0.01052     10.35      2.00     3   4.3394
#          42       0.00539      7.62      2.00     3   4.3407
#          43       0.00537      7.61      2.00     3   4.3419
#          44       0.01044     10.29      2.00     3   4.3450
#          46       0.01137     11.80      1.00     4   4.3868
#          47       0.01126     11.71      1.00     4   4.3930
#          48       0.00442      5.93      2.00     3   4.3941
#          49       0.00440      5.91      2.00     3   4.3942
#          52       0.01158      4.45      2.00     3   4.5271
#          53       0.01159      4.47      2.00     3   4.5298
#          54       0.01449      8.38      2.00     3   4.5586
#          55       0.01419      8.40      2.00     3   4.5605
#          56       0.00954     10.15      2.00     4   4.5745
#          57       0.00953     10.18      2.00     4   4.5778
#          58       0.01246      8.85      1.00     4   4.6312
#          59       0.01273      8.78      1.00     4   4.6309
#          69       0.00588      7.14      1.00     2   4.7426
#          70       0.00582      7.10      1.00     2   4.7523
#          75       0.00548     18.42      2.00     3   4.8271
#          76       0.00544     18.24      2.00     3   4.8376
#          77       0.00607     16.50      1.00     4   4.9116
#          78       0.00598     16.31      1.00     4   4.9229
#          79       0.00502     12.17      2.00     3   4.9446
#          80       0.00502     12.41      2.00     3   4.9485
#          81       0.00458     17.58      2.00     4   5.0291
#          82       0.00458     17.78      2.00     4   5.0337
#          89       0.00539      6.76      1.00     4   5.1446
#          90       0.00541      6.47      1.00     4   5.1467
#          91       0.00928      5.23      2.00     4   5.1592
#          92       0.00921      5.16      2.00     4   5.1750
#          93       0.00479     13.31      2.00     4   5.2219
#          94       0.00478     13.42      2.00     4   5.2265
#          95       0.02192      4.76      2.00     3   5.2766
#          96       0.02195      4.70      2.00     3   5.2772
#          99       0.02401      4.32      1.00     4   5.3417
#         100       0.02412      4.22      1.00     4   5.3458
#         104       0.01017      4.45      2.00     4   5.3974
#         105       0.01002      4.41      2.00     4   5.4075
#         107       0.01601      4.53      2.00     4   5.4528
#         108       0.01597      4.53      2.00     4   5.4563
#         120       0.01057      5.01      2.00     4   5.6973
#         122       0.01054      5.02      2.00     4   5.7079
#         127       0.00989      4.05      2.00     4   5.8744
#         128       0.00988      4.13      2.00     4   5.8803
#    74/ 120 paths used
#  xsedge+50, used to normalize mu           1.0000E+00
#  -----------------------------------------------------------------------
#  omega    e    k    mu    mu0     chi     @#
    9923.719     -6.807   0.000  1.47296E-04  1.39256E-04  2.90001E-02
    9923.728     -6.797   0.050  1.45018E-04  1.41051E-04  1.42936E-02
    9923.757     -6.769   0.100  1.42722E-04  1.42846E-04 -4.44704E-04
    9923.804     -6.721   0.150  1.35830E-04  1.48200E-04 -4.43690E-02
    9923.871     -6.654   0.200  1.28857E-04  1.53554E-04 -8.83021E-02
    9923.957     -6.569   0.250  1.17156E-04  1.62051E-04 -1.59739E-01
    9924.061     -6.464   0.300  1.05636E-04  1.70548E-04 -2.29839E-01
    9924.185     -6.340   0.350  8.94802E-05  1.80850E-04 -3.21679E-01
    9924.328     -6.197   0.400  7.46634E-05  1.91152E-04 -4.07788E-01
    9924.490     -6.035   0.450  5.64903E-05  2.01288E-04 -5.04020E-01
    9924.671     -5.854   0.500  4.19604E-05  2.11423E-04 -5.86559E-01
    9924.871     -5.654   0.550  2.74433E-05  2.19981E-04 -6.63260E-01
    9925.090     -5.435   0.600  1.94454E-05  2.28539E-04 -7.16883E-01
    9925.328     -5.197   0.650  1.57708E-05  2.35103E-04 -7.49661E-01
    9925.585     -4.940   0.700  2.06742E-05  2.41667E-04 -7.53010E-01
    9925.862     -4.664   0.750  3.26336E-05  2.46371E-04 -7.27629E-01
    9926.157     -4.368   0.800  5.29933E-05  2.51074E-04 -6.73722E-01
    9926.471     -4.054   0.850  7.98967E-05  2.54177E-04 -5.93689E-01
    9926.805     -3.721   0.900  1.12449E-04  2.57280E-04 -4.94137E-01
    9927.157     -3.368   0.950  1.48182E-04  2.59026E-04 -3.79719E-01
    9927.529     -2.997   1.000  1.85141E-04  2.60772E-04 -2.60148E-01
    9927.919     -2.606   1.050  2.21019E-04  2.61385E-04 -1.39742E-01
    9928.329     -2.197   1.100  2.53819E-04  2.61999E-04 -2.85002E-02
    9928.757     -1.768   1.150  2.82113E-04  2.61687E-04  7.17740E-02
    9929.205     -1.320   1.200  3.04637E-04  2.61375E-04  1.53313E-01
    9929.672     -0.854   1.250  3.21444E-04  2.60334E-04  2.18758E-01
    9930.157     -0.368   1.300  3.31943E-04  2.59293E-04  2.62729E-01
    9930.662      0.137   1.350  3.37359E-04  2.57708E-04  2.91325E-01
    9931.186      0.661   1.400  3.37615E-04  2.56123E-04  3.01487E-01
    9931.729      1.204   1.450  3.34386E-04  2.54165E-04  3.00411E-01
    9932.291      1.766   1.500  3.27810E-04  2.52207E-04  2.86623E-01
    9932.872      2.347   1.550  3.19177E-04  2.50018E-04  2.65513E-01
    9933.472      2.947   1.600  3.08840E-04  2.47828E-04  2.37234E-01
    9934.091      3.566   1.650  2.97357E-04  2.45526E-04  2.04115E-01
    9934.729      4.204   1.700  2.85429E-04  2.43223E-04  1.68361E-01
    9935.387      4.861   1.750  2.73362E-04  2.40906E-04  1.31096E-01
    9936.063      5.537   1.800  2.61884E-04  2.38589E-04  9.52939E-02
    9936.758      6.233   1.850  2.52458E-04  2.36320E-04  6.68156E-02
    9937.473      6.947   1.900  2.43403E-04  2.34052E-04  3.91915E-02
    9938.206      7.681   1.950  2.39634E-04  2.31847E-04  3.30096E-02
    9938.959      8.433   2.000  2.34109E-04  2.29643E-04  1.91564E-02
    9939.730      9.205   2.050  2.33762E-04  2.27646E-04  2.65208E-02
    9940.521      9.995   2.100  2.34297E-04  2.25650E-04  3.79206E-02
    9941.330     10.805   2.150  2.35195E-04  2.23653E-04  5.11861E-02
    9942.159     11.633   2.200  2.36023E-04  2.21657E-04  6.44491E-02
    9943.007     12.481   2.250  2.37514E-04  2.21462E-04  7.24667E-02
    9943.873     13.348   2.300  2.37874E-04  2.21267E-04  7.54553E-02
    9944.759     14.234   2.350  2.37152E-04  2.21072E-04  7.35285E-02
    9945.664     15.139   2.400  2.35582E-04  2.20877E-04  6.76793E-02
    9946.588     16.063   2.450  2.33655E-04  2.21170E-04  5.75510E-02
    9947.531     17.006   2.500  2.31675E-04  2.21463E-04  4.71495E-02
    9948.493     17.968   2.550  2.29721E-04  2.21756E-04  3.68347E-02
    9949.474     18.949   2.600  2.27765E-04  2.22049E-04  2.64759E-02
    9950.474     19.949   2.650  2.24128E-04  2.21598E-04  1.17466E-02
    9951.493     20.968   2.700  2.20330E-04  2.21147E-04 -3.80415E-03
    9952.532     22.006   2.750  2.16402E-04  2.20696E-04 -2.00336E-02
    9953.589     23.063   2.800  2.12387E-04  2.20245E-04 -3.67450E-02
    9954.665     24.140   2.850  2.08737E-04  2.19946E-04 -5.24232E-02
    9955.761     25.235   2.900  2.05339E-04  2.19647E-04 -6.69222E-02
    9956.875     26.350   2.950  2.02268E-04  2.19349E-04 -7.98975E-02
    9958.008     27.483   3.000  1.99609E-04  2.19050E-04 -9.09415E-02
    9959.161     28.636   3.050  1.97988E-04  2.18971E-04 -9.80118E-02
    9960.333     29.807   3.100  1.96966E-04  2.18892E-04 -1.02266E-01
    9961.523     30.998   3.150  1.96586E-04  2.18813E-04 -1.03511E-01
    9962.733     32.207   3.200  1.96885E-04  2.18735E-04 -1.01603E-01
    9963.962     33.436   3.250  1.98156E-04  2.18842E-04 -9.59620E-02
    9965.209     34.684   3.300  2.00039E-04  2.18950E-04 -8.75163E-02
    9966.476     35.951   3.350  2.02490E-04  2.19058E-04 -7.64881E-02
    9967.762     37.237   3.400  2.05445E-04  2.19166E-04 -6.31922E-02
    9969.067     38.541   3.450  2.08911E-04  2.19422E-04 -4.82673E-02
    9970.391     39.865   3.500  2.12653E-04  2.19678E-04 -3.21662E-02
    9971.734     41.208   3.550  2.16568E-04  2.19933E-04 -1.53680E-02
    9973.096     42.571   3.600  2.20544E-04  2.20189E-04  1.61295E-03
    9974.477     43.952   3.650  2.24471E-04  2.20536E-04  1.78612E-02
    9975.877     45.352   3.700  2.28247E-04  2.20883E-04  3.33277E-02
    9977.296     46.771   3.750  2.31767E-04  2.21230E-04  4.75519E-02
    9978.735     48.209   3.800  2.34931E-04  2.21576E-04  6.00856E-02
    9980.192     49.667   3.850  2.37682E-04  2.21955E-04  7.05660E-02
    9981.668     51.143   3.900  2.39933E-04  2.22333E-04  7.87542E-02
    9983.164     52.638   3.950  2.41609E-04  2.22712E-04  8.43295E-02
    9984.678     54.153   4.000  2.42649E-04  2.23091E-04  8.70448E-02
    9986.212     55.686   4.050  2.43045E-04  2.23441E-04  8.70576E-02
    9987.764     57.239   4.100  2.42767E-04  2.23792E-04  8.40788E-02
    9989.336     58.811   4.150  2.41821E-04  2.24142E-04  7.81602E-02
    9990.927     60.401   4.200  2.40245E-04  2.24493E-04  6.94928E-02
    9992.536     62.011   4.250  2.38062E-04  2.24759E-04  5.85976E-02
    9994.165     63.640   4.300  2.35407E-04  2.25025E-04  4.56606E-02
    9995.813     65.288   4.350  2.32401E-04  2.25291E-04  3.12234E-02
    9997.480     66.954   4.400  2.29186E-04  2.25557E-04  1.59127E-02
    9999.166     68.640   4.450  2.25790E-04  2.25709E-04  3.55320E-04
   10000.871     70.345   4.500  2.22479E-04  2.25861E-04 -1.48067E-02
   10002.595     72.069   4.550  2.19402E-04  2.26013E-04 -2.89203E-02
   10004.338     73.812   4.600  2.16693E-04  2.26165E-04 -4.14050E-02
   10006.100     75.575   4.650  2.14305E-04  2.26190E-04 -5.19428E-02
   10007.881     77.356   4.700  2.12477E-04  2.26214E-04 -6.00314E-02
   10009.681     79.156   4.750  2.11261E-04  2.26238E-04 -6.54470E-02
   10011.501     80.975   4.800  2.10675E-04  2.26263E-04 -6.81116E-02
   10013.339     82.813   4.850  2.10572E-04  2.26165E-04 -6.81690E-02
   10015.196     84.671   4.900  2.11053E-04  2.26068E-04 -6.56687E-02
   10017.073     86.547   4.950  2.12055E-04  2.25971E-04 -6.08899E-02
   10018.968     88.443   5.000  2.13496E-04  2.25873E-04 -5.41874E-02
   10020.883     90.357   5.050  2.15208E-04  2.25689E-04 -4.59248E-02
   10022.816     92.291   5.100  2.17174E-04  2.25505E-04 -3.65325E-02
   10024.769     94.243   5.150  2.19295E-04  2.25320E-04 -2.64447E-02
   10026.741     96.215   5.200  2.21476E-04  2.25136E-04 -1.60760E-02
   10028.731     98.206   5.250  2.23600E-04  2.24899E-04 -5.71082E-03
   10030.741    100.216   5.300  2.25620E-04  2.24662E-04  4.21507E-03
   10032.770    102.244   5.350  2.27467E-04  2.24425E-04  1.34026E-02
   10034.818    104.292   5.400  2.29087E-04  2.24188E-04  2.16043E-02
   10036.885    106.359   5.450  2.30445E-04  2.23942E-04  2.87059E-02
   10038.971    108.445   5.500  2.31494E-04  2.23697E-04  3.44598E-02
   10041.076    110.550   5.550  2.32214E-04  2.23451E-04  3.87640E-02
   10043.200    112.674   5.600  2.32592E-04  2.23205E-04  4.15631E-02
   10045.343    114.817   5.650  2.32663E-04  2.22983E-04  4.28923E-02
   10047.505    116.980   5.700  2.32394E-04  2.22762E-04  4.27163E-02
   10049.686    119.161   5.750  2.31802E-04  2.22540E-04  4.11092E-02
   10051.886    121.361   5.800  2.30915E-04  2.22319E-04  3.81849E-02
   10054.106    123.580   5.850  2.29826E-04  2.22149E-04  3.41215E-02
   10056.344    125.819   5.900  2.28514E-04  2.21979E-04  2.90579E-02
   10058.602    128.076   5.950  2.27025E-04  2.21810E-04  2.32051E-02
   10060.878    130.353   6.000  2.25413E-04  2.21640E-04  1.67961E-02
   10063.174    132.648   6.050  2.23830E-04  2.21567E-04  1.00781E-02
   10065.488    134.963   6.100  2.22222E-04  2.21493E-04  3.24821E-03
   10067.822    137.296   6.150  2.20646E-04  2.21419E-04 -3.44617E-03
   10070.174    139.649   6.200  2.19154E-04  2.21346E-04 -9.76572E-03
   10072.546    142.021   6.250  2.17796E-04  2.21272E-04 -1.54875E-02
   10074.937    144.411   6.300  2.16618E-04  2.21199E-04 -2.04132E-02
   10077.347    146.821   6.350  2.15656E-04  2.21125E-04 -2.43780E-02
   10079.776    149.250   6.400  2.14937E-04  2.21051E-04 -2.72574E-02
   10082.223    151.698   6.450  2.14480E-04  2.20978E-04 -2.89739E-02
   10084.690    154.165   6.500  2.14289E-04  2.20904E-04 -2.95013E-02
   10087.176    156.651   6.550  2.14366E-04  2.20889E-04 -2.90953E-02
   10089.681    159.156   6.600  2.14696E-04  2.20875E-04 -2.75621E-02
   10092.206    161.680   6.650  2.15255E-04  2.20860E-04 -2.50025E-02
   10094.749    164.223   6.700  2.16012E-04  2.20845E-04 -2.15636E-02
   10097.311    166.786   6.750  2.16924E-04  2.20830E-04 -1.74296E-02
   10099.892    169.367   6.800  2.17945E-04  2.20816E-04 -1.28108E-02
   10102.493    171.967   6.850  2.19024E-04  2.20801E-04 -7.92991E-03
   10105.112    174.586   6.900  2.20112E-04  2.20786E-04 -3.00845E-03
   10107.750    177.225   6.950  2.21162E-04  2.20771E-04  1.74630E-03
   10110.408    179.882   7.000  2.22134E-04  2.20756E-04  6.15199E-03
   10113.084    182.559   7.050  2.22934E-04  2.20659E-04  1.01662E-02
   10115.780    185.254   7.100  2.23600E-04  2.20561E-04  1.35920E-02
   10118.494    187.969   7.150  2.24115E-04  2.20463E-04  1.63408E-02
   10121.228    190.703   7.200  2.24465E-04  2.20365E-04  1.83603E-02
   10123.981    193.455   7.250  2.24648E-04  2.20267E-04  1.96304E-02
   10126.753    196.227   7.300  2.24664E-04  2.20169E-04  2.01576E-02
   10129.543    199.018   7.350  2.24521E-04  2.20071E-04  1.99693E-02
   10132.353    201.828   7.400  2.24228E-04  2.19973E-04  1.91082E-02
   10135.182    204.657   7.450  2.23798E-04  2.19875E-04  1.76287E-02
   10138.030    207.505   7.500  2.23245E-04  2.19777E-04  1.55956E-02
   10140.897    210.372   7.550  2.22455E-04  2.19548E-04  1.30945E-02
   10143.783    213.258   7.600  2.21578E-04  2.19318E-04  1.01900E-02
   10146.688    216.163   7.650  2.20634E-04  2.19089E-04  6.98058E-03
   10149.613    219.087   7.700  2.19650E-04  2.18859E-04  3.57561E-03
   10152.556    222.030   7.750  2.18651E-04  2.18630E-04  9.48046E-05
   10155.518    224.993   7.800  2.17665E-04  2.18400E-04 -3.33365E-03
   10158.499    227.974   7.850  2.16723E-04  2.18171E-04 -6.57667E-03
   10161.500    230.974   7.900  2.15852E-04  2.17941E-04 -9.50174E-03
   10164.519    233.994   7.950  2.15080E-04  2.17712E-04 -1.19840E-02
   10167.558    237.032   8.000  2.14431E-04  2.17482E-04 -1.39142E-02
   10170.615    240.090   8.050  2.13868E-04  2.17209E-04 -1.52583E-02
   10173.692    243.166   8.100  2.13455E-04  2.16935E-04 -1.59181E-02
   10176.787    246.262   8.150  2.13198E-04  2.16662E-04 -1.58687E-02
   10179.902    249.376   8.200  2.13092E-04  2.16389E-04 -1.51229E-02
   10183.036    252.510   8.250  2.13127E-04  2.16115E-04 -1.37320E-02
   10186.188    255.663   8.300  2.13281E-04  2.15842E-04 -1.17827E-02
   10189.360    258.835   8.350  2.13531E-04  2.15569E-04 -9.39151E-03
   10192.551    262.026   8.400  2.13844E-04  2.15295E-04 -6.69633E-03
   10195.761    265.236   8.450  2.14190E-04  2.15022E-04 -3.84602E-03
   10198.990    268.464   8.500  2.14535E-04  2.14749E-04 -9.89841E-04
   10202.238    271.713   8.550  2.14915E-04  2.14535E-04  1.76246E-03
   10205.505    274.980   8.600  2.15246E-04  2.14322E-04  4.28772E-03
   10208.791    278.266   8.650  2.15504E-04  2.14108E-04  6.48201E-03
   10212.096    281.571   8.700  2.15673E-04  2.13895E-04  8.26771E-03
   10215.420    284.895   8.750  2.15742E-04  2.13681E-04  9.59529E-03
   10218.764    288.238   8.800  2.15708E-04  2.13468E-04  1.04426E-02
   10222.126    291.601   8.850  2.15571E-04  2.13254E-04  1.08123E-02
   10225.507    294.982   8.900  2.15337E-04  2.13041E-04  1.07275E-02
   10228.908    298.382   8.950  2.15014E-04  2.12828E-04  1.02274E-02
   10232.327    301.802   9.000  2.14613E-04  2.12614E-04  9.36267E-03
   10235.766    305.240   9.050  2.14226E-04  2.12467E-04  8.24182E-03
   10239.223    308.698   9.100  2.13782E-04  2.12320E-04  6.85452E-03
   10242.700    312.175   9.150  2.13294E-04  2.12174E-04  5.26275E-03
   10246.196    315.670   9.200  2.12778E-04  2.12027E-04  3.53217E-03
   10249.710    319.185   9.250  2.12248E-04  2.11880E-04  1.73107E-03
   10253.244    322.719   9.300  2.11718E-04  2.11733E-04 -7.07850E-05
   10256.797    326.271   9.350  2.11203E-04  2.11586E-04 -1.80390E-03
   10260.369    329.843   9.400  2.10718E-04  2.11439E-04 -3.40131E-03
   10263.960    333.434   9.450  2.10275E-04  2.11292E-04 -4.80133E-03
   10267.570    337.044   9.500  2.09886E-04  2.11145E-04 -5.95073E-03
   10271.199    340.673   9.550  2.09539E-04  2.10990E-04 -6.85926E-03
   10274.847    344.321   9.600  2.09260E-04  2.10834E-04 -7.45127E-03
   10278.514    347.988   9.650  2.09052E-04  2.10678E-04 -7.70769E-03
   10282.200    351.675   9.700  2.08915E-04  2.10523E-04 -7.62621E-03
   10285.905    355.380   9.750  2.08846E-04  2.10367E-04 -7.22144E-03
   10289.629    359.104   9.800  2.08838E-04  2.10211E-04 -6.52372E-03
