# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.319216615017513483e-07 -6.319216615017513483e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.830832943598969248e-07 -6.630446462642233570e-07 1.642394109034751705e-07
6.135923151542564680e-02 8.253943578756992260e-07 -7.131637246928889625e-07 4.155398269663247047e-07
9.203884727313846326e-02 1.032244582153967914e-06 -6.804026196910327212e-07 7.762610079759253064e-07
1.227184630308512936e-01 1.270125437530317346e-06 -4.708377546778379091e-07 1.179631483062194309e-06
1.533980787885641239e-01 1.502770390649268318e-06 -6.289205081974964645e-08 1.501453774498516126e-06
1.840776945462769265e-01 1.696144792097390801e-06 4.705675702428846171e-07 1.629562308595412172e-06
2.147573103039897569e-01 1.825623352965062483e-06 9.973666779816340061e-07 1.529104423034370855e-06
2.454369260617025872e-01 1.884616007099034105e-06 1.398599011438764075e-06 1.263209523165661391e-06
2.761165418194154175e-01 1.893592724586733620e-06 1.635311785735668986e-06 9.546982612542179708e-07
3.067961575771282479e-01 1.905270587822307340e-06 1.768040542099037371e-06 7.099920100359597306e-07
3.374757733348410782e-01 1.992464958628282163e-06 1.914988395707856777e-06 5.502145542112184690e-07
3.681553890925538530e-01 2.206249462639144175e-06 2.171136005091940674e-06 3.920524694335207562e-07
3.988350048502666834e-01 2.536674344466814996e-06 2.534969028623540937e-06 9.299867631082103006e-08
4.295146206079795137e-01 2.923708696625993189e-06 2.886990311756726697e-06 -4.619085218409157481e-07
4.601942363656923440e-01 3.294346184576868172e-06 3.035585202677077162e-06 -1.279820011221943459e-06
4.908738521234051744e-01 3.586506492801965850e-06 2.807496245684617395e-06 -2.231813982700493776e-06
5.215534678811180047e-01 3.758255351301659781e-06 2.134623462751092541e-06 -3.093196721493816980e-06
5.522330836388308350e-01 3.790791106095610446e-06 1.091383566220109705e-06 -3.630286369067632400e-06
5.829126993965436654e-01 3.688715551310073053e-06 -1.338663150620810236e-07 -3.686285695407842192e-06
6.135923151542564957e-01 3.478847736267728896e-06 -1.311375680729168240e-06 -3.222215913952262241e-06
