# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.078869622806113958e-07 -5.078869622806113958e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.666871656173803325e-07 -5.585760046438611096e-07 9.553633189295891378e-08
6.135923151542564680e-02 7.250627163714844186e-07 -6.600442270454007083e-07 3.000959196924131840e-07
9.203884727313846326e-02 9.483455403149654025e-07 -6.915706177441129446e-07 6.489139731184015653e-07
1.227184630308512936e-01 1.200758637329017659e-06 -5.370786579233285808e-07 1.073949635841232205e-06
1.533980787885641239e-01 1.445593470041287778e-06 -1.590581057298475580e-07 1.436816272049994532e-06
1.840776945462769265e-01 1.647916606385149930e-06 3.727481404131935527e-07 1.605206517996502423e-06
2.147573103039897569e-01 1.781216791338514829e-06 9.158381491365127890e-07 1.527734840321605245e-06
2.454369260617025872e-01 1.836006151625854488e-06 1.333170906032370976e-06 1.262368378927802025e-06
2.761165418194154175e-01 1.829439960221819204e-06 1.569211665923001015e-06 9.404388951907354987e-07
3.067961575771282479e-01 1.813031850917589062e-06 1.678154310218260849e-06 6.862088629109443918e-07
3.374757733348410782e-01 1.865463143605512721e-06 1.785918313191898876e-06 5.389327590306280481e-07
3.681553890925538530e-01 2.050602499306767981e-06 2.006233456917826454e-06 4.242616250696152892e-07
3.988350048502666834e-01 2.366800893907760658e-06 2.358817405858593364e-06 1.942341813922364060e-07
4.295146206079795137e-01 2.752642062511207279e-06 2.737914188363206333e-06 -2.843663507966387146e-07
4.601942363656923440e-01 3.130205756459802339e-06 2.951686414907612424e-06 -1.041986269498754381e-06
4.908738521234051744e-01 3.433050344227829499e-06 2.812949923080630480e-06 -1.968031350421911824e-06
5.215534678811180047e-01 3.615752520748815980e-06 2.232719123343752485e-06 -2.844051969911330532e-06
5.522330836388308350e-01 3.656497510850530478e-06 1.267039739111645667e-06 -3.429953986042380802e-06
5.829126993965436654e-01 3.557159777933591776e-06 9.526454005664565790e-08 -3.555883906029041772e-06
6.135923151542564957e-01 3.341916765255155409e-06 -1.052225066088085009e-06 -3.171944210762447958e-06
6.442719309119693261e-01 3.056502461175568556e-06 -1.970971314553195711e-06 -2.336124862326660101e-06
6.749515466696821564e-01 2.773989308099009897e-06 -2.519598943966136434e-06 -1.160447259901265027e-06
7.056311624273949867e-01 2.613917608900166055e-06 -2.602996755368455610e-06 2.386905060107224952e-07
7.363107781851077061e-01 2.751819096865098344e-06 -2.127718270015866589e-06 1.745085472208205414e-06
7.669903939428205364e-01 3.342881199039057419e-06 -9.798092890847946141e-07 3.196064528120788017e-06
7.976700097005333667e-01 4.421833064899700014e-06 9.350681621240219002e-07 4.321834701376520811e-06
8.283496254582461971e-01 5.939968914730155512e-06 3.591316251390976015e-06 4.731350577843033999e-06
8.590292412159590274e-01 7.827485705416526061e-06 6.734726390315555655e-06 3.989109288561453541e-06
8.897088569736718577e-01 1.000135142814587438e-05 9.842460338851773062e-06 1.775670258636258010e-06
9.203884727313846881e-01 1.236024758572797821e-05 1.220783772651678082e-05 -1.935049979594297622e-06
9.510680884890975184e-01 1.478900103371574117e-05 1.314355696009552030e-05 -6.779488329658060287e-06
9.817477042468103487e-01 1.717439268476317031e-05 1.222400849643370002e-05 -1.206372166329956985e-05
1.012427320004523068e+00 1.943063293353862049e-05 9.446816087319228437e-06 -1.697961018428521772e-05
1.043106935762236009e+00 2.153199763355110170e-05 5.215982832050149533e-06 -2.089067842811736980e-05
1.073786551519948729e+00 2.354711114146248159e-05 1.317619784515351441e-07 -2.354674248997981942e-05
1.104466167277661670e+00 2.566206521417855596e-05 -5.322662115690648417e-06 -2.510400085761121532e-05
1.135145783035374389e+00 2.816987607549147985e-05 -1.103743595029731677e-05 -2.591750230542348496e-05
1.165825398793087331e+00 3.140561217802007678e-05 -1.732485333544195612e-05 -2.619469284381149111e-05
1.196505014550800050e+00 3.564003487798543253e-05 -2.470578728792456526e-05 -2.568727623917808740e-05
1.227184630308512991e+00 4.099166835255163490e-05 -3.351707794851119596e-05 -2.359920253142057484e-05
1.257864246066225711e+00 4.741322933037688117e-05 -4.353121033598270810e-05 -1.878957269922183266e-05
1.288543861823938652e+00 5.474927521920497717e-05 -5.379174473581953622e-05 -1.019467190765270648e-05
1.319223477581651371e+00 6.282460092321047744e-05 -6.276505949408084470e-05 2.734554418026737942e-06
1.349903093339364313e+00 7.153274192887331046e-05 -6.873611666525308807e-05 1.980604538123414358e-05
1.380582709097077032e+00 8.091159913133765273e-05 -7.022618667008850011e-05 4.018668411013982513e-05
1.411262324854789973e+00 9.119531679910798021e-05 -6.617845495091524059e-05 6.274550108493315943e-05
1.441941940612502693e+00 1.028242544927463517e-04 -5.578482156557913095e-05 8.637639142083653994e-05
1.472621556370215412e+00 1.163932201538305856e-04 -3.806874638699644085e-05 1.099916007988820099e-04
1.503301172127928353e+00 1.325347907880094448e-04 -1.157174704184906367e-05 1.320286538582473483e-04
1.533980787885641073e+00 1.517672228746868581e-04 2.543124891404649693e-05 1.496213270819594270e-04
