# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.381775387223572450e-07 -6.381775387223572450e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.953681086628002948e-07 -6.838271829873780989e-07 1.261633478979809245e-07
6.135923151542564680e-02 8.500905701018478905e-07 -7.715664154815943317e-07 3.568462468304362468e-07
9.203884727313846326e-02 1.067669690491934625e-06 -7.842731221942239834e-07 7.244544414929535031e-07
1.227184630308512936e-01 1.311389351218380837e-06 -6.101947892561625043e-07 1.160777476372449703e-06
1.533980787885641239e-01 1.544821934503739559e-06 -2.150653725213901777e-07 1.529778315595469409e-06
1.840776945462769265e-01 1.734542103619093441e-06 3.305634238005512658e-07 1.702751929105530809e-06
2.147573103039897569e-01 1.856382568845342271e-06 8.860734515066996793e-07 1.631266403886206683e-06
2.454369260617025872e-01 1.903822836275303417e-06 1.317933130169437104e-06 1.373897251007196148e-06
2.761165418194154175e-01 1.897202817782732105e-06 1.573726486399758902e-06 1.059605340589885689e-06
3.067961575771282479e-01 1.889840358977603038e-06 1.708310315680336499e-06 8.081908485999724866e-07
3.374757733348410782e-01 1.957432827171167846e-06 1.844762374380471945e-06 6.545189492730015376e-07
3.681553890925538530e-01 2.155404915052627724e-06 2.091136577519228861e-06 5.224156984568820020e-07
3.988350048502666834e-01 2.475287311627750164e-06 2.460930930268321178e-06 2.662071215313948925e-07
4.295146206079795137e-01 2.854767282842930210e-06 2.844553282025601132e-06 -2.412734235422284771e-07
4.601942363656923440e-01 3.217750104087061624e-06 3.050811964064464995e-06 -1.022967297753654814e-06
4.908738521234051744e-01 3.499787335292066961e-06 2.897717149093433310e-06 -1.962586741043711278e-06
5.215534678811180047e-01 3.657241869943767976e-06 2.303838522035185802e-06 -2.840377819878284708e-06
5.522330836388308350e-01 3.669930612752677590e-06 1.331712085733948753e-06 -3.419785610696872596e-06
5.829126993965436654e-01 3.541075768292433515e-06 1.632733722773433710e-07 -3.537309627766989054e-06
6.135923151542564957e-01 3.295685004497172210e-06 -9.730328255699606375e-07 -3.148769087950220640e-06
6.442719309119693261e-01 2.979939079040196407e-06 -1.877134660813625906e-06 -2.314390282550254550e-06
6.749515466696821564e-01 2.668825593985319286e-06 -2.410928483955371591e-06 -1.144575858719616010e-06
7.056311624273949867e-01 2.491016795274930796e-06 -2.478724749914892540e-06 2.471604509243721264e-07
7.363107781851077061e-01 2.641136324280829595e-06 -1.982887370563975955e-06 1.744637142529509564e-06
7.669903939428205364e-01 3.279875146029923113e-06 -8.054076644946922354e-07 3.179449554170975694e-06
7.976700097005333667e-01 4.422450538773603183e-06 1.146489074255911014e-06 4.271256439329153760e-06
8.283496254582461971e-01 6.004379927113959161e-06 3.836248124200128774e-06 4.619066858002818303e-06
8.590292412159590274e-01 7.949809691192590938e-06 6.990525059841322019e-06 3.785767229229780402e-06
8.897088569736718577e-01 1.017231018665120771e-05 1.006635600155061106e-05 1.464367229725496143e-06
9.203884727313846881e-01 1.256736743037111897e-05 1.234659325454595251e-05 -2.345284446874878655e-06
9.510680884890975184e-01 1.501719654949245146e-05 1.315188805793224320e-05 -7.248726282437985482e-06
9.817477042468103487e-01 1.740770848187267429e-05 1.208423216853726037e-05 -1.252995001932374399e-05
1.012427320004523068e+00 1.965537546569884637e-05 9.179510828494563744e-06 -1.738017162306365720e-05
