# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.805036786671460104e-07 -5.805036786671460104e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.394922795613242073e-07 -6.286422928328375212e-07 1.172998008541007761e-07
6.135923151542564680e-02 7.995766944073052047e-07 -7.223937625627292901e-07 3.427391749563741857e-07
9.203884727313846326e-02 1.026518722016909510e-06 -7.410036765925355175e-07 7.103902011764900464e-07
1.227184630308512936e-01 1.283636292284594409e-06 -5.687554451024018490e-07 1.150756001303712148e-06
1.533980787885641239e-01 1.533381329938180403e-06 -1.691593848633331462e-07 1.524022114510036128e-06
1.840776945462769265e-01 1.740392050018667184e-06 3.864327059452261602e-07 1.696948511753974847e-06
2.147573103039897569e-01 1.878181024864872794e-06 9.537466606156190276e-07 1.618002246453020223e-06
2.454369260617025872e-01 1.937782211992011376e-06 1.394334759782030286e-06 1.345671014318224962e-06
2.761165418194154175e-01 1.937237279618100354e-06 1.651898183035984807e-06 1.011988473464273387e-06
3.067961575771282479e-01 1.928579779140970920e-06 1.780314887029336170e-06 7.415516620796952256e-07
3.374757733348410782e-01 1.989466351202717204e-06 1.905054516536296739e-06 5.733617109578470942e-07
3.681553890925538530e-01 2.181958920487282475e-06 2.138654861461526661e-06 4.325507071327081615e-07
3.988350048502666834e-01 2.504540862818426218e-06 2.498688358776239431e-06 1.711181441091719361e-07
4.295146206079795137e-01 2.897071795062257809e-06 2.876701833632427941e-06 -3.429453981628603673e-07
4.601942363656923440e-01 3.281840561716604837e-06 3.078482989695714599e-06 -1.137286223728440286e-06
4.908738521234051744e-01 3.591620380716768463e-06 2.915730829855959205e-06 -2.097200678763847678e-06
5.215534678811180047e-01 3.779990995250041444e-06 2.300178373547125495e-06 -2.999585200329788612e-06
5.522330836388308350e-01 3.824322046579585357e-06 1.290483978004498886e-06 -3.600012530321019743e-06
5.829126993965436654e-01 3.725919276444919112e-06 7.022389440691193455e-08 -3.725257448719236799e-06
6.135923151542564957e-01 3.508554824140827046e-06 -1.124682152994490856e-06 -3.323408943951608650e-06
6.442719309119693261e-01 3.217570138429718664e-06 -2.083083765670054613e-06 -2.452247871018855071e-06
6.749515466696821564e-01 2.925431768754812677e-06 -2.656045445201998787e-06 -1.226202930457120014e-06
7.056311624273949867e-01 2.750834232071129243e-06 -2.741016765865714928e-06 2.321983238040674718e-07
7.363107781851077061e-01 2.870724821340395474e-06 -2.239368267725009256e-06 1.796187841336795648e-06
7.669903939428205364e-01 3.448545233705387617e-06 -1.037260552440765296e-06 3.288853109407962852e-06
7.976700097005333667e-01 4.526668676914159974e-06 9.514757630310174764e-07 4.425542134351489001e-06
8.283496254582461971e-01 6.054843043807864027e-06 3.684358881677792014e-06 4.804854203422873087e-06
8.590292412159590274e-01 7.957663158427479353e-06 6.884514892303697021e-06 3.990972017020743010e-06
8.897088569736718577e-01 1.014690017902125980e-05 1.000728307275348948e-05 1.677459014343762826e-06
9.203884727313846881e-01 1.251714421873663922e-05 1.233339080109358394e-05 -2.136906815973091437e-06
9.510680884890975184e-01 1.495016262321237580e-05 1.317878593537184010e-05 -7.058821695590680651e-06
9.817477042468103487e-01 1.733088372992040390e-05 1.213812200066405526e-05 -1.237034862714123286e-05
1.012427320004523068e+00 1.957339575311704198e-05 9.240222544204174430e-06 -1.725503140077470771e-05
1.043106935762236009e+00 2.165437309808357607e-05 4.919391445530933864e-06 -2.108818299609150466e-05
1.073786551519948729e+00 2.364816120264810778e-05 -2.075664728979567390e-07 -2.364725025083804286e-05
1.104466167277661670e+00 2.575000532095349882e-05 -5.662375089320982226e-06 -2.511971899478516852e-05
1.135145783035374389e+00 2.826367703458030188e-05 -1.135955089616487858e-05 -2.588041813712640743e-05
1.165825398793087331e+00 3.153220408901801994e-05 -1.764323868251113720e-05 -2.613419261242687358e-05
1.196505014550800050e+00 3.582687232378064553e-05 -2.505656906829880609e-05 -2.560728660030287793e-05
1.227184630308512991e+00 4.125870700339147692e-05 -3.393513333584393201e-05 -2.346673452081048941e-05
1.257864246066225711e+00 4.776899741614830478e-05 -4.402357875640421282e-05 -1.854188845890998247e-05
1.288543861823938652e+00 5.519195435214918779e-05 -5.432157486634402519e-05 -9.763110633906596825e-06
1.319223477581651371e+00 6.334636963548359795e-05 -6.325530941337136547e-05 3.395346376140475341e-06
1.349903093339364313e+00 7.212589277567155123e-05 -6.909197226389860206e-05 2.069888348129762519e-05
1.380582709097077032e+00 8.157579151874916161e-05 -7.036397255838382008e-05 4.127373411400324577e-05
1.411262324854789973e+00 9.194524718481250983e-05 -6.604309101845937547e-05 6.397060738029430632e-05
1.441941940612502693e+00 1.036960688614261552e-04 -5.534221184680001681e-05 8.769329669488736987e-05
1.472621556370215412e+00 1.174470698335828612e-04 -3.727366145471966500e-05 1.113754388285560635e-04
1.503301172127928353e+00 1.338514151678361344e-04 -1.032982705657336896e-05 1.334522237185042752e-04
1.533980787885641073e+00 1.534389030979763286e-04 2.727646465622091400e-05 1.509950047510449759e-04
1.564660403643354014e+00 1.764788407232354274e-04 7.655908899773539319e-05 1.590078209235442751e-04
1.595340019401066733e+00 2.029063151425936464e-04 1.360519163049025754e-04 1.505352078236493838e-04
1.626019635158779675e+00 2.323172653573427667e-04 2.000826606944557421e-04 1.180603264121411495e-04
1.656699250916492394e+00 2.640102918050742597e-04 2.579643250300973044e-04 5.617687416336705785e-05
1.687378866674205335e+00 2.970498520389865875e-04 2.949640239712820349e-04 -3.514027830073042119e-05
1.718058482431918055e+00 3.303352802664842971e-04 2.953859379379002040e-04 -1.478801712782471466e-04
1.748738098189630996e+00 3.626694418027488786e-04 2.472714220033172443e-04 -2.653035391357885212e-04
1.779417713947343715e+00 3.928253520083247450e-04 1.473841408373957791e-04 -3.641286478843527418e-04
1.810097329705056657e+00 4.196100499477451069e-04 4.681765394123517145e-06 -4.195839309243664674e-04
1.840776945462769376e+00 4.419245536804073554e-04 -1.593487983241860474e-04 -4.121956715181093679e-04
1.871456561220482318e+00 4.588180905709106317e-04 -3.142586637563290737e-04 -3.342985678838946025e-04
1.902136176978195037e+00 4.695344572899516947e-04 -4.275765227854084289e-04 -1.940126896502096597e-04
