# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.429603722519437684e-07 -5.429603722519437684e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.048874497040997600e-07 -5.965261829907375156e-07 1.002264426986757640e-07
6.135923151542564680e-02 7.712557704139787706e-07 -7.036640898916421481e-07 3.157408937623168449e-07
9.203884727313846326e-02 1.004988886530221274e-06 -7.365776956347322373e-07 6.837075108134192317e-07
1.227184630308512936e-01 1.268381160627330870e-06 -5.723816197683822761e-07 1.131887825707856015e-06
1.533980787885641239e-01 1.523102399271401844e-06 -1.714514561257954348e-07 1.513421724721383037e-06
1.840776945462769265e-01 1.732684369724500414e-06 3.920014166117604051e-07 1.687758873317501573e-06
2.147573103039897569e-01 1.869244609709585088e-06 9.662507013796164121e-07 1.600135929542155862e-06
2.454369260617025872e-01 1.922336290883495104e-06 1.404893576322838644e-06 1.312116936273035699e-06
2.761165418194154175e-01 1.909003086558942886e-06 1.647777378490098154e-06 9.639100038011175853e-07
3.067961575771282479e-01 1.882366799280657507e-06 1.751631414577988512e-06 6.892692902615216302e-07
3.374757733348410782e-01 1.925661810367893727e-06 1.850589871960437647e-06 5.324382909847892633e-07
3.681553890925538530e-01 2.109225302341845292e-06 2.067634054601955804e-06 4.167982632993153697e-07
3.988350048502666834e-01 2.434544461223098708e-06 2.427426752539342613e-06 1.860271343873479403e-07
4.295146206079795137e-01 2.837903591192337013e-06 2.821680841939613521e-06 -3.030082822850190426e-07
4.601942363656923440e-01 3.237117163020141594e-06 3.049266894888158246e-06 -1.086691736813481333e-06
4.908738521234051744e-01 3.562118609342393389e-06 2.911181806785180946e-06 -2.052732197551925465e-06
5.215534678811180047e-01 3.765042088648945135e-06 2.309642458024775658e-06 -2.973397660150300244e-06
5.522330836388308350e-01 3.822770172422836161e-06 1.298988397590044338e-06 -3.595302620655480564e-06
5.829126993965436654e-01 3.736973553233988678e-06 6.470465503409493091e-08 -3.736413339713257778e-06
6.135923151542564957e-01 3.532728834965440803e-06 -1.151384483321923170e-06 -3.339833348082174516e-06
6.442719309119693261e-01 3.257680240498871551e-06 -2.132109747710071724e-06 -2.463044573907764127e-06
6.749515466696821564e-01 2.987069867724677999e-06 -2.725372540680138771e-06 -1.222673672398082147e-06
7.056311624273949867e-01 2.840111811804311455e-06 -2.828406140480939941e-06 2.575923291561298215e-07
7.363107781851077061e-01 2.986765127927478374e-06 -2.342417337409162556e-06 1.853064204718394531e-06
7.669903939428205364e-01 3.580555124030660392e-06 -1.149554319138254799e-06 3.391002781416258295e-06
7.976700097005333667e-01 4.665949220176259838e-06 8.461032222416654622e-07 4.588593625782928280e-06
8.283496254582461971e-01 6.201399889698906741e-06 3.615198622601634801e-06 5.038620794532652611e-06
8.590292412159590274e-01 8.116726993194774928e-06 6.890861471627356706e-06 4.289205667824562715e-06
8.897088569736718577e-01 1.032519518197365001e-05 1.012756231340777628e-05 2.010506685861652379e-06
9.203884727313846881e-01 1.272071946731059980e-05 1.258970486076674119e-05 -1.820998430751965817e-06
9.510680884890975184e-01 1.518286988259060786e-05 1.356368004396016518e-05 -6.822471805493496226e-06
9.817477042468103487e-01 1.759300874519951672e-05 1.261094855587637913e-05 -1.226694473900107235e-05
1.012427320004523068e+00 1.986035751170038885e-05 9.737064561188741812e-06 -1.730963241157351096e-05
1.043106935762236009e+00 2.195568017098186659e-05 5.374270897224871299e-06 -2.128776888482417144e-05
1.073786551519948729e+00 2.394719307303751403e-05 1.613815655000549455e-07 -2.394664928685540824e-05
1.104466167277661670e+00 2.602571555721434435e-05 -5.385553158134726798e-06 -2.546239751959609895e-05
1.135145783035374389e+00 2.849539245939865587e-05 -1.114434904506024024e-05 -2.622576740110799196e-05
1.165825398793087331e+00 3.170689874250818792e-05 -1.744151063981873014e-05 -2.647869208380121739e-05
1.196505014550800050e+00 3.594481989103194542e-05 -2.483184245737373228e-05 -2.598864515843211237e-05
1.227184630308512991e+00 4.133291187637480759e-05 -3.368855827573018983e-05 -2.394766471877573266e-05
1.257864246066225711e+00 4.781871080916454104e-05 -4.380349654823563498e-05 -1.918027094697097784e-05
1.288543861823938652e+00 5.523457730682631976e-05 -5.421126835420484461e-05 -1.058285942891434976e-05
1.319223477581651371e+00 6.339094934640007728e-05 -6.334482267245866119e-05 2.417829529273584685e-06
1.349903093339364313e+00 7.216892600529703635e-05 -6.944922994907412389e-05 1.962545133847026576e-05
1.380582709097077032e+00 8.159925787287531827e-05 -7.102224829779193950e-05 4.017809268906122691e-05
1.411262324854789973e+00 9.191726779841608659e-05 -6.701384426100723182e-05 6.291207194876995016e-05
1.441941940612502693e+00 1.035749892145120291e-04 -5.664712740525126080e-05 8.671148336592746076e-05
1.472621556370215412e+00 1.171891037445829578e-04 -3.897456058211492446e-05 1.105181870277000233e-04
1.503301172127928353e+00 1.334200983113613913e-04 -1.252865752085455043e-05 1.328305513582566993e-04
1.533980787885641073e+00 1.528129035564036611e-04 2.448719261923759481e-05 1.508381944036956508e-04
1.564660403643354014e+00 1.756552184032022731e-04 7.319275583205903633e-05 1.596796049781727016e-04
1.595340019401066733e+00 2.018990058750949384e-04 1.323399807816419448e-04 1.524773362177679929e-04
1.626019635158779675e+00 2.311528806301810669e-04 1.965497159189375680e-04 1.216546891649297518e-04
1.656699250916492394e+00 2.627236347519906322e-04 2.554108806781315178e-04 6.155477470122557439e-05
1.687378866674205335e+00 2.956805431417317193e-04 2.943252440767295426e-04 -2.827780563910556861e-05
1.718058482431918055e+00 3.289258546407125149e-04 2.974791820327066867e-04 -1.403508251072108776e-04
1.748738098189630996e+00 3.612647392105131972e-04 2.524963233721459581e-04 -2.583753441804941420e-04
1.779417713947343715e+00 3.914728611765262169e-04 1.554753855481410185e-04 -3.592748328597379658e-04
1.810097329705056657e+00 4.183608674783277225e-04 1.461838119723584188e-05 -4.181053914605636673e-04
1.840776945462769376e+00 4.408346466794232010e-04 -1.492106258446867194e-04 -4.148148681617003014e-04
1.871456561220482318e+00 4.579495714327931491e-04 -3.058316132499701800e-04 -3.408589654276378256e-04
1.902136176978195037e+00 4.689565900860748660e-04 -4.225491207456623117e-04 -2.034023695590258390e-04
1.932815792735907978e+00 4.733380702230245121e-04 -4.726580748374576151e-04 -2.536282739375146585e-05
1.963495408493620697e+00 4.708316577770739714e-04 -4.430988608071262142e-04 1.592037986875144678e-04
1.994175024251333417e+00 4.614410051272243717e-04 -3.387481908923104120e-04 3.133328332301132035e-04
2.024854640009046136e+00 4.454329476281424600e-04 -1.817779726355478584e-04 4.066537587397976456e-04
2.055534255766759077e+00 4.233214881536052064e-04 -6.070436730449342062e-06 4.232779608371838574e-04
