# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.049319382606050087e-02 -1.049319382606050087e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.080431567630591068e-02 -1.073529316229822513e-02 1.219310441512997311e-03
6.135923151542564680e-02 1.160040514234889422e-02 -1.120662376270618009e-02 2.996828875291986886e-03
9.203884727313846326e-02 1.257443288790453979e-02 -1.129720525420835342e-02 5.521731240897410735e-03
1.227184630308512936e-01 1.342160047648354761e-02 -1.041490219155890781e-02 8.465764684339202248e-03
1.533980787885641239e-01 1.392933235667779580e-02 -8.354508788358206914e-03 1.114578318504520597e-02
1.840776945462769265e-01 1.400386457510224315e-02 -5.442088618082581951e-03 1.290317381541222080e-02
2.147573103039897569e-01 1.368204547928120011e-02 -2.365145134412946840e-03 1.347606979019780327e-02
2.454369260617025872e-01 1.314329795309213123e-02 2.149246286824156604e-04 1.314154056751876826e-02
2.761165418194154175e-01 1.270313353415646745e-02 2.040439596233658594e-03 1.253818997466270638e-02
3.067961575771282479e-01 1.273002728864955531e-02 3.398923920401634990e-03 1.226788127400505607e-02
3.374757733348410782e-01 1.344769829282419123e-02 4.937408620938905229e-03 1.250850052902844484e-02
3.681553890925538530e-01 1.477017236636846489e-02 7.249701373175935354e-03 1.286855942722438424e-02
3.988350048502666834e-01 1.636676268957454328e-02 1.047251492924717448e-02 1.257765288094501478e-02
4.295146206079795137e-01 1.785027170518467196e-02 1.412602368047502499e-02 1.091272903207879570e-02
4.601942363656923440e-01 1.890138559974562787e-02 1.729642644577365773e-02 7.622073851401138869e-03
4.908738521234051744e-01 1.931388925217696409e-02 1.906206016862876940e-02 3.108726455147410236e-03
5.215534678811180047e-01 1.900425629320046800e-02 1.892572449371427226e-02 -1.725893868600633088e-03
5.522330836388308350e-01 1.800449099410916451e-02 1.701705204279163608e-02 -5.880615250964732130e-03
5.829126993965436654e-01 1.643716712472328978e-02 1.397023357496026026e-02 -8.661006693631937217e-03
6.135923151542564957e-01 1.446589816403557292e-02 1.057937213421568379e-02 -9.866057720185325564e-03
6.442719309119693261e-01 1.222055964826765373e-02 7.465150675218725808e-03 -9.675412317475108256e-03
6.749515466696821564e-01 9.721909881510169479e-03 4.967898974220149103e-03 -8.356764417293782027e-03
7.056311624273949867e-01 6.889486181592661268e-03 3.319726272000889100e-03 -6.036922835795013181e-03
7.363107781851077061e-01 4.020930078189192784e-03 2.940479415038300785e-03 -2.742527940317574919e-03
7.669903939428205364e-01 4.757128975191322016e-03 4.584136164454553214e-03 1.271208760331966024e-03
7.976700097005333667e-01 1.045885495321934727e-02 9.123715186656628645e-03 5.113263940503372067e-03
8.283496254582461971e-01 1.841135373598134367e-02 1.698711875336082755e-02 7.100404414584505011e-03
8.590292412159590274e-01 2.798685181691062604e-02 2.751910662122903500e-02 5.095355276243438911e-03
8.897088569736718577e-01 3.877238683028386840e-02 3.867917917658296456e-02 -2.686834334855890336e-03
9.203884727313846881e-01 5.025287255835803740e-02 4.738139014798290610e-02 -1.674380685540785910e-02
9.510680884890975184e-01 6.182975189406917510e-02 5.046223169181653090e-02 -3.572787975746081340e-02
9.817477042468103487e-01 7.291015977440210016e-02 4.588601016125783832e-02 -5.666008709673665822e-02
1.012427320004523068e+00 8.303704777423957795e-02 3.358247632650637055e-02 -7.594319315673382642e-02
1.043106935762236009e+00 9.205111144756193686e-02 1.541433456022650583e-02 -9.075133833061017896e-02
1.073786551519948729e+00 1.002640737723381748e-01 -5.816859642599929610e-03 -1.000951978534593001e-01
1.104466167277661670e+00 1.085849526325559922e-01 -2.789091159549748553e-02 -1.049418362169567270e-01
1.135145783035374389e+00 1.184799321895726870e-01 -5.042395451130414485e-02 -1.072143607129552034e-01
1.165825398793087331e+00 1.316359653774244465e-01 -7.511062490914044432e-02 -1.081037529718783530e-01
1.196505014550800050e+00 1.493804191233116252e-01 -1.046788653423489229e-01 -1.065684980099401991e-01
1.227184630308512991e+00 1.722048593708630781e-01 -1.409714615282151307e-01 -9.890177261069535430e-02
1.257864246066225711e+00 1.997206039257222177e-01 -1.831065388109930081e-01 -7.975158353984905524e-02
1.288543861823938652e+00 2.309970828681834343e-01 -2.267276942804464512e-01 -4.420639026071681438e-02
1.319223477581651371e+00 2.650280657330592593e-01 -2.648362769786983262e-01 1.008077488435185458e-02
1.349903093339364313e+00 3.011695101277601649e-01 -2.898284148861571818e-01 8.186918684812122260e-02
1.380582709097077032e+00 3.395089182053519505e-01 -2.956032204109916295e-01 1.669881481531520773e-01
1.411262324854789973e+00 3.811299734966308028e-01 -2.784414643276332257e-01 2.602506630935373377e-01
1.441941940612502693e+00 4.281809429975697578e-01 -2.359878645091190164e-01 3.572795092790990168e-01
1.472621556370215412e+00 4.836283541464455049e-01 -1.648843228983070675e-01 4.546532139958614493e-01
1.503301172127928353e+00 5.506593351112508694e-01 -5.878716240349941141e-02 5.475123495243824356e-01
1.533980787885641073e+00 6.318884528718016202e-01 9.107006498921373094e-02 6.252913402051714087e-01
1.564660403643354014e+00 7.286726565080153817e-01 2.914012743367869196e-01 6.678691021879546996e-01
1.595340019401066733e+00 8.407700264280384417e-01 5.390233764901255498e-01 6.452503676380114683e-01
1.626019635158779675e+00 9.663582409536229934e-01 8.124680826204484507e-01 5.232053751463496827e-01
1.656699250916492394e+00 1.102275132663734780e+00 1.067408087349716261e+00 2.750462563811303385e-01
1.687378866674205335e+00 1.244339760824562768e+00 1.240039027806391969e+00 -1.033665801209868729e-01
1.718058482431918055e+00 1.387678495356363007e+00 1.260239616979121680e+00 -5.809024997973553095e-01
1.748738098189630996e+00 1.527034173827843233e+00 1.072500948908984952e+00 -1.087002797893092287e+00
1.779417713947343715e+00 1.657057858653662841e+00 6.586934845322764964e-01 -1.520514268384414169e+00
1.810097329705056657e+00 1.772584599295106811e+00 5.445766642975060495e-02 -1.771747872645885291e+00
1.840776945462769376e+00 1.868890235155193702e+00 -6.483379040139249927e-01 -1.752828763250211308e+00
1.871456561220482318e+00 1.941922122687822494e+00 -1.316800522507081572e+00 -1.427269391008388233e+00
1.902136176978195037e+00 1.988494583383732417e+00 -1.807701071802347847e+00 -8.284488778138852094e-01
1.932815792735907978e+00 2.006439843325240169e+00 -2.005566142756551429e+00 -5.920550575429994050e-02
