# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.038341988805391997e-02 -1.038341988805391997e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.064699168689890209e-02 -1.056451837004135016e-02 1.322642653914185562e-03
6.135923151542564680e-02 1.132583178232046510e-02 -1.088970284201693992e-02 3.112689765136986402e-03
9.203884727313846326e-02 1.216391611917815030e-02 -1.083973841957401076e-02 5.519141812783319792e-03
1.227184630308512936e-01 1.289948640143551498e-02 -9.918012090942906339e-03 8.248017069861704811e-03
1.533980787885641239e-01 1.334747032575448605e-02 -7.966970573202548228e-03 1.070898426474804419e-02
1.840776945462769265e-01 1.343016559258540694e-02 -5.284154981392726741e-03 1.234694512731336971e-02
2.147573103039897569e-01 1.319127022117622290e-02 -2.463942053614997206e-03 1.295911260868266683e-02
2.454369260617025872e-01 1.280384381823833524e-02 -5.638204445667770198e-05 1.280371967776954001e-02
2.761165418194154175e-01 1.255201614751469581e-02 1.752600565841715488e-03 1.242905871834552693e-02
3.067961575771282479e-01 1.273925769374009004e-02 3.243389975390200634e-03 1.231946054237174903e-02
3.374757733348410782e-01 1.351795111509574397e-02 4.977260418055079114e-03 1.256828870932636018e-02
3.681553890925538530e-01 1.477849380845654322e-02 7.424618303094611058e-03 1.277806410611329220e-02
3.988350048502666834e-01 1.622042049725530219e-02 1.062290487164366248e-02 1.225789268984637734e-02
4.295146206079795137e-01 1.750348515832831839e-02 1.406868696856475830e-02 1.041364679967377548e-02
4.601942363656923440e-01 1.834885301824235038e-02 1.691518110844020956e-02 7.110348455155264882e-03
4.908738521234051744e-01 1.858096466878658010e-02 1.836888390456699327e-02 2.799348517643854544e-03
5.215534678811180047e-01 1.813910962663475845e-02 1.806293709856199997e-02 -1.660602728067834492e-03
5.522330836388308350e-01 1.707122001455193064e-02 1.620130239239629677e-02 -5.379995685441812080e-03
5.829126993965436654e-01 1.550787229649023408e-02 1.340871384801602291e-02 -7.791052310585050433e-03
6.135923151542564957e-01 1.361060525836854662e-02 1.040183768720138839e-02 -8.777832775135694515e-03
6.442719309119693261e-01 1.149800966363330110e-02 7.704593107124880179e-03 -8.534838679122679420e-03
6.749515466696821564e-01 9.187430534178664746e-03 5.593642134659022880e-03 -7.288350121236335938e-03
7.056311624273949867e-01 6.678528897189040490e-03 4.295311880957415965e-03 -5.114004700417778583e-03
7.363107781851077061e-01 4.720382447270714786e-03 4.263125134520146312e-03 -2.026764548714044163e-03
7.669903939428205364e-01 6.491841615214715040e-03 6.272959832350545085e-03 1.671521013553292851e-03
7.976700097005333667e-01 1.223079375923952043e-02 1.115614482282692270e-02 5.013257291738022758e-03
8.283496254582461971e-01 2.021731700495959030e-02 1.921957452228357024e-02 6.272787423579456387e-03
8.590292412159590274e-01 2.983800123777577765e-02 2.964730055301860456e-02 3.368068850913158614e-03
8.897088569736718577e-01 4.062984507232799553e-02 4.028103387647744005e-02 -5.312496629970945954e-03
9.203884727313846881e-01 5.204910218780440384e-02 4.804416505890751754e-02 -2.002166931973843947e-02
9.510680884890975184e-01 6.348946398833854587e-02 4.994486286014718918e-02 -3.919722836384772341e-02
9.817477042468103487e-01 7.437241024580210080e-02 4.423604957642712776e-02 -5.978651456341782522e-02
1.012427320004523068e+00 8.428028784307731169e-02 3.113580734661765270e-02 -7.831812318860989497e-02
1.043106935762236009e+00 9.312042941625200965e-02 1.265672235431864953e-02 -9.225628300507701662e-02
1.073786551519948729e+00 1.012948754959134418e-01 -8.476156266964860256e-03 -1.009396184690164039e-01
1.104466167277661670e+00 1.098079452244598575e-01 -3.032818454805276398e-02 -1.055366574060275509e-01
1.135145783035374389e+00 1.201841240984284909e-01 -5.288127789304298415e-02 -1.079249467625776754e-01
1.165825398793087331e+00 1.340818896882169098e-01 -7.808890079926965322e-02 -1.089957646623252591e-01
1.196505014550800050e+00 1.527061412236735971e-01 -1.086768366490375171e-01 -1.072777271542558475e-01
1.227184630308512991e+00 1.763929052615442195e-01 -1.461887929089435434e-01 -9.870812456142674662e-02
1.257864246066225711e+00 2.046407141017265174e-01 -1.892597452110346135e-01 -7.783682104710364091e-02
1.288543861823938652e+00 2.364828544303390068e-01 -2.330797929641037491e-01 -3.997437368279118525e-02
1.319223477581651371e+00 2.709511866403251923e-01 -2.704306586249118904e-01 1.678703122939597531e-02
1.349903093339364313e+00 3.075017926269327795e-01 -2.937984401381740773e-01 9.077350407003637045e-02
1.380582709097077032e+00 3.463701595624495422e-01 -2.973691764226639167e-01 1.776059130463378544e-01
1.411262324854789973e+00 3.888120816240649424e-01 -2.776518745360300189e-01 2.721842599847889566e-01
1.441941940612502693e+00 4.371302026399138674e-01 -2.322075549499947600e-01 3.703545132493423764e-01
1.472621556370215412e+00 4.943720772997906021e-01 -1.572136964197828612e-01 4.687084429277315056e-01
1.503301172127928353e+00 5.636881881185394905e-01 -4.571750454313466827e-02 5.618311874599970501e-01
1.533980787885641073e+00 6.475366535111495292e-01 1.112885284702181954e-01 6.379017017310362192e-01
1.564660403643354014e+00 7.470422043650749577e-01 3.198045960011554611e-01 6.751274512854356091e-01
1.595340019401066733e+00 8.617147496349406577e-01 5.746345179842964335e-01 6.421428816699316089e-01
1.626019635158779675e+00 9.895110445536852151e-01 8.511888921205793546e-01 5.045885226838455750e-01
1.656699250916492394e+00 1.127093387925560908e+00 1.101753148512437885e+00 2.376541706944124699e-01
1.687378866674205335e+00 1.270152855148744653e+00 1.260192694407576530e+00 -1.587534201341211093e-01
