# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.112059386084093132e-02 -1.112059386084093132e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.137329266589541706e-02 -1.127287872666581613e-02 1.507975887736855971e-03
6.135923151542564680e-02 1.202552788238546097e-02 -1.151621962932184752e-02 3.462658848233872433e-03
9.203884727313846326e-02 1.283155782345588025e-02 -1.134415883315836003e-02 5.996577069025875624e-03
1.227184630308512936e-01 1.353516119096118304e-02 -1.027811829505816468e-02 8.806865093669392214e-03
1.533980787885641239e-01 1.395253079288110570e-02 -8.179471743839742195e-03 1.130351084920179494e-02
1.840776945462769265e-01 1.400654112753864193e-02 -5.360743933201267408e-03 1.294007800749583104e-02
2.147573103039897569e-01 1.374267247184231093e-02 -2.423501471832254037e-03 1.352729415974825850e-02
2.454369260617025872e-01 1.333669909571734424e-02 8.415214347071022329e-05 1.333643360072163733e-02
2.761165418194154175e-01 1.307455199055690409e-02 1.985323105398765879e-03 1.292294091609744004e-02
3.067961575771282479e-01 1.325909978572550885e-02 3.571429370546176305e-03 1.276904927467297293e-02
3.374757733348410782e-01 1.404130243415830856e-02 5.410401760628405325e-03 1.295707246395145715e-02
3.681553890925538530e-01 1.531137545536498216e-02 7.969730686685824045e-03 1.307369921318566469e-02
3.988350048502666834e-01 1.676836285203941318e-02 1.127250622727877724e-02 1.241404833620429055e-02
4.295146206079795137e-01 1.806957813117496953e-02 1.479178028978456703e-02 1.037848205169607241e-02
4.601942363656923440e-01 1.893213308520787924e-02 1.765360816096911076e-02 6.839282276305577724e-03
4.908738521234051744e-01 1.917509388402081211e-02 1.904042029195517072e-02 2.268616443278615412e-03
5.215534678811180047e-01 1.873030136875013588e-02 1.857032979766221059e-02 -2.442752662522811209e-03
5.522330836388308350e-01 1.763468448851806050e-02 1.644543059165781695e-02 -6.366310522158397274e-03
5.829126993965436654e-01 1.600286604915508726e-02 1.330424031815178113e-02 -8.893194664689688805e-03
6.135923151542564957e-01 1.397538600492325388e-02 9.894350918936674691e-03 -9.869814277864692384e-03
6.442719309119693261e-01 1.164619286757504098e-02 6.788114254717340576e-03 -9.463366904736335294e-03
