# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.766162672592656060e-07 -6.766162672592656060e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.253646958907857088e-07 -7.045940202013238588e-07 1.723403862745712792e-07
6.135923151542564680e-02 8.609523789335926606e-07 -7.481821789150569253e-07 4.259840677130194603e-07
9.203884727313846326e-02 1.057763711634783887e-06 -7.122784713133713616e-07 7.819996476692818966e-07
1.227184630308512936e-01 1.283664715113834768e-06 -5.089336128650838200e-07 1.178465815594315588e-06
1.533980787885641239e-01 1.504448951341574250e-06 -1.171551015067964502e-07 1.499880438362903228e-06
1.840776945462769265e-01 1.688743328550302981e-06 3.966350148625486343e-07 1.641503790646900302e-06
2.147573103039897569e-01 1.814898590981711556e-06 9.111535927740441808e-07 1.569603779914648857e-06
2.454369260617025872e-01 1.879122199925685770e-06 1.317162360946884270e-06 1.340217727519815576e-06
2.761165418194154175e-01 1.903297427609849256e-06 1.578423543167119133e-06 1.063541356187913573e-06
3.067961575771282479e-01 1.937467037053225693e-06 1.748757020156960115e-06 8.340428071265616917e-07
3.374757733348410782e-01 2.044970251638393153e-06 1.932742203665702283e-06 6.681398837484849504e-07
3.681553890925538530e-01 2.264735706699792605e-06 2.211451035174546665e-06 4.883770471945162638e-07
3.988350048502666834e-01 2.582042374891122058e-06 2.576662548898092858e-06 1.665921211803497813e-07
4.295146206079795137e-01 2.940573388342825449e-06 2.913762146456990861e-06 -3.961843082510359501e-07
4.601942363656923440e-01 3.273337750992874232e-06 3.046300560455747216e-06 -1.197828421537111072e-06
4.908738521234051744e-01 3.523269550901217306e-06 2.819724343386317941e-06 -2.112482652147057055e-06
5.215534678811180047e-01 3.652028127345877435e-06 2.179127721894153916e-06 -2.930650408117255034e-06
5.522330836388308350e-01 3.642976817716782754e-06 1.199760756107791594e-06 -3.439746243914738836e-06
5.829126993965436654e-01 3.501104084326632232e-06 5.735285927859070022e-08 -3.500634293784655941e-06
6.135923151542564957e-01 3.251282892278802472e-06 -1.039097600942885429e-06 -3.080765590131705274e-06
6.442719309119693261e-01 2.938344181027248162e-06 -1.908729899739683138e-06 -2.233968821630335235e-06
6.749515466696821564e-01 2.637846993390315400e-06 -2.418845846389336686e-06 -1.052340977033290257e-06
7.056311624273949867e-01 2.487168088482491515e-06 -2.460073442856683588e-06 3.661198657774726284e-07
7.363107781851077061e-01 2.695655027937805126e-06 -1.909316289983081035e-06 1.902910227638606052e-06
7.669903939428205364e-01 3.421719440561623922e-06 -6.285439598711638606e-07 3.363494673762220930e-06
7.976700097005333667e-01 4.664195530594489062e-06 1.471412063926777113e-06 4.426021518898020920e-06
8.283496254582461971e-01 6.348231449612894086e-06 4.318423277849280624e-06 4.653091760451721972e-06
8.590292412159590274e-01 8.390986380442064737e-06 7.579895228516392048e-06 3.599144448543105524e-06
8.897088569736718577e-01 1.069907524974750751e-05 1.065322671317075649e-05 9.894300367103795449e-07
9.203884727313846881e-01 1.316183440650755019e-05 1.278927710794033930e-05 -3.109385148327418628e-06
9.510680884890975184e-01 1.565770506110704513e-05 1.332280529174891728e-05 -8.225970273394147880e-06
9.817477042468103487e-01 1.807274396393999239e-05 1.191387205817298916e-05 -1.358983910749551129e-05
1.012427320004523068e+00 2.032893940504489866e-05 8.676375487265054577e-06 -1.838440332830993095e-05
1.043106935762236009e+00 2.241934166496178829e-05 4.108931399425854953e-06 -2.203959081845904041e-05
1.073786551519948729e+00 2.444307535777676742e-05 -1.161712447454592816e-06 -2.441545324452083597e-05
1.104466167277661670e+00 2.662438822408727833e-05 -6.709270443773788218e-06 -2.576516521234088316e-05
1.135145783035374389e+00 2.928997325540151311e-05 -1.253633808342113707e-05 -2.647154624800562747e-05
1.165825398793087331e+00 3.278655911691845474e-05 -1.906198600220905835e-05 -2.667581579593723376e-05
1.196505014550800050e+00 3.736489945767280881e-05 -2.684246095301391950e-05 -2.599265283629050073e-05
1.227184630308512991e+00 4.310136126830272794e-05 -3.614294931617781907e-05 -2.348221790864201750e-05
1.257864246066225711e+00 4.990512670245177075e-05 -4.657377578713229796e-05 -1.792777398668596368e-05
1.288543861823938652e+00 5.759197366141803642e-05 -5.699018286615392936e-05 -8.303883856353257750e-06
1.319223477581651371e+00 6.597972400753466995e-05 -6.572466511404094697e-05 5.795893007778432175e-06
1.349903093339364313e+00 7.497879269914574406e-05 -7.103510007432382780e-05 2.399653958495413618e-05
1.380582709097077032e+00 8.466736160716528019e-05 -7.151326116072786803e-05 4.532566160218751513e-05
1.411262324854789973e+00 9.533885900091856056e-05 -6.619908582473552332e-05 6.860888478591043577e-05
1.441941940612502693e+00 1.075006891752300245e-04 -5.431298368061883040e-05 9.277121308282137654e-05
1.472621556370215412e+00 1.218040981381720422e-04 -3.478470410057241309e-05 1.167315839175030856e-04
1.503301172127928353e+00 1.389077581571948378e-04 -5.982383005201786720e-06 1.387788758054942537e-04
1.533980787885641073e+00 1.593144470959400769e-04 3.392023170403302233e-05 1.556615268286605297e-04
1.564660403643354014e+00 1.832394365038767165e-04 8.573364266986082424e-05 1.619457736553038107e-04
1.595340019401066733e+00 2.105489873337542956e-04 1.474418580277921543e-04 1.503056039160942619e-04
1.626019635158779675e+00 2.407674902398111694e-04 2.125097751414771767e-04 1.131749964687270288e-04
1.656699250916492394e+00 2.731275970033525315e-04 2.692868725142468704e-04 4.564279281903646285e-05
1.687378866674205335e+00 3.066381973182428816e-04 3.023324932265813135e-04 -5.120593319119175581e-05
1.718058482431918055e+00 3.401561946631127646e-04 2.958864404707114244e-04 -1.678018209473949450e-04
1.748738098189630996e+00 3.724569969012718322e-04 2.388298984660888269e-04 -2.858049932023436278e-04
1.779417713947343715e+00 4.023024489738299004e-04 1.296623192507997393e-04 -3.808345354833837966e-04
1.810097329705056657e+00 4.285054731195294796e-04 -2.036591539213665611e-05 -4.280212260900528214e-04
1.840776945462769376e+00 4.499900794893678261e-04 -1.875288648241509699e-04 -4.090525595771439256e-04
1.871456561220482318e+00 4.658447902859263611e-04 -3.398990916039646001e-04 -3.185592192408475873e-04
1.902136176978195037e+00 4.753672559212189269e-04 -4.448523345980288381e-04 -1.675721587995841603e-04
1.932815792735907978e+00 4.780979646394870768e-04 -4.777775955112533498e-04 1.749951484771673904e-05
1.963495408493620697e+00 4.738413798815077800e-04 -4.293121193711835638e-04 2.005411614832077361e-04
1.994175024251333417e+00 4.626734841606571836e-04 -3.086755390718601841e-04 3.446536878143891523e-04
2.024854640009046136e+00 4.449354720668709804e-04 -1.418185071630780167e-04 4.217286868703684828e-04
2.055534255766759077e+00 4.212141370017500556e-04 3.523968725842799564e-05 4.197374341800564875e-04
2.086213871524472019e+00 3.923102666395609519e-04 1.859171686212813960e-04 3.454593343979135483e-04
2.116893487282184960e+00 3.591970430050087982e-04 2.825051733727655862e-04 2.218408049056029747e-04
2.147573103039897457e+00 3.229709895531715611e-04 3.126684409631551461e-04 8.092407626055947184e-05
2.178252718797610399e+00 2.847983896553931359e-04 2.811711904917378168e-04 -4.530876722847394957e-05
2.208932334555323340e+00 2.458603059434584818e-04 2.066113983471275998e-04 -1.332629735209880657e-04
2.239611950313036282e+00 2.072993684306680085e-04 1.145703558020792962e-04 -1.727618642037032093e-04
2.270291566070748779e+00 1.701714180542237198e-04 2.963548953134201717e-05 -1.675710275758404949e-04
2.300971181828461720e+00 1.354050155059502382e-04 -3.110766191168714184e-05 -1.317832750942045318e-04
2.331650797586174662e+00 1.037720919632751520e-04 -6.127901703680441550e-05 -8.374681570924036864e-05
2.362330413343887603e+00 7.587469809722524876e-05 -6.458265549570239448e-05 -3.982524852990246072e-05
2.393010029101600100e+00 5.215991778330252878e-05 -5.118753893931640898e-05 -1.002461373304955086e-05
2.423689644859313042e+00 3.300551661057768757e-05 -3.282897040675857546e-05 3.409227003777999891e-06
2.454369260617025983e+00 1.905780042004165552e-05 -1.851532468519291775e-05 4.514699176249239156e-06
2.485048876374738480e+00 1.219924130465240334e-05 -1.219447414823932632e-05 3.410112271759555951e-07
2.515728492132451422e+00 1.305753992513597485e-05 -1.279692540694969787e-05 -2.595775226302411423e-06
2.546408107890164363e+00 1.615402219414208097e-05 -1.613493446275854782e-05 -7.850623741598514217e-07
2.577087723647877304e+00 1.841353245892614389e-05 -1.755158563468455423e-05 5.567766098199659139e-06
2.607767339405589802e+00 1.954574727849519038e-05 -1.414800847393268707e-05 1.348592202618460319e-05
2.638446955163302743e+00 1.996690051714736030e-05 -5.810384641014541829e-06 1.910278897399858154e-05
2.669126570921015684e+00 2.020252023039752190e-05 5.120493713987729246e-06 1.954283417994005570e-05
2.699806186678728626e+00 2.065030275424542433e-05 1.513043950406836165e-05 1.405364024926366632e-05
2.730485802436441123e+00 2.145782940224544253e-05 2.106459262033367910e-05 4.089178449915443376e-06
2.761165418194154064e+00 2.253459691621956240e-05 2.125777567901561036e-05 -7.477635412157015677e-06
2.791845033951867006e+00 2.367025177267186923e-05 1.590770668587110199e-05 -1.752785460283053592e-05
2.822524649709579947e+00 2.465712658025572186e-05 6.714849358738928851e-06 -2.372519102734889460e-05
2.853204265467292444e+00 2.535497256956951133e-05 -3.903620307275663762e-06 -2.505267216287011914e-05
2.883883881225005386e+00 2.570238357091274246e-05 -1.362859522886390785e-05 -2.179160189876166534e-05
2.914563496982718327e+00 2.569959101329787087e-05 -2.078427676164434313e-05 -1.511564810870350002e-05
2.945243112740430824e+00 2.538093452034417006e-05 -2.451492338283762582e-05 -6.573459413398661863e-06
2.975922728498143766e+00 2.478772592472458617e-05 -2.467934904862116845e-05 2.315402136905125021e-06
3.006602344255856707e+00 2.394833916452154623e-05 -2.163758619649248322e-05 1.026342108306554446e-05
3.037281960013569648e+00 2.286965690678325637e-05 -1.607746520823466859e-05 1.626457252779743077e-05
3.067961575771282146e+00 2.154061349834222302e-05 -8.930843004094210223e-06 1.960199156007329756e-05
3.098641191528995087e+00 1.994496905512301515e-05 -1.331424840531828245e-06 1.990047985611978409e-05
3.129320807286708028e+00 1.807841381863082306e-05 5.473642016537900164e-06 1.722986620007401309e-05
3.160000423044420970e+00 1.596580446496977457e-05 1.031238170956967727e-05 1.218858874889876371e-05
3.190680038802133467e+00 1.367760885903021809e-05 1.235236369413561030e-05 5.873337660004095382e-06
3.221359654559846408e+00 1.134998367874950477e-05 1.134556609657027943e-05 -3.166377365937151461e-07
3.252039270317559350e+00 9.218984837685437807e-06 7.739308553846371163e-06 -5.009269861550123640e-06
3.282718886075272291e+00 7.666014088812528451e-06 2.583688444742480220e-06 -7.217501370306511183e-06
3.313398501832984788e+00 7.144270357659808470e-06 -2.748998099906278506e-06 -6.594210217307928251e-06
3.344078117590697730e+00 7.765748802301600302e-06 -6.936782268015684366e-06 -3.491118191438369559e-06
3.374757733348410671e+00 9.118791392345049833e-06 -9.040684837808415502e-06 1.190955129518822587e-06
3.405437349106123612e+00 1.072818479972462363e-05 -8.690043150441957920e-06 6.291033233142172099e-06
3.436116964863836110e+00 1.230912441061054881e-05 -6.081507210878498346e-06 1.070186029622519975e-05
3.466796580621549051e+00 1.372642572890236933e-05 -1.828906584829767802e-06 1.360403851784606179e-05
3.497476196379261992e+00 1.492660477885688449e-05 3.251327122528944150e-06 1.456819831573214272e-05
