# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 7.431021399261619782e-07 -7.431021399261619782e-07 0.000000000000000000e+00
3.067961575771282340e-02 7.881001816361489983e-07 -7.601656080853365707e-07 2.079666910329187339e-07
6.135923151542564680e-02 9.143093117761499230e-07 -7.754438703970267062e-07 4.844051212200963409e-07
9.203884727313846326e-02 1.099129878186455831e-06 -7.051477783893457063e-07 8.431210469171929289e-07
1.227184630308512936e-01 1.312323318880336807e-06 -4.744598992404770798e-07 1.223552327156390438e-06
1.533980787885641239e-01 1.521012405075364043e-06 -7.148865390948350624e-08 1.519331467703921769e-06
1.840776945462769265e-01 1.695349631601447426e-06 4.362574078477239483e-07 1.638258174851921122e-06
2.147573103039897569e-01 1.815705968702724033e-06 9.347170126358138555e-07 1.556628494879840518e-06
2.454369260617025872e-01 1.880813071384433885e-06 1.326630013715472699e-06 1.333233143977388618e-06
2.761165418194154175e-01 1.915069043800403920e-06 1.586694189173381269e-06 1.072329703293730011e-06
3.067961575771282479e-01 1.969177933117226846e-06 1.773217557881471478e-06 8.563651234705346126e-07
3.374757733348410782e-01 2.102430467438104565e-06 1.986283867879713140e-06 6.891228240399620544e-07
3.681553890925538530e-01 2.345820926118233460e-06 2.294977268554587798e-06 4.857521530903693563e-07
3.988350048502666834e-01 2.679085039160762559e-06 2.676417164104840566e-06 1.195316307093207383e-07
4.295146206079795137e-01 3.045649766228718387e-06 3.004585582864616929e-06 -4.984455574795856572e-07
4.601942363656923440e-01 3.380971534983730279e-06 3.099256911863585445e-06 -1.351138451320231506e-06
4.908738521234051744e-01 3.630777952053627026e-06 2.810731834136413920e-06 -2.298333111994620838e-06
5.215534678811180047e-01 3.759220851314862348e-06 2.095139219881063904e-06 -3.121239026136352164e-06
5.522330836388308350e-01 3.751946753005252985e-06 1.040656190619212159e-06 -3.604738427446931146e-06
5.829126993965436654e-01 3.616382254554868849e-06 -1.659045783865826146e-07 -3.612574744130524613e-06
6.135923151542564957e-01 3.380709270434109515e-06 -1.307681428098402106e-06 -3.117557449960730745e-06
6.442719309119693261e-01 3.095119388026082521e-06 -2.198006659311704819e-06 -2.179112377037116060e-06
6.749515466696821564e-01 2.842946115715227863e-06 -2.698295453295417972e-06 -8.952900443909661813e-07
7.056311624273949867e-01 2.764557288534555965e-06 -2.692470594624294946e-06 6.271994090184016633e-07
7.363107781851077061e-01 3.049506303437413615e-06 -2.052200915814025400e-06 2.255650703419435748e-06
7.669903939428205364e-01 3.829534477292662537e-06 -6.406362430723761345e-07 3.775568767329672211e-06
7.976700097005333667e-01 5.106805167104003541e-06 1.618750566612706472e-06 4.843460087360191482e-06
8.283496254582461971e-01 6.817972184505389500e-06 4.628136654485809793e-06 5.006505349651999454e-06
8.590292412159590274e-01 8.883146338563281016e-06 8.020561866851914684e-06 3.818491352920832304e-06
8.897088569736718577e-01 1.120724079066822681e-05 1.116041402934305499e-05 1.023427981667743582e-06
9.203884727313846881e-01 1.367721113966542819e-05 1.327892368862365976e-05 -3.276627874919203751e-06
9.510680884890975184e-01 1.617009859004800025e-05 1.371306222652326310e-05 -8.568781289271727548e-06
9.817477042468103487e-01 1.857230360096255085e-05 1.214708928698847857e-05 -1.404915239081191790e-05
1.012427320004523068e+00 2.080838852633545109e-05 8.731754992700670084e-06 -1.888770732011632039e-05
1.043106935762236009e+00 2.287648507834353002e-05 3.999985695452030270e-06 -2.252406899243236565e-05
1.073786551519948729e+00 2.488309202023554302e-05 -1.403638061311948995e-06 -2.484347134923673000e-05
1.104466167277661670e+00 2.706082799740032723e-05 -7.056930019106288961e-06 -2.612447416906839889e-05
1.135145783035374389e+00 2.974292374986922091e-05 -1.298208042842107143e-05 -2.676017752072173625e-05
1.165825398793087331e+00 3.327739766437922943e-05 -1.961763513464580988e-05 -2.687998487791877687e-05
1.196505014550800050e+00 3.790983793842665913e-05 -2.752241997145790414e-05 -2.607052380433635090e-05
1.227184630308512991e+00 4.370763569145153860e-05 -3.693878096618214264e-05 -2.336415798759005334e-05
1.257864246066225711e+00 5.057155317306516890e-05 -4.743413259508580377e-05 -1.753525178855371526e-05
1.288543861823938652e+00 5.831267067449764121e-05 -5.781809577793359955e-05 -7.578612129282873441e-06
1.319223477581651371e+00 6.674925383358753877e-05 -6.639501829922243848e-05 6.867636593954102334e-06
1.349903093339364313e+00 7.579770996023559959e-05 -7.142314067778091763e-05 2.537770302722285712e-05
1.380582709097077032e+00 8.554742859454918691e-05 -7.151716109770880827e-05 4.694313802531587524e-05
1.411262324854789973e+00 9.630675229286764488e-05 -6.574159985818004803e-05 7.037778474267792424e-05
1.441941940612502693e+00 1.085984948756865513e-04 -5.332000560783959595e-05 9.460766401959448809e-05
1.472621556370215412e+00 1.230852219468909787e-04 -3.315653356791906759e-05 1.185352949271855678e-04
1.503301172127928353e+00 1.404286664790359187e-04 -3.586769005870648457e-06 1.403828531451716541e-04
1.533980787885641073e+00 1.611249722333015270e-04 3.720550410471822154e-05 1.567705557223549116e-04
1.564660403643354014e+00 1.853750713752270649e-04 8.992067191621631666e-05 1.621054898808387554e-04
1.595340019401066733e+00 2.130269600744017910e-04 1.522999638756302712e-04 1.489469929942276226e-04
1.626019635158779675e+00 2.435862176011828223e-04 2.174568971787107315e-04 1.097576570206307446e-04
1.656699250916492394e+00 2.762681282966833679e-04 2.733748667066687840e-04 3.987807625329704554e-05
1.687378866674205335e+00 3.100664719536497813e-04 3.043784631947471573e-04 -5.911825583512638437e-05
1.718058482431918055e+00 3.438254992756874934e-04 2.947536713043459079e-04 -1.770204711460948580e-04
1.748738098189630996e+00 3.763104050303455600e-04 2.337975146877379836e-04 -2.948698747921524657e-04
1.779417713947343715e+00 4.062751934347464062e-04 1.207681773972094503e-04 -3.879105310875134759e-04
1.810097329705056657e+00 4.325272367161149588e-04 -3.214300734910605176e-05 -4.313312388174933630e-04
1.840776945462769376e+00 4.539871794179971038e-04 -2.003487012565699163e-04 -4.073877231590495641e-04
1.871456561220482318e+00 4.697422172614570241e-04 -3.514232672220500564e-04 -3.117040871286251113e-04
1.902136176978195037e+00 4.790905238949213097e-04 -4.528126323608544631e-04 -1.564878591467842547e-04
1.932815792735907978e+00 4.815747317316429639e-04 -4.805871600279448732e-04 3.082537686190387681e-05
1.963495408493620697e+00 4.770028127149242465e-04 -4.265244313638642901e-04 2.135616838004451650e-04
1.994175024251333417e+00 4.654553526813780067e-04 -3.011325517420955500e-04 3.549195283737429057e-04
2.024854640009046136e+00 4.472789774942752565e-04 -1.314259455495052397e-04 4.275344483719913124e-04
2.055534255766759077e+00 4.230664901823676691e-04 4.604800019215799292e-05 4.205530130596265648e-04
2.086213871524472019e+00 3.936250473504816490e-04 1.948583895764582343e-04 3.420100669765996273e-04
2.116893487282184960e+00 3.599343833861238053e-04 2.880546327992626870e-04 2.158177213910643811e-04
2.147573103039897457e+00 3.230976388955728398e-04 3.144080395010740315e-04 7.442895241090694870e-05
2.178252718797610399e+00 2.842877372872671922e-04 2.797853495262707249e-04 -5.039519582635593913e-05
2.208932334555323340e+00 2.446924720438509149e-04 2.035590106708781016e-04 -1.357870945621273675e-04
2.239611950313036282e+00 2.054615375027379193e-04 1.115658710912128675e-04 -1.725326050364042046e-04
2.270291566070748779e+00 1.676587334206674595e-04 2.812190628644508129e-05 -1.652834210652684909e-04
2.300971181828461720e+00 1.322227129003409555e-04 -3.033076737365592401e-05 -1.286968933473188383e-04
2.331650797586174662e+00 9.994058602980674885e-05 -5.818436317390577461e-05 -8.125700350141051756e-05
2.362330413343887603e+00 7.144285072847594441e-05 -5.980881873753655595e-05 -3.907666978430727079e-05
2.393010029101600100e+00 4.724631248807908816e-05 -4.578191422735376119e-05 -1.167177678849460189e-05
2.423689644859313042e+00 2.796476231481244583e-05 -2.795510317992521156e-05 -7.349404898967846606e-07
2.454369260617025983e+00 1.531834177573788001e-05 -1.521835865400952743e-05 -1.747327855970289494e-06
2.485048876374738480e+00 1.342923278720690615e-05 -1.126389894589570234e-05 -7.312241365658181947e-06
2.515728492132451422e+00 1.818449568703500474e-05 -1.470892415598735111e-05 -1.069221368871790318e-05
2.546408107890164363e+00 2.258593546666947085e-05 -2.102585367139774117e-05 -8.248512489747958658e-06
2.577087723647877304e+00 2.518225876568283190e-05 -2.518187596910672086e-05 -1.388496249013992426e-07
2.607767339405589802e+00 2.610152965329784366e-05 -2.385381475391385521e-05 1.059647922321127947e-05
2.638446955163302743e+00 2.580547460946756239e-05 -1.648328776918259935e-05 1.985506847477969177e-05
2.669126570921015684e+00 2.482177878791488231e-05 -5.036137976798564511e-06 2.430551411665320938e-05
2.699806186678728626e+00 2.364120932861179991e-05 7.144570425850569241e-06 2.253579135396188273e-05
2.730485802436441123e+00 2.264603769190898423e-05 1.674531717786575190e-05 1.524589701382101895e-05
2.761165418194154064e+00 2.205575623867802413e-05 2.156014280726748327e-05 4.649368278617710875e-06
2.791845033951867006e+00 2.191423814643264184e-05 2.093186410754774635e-05 -6.487749881254518731e-06
2.822524649709579947e+00 2.213495779162131193e-05 1.558265526765627133e-05 -1.572059831069547070e-05
2.853204265467292444e+00 2.257680399337261908e-05 7.092011977373376107e-06 -2.143397874096077132e-05
2.883883881225005386e+00 2.310293408857611063e-05 -2.666889284266119458e-06 -2.294849156364222944e-05
2.914563496982718327e+00 2.360233579078237868e-05 -1.192465758774542196e-05 -2.036842645360393176e-05
2.945243112740430824e+00 2.398515550289824887e-05 -1.920685742842540537e-05 -1.436608200666939037e-05
2.975922728498143766e+00 2.417096241724582659e-05 -2.340757405115083384e-05 -6.026682438605852459e-06
3.006602344255856707e+00 2.408238914835566410e-05 -2.386301455910726829e-05 3.243147120417647973e-06
3.037281960013569648e+00 2.364777289363986204e-05 -2.047722121315089636e-05 1.182795731379054150e-05
3.067961575771282146e+00 2.281069674595087530e-05 -1.385034596174448134e-05 1.812445317177106545e-05
3.098641191528995087e+00 2.154235457933033890e-05 -5.294693970635518908e-06 2.088155302124127717e-05
3.129320807286708028e+00 1.985340667775317738e-05 3.360477364611770710e-06 1.956693508432494176e-05
3.160000423044420970e+00 1.780412311912626724e-05 1.018346121771724740e-05 1.460424313917894563e-05
3.190680038802133467e+00 1.551428833752624314e-05 1.366579170371786525e-05 7.344336575246175239e-06
3.221359654559846408e+00 1.317697049742911475e-05 1.317423522325270845e-05 -2.684730387299950468e-07
3.252039270317559350e+00 1.107872740673853481e-05 9.150708811176496462e-06 -6.245216505924865947e-06
3.282718886075272291e+00 9.600877814175384146e-06 2.972178722259230409e-06 -9.129239204099900864e-06
3.313398501832984788e+00 9.091343207404285675e-06 -3.484671797573270564e-06 -8.396998498154772912e-06
3.344078117590697730e+00 9.565827884661584290e-06 -8.415565349647747198e-06 -4.547892145244578111e-06
3.374757733348410671e+00 1.065462498929387081e-05 -1.059465947414900975e-05 1.128815436335837109e-06
3.405437349106123612e+00 1.192423163977411718e-05 -9.651731358659781801e-06 7.002241211159002641e-06
3.436116964863836110e+00 1.307781444385045363e-05 -6.058311163966410410e-06 1.158991356604282436e-05
3.466796580621549051e+00 1.395356734980685282e-05 -8.725784089205971675e-07 1.392625752691229795e-05
3.497476196379261992e+00 1.447843149053823166e-05 4.632001511660855900e-06 1.371749031062827754e-05
3.528155812136974490e+00 1.463262728477890753e-05 9.316290854228702415e-06 1.128363886229397252e-05
3.558835427894687431e+00 1.442632463215762589e-05 1.240785399629774544e-05 7.359619664014979764e-06
3.589515043652400372e+00 1.388406503758821937e-05 1.358806550800325367e-05 2.851620191784274601e-06
3.620194659410113314e+00 1.303515752668714746e-05 1.296233143334465216e-05 -1.375970769193076491e-06
3.650874275167825811e+00 1.191019784795870856e-05 1.096457820901063287e-05 -4.650896416392155435e-06
3.681553890925538752e+00 1.054490407937416041e-05 8.236405685550791443e-06 -6.584574657958432495e-06
3.712233506683251694e+00 8.994256381982402014e-06 5.495733854963456722e-06 -7.119940818591097552e-06
3.742913122440964635e+00 7.366220595355244078e-06 3.392995583930526388e-06 -6.538255640984353674e-06
3.773592738198677132e+00 5.900782024986347333e-06 2.358440972446012947e-06 -5.408972609090370225e-06
3.804272353956390074e+00 5.099673031931053283e-06 2.467589141448615956e-06 -4.462921561220827254e-06
3.834951969714103015e+00 5.537417305320228542e-06 3.374525082445931695e-06 -4.390395298968331476e-06
3.865631585471815956e+00 7.103212161703999139e-06 4.363473170510092241e-06 -5.604973229589790625e-06
3.896311201229528454e+00 9.240610014527421366e-06 4.537998134338530917e-06 -8.049561874619295810e-06
3.926990816987241395e+00 1.155656140329420449e-05 3.112959799349902596e-06 -1.112940217422933858e-05
3.957670432744954336e+00 1.382835705267560034e-05 -2.788871907270380799e-07 -1.382554449962573519e-05
3.988350048502666834e+00 1.591541291722866106e-05 -5.378354524195146049e-06 -1.497910781515236127e-05
4.019029664260379775e+00 1.772133540821230771e-05 -1.128132688990822125e-05 -1.366665256210872221e-05
4.049709280018092272e+00 1.918141871475003812e-05 -1.663995821249648536e-05 -9.541415754327746700e-06
4.080388895775805658e+00 2.025854749424466780e-05 -2.003274114738510262e-05 -3.016293868049111838e-06
4.111068511533518155e+00 2.094108785090752285e-05 -2.038702615134985372e-05 4.785219439440972387e-06
4.141748127291231540e+00 2.124048056707503578e-05 -1.731430473565751896e-05 1.230336808524721924e-05
4.172427743048944038e+00 2.118781852937337256e-05 -1.124736485370481735e-05 1.795606966686482889e-05
4.203107358806656535e+00 2.082935876163492553e-05 -3.337287117947513043e-06 2.056026996693572492e-05
4.233786974564369920e+00 2.022124166392664778e-05 4.850560585766105987e-06 1.963086030806432365e-05
4.264466590322082418e+00 1.942385485319642958e-05 1.173981192659884222e-05 1.547459056925675435e-05
4.295146206079794915e+00 1.849635689808080502e-05 1.612120088184844838e-05 9.067640300997290115e-06
4.325825821837508300e+00 1.749189380465732737e-05 1.740183160155245326e-05 1.772739626854382173e-06
4.356505437595220798e+00 1.645400169823707981e-05 1.567338810951173633e-05 -5.007901462110135836e-06
4.387185053352934183e+00 1.541458110422207239e-05 1.160676388084494992e-05 -1.014358629050658901e-05
4.417864669110646680e+00 1.439363945309643682e-05 6.227325087242523873e-06 -1.297679771605977403e-05
4.448544284868359178e+00 1.340074137393882286e-05 6.465019838529324976e-07 -1.338513745002530773e-05
4.479223900626072563e+00 1.243783723890435795e-05 -4.178974276289833073e-06 -1.171477567773210987e-05
4.509903516383785060e+00 1.150294563542338779e-05 -7.610842171822021570e-06 -8.625128389022474512e-06
4.540583132141497558e+00 1.059410983254197235e-05 -9.394951175766209345e-06 -4.895922338939987541e-06
4.571262747899210943e+00 9.713122209215310486e-06 -9.633000158032038886e-06 -1.245010444336277081e-06
4.601942363656923440e+00 8.868619059157164305e-06 -8.682759698817928292e-06 1.806125142128555772e-06
4.632621979414635938e+00 8.078142115818568605e-06 -7.019714858309076608e-06 3.997497135883458473e-06
4.663301595172349323e+00 7.368488482629343984e-06 -5.096997507354998314e-06 5.321206529412124142e-06
4.693981210930061820e+00 6.773099848307627840e-06 -3.238090436357929442e-06 5.948920228168480804e-06
4.724660826687775206e+00 6.324904836613827377e-06 -1.587478688531529510e-06 6.122444985925083699e-06
4.755340442445487703e+00 6.044555506707597633e-06 -1.282867105063786060e-07 6.043194005952199044e-06
4.786020058203200200e+00 5.928655098310692582e-06 1.244321170072537172e-06 5.796603841943546815e-06
4.816699673960913586e+00 5.946363763520262343e-06 2.623755237657696855e-06 5.336211245909465912e-06
4.847379289718626083e+00 6.048098537340939914e-06 4.006077168980060147e-06 4.531097177678086236e-06
4.878058905476338580e+00 6.180190539726577468e-06 5.252631415002689796e-06 3.256473295676279024e-06
4.908738521234051966e+00 6.296767321270347446e-06 6.118024225004735563e-06 1.489650388672907252e-06
4.939418136991764463e+00 6.365493941922473322e-06 6.334273715160765276e-06 -6.296742221777390268e-07
4.970097752749476960e+00 6.368473668029641787e-06 5.718657177147891919e-06 -2.802573273019249243e-06
5.000777368507190346e+00 6.300516501784287817e-06 4.262112064178053058e-06 -4.640141047602327012e-06
5.031456984264902843e+00 6.166221730647791512e-06 2.161906300081291856e-06 -5.774811822144672451e-06
5.062136600022616229e+00 5.976612610180825743e-06 -2.159703657590309041e-07 -5.972709192090836553e-06
5.092816215780328726e+00 5.745761481085173861e-06 -2.431813283308918170e-06 -5.205771715379419285e-06
5.123495831538041223e+00 5.487791809093282506e-06 -4.090186914558348868e-06 -3.658719713769692115e-06
5.154175447295754608e+00 5.214640943223847078e-06 -4.939532977652870523e-06 -1.671374921861118020e-06
5.184855063053467106e+00 4.934875377314185597e-06 -4.921756027478269406e-06 3.596006056768339998e-07
5.215534678811179603e+00 4.653615839420152241e-06 -4.161230817069087764e-06 2.083338298975148202e-06
5.246214294568892988e+00 4.373313214152488789e-06 -2.905430120295795078e-06 3.268691524931457037e-06
5.276893910326605486e+00 4.094870745569650444e-06 -1.444307491211122801e-06 3.831702271021795394e-06
5.307573526084318871e+00 3.818575530699542617e-06 -3.767846815148935968e-08 3.818389636573912081e-06
5.338253141842031368e+00 3.544507219330892723e-06 1.129643683098821973e-06 3.359678046647289427e-06
5.368932757599743866e+00 3.272425532481178321e-06 1.960163612900692932e-06 2.620405975473042180e-06
5.399612373357457251e+00 3.001434109587466192e-06 2.431612848806931187e-06 1.759507222978111288e-06
5.430291989115169748e+00 2.729837536933263337e-06 2.574358563009221654e-06 9.081249732888984755e-07
5.460971604872882246e+00 2.455497436044008498e-06 2.450099421399562349e-06 1.627282510083280117e-07
5.491651220630595631e+00 2.176713947500594922e-06 2.136922291475700373e-06 -4.143027026678259270e-07
5.522330836388308128e+00 1.893369065088615385e-06 1.719361990791816541e-06 -7.928686910547922269e-07
