# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 5.622237708976598205e-07 -5.622237708976598205e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.242739551793856610e-07 -6.180767748950062303e-07 8.774435281373633467e-08
6.135923151542564680e-02 7.881239312283178482e-07 -7.322316252910394665e-07 2.915067373122292251e-07
9.203884727313846326e-02 1.012909818080605889e-06 -7.772143124399718694e-07 6.495569352278118935e-07
1.227184630308512936e-01 1.260252163774680488e-06 -6.302373654069469553e-07 1.091346131868196472e-06
1.533980787885641239e-01 1.493436269684995044e-06 -2.510386703740810860e-07 1.472185952109123396e-06
1.840776945462769265e-01 1.678587857204766410e-06 2.879538787818748514e-07 1.653704858204680626e-06
2.147573103039897569e-01 1.790743246923013102e-06 8.379894963584916333e-07 1.582572267036553688e-06
2.454369260617025872e-01 1.822514572064517064e-06 1.256334596533405946e-06 1.320296461761809426e-06
2.761165418194154175e-01 1.794236150489554300e-06 1.486210563131990758e-06 1.005217153533735147e-06
3.067961575771282479e-01 1.762370018389202464e-06 1.586311440918905973e-06 7.678307718025773808e-07
3.374757733348410782e-01 1.810926640286034945e-06 1.690669856580540386e-06 6.489150426270005529e-07
3.681553890925538530e-01 2.003135474098467655e-06 1.920422332560821337e-06 5.696751637497868215e-07
3.988350048502666834e-01 2.328288651309742402e-06 2.298065867816948481e-06 3.739268792056486626e-07
4.295146206079795137e-01 2.716004979977072281e-06 2.714848743047836749e-06 -7.924237270450558709e-08
4.601942363656923440e-01 3.084492111399976729e-06 2.972474125934647887e-06 -8.237045319395407729e-07
4.908738521234051744e-01 3.366945728266584322e-06 2.878115403475476115e-06 -1.747219294012573864e-06
5.215534678811180047e-01 3.519227038514649751e-06 2.341393203133603939e-06 -2.627325030698020985e-06
5.522330836388308350e-01 3.521630689112686008e-06 1.421369870573381199e-06 -3.222047547992813272e-06
5.829126993965436654e-01 3.378476072514339105e-06 3.012829865412001484e-07 -3.365015473155023634e-06
6.135923151542564957e-01 3.116122319438340690e-06 -7.889662105879407288e-07 -3.014589628498759652e-06
6.442719309119693261e-01 2.781670614924266156e-06 -1.653267668369212495e-06 -2.237051055889912454e-06
6.749515466696821564e-01 2.450061295442273114e-06 -2.165422596899285421e-06 -1.146187300689649165e-06
7.056311624273949867e-01 2.251450798447570082e-06 -2.246391781604432059e-06 1.508464827905049075e-07
7.363107781851077061e-01 2.388869588878909249e-06 -1.811505016663035076e-06 1.557288504829835548e-06
7.669903939428205364e-01 3.025930874874531540e-06 -7.422369807446610329e-07 2.933486308802888812e-06
7.976700097005333667e-01 4.167374248550180806e-06 1.073839702612110705e-06 4.026645802721306616e-06
8.283496254582461971e-01 5.745914546559297919e-06 3.636214653995632296e-06 4.448986060489419797e-06
8.590292412159590274e-01 7.690376339952358027e-06 6.712442254431150420e-06 3.752999764325371077e-06
8.897088569736718577e-01 9.918792665237044479e-06 9.789254781211296390e-06 1.597791840163159318e-06
9.203884727313846881e-01 1.232861175792090966e-05 1.215472507885790587e-05 -2.063328896450676591e-06
9.510680884890975184e-01 1.480140185727272145e-05 1.310661798837622285e-05 -6.877358638841599752e-06
9.817477042468103487e-01 1.722000481462612610e-05 1.220470097631560146e-05 -1.214799736147764913e-05
1.012427320004523068e+00 1.949557303191120020e-05 9.441234891949652641e-06 -1.705697662417392406e-05
1.043106935762236009e+00 2.160193425280223842e-05 5.226374876603577440e-06 -2.096016624723185805e-05
1.073786551519948729e+00 2.361168066231619821e-05 1.716682671625404227e-07 -2.361105659866254608e-05
