# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 3.890131510831345459e-07 -3.890131510831345459e-07 0.000000000000000000e+00
3.067961575771282340e-02 4.582537015109311166e-07 -4.564270928836813672e-07 4.087497804550871122e-08
6.135923151542564680e-02 6.365951873640381183e-07 -6.005430802779980185e-07 2.111905331809850550e-07
9.203884727313846326e-02 8.802320389722737788e-07 -6.818785127001725393e-07 5.566418384842152091e-07
1.227184630308512936e-01 1.152237814820649470e-06 -5.638402287036224657e-07 1.004856297386900801e-06
1.533980787885641239e-01 1.414840500610770626e-06 -1.968813449638043320e-07 1.401075079420720987e-06
1.840776945462769265e-01 1.630809108908340897e-06 3.471019706571064326e-07 1.593442365341266513e-06
2.147573103039897569e-01 1.770540373083614487e-06 9.109924195399638834e-07 1.518191695491642247e-06
2.454369260617025872e-01 1.821164827777476531e-06 1.338876062979025024e-06 1.234525098131079602e-06
2.761165418194154175e-01 1.797095388807597122e-06 1.562451849713115770e-06 8.878603796777911678e-07
3.067961575771282479e-01 1.750555339677136038e-06 1.636372422737205840e-06 6.218756237201298475e-07
3.374757733348410782e-01 1.769709878120829690e-06 1.700447672934081659e-06 4.902558151939747900e-07
3.681553890925538530e-01 1.935203210953883733e-06 1.888997492004106252e-06 4.203569232074303702e-07
3.988350048502666834e-01 2.253077361043542164e-06 2.238943526281953540e-06 2.519711907481939179e-07
4.295146206079795137e-01 2.655520920809249243e-06 2.650165290408315337e-06 -1.685683670521055616e-07
4.601942363656923440e-01 3.055479771666373741e-06 2.922729192771081198e-06 -8.908483040260565352e-07
4.908738521234051744e-01 3.380199883505864539e-06 2.852274105940859817e-06 -1.813913911141411165e-06
5.215534678811180047e-01 3.580453585856226581e-06 2.332132509311764196e-06 -2.716763854198948492e-06
5.522330836388308350e-01 3.632251859527329577e-06 1.407750790667596320e-06 -3.348356504677257658e-06
5.829126993965436654e-01 3.536447076784287519e-06 2.574143575612298457e-07 -3.527066171114099438e-06
6.135923151542564957e-01 3.316817143858097087e-06 -8.837305368248175213e-07 -3.196919815083623149e-06
6.442719309119693261e-01 3.018149813335975321e-06 -1.807735664453327223e-06 -2.416882302306728060e-06
6.749515466696821564e-01 2.709990806105240238e-06 -2.376582295249718948e-06 -1.302269850330763096e-06
7.056311624273949867e-01 2.505397821327644002e-06 -2.505184166942620736e-06 3.271899774311194972e-08
7.363107781851077061e-01 2.580281703232078456e-06 -2.110033524230850122e-06 1.485130362849057357e-06
7.669903939428205364e-01 3.107914377495317217e-06 -1.077108672605383700e-06 2.915299073035282084e-06
7.976700097005333667e-01 4.137674868565486073e-06 7.050575395196659973e-07 4.077161657811091477e-06
8.283496254582461971e-01 5.621560527419555066e-06 3.243945912609007029e-06 4.591160820479821237e-06
8.590292412159590274e-01 7.488601165746320372e-06 6.323812687432014211e-06 4.011052295083054837e-06
8.897088569736718577e-01 9.655695604411941219e-06 9.449719236135357801e-06 1.983749974990169628e-06
9.203884727313846881e-01 1.202078634235713786e-05 1.191877567338972100e-05 -1.562719020173906080e-06
9.510680884890975184e-01 1.446609024331833165e-05 1.301980291300739897e-05 -6.304958289653774313e-06
9.817477042468103487e-01 1.687350585388665741e-05 1.228513214544568200e-05 -1.156679419589042577e-05
1.012427320004523068e+00 1.915023526859842759e-05 9.670965434429031507e-06 -1.652888194672434593e-05
1.043106935762236009e+00 2.126218881035355258e-05 5.559478083741869675e-06 -2.052249683745907395e-05
1.073786551519948729e+00 2.327001563528462768e-05 5.576013404502950568e-07 -2.326333399174587504e-05
1.104466167277661670e+00 2.535529431836748194e-05 -4.823051139632538299e-06 -2.489235078644698001e-05
1.135145783035374389e+00 2.781374208665914047e-05 -1.044232853417040812e-05 -2.577910052053105196e-05
1.165825398793087331e+00 3.099189008854445683e-05 -1.660325449782658423e-05 -2.616924132146022388e-05
1.196505014550800050e+00 3.517661504277552195e-05 -2.385158083727306001e-05 -2.585529611956996807e-05
1.227184630308512991e+00 4.049899077722674521e-05 -3.257804841640816985e-05 -2.405907345165357413e-05
1.257864246066225711e+00 4.691490618784253610e-05 -4.261586770944568859e-05 -1.961877269313985026e-05
1.288543861823938652e+00 5.426242588075818658e-05 -5.304817088271839384e-05 -1.141500891207200978e-05
1.319223477581651371e+00 6.235298650730169902e-05 -6.234203498828182384e-05 1.168588849678104525e-06
1.349903093339364313e+00 7.106324490038493146e-05 -6.874863081538148404e-05 1.798917832427220865e-05
1.380582709097077032e+00 8.041436169523487212e-05 -7.074714163344141720e-05 3.822710448817484503e-05
1.411262324854789973e+00 9.062851128922897283e-05 -6.726376575191858988e-05 6.073806776127246409e-05
1.441941940612502693e+00 1.021442828245347912e-04 -5.751607353104397499e-05 8.441182262758039592e-05
1.472621556370215412e+00 1.155691849781648699e-04 -4.057825620435763243e-05 1.082110975821370979e-04
1.503301172127928353e+00 1.315629566767854237e-04 -1.501211427152367008e-05 1.307036648095087931e-04
1.533980787885641073e+00 1.506796451928625678e-04 2.099072235026098400e-05 1.492104053029184949e-04
1.564660403643354014e+00 1.732238291198920377e-04 6.866159541528437694e-05 1.590348398621678038e-04
1.595340019401066733e+00 1.991680243691453748e-04 1.269999716459079464e-04 1.534239522794503881e-04
1.626019635158779675e+00 2.281413027455007436e-04 1.909905806065747668e-04 1.247840219658658564e-04
1.656699250916492394e+00 2.594685112958631276e-04 2.506116279375220513e-04 6.721398884604658523e-05
1.687378866674205335e+00 2.922335650463566878e-04 2.915321822561067993e-04 -2.023470406740184941e-05
1.718058482431918055e+00 3.253496280885025452e-04 2.979269445852439596e-04 -1.307360554224729836e-04
1.748738098189630996e+00 3.576290339416110108e-04 2.570272997910530975e-04 -2.486674346997010360e-04
1.779417713947343715e+00 3.878509484518172690e-04 1.641709711684371143e-04 -3.513918758887097575e-04
1.810097329705056657e+00 4.148260369848067938e-04 2.657959358804524050e-05 -4.139736297944769205e-04
1.840776945462769376e+00 4.374570051423055093e-04 -1.358222078267636262e-04 -4.158376596812012223e-04
1.871456561220482318e+00 4.547932339307953018e-04 -2.934567404545485232e-04 -3.474478768261836229e-04
1.902136176978195037e+00 4.660773658928063046e-04 -4.136624713152142036e-04 -2.147358163487555452e-04
1.932815792735907978e+00 4.707817203897007776e-04 -4.691234055819257383e-04 -3.947985040881465604e-05
1.963495408493620697e+00 4.686327676723659103e-04 -4.456457272879162448e-04 1.449708822015160386e-04
1.994175024251333417e+00 4.596224779413095470e-04 -3.467437898230442579e-04 3.016978065019069468e-04
2.024854640009046136e+00 4.440060894364125307e-04 -1.933796482689755620e-04 3.996820224778478703e-04
2.055534255766759077e+00 4.222866249318670126e-04 -1.872178882509493425e-05 4.218714119486361596e-04
2.086213871524472019e+00 3.951872564036092508e-04 1.405771651934200521e-04 3.693386362811151239e-04
2.116893487282184960e+00 3.636133123696776940e-04 2.539267839186023622e-04 2.602610791901167789e-04
2.147573103039897457e+00 3.286062935409219884e-04 3.042566926665105564e-04 1.241368644776365889e-04
2.178252718797610399e+00 2.912926765392889077e-04 2.912127880495558440e-04 -6.821692006184180815e-06
2.208932334555323340e+00 2.528305261759818579e-04 2.293771964528462963e-04 -1.063455533337252605e-04
2.239611950313036282e+00 2.143570094750306583e-04 1.424388945178781118e-04 -1.601876675640268196e-04
2.270291566070748779e+00 1.769398480923545442e-04 5.547852550765782219e-05 -1.680173891311303005e-04
2.300971181828461720e+00 1.415356684899142547e-04 -1.205229223658396399e-05 -1.410215859602028483e-04
2.331650797586174662e+00 1.089584153825982004e-04 -5.057210352613876871e-05 -9.651113214354247144e-05
2.362330413343887603e+00 7.986248334365999289e-05 -6.090493765464348230e-05 -5.165854058236992997e-05
2.393010029101600100e+00 5.475203355786469181e-05 -5.153259149178258979e-05 -1.849803213486769850e-05
2.423689644859313042e+00 3.406083090275019816e-05 -3.402386357210894626e-05 -1.586477044353467828e-06
2.454369260617025983e+00 1.854154326833942399e-05 -1.848867060981627730e-05 1.399244743931102107e-06
2.485048876374738480e+00 1.102622008872816247e-05 -1.058437330895033538e-05 -3.090076229132903200e-06
2.515728492132451422e+00 1.342167084580555775e-05 -1.078563751473024494e-05 -7.988195772137188352e-06
2.546408107890164363e+00 1.783682099752284791e-05 -1.569077318642036605e-05 -8.482441871889461930e-06
2.577087723647877304e+00 2.071714560439112177e-05 -2.044553914375239349e-05 -3.343658343017567929e-06
2.607767339405589802e+00 2.182726459832627107e-05 -2.114066266328109092e-05 5.431561654137801075e-06
2.638446955163302743e+00 2.157811722674478648e-05 -1.628754948172529286e-05 1.415382898481856673e-05
2.669126570921015684e+00 2.053741653208073528e-05 -7.017192287004559574e-06 1.930141161209166057e-05
2.699806186678728626e+00 1.929640284461990208e-05 3.786013998463399869e-06 1.892134405229433519e-05
2.730485802436441123e+00 1.837211870116829253e-05 1.284065223444716382e-05 1.313972586334299081e-05
2.761165418194154064e+00 1.808775919863031477e-05 1.768476696863486824e-05 3.796847388652415021e-06
2.791845033951867006e+00 1.849008063030195586e-05 1.733221757083003452e-05 -6.440288486743289134e-06
2.822524649709579947e+00 1.940266680857316225e-05 1.227762702450232333e-05 -1.502409244951976726e-05
2.853204265467292444e+00 2.057659862811147479e-05 4.039745445475292256e-06 -2.017614601052838982e-05
2.883883881225005386e+00 2.180455917064467287e-05 -5.444128013382290504e-06 -2.111398282655479637e-05
2.914563496982718327e+00 2.295109583401831060e-05 -1.431031168373096248e-05 -1.794346063324368381e-05
2.945243112740430824e+00 2.393428816907633067e-05 -2.103941750488448500e-05 -1.141021740439451794e-05
2.975922728498143766e+00 2.469709628926136877e-05 -2.455165074953277428e-05 -2.676380128833429839e-06
3.006602344255856707e+00 2.518685814996451632e-05 -2.424560510661173153e-05 6.821177059765925219e-06
3.037281960013569648e+00 2.534804972020133991e-05 -2.006928817858513159e-05 1.548377527035000011e-05
