# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.088693823158501210e-02 -1.088693823158501210e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.119247438371593316e-02 -1.111902550042595528e-02 1.280138567114790784e-03
6.135923151542564680e-02 1.197475709053856356e-02 -1.156454445827855872e-02 3.107429621069848422e-03
9.203884727313846326e-02 1.293121450726991174e-02 -1.162391847939852133e-02 5.665759244560731288e-03
1.227184630308512936e-01 1.375899178277191839e-02 -1.071599142080842740e-02 8.630027969105624058e-03
1.533980787885641239e-01 1.424663110950987778e-02 -8.641159284383647526e-03 1.132682056856048822e-02
1.840776945462769265e-01 1.430306576860914357e-02 -5.722597456764900482e-03 1.310837780692128939e-02
2.147573103039897569e-01 1.396994853602523401e-02 -2.637865721309287995e-03 1.371864157034270552e-02
2.454369260617025872e-01 1.343190090308894920e-02 -3.664708877802611903e-05 1.343185090973264897e-02
2.761165418194154175e-01 1.300553764756958407e-02 1.830480843660544851e-03 1.287607663006637947e-02
3.067961575771282479e-01 1.305097398722574603e-02 3.249429904162943594e-03 1.263998130193137205e-02
3.374757733348410782e-01 1.377676176013553286e-02 4.857268836718914296e-03 1.289209463366492760e-02
3.681553890925538530e-01 1.508740548524371665e-02 7.234155346518496114e-03 1.323996981486740519e-02
3.988350048502666834e-01 1.665300266222460857e-02 1.050593621262369166e-02 1.292082822284786915e-02
4.295146206079795137e-01 1.809173951578671100e-02 1.418949891848150964e-02 1.122359831558000960e-02
4.601942363656923440e-01 1.909019434416203004e-02 1.737586453352303606e-02 7.906633405598890996e-03
4.908738521234051744e-01 1.944767752851312564e-02 1.915234258068116563e-02 3.376378966476005754e-03
5.215534678811180047e-01 1.908541381426590369e-02 1.902875915072195501e-02 -1.469471212915423979e-03
5.522330836388308350e-01 1.803851090459201306e-02 1.713529243788604328e-02 -5.636455333204577062e-03
5.829126993965436654e-01 1.642983970235712202e-02 1.410020386665491836e-02 -8.433497706403912664e-03
6.135923151542564957e-01 1.441970888471368062e-02 1.071018744919200252e-02 -9.655044749925335151e-03
6.442719309119693261e-01 1.213191918134279637e-02 7.584425174945147452e-03 -9.468894222045757050e-03
6.749515466696821564e-01 9.582875224899629549e-03 5.072975621847422047e-03 -8.129970228490194031e-03
7.056311624273949867e-01 6.703665028805133770e-03 3.428220680731876736e-03 -5.760766249608398684e-03
7.363107781851077061e-01 3.914587143520630030e-03 3.093070775701352824e-03 -2.399355263548781474e-03
7.669903939428205364e-01 5.116136161174891436e-03 4.835393191709049139e-03 1.671472973534161291e-03
7.976700097005333667e-01 1.100937956461364546e-02 9.522493807105059799e-03 5.525264707810687015e-03
8.283496254582461971e-01 1.906939429343179268e-02 1.755396585361420486e-02 7.449837684709349067e-03
8.590292412159590274e-01 2.872409033206918191e-02 2.823098092299310483e-02 5.299535973127263849e-03
8.897088569736718577e-01 3.956139786822045895e-02 3.946972727066186404e-02 -2.691622274244483311e-03
9.203884727313846881e-01 5.106416648471964054e-02 4.815847541913711310e-02 -1.697970388680350787e-02
9.510680884890975184e-01 6.263421275150016232e-02 5.113629987203328897e-02 -3.616798919483463215e-02
9.817477042468103487e-01 7.368264983059572004e-02 4.639720622312194787e-02 -5.724012701547123716e-02
1.012427320004523068e+00 8.376035132532853866e-02 3.391433672092825091e-02 -7.658729802599099912e-02
1.043106935762236009e+00 9.271968144722574079e-02 1.558788005416847020e-02 -9.139998535608129249e-02
1.073786551519948729e+00 1.008866837834856423e-01 -5.765328520421275638e-03 -1.007218146772616701e-01
1.104466167277661670e+00 1.091845391977132734e-01 -2.793670903887419260e-02 -1.055500065745818422e-01
1.135145783035374389e+00 1.190883424887704822e-01 -5.057125325810898214e-02 -1.078173532443961330e-01
1.165825398793087331e+00 1.322832228422476386e-01 -7.539035108537753271e-02 -1.086974977115630903e-01
1.196505014550800050e+00 1.500834003537132311e-01 -1.051275857983826056e-01 -1.071131073488985619e-01
1.227184630308512991e+00 1.729628203305272893e-01 -1.416020117912663023e-01 -9.932274398825453876e-02
1.257864246066225711e+00 2.005193326842445722e-01 -1.838862656518550076e-01 -7.996151627345597646e-02
1.288543861823938652e+00 2.318172317045443243e-01 -2.275767760430107145e-01 -4.413660522772151762e-02
1.319223477581651371e+00 2.658534780446903945e-01 -2.656477988982168803e-01 1.045555971678166843e-02
1.349903093339364313e+00 3.019941036587949212e-01 -2.904991430047186296e-01 8.252688385128212345e-02
1.380582709097077032e+00 3.403417542678477958e-01 -2.960565363749931844e-01 1.678780419464035445e-01
1.411262324854789973e+00 3.819976814701739332e-01 -2.786268967103953664e-01 2.613221786954239567e-01
1.441941940612502693e+00 4.291260150723755218e-01 -2.358551025829215830e-01 3.584989642906882268e-01
1.472621556370215412e+00 4.847022400368585227e-01 -1.643475489514326926e-01 4.559891935675722263e-01
1.503301172127928353e+00 5.519114897316089730e-01 -5.770830667684178489e-02 5.488861847762752655e-01
1.533980787885641073e+00 6.333552801402716481e-01 9.285171812186938933e-02 6.265121461898235378e-01
1.564660403643354014e+00 7.303706725763652319e-01 2.939837883993811074e-01 6.685916926779751357e-01
1.595340019401066733e+00 8.426947096798808046e-01 5.423213696056408128e-01 6.449976013843156109e-01
1.626019635158779675e+00 9.684868916505849912e-01 8.161049717366040124e-01 5.214782204520229669e-01
1.656699250916492394e+00 1.104571203566011350e+00 1.070682256892250273e+00 2.715088369158250581e-01
1.687378866674205335e+00 1.246757034638188433e+00 1.242011157290549450e+00 -1.086802124841483724e-01
1.718058482431918055e+00 1.390164592757318740e+00 1.259949106644988159e+00 -5.874400766211120839e-01
1.748738098189630996e+00 1.529533473876799610e+00 1.069266722815867432e+00 -1.093682459943582153e+00
1.779417713947343715e+00 1.659514079597784741e+00 6.524088409411753497e-01 -1.525893077723689872e+00
1.810097329705056657e+00 1.774943257928871310e+00 4.577089048471266047e-02 -1.774353007282201355e+00
1.840776945462769376e+00 1.871101118607187530e+00 -6.580439024698938599e-01 -1.751570043839315582e+00
1.871456561220482318e+00 1.943941819185861730e+00 -1.325658208315955600e+00 -1.421808746317227978e+00
1.902136176978195037e+00 1.990289039653656999e+00 -1.813790070171444002e+00 -8.193998063905945095e-01
1.932815792735907978e+00 2.007986846959317173e+00 -2.007411170275278156e+00 -4.807880006466720008e-02
1.963495408493620697e+00 1.995998206685853926e+00 -1.853506894388371462e+00 7.406220585075213858e-01
1.994175024251333417e+00 1.954446013814228111e+00 -1.379156735849679905e+00 1.384841477886469718e+00
2.024854640009046136e+00 1.884594747512687185e+00 -6.871665193651180781e-01 1.754850289060590596e+00
2.055534255766759077e+00 1.788774336324714609e+00 7.032454412810708322e-02 1.787391419020214700e+00
2.086213871524472019e+00 1.670251236165435804e+00 7.325014758511222412e-01 1.501059885476956568e+00
2.116893487282184960e+00 1.533054809561190446e+00 1.172231723416992555e+00 9.879928318229466155e-01
2.147573103039897457e+00 1.381769636667672385e+00 1.327072058523691256e+00 3.849247722638861058e-01
2.178252718797610399e+00 1.221306230241699931e+00 1.209878924863371452e+00 -1.666790184715652434e-01
2.208932334555323340e+00 1.056663679276018231e+00 8.969799671839006061e-01 -5.585383331266534634e-01
2.239611950313036282e+00 8.926980067055643175e-01 4.992797339198054574e-01 -7.400199176191517569e-01
2.270291566070748779e+00 7.339096213860800688e-01 1.268407053988072353e-01 -7.228656637418825470e-01
2.300971181828461720e+00 5.842625588339014353e-01 -1.413161155737741592e-01 -5.669148905561379737e-01
2.331650797586174662e+00 4.470483534235535905e-01 -2.733714843667378602e-01 -3.537234256221050699e-01
2.362330413343887603e+00 3.248121735971774560e-01 -2.836903851459422476e-01 -1.581856930720028920e-01
2.393010029101600100e+00 2.193847878043503896e-01 -2.176390935995730636e-01 -2.762082651037305048e-02
2.423689644859313042e+00 1.322075073791905975e-01 -1.296087697427104335e-01 2.608432121408960080e-02
2.454369260617025983e+00 6.623068612275448408e-02 -6.281015147017302014e-02 2.100925169026129566e-02
2.485048876374738480e+00 3.849862571666169686e-02 -3.738560728649295561e-02 -9.190242101910606198e-03
2.515728492132451422e+00 5.869687388003032302e-02 -4.932400828335418291e-02 -3.181925847897455056e-02
2.546408107890164363e+00 8.304542906951335735e-02 -7.835507614145197086e-02 -2.751409333790297979e-02
2.577087723647877304e+00 1.002236495802411448e-01 -1.000903520821748716e-01 5.167335410948663450e-03
2.607767339405589802e+00 1.105643956513817083e-01 -9.704109173327561677e-02 5.298596135741298618e-02
2.638446955163302743e+00 1.159181885387458727e-01 -6.463892441039317815e-02 9.622284492349887641e-02
