# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.139120103812466791e-07 -6.139120103812466791e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.714936414022188481e-07 -6.600993932515675775e-07 1.231767083198934189e-07
6.135923151542564680e-02 8.276188199607671310e-07 -7.492687135131676867e-07 3.514958123556743683e-07
9.203884727313846326e-02 1.048142262755992960e-06 -7.637763529294171478e-07 7.178076940804489588e-07
1.227184630308512936e-01 1.296573833551275356e-06 -5.911200748305608222e-07 1.153984732560254670e-06
1.533980787885641239e-01 1.536170006629820287e-06 -1.962901434766325155e-07 1.523577523082755545e-06
1.840776945462769265e-01 1.732833629662787050e-06 3.505638745473820798e-07 1.697002462565283372e-06
2.147573103039897569e-01 1.861550539329075198e-06 9.085823126084168536e-07 1.624761087573035230e-06
2.454369260617025872e-01 1.914863202203629477e-06 1.343282055596188943e-06 1.364659079135450243e-06
2.761165418194154175e-01 1.912140831454100999e-06 1.600896394829267110e-06 1.045664043723717136e-06
3.067961575771282479e-01 1.905936125151681477e-06 1.735166585177622325e-06 7.885362609552178790e-07
3.374757733348410782e-01 1.972198957176065400e-06 1.868962556327711471e-06 6.297203265985189017e-07
3.681553890925538530e-01 2.168471262058995646e-06 2.111347406285525731e-06 4.944489299686239080e-07
3.988350048502666834e-01 2.489047932426849581e-06 2.477701964377998977e-06 2.373869955068712011e-07
4.295146206079795137e-01 2.872930730599761940e-06 2.860229659686368019e-06 -2.698467651740287577e-07
4.601942363656923440e-01 3.243830144582040221e-06 3.068283676407731158e-06 -1.052648701129202639e-06
4.908738521234051744e-01 3.536447404133880061e-06 2.918428238654656547e-06 -1.997307401986068301e-06
5.215534678811180047e-01 3.706097174558413768e-06 2.325988757406835459e-06 -2.885295923763603447e-06
5.522330836388308350e-01 3.731482719680836476e-06 1.349662801727304866e-06 -3.478846591747082393e-06
5.829126993965436654e-01 3.614674348223237231e-06 1.687097606466196674e-07 -3.610735058179379044e-06
6.135923151542564957e-01 3.379457315436681333e-06 -9.884421282048420727e-07 -3.231673545711011712e-06
6.442719309119693261e-01 3.070517837714347232e-06 -1.918597655650408018e-06 -2.397303240613241908e-06
6.749515466696821564e-01 2.760389427508801412e-06 -2.478220176202387269e-06 -1.215802019148585553e-06
7.056311624273949867e-01 2.573317188678020315e-06 -2.565669535535567900e-06 1.982452722524629279e-07
