# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.011922270825463092e-02 -1.011922270825463092e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.044772875525548823e-02 -1.038286458902635233e-02 1.162393680873665888e-03
6.135923151542564680e-02 1.128924655823673046e-02 -1.090647655577415415e-02 2.914765340642125769e-03
9.203884727313846326e-02 1.232533247742049164e-02 -1.104910388053245013e-02 5.461787630085878503e-03
1.227184630308512936e-01 1.324362835023755805e-02 -1.018425040989112684e-02 8.466093282491541500e-03
1.533980787885641239e-01 1.382560657099875766e-02 -8.085951870677111214e-03 1.121448970756749874e-02
1.840776945462769265e-01 1.396912187047033745e-02 -5.083538668026574454e-03 1.301130279575151913e-02
2.147573103039897569e-01 1.369900723365019904e-02 -1.890524818213107925e-03 1.356792965412633584e-02
2.454369260617025872e-01 1.318123845633218001e-02 7.953304449446442969e-04 1.315722222682411298e-02
2.761165418194154175e-01 1.272396475136165946e-02 2.687008800549225279e-03 1.243701180749077519e-02
3.067961575771282479e-01 1.270803761054635148e-02 4.063350023815710116e-03 1.204090555128714199e-02
3.374757733348410782e-01 1.339414136988522318e-02 5.586178847410669217e-03 1.217364484947759673e-02
3.681553890925538530e-01 1.473359167236727718e-02 7.877802734642497598e-03 1.245066053035378401e-02
3.988350048502666834e-01 1.640772777961087281e-02 1.109931867862128801e-02 1.208381792978621867e-02
4.295146206079795137e-01 1.801952975175349220e-02 1.477414850921501821e-02 1.031639415212451567e-02
4.601942363656923440e-01 1.923060365136572067e-02 1.796327158247085221e-02 6.865638415348972526e-03
4.908738521234051744e-01 1.981258472003839810e-02 1.969819397970995478e-02 2.125950899343037690e-03
5.215534678811180047e-01 1.965861676904596261e-02 1.943201657987608799e-02 -2.976229982987878102e-03
5.522330836388308350e-01 1.877716917869859045e-02 1.726426753077216214e-02 -7.384250062897006368e-03
5.829126993965436654e-01 1.726850184024238816e-02 1.383464190993793225e-02 -1.033459428474304415e-02
6.135923151542564957e-01 1.527766864367959519e-02 9.980699894915477655e-03 -1.156688327915972835e-02
6.442719309119693261e-01 1.292261230262322508e-02 6.392431615796405689e-03 -1.123079368349698057e-02
6.749515466696821564e-01 1.021433592381211335e-02 3.484675477671683036e-03 -9.601546499381871658e-03
7.056311624273949867e-01 7.018642518224212090e-03 1.549432949501674010e-03 -6.845480285094922637e-03
7.363107781851077061e-01 3.219182000611422491e-03 1.040733924832298266e-03 -3.046310169822456001e-03
7.669903939428205364e-01 3.098108097081801390e-03 2.721048309237290071e-03 1.481273060580224612e-03
7.976700097005333667e-01 9.439990407147139453e-03 7.453371357389630344e-03 5.793157541088785056e-03
8.283496254582461971e-01 1.764436334173115697e-02 1.564400799543791062e-02 8.160182079690438475e-03
8.590292412159590274e-01 2.736522578266618877e-02 2.660546111999703006e-02 6.403516278469576113e-03
8.897088569736718577e-01 3.827120628934173319e-02 3.824919292257802222e-02 -1.297871955455341285e-03
9.203884727313846881e-01 4.987787762075423376e-02 4.742067752885675141e-02 -1.546227727907880690e-02
9.510680884890975184e-01 6.159674359202742255e-02 5.087194000926809068e-02 -3.473045552300457750e-02
9.817477042468103487e-01 7.283081220090524555e-02 4.648638173522488121e-02 -5.606552879453182564e-02
1.012427320004523068e+00 8.310623873682713991e-02 3.414713565378469512e-02 -7.576687959540458206e-02
1.043106935762236009e+00 9.223515072597882059e-02 1.573359229249449154e-02 -9.088331586720188593e-02
1.073786551519948729e+00 1.004918970843299009e-01 -5.862416904122221169e-03 -1.003207528263709569e-01
1.104466167277661670e+00 1.087482641873604300e-01 -2.827702402040335045e-02 -1.050075943744711859e-01
1.135145783035374389e+00 1.184516388734538767e-01 -5.097806031392240755e-02 -1.069206627291339612e-01
1.165825398793087331e+00 1.313097488450716555e-01 -7.556677208084425224e-02 -1.073867454532333593e-01
1.196505014550800050e+00 1.487122055982108004e-01 -1.047756641024715496e-01 -1.055337875079378207e-01
1.227184630308512991e+00 1.712248662238506636e-01 -1.405529665961118835e-01 -9.778966404691152858e-02
1.257864246066225711e+00 1.985095495355599093e-01 -1.821796221033189500e-01 -7.884558673193318989e-02
1.288543861823938652e+00 2.296483285557740228e-01 -2.254469303641491174e-01 -4.372683841581998659e-02
1.319223477581651371e+00 2.636144682509065085e-01 -2.634230405408652387e-01 1.004438068841818910e-02
1.349903093339364313e+00 2.997191952495589784e-01 -2.884680327330037541e-01 8.134980081225724746e-02
1.380582709097077032e+00 3.379889897335471849e-01 -2.943819948401144027e-01 1.660596227114185808e-01
1.411262324854789973e+00 3.794399699273158788e-01 -2.773704051480320731e-01 2.589215115174073323e-01
1.441941940612502693e+00 4.261616933245370720e-01 -2.351139959124498857e-01 3.554366297714928180e-01
1.472621556370215412e+00 4.810911022120455405e-01 -1.644330933774901804e-01 4.521176909057092463e-01
1.503301172127928353e+00 5.474313235960195367e-01 -5.924078652399639155e-02 5.442164856618256774e-01
1.533980787885641073e+00 6.278593826378309206e-01 8.904732552822407221e-02 6.215126532763662892e-01
1.564660403643354014e+00 7.238240763956306223e-01 2.872210549040682404e-01 6.643984942711580466e-01
1.595340019401066733e+00 8.351810191661186433e-01 5.325514504894375278e-01 6.433632623619046642e-01
1.626019635158779675e+00 9.601938717933266032e-01 8.043727361032931844e-01 5.243632069884014424e-01
1.656699250916492394e+00 1.095767899772173148e+00 1.059292763493704159e+00 2.803678501201423146e-01
1.687378866674205335e+00 1.237770546548914830e+00 1.234218789270837613e+00 -9.370115322037030070e-02
1.718058482431918055e+00 1.381358967245359004e+00 1.259143756720859653e+00 -5.680753438585816051e-01
1.748738098189630996e+00 1.521290262508037339e+00 1.077843382494408253e+00 -1.073581718182079481e+00
1.779417713947343715e+00 1.652213484833189971e+00 6.706836757555509898e-01 -1.509964505059525175e+00
1.810097329705056657e+00 1.768945172368031393e+00 7.136538751534608760e-02 -1.767505022428210504e+00
1.840776945462769376e+00 1.866725959787054911e+00 -6.300323767944741027e-01 -1.757192366570492492e+00
1.871456561220482318e+00 1.941451591888196715e+00 -1.301626322984317019e+00 -1.440487139463431543e+00
1.902136176978195037e+00 1.989869455733306314e+00 -1.799971561305501400e+00 -8.483412222400842362e-01
1.932815792735907978e+00 2.009731599442455607e+00 -2.008077439182344381e+00 -8.152361648264021265e-02
