# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.725007376195199046e-03 -9.725007376195199046e-03 0.000000000000000000e+00
3.067961575771282340e-02 1.005370858642936835e-02 -9.992843200018525565e-03 1.104599982204920641e-03
6.135923151542564680e-02 1.089663264207877541e-02 -1.053125609415036038e-02 2.798079344092574937e-03
9.203884727313846326e-02 1.193880633769313360e-02 -1.070362809143297726e-02 5.288425327942956021e-03
1.227184630308512936e-01 1.287302773809100020e-02 -9.884654002690897515e-03 8.246724100680649996e-03
1.533980787885641239e-01 1.348424313197751218e-02 -7.842184414023152875e-03 1.096927328763100222e-02
1.840776945462769265e-01 1.366979199108546254e-02 -4.892391308495662450e-03 1.276431433192164698e-02
2.147573103039897569e-01 1.344919403285888167e-02 -1.734403666571236388e-03 1.333689109406203423e-02
2.454369260617025872e-01 1.297836084808158888e-02 9.414647988955249670e-04 1.294416835240710419e-02
2.761165418194154175e-01 1.255218600527738607e-02 2.843088786498235154e-03 1.222596497881330534e-02
3.067961575771282479e-01 1.254100808507807759e-02 4.232570301731082563e-03 1.180517820411440370e-02
3.374757733348410782e-01 1.320773550597768853e-02 5.751157158637784997e-03 1.188984728802321839e-02
3.681553890925538530e-01 1.451979682124365442e-02 8.007519609410035724e-03 1.211214801078285691e-02
3.988350048502666834e-01 1.617587685340029363e-02 1.116374225492156209e-02 1.170597500604072909e-02
4.295146206079795137e-01 1.778854333387399136e-02 1.475871989210526813e-02 9.930380712112151301e-03
4.601942363656923440e-01 1.902148077355741290e-02 1.787504728138042398e-02 6.503800082046546326e-03
4.908738521234051744e-01 1.964329389630890127e-02 1.955998537382868524e-02 1.807198736269628693e-03
5.215534678811180047e-01 1.954050223637827585e-02 1.926793570699934788e-02 -3.252365483896893159e-03
5.522330836388308350e-01 1.871228778759387659e-02 1.708555195427469489e-02 -7.631096163954105040e-03
5.829126993965436654e-01 1.724801512652196847e-02 1.363500074875697438e-02 -1.056318041056420777e-02
6.135923151542564957e-01 1.528209260376111288e-02 9.745030279402740539e-03 -1.177186218078745024e-02
6.442719309119693261e-01 1.292517534656301842e-02 6.114401406672695730e-03 -1.138746034800909405e-02
6.749515466696821564e-01 1.018771812112701652e-02 3.182236593562811928e-03 -9.677963152344069148e-03
7.056311624273949867e-01 6.941028480828616634e-03 1.267021089800171542e-03 -6.824407221852723041e-03
7.363107781851077061e-01 3.060135638581062013e-03 8.336400464710936502e-04 -2.944397119858935784e-03
7.669903939428205364e-01 3.081959347240709277e-03 2.627961147451073325e-03 1.610060131029900218e-03
7.976700097005333667e-01 9.504945806343650591e-03 7.471480974837079944e-03 5.875454605745608627e-03
8.283496254582461971e-01 1.770249599987552824e-02 1.572200393109327021e-02 8.136151240992071237e-03
8.590292412159590274e-01 2.738644504378729902e-02 2.666173052015408107e-02 6.258553970931812413e-03
8.897088569736718577e-01 3.823935313958680415e-02 3.820910598664702812e-02 -1.520640731797426879e-03
9.203884727313846881e-01 4.978818217823333808e-02 4.725518285318063699e-02 -1.567835380789114191e-02
9.510680884890975184e-01 6.145606223686811420e-02 5.061671163591642542e-02 -3.485392501323616304e-02
9.817477042468103487e-01 7.265780787310686939e-02 4.622914883488836446e-02 -5.605374958847133410e-02
1.012427320004523068e+00 8.293080812232654642e-02 3.398703640338768261e-02 -7.564654844959514679e-02
1.043106935762236009e+00 9.209632280694485251e-02 1.573203860063685997e-02 -9.074268916022415477e-02
1.073786551519948729e+00 1.004328528322684516e-01 -5.713712903422340540e-03 -1.002701920457189366e-01
1.104466167277661670e+00 1.088067980675935659e-01 -2.805292638188525145e-02 -1.051282674980169585e-01
1.135145783035374389e+00 1.186462726133265116e-01 -5.078236132533056613e-02 -1.072291461462757528e-01
1.165825398793087331e+00 1.316278075444783369e-01 -7.548032398300480450e-02 -1.078359884750302866e-01
1.196505014550800050e+00 1.491111759990757790e-01 -1.048203078262993221e-01 -1.060511474479517852e-01
1.227184630308512991e+00 1.716502778179517241e-01 -1.406943264847895503e-01 -9.833068885130147319e-02
1.257864246066225711e+00 1.989175928366238022e-01 -1.823704983250895306e-01 -7.943053619720417957e-02
1.288543861823938652e+00 2.300206662814908987e-01 -2.256881864051174524e-01 -4.443365204155464571e-02
1.319223477581651371e+00 2.639628680256431714e-01 -2.638048032419064715e-01 9.133536161976783807e-03
1.349903093339364313e+00 3.000824786720817650e-01 -2.891604965449653397e-01 8.022282246249801130e-02
1.380582709097077032e+00 3.384231561668856192e-01 -2.955712517965347619e-01 1.648267810199110506e-01
1.411262324854789973e+00 3.800002734319490871e-01 -2.791679484747443540e-01 2.578089687205598057e-01
1.441941940612502693e+00 4.268764980134653886e-01 -2.374901869816590516e-01 3.547139067525500455e-01
1.472621556370215412e+00 4.819323666952395335e-01 -1.672199288876191625e-01 4.519914838260721268e-01
1.503301172127928353e+00 5.482926139543157218e-01 -6.221558639986751738e-02 5.447513298063410003e-01
1.533980787885641073e+00 6.285523225657114743e-01 8.603411343537516187e-02 6.226364537417796718e-01
1.564660403643354014e+00 7.240948724725421171e-01 2.841486751111691467e-01 6.660126986579117947e-01
1.595340019401066733e+00 8.347382055974615911e-01 5.292401578709376997e-01 6.455174104397300994e-01
1.626019635158779675e+00 9.587364982733396213e-01 8.006398468051409978e-01 5.274007099248785302e-01
1.656699250916492394e+00 1.093008761052736588e+00 1.055215661372818303e+00 2.849351851413994829e-01
1.687378866674205335e+00 1.233454346631587706e+00 1.230392975668506583e+00 -8.684901064465118392e-02
1.718058482431918055e+00 1.375277171720939995e+00 1.256788687089420264e+00 -5.584527688719957972e-01
1.748738098189630996e+00 1.513293933715380346e+00 1.078639187243318753e+00 -1.061412282556991604e+00
1.779417713947343715e+00 1.642224383864822057e+00 6.763173446438346392e-01 -1.496494495911731226e+00
1.810097329705056657e+00 1.756964671065442740e+00 8.289338140661849097e-02 -1.755008131801979898e+00
1.840776945462769376e+00 1.852840964575765081e+00 -6.127901343230027775e-01 -1.748573101499176330e+00
1.871456561220482318e+00 1.925836646720295642e+00 -1.280410898690998334e+00 -1.438539092400405339e+00
1.902136176978195037e+00 1.972784358642486469e+00 -1.777942478190827069e+00 -8.548676329988791345e-01
1.932815792735907978e+00 1.991514162718762693e+00 -1.989169115108812891e+00 -9.661724383689082596e-02
1.963495408493620697e+00 1.980950591884347300e+00 -1.857533693263687447e+00 6.882832453845663112e-01
1.994175024251333417e+00 1.941153878497665852e+00 -1.405076080660198290e+00 1.339342968609275486e+00
2.024854640009046136e+00 1.873303752617382356e+00 -7.294563951599417617e-01 1.725444962069387467e+00
2.055534255766759077e+00 1.779627505929528120e+00 2.095417418501593215e-02 1.779504139485260428e+00
2.086213871524472019e+00 1.663277229727063045e+00 6.866444484049142316e-01 1.514929220921969133e+00
