# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.044490727193624069e-02 -1.044490727193624069e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.070636198195293667e-02 -1.061666554303628517e-02 1.382967691565240324e-03
6.135923151542564680e-02 1.138279692595170131e-02 -1.091543863427390897e-02 3.228198457167101316e-03
9.203884727313846326e-02 1.222592564583586602e-02 -1.082519326470194818e-02 5.682292554890035208e-03
1.227184630308512936e-01 1.297939081309585838e-02 -9.850698276193404698e-03 8.451528225739857181e-03
1.533980787885641239e-01 1.345870008924711543e-02 -7.832025575723019009e-03 1.094513515099383542e-02
1.840776945462769265e-01 1.358157067336376693e-02 -5.062573300204134021e-03 1.260275420436481053e-02
2.147573103039897569e-01 1.338201211100073333e-02 -2.136170591171018558e-03 1.321041344335544855e-02
2.454369260617025872e-01 1.301910515561255539e-02 3.889861418894678593e-04 1.301329277447930977e-02
2.761165418194154175e-01 1.276312313460628567e-02 2.309719359704799808e-03 1.255239055433374391e-02
3.067961575771282479e-01 1.291535317059900635e-02 3.886211612679107193e-03 1.231680586933072905e-02
3.374757733348410782e-01 1.364843927943166016e-02 5.666626961887440486e-03 1.241649039137643698e-02
3.681553890925538530e-01 1.488552956188512501e-02 8.122918321884869258e-03 1.247386019938266991e-02
3.988350048502666834e-01 1.634921153358429025e-02 1.130752891087112577e-02 1.180832366170995844e-02
4.295146206079795137e-01 1.770489189362060151e-02 1.473376828624481209e-02 9.817294385523896508e-03
4.601942363656923440e-01 1.866624483110497501e-02 1.755623280391511651e-02 6.340929413697013635e-03
4.908738521234051744e-01 1.904095630327157923e-02 1.895517768060474631e-02 1.805340976048948592e-03
5.215534678811180047e-01 1.874324581535729423e-02 1.851236423299911296e-02 -2.932854275221298806e-03
5.522330836388308350e-01 1.778747374864054695e-02 1.637568791814632621e-02 -6.944859074599931542e-03
5.829126993965436654e-01 1.626304717906017563e-02 1.314069668917035479e-02 -9.581690564381864506e-03
6.135923151542564957e-01 1.428714911728355512e-02 9.549512840116599136e-03 -1.062682616852014296e-02
6.442719309119693261e-01 1.193859391414096166e-02 6.214237874477518235e-03 -1.019378596431044955e-02
6.749515466696821564e-01 9.196051218984684777e-03 3.542742431030254224e-03 -8.486243815114409214e-03
7.056311624273949867e-01 5.944695150338806348e-03 1.893295013519604190e-03 -5.635142804068369281e-03
7.363107781851077061e-01 2.532887714645414186e-03 1.804504124360323866e-03 -1.777437773922971916e-03
7.669903939428205364e-01 4.839637410182159004e-03 4.059062240748432908e-03 2.635546240870190009e-03
7.976700097005333667e-01 1.144746592928128255e-02 9.416354423704895865e-03 6.509742358129776488e-03
8.283496254582461971e-01 1.977772741171894902e-02 1.806304386723898980e-02 8.055119354948075613e-03
8.590292412159590274e-01 2.952212293810687824e-02 2.906090674005816152e-02 5.198022914372183931e-03
8.897088569736718577e-01 4.032880974270808272e-02 4.016672182050400053e-02 -3.612112049451728958e-03
9.203884727313846881e-01 5.171308375223334503e-02 4.827088667465625343e-02 -1.855167191408886584e-02
9.510680884890975184e-01 6.310933973214676029e-02 5.038692377709211995e-02 -3.799929833179852695e-02
9.817477042468103487e-01 7.396780199420412150e-02 4.478261341872548373e-02 -5.887064860558931939e-02
1.012427320004523068e+00 8.388626236689294968e-02 3.167785640937141600e-02 -7.767508240867496139e-02
1.043106935762236009e+00 9.276974082713018710e-02 1.307469785994804824e-02 -9.184376456245668674e-02
1.073786551519948729e+00 1.009950577774506447e-01 -8.299676527164415174e-03 -1.006534503383516993e-01
1.104466167277661670e+00 1.095173042346223730e-01 -3.046318695930526343e-02 -1.051952193167600413e-01
1.135145783035374389e+00 1.197993929401670737e-01 -5.329038840382811087e-02 -1.072941240357629944e-01
1.165825398793087331e+00 1.334550130522104694e-01 -7.858930934739066787e-02 -1.078608407396576818e-01
1.196505014550800050e+00 1.516910986948606377e-01 -1.089582747838294396e-01 -1.055380679157311152e-01
1.227184630308512991e+00 1.748942998427274464e-01 -1.458962030696532020e-01 -9.644850464022951264e-02
1.257864246066225711e+00 2.026353372322997060e-01 -1.881122414014900768e-01 -7.533169671629166841e-02
1.288543861823938652e+00 2.340125437688584664e-01 -2.309701941801734770e-01 -3.761170085950448633e-02
1.319223477581651371e+00 2.680995374953392130e-01 -2.674513886239476279e-01 1.863106889947410347e-02
1.349903093339364313e+00 3.043626787312254667e-01 -2.901748943118804269e-01 9.184318654933629200e-02
1.380582709097077032e+00 3.430102019774043942e-01 -2.933359338095236080e-01 1.777920937406231583e-01
1.411262324854789973e+00 3.852299538289623571e-01 -2.733508777010407176e-01 2.714432076643937264e-01
1.441941940612502693e+00 4.332217380391206740e-01 -2.276910783726863174e-01 3.685618633813320666e-01
1.472621556370215412e+00 4.899163861739096459e-01 -1.525864412880372500e-01 4.655485403013909229e-01
1.503301172127928353e+00 5.583677500315290532e-01 -4.136742944281127793e-02 5.568332605516359557e-01
1.533980787885641073e+00 6.409891239452327749e-01 1.145011797492804517e-01 6.306794247889334626e-01
1.564660403643354014e+00 7.389241722441062254e-01 3.205581405880580936e-01 6.657712901810683981e-01
1.595340019401066733e+00 8.517547400867542251e-01 5.714593099370726126e-01 6.316014521409043514e-01
1.626019635158779675e+00 9.775409876732523706e-01 8.430557187753944248e-01 4.948165696713285877e-01
1.656699250916492394e+00 1.113060353242705469e+00 1.088752588101485230e+00 2.313463893452724074e-01
1.687378866674205335e+00 1.254117588935562688e+00 1.244013208398627723e+00 -1.588775132210387409e-01
1.718058482431918055e+00 1.395859754177084966e+00 1.240391132686123221e+00 -6.401986342417079756e-01
1.748738098189630996e+00 1.533077068735279047e+00 1.026644184675478799e+00 -1.138563576070294348e+00
1.779417713947343715e+00 1.660488682312035502e+00 5.907543914362266557e-01 -1.551847902690586700e+00
1.810097329705056657e+00 1.773013622747531493e+00 -2.527219804383756818e-02 -1.772833501052583083e+00
1.840776945462769376e+00 1.866023154824676844e+00 -7.249426111208101542e-01 -1.719447767430921870e+00
1.871456561220482318e+00 1.935567096679179588e+00 -1.374215423381329071e+00 -1.363067113493661831e+00
1.902136176978195037e+00 1.978564883382632145e+00 -1.833003883175835069e+00 -7.448595585862060053e-01
1.932815792735907978e+00 1.992952315971826982e+00 -1.992769696479780972e+00 2.697907576902105684e-02
1.963495408493620697e+00 1.977776540516999138e+00 -1.808598629549702519e+00 8.003568213055519687e-01
1.994175024251333417e+00 1.933234390070400543e+00 -1.314964720292865152e+00 1.417131959746861458e+00
2.024854640009046136e+00 1.860652379275463009e+00 -6.191598729318447125e-01 1.754613441261198004e+00
2.055534255766759077e+00 1.762410017350992897e+00 1.264461182430218766e-01 1.757868154453114506e+00
2.086213871524472019e+00 1.641811402674989262e+00 7.650870449469602264e-01 1.452648097650612646e+00
2.116893487282184960e+00 1.502913030792286886e+00 1.176643423497299779e+00 9.350175570896042121e-01
2.147573103039897457e+00 1.350318185007802985e+00 1.306444020486788649e+00 3.414135646061565721e-01
2.178252718797610399e+00 1.188950035512430947e+00 1.173533127481004357e+00 -1.908459736270675944e-01
2.208932334555323340e+00 1.023816559794564762e+00 8.571443606183005715e-01 -5.599141837548162748e-01
2.239611950313036282e+00 8.597805943136660467e-01 4.672847414247241482e-01 -7.217116049988314685e-01
2.270291566070748779e+00 7.013478077610577621e-01 1.100645235301642433e-01 -6.926575980318988579e-01
2.300971181828461720e+00 5.524843870848975547e-01 -1.408421653832612752e-01 -5.342307389347126234e-01
2.331650797586174662e+00 4.164754309080481165e-01 -2.584460449490188494e-01 -3.265844858535905670e-01
2.362330413343887603e+00 2.958368588759293094e-01 -2.599627653818711304e-01 -1.412048429926775761e-01
2.393010029101600100e+00 1.923096131556990274e-01 -1.910949976549080609e-01 -2.157983279280187988e-02
2.423689644859313042e+00 1.070776268103323936e-01 -1.045384970067791824e-01 2.318018133873060022e-02
2.454369260617025983e+00 4.270867427804507510e-02 -4.097016483324777275e-02 1.206136195148195187e-02
2.485048876374738480e+00 2.886134640217757549e-02 -1.850645697609163559e-02 -2.214697194513412168e-02
2.515728492132451422e+00 5.841925698250978460e-02 -3.254340932991535429e-02 -4.851531815389956148e-02
2.546408107890164363e+00 8.052182165638355205e-02 -6.379331456509342024e-02 -4.913427296359922786e-02
2.577087723647877304e+00 9.259841439596644408e-02 -8.976936769390150839e-02 -2.271402589776277611e-02
2.607767339405589802e+00 9.655411995882856591e-02 -9.466837070915982977e-02 1.898940937198800860e-02
2.638446955163302743e+00 9.480734001960022805e-02 -7.428975993187598992e-02 5.890215013780331077e-02
2.669126570921015684e+00 8.978992141789855774e-02 -3.528363351216142613e-02 8.256691343638732083e-02
2.699806186678728626e+00 8.371419978607412549e-02 9.601668988228187485e-03 8.316174119427291456e-02
2.730485802436441123e+00 7.835505583583972367e-02 4.741337711891993600e-02 6.238177975351970328e-02
2.761165418194154064e+00 7.483209323147566039e-02 6.942280768926714640e-02 2.793413592619782213e-02
2.791845033951867006e+00 7.350787368511256525e-02 7.276680649787857502e-02 -1.041150161152375360e-02
2.822524649709579947e+00 7.414082925812638669e-02 5.951842188943375772e-02 -4.420882286234299741e-02
2.853204265467292444e+00 7.622360917049453288e-02 3.445313981100841388e-02 -6.799279191310945991e-02
2.883883881225005386e+00 7.926009955232161952e-02 2.964673236685948753e-03 -7.920463429398315325e-02
2.914563496982718327e+00 8.284781761642170950e-02 -2.998749921006742258e-02 -7.723024520827367900e-02
2.945243112740430824e+00 8.662722258897838368e-02 -5.989691989670373196e-02 -6.258302230132596622e-02
2.975922728498143766e+00 9.021403415441113516e-02 -8.235817259536154511e-02 -3.681987731057639185e-02
3.006602344255856707e+00 9.318103006384995113e-02 -9.313056907380588834e-02 -3.066181297506693614e-03
3.037281960013569648e+00 9.509521872882976956e-02 -8.899503952634832404e-02 3.351094693958493742e-02
3.067961575771282146e+00 9.558499927518433747e-02 -6.913655782870310740e-02 6.600476087401106751e-02
3.098641191528995087e+00 9.440938595290751523e-02 -3.629947236750150769e-02 8.715205368691000820e-02
3.129320807286708028e+00 9.151212667454644567e-02 3.082361292648044294e-03 9.146020105685216672e-02
3.160000423044420970e+00 8.705469283371382316e-02 4.015953199983732236e-02 7.723814817773860808e-02
3.190680038802133467e+00 8.142826729537612496e-02 6.606390591899417852e-02 4.760381339192802652e-02
3.221359654559846408e+00 7.524425523859555598e-02 7.458782979485704956e-02 9.917337994862850115e-03
3.252039270317559350e+00 6.929290083229228125e-02 6.412556335533850516e-02 -2.625677493742063773e-02
3.282718886075272291e+00 6.443966749369779701e-02 3.813740226578261200e-02 -5.194236512824779162e-02
3.313398501832984788e+00 6.142215470675511935e-02 3.993067295709651528e-03 -6.129222220145468664e-02
3.344078117590697730e+00 6.058318732203159945e-02 -2.932157146802720840e-02 -5.301479069789620524e-02
3.374757733348410671e+00 6.172302096392529719e-02 -5.376842722645624323e-02 -3.030985896546601818e-02
3.405437349106123612e+00 6.423094318371125322e-02 -6.422914150405480138e-02 4.810861890010211949e-04
3.436116964863836110e+00 6.738206327065673906e-02 -5.936227692606722839e-02 3.188200948440504667e-02
3.466796580621549051e+00 7.056444469284760268e-02 -4.130660583610146902e-02 5.721105810165458966e-02
3.497476196379261992e+00 7.335663465957938112e-02 -1.459048487353545136e-02 7.189098413385459907e-02
3.528155812136974490e+00 7.550804310338558867e-02 1.522941613134945471e-02 7.395626719623517309e-02
3.558835427894687431e+00 7.688536392277492415e-02 4.276390948195470804e-02 6.389528332636709718e-02
3.589515043652400372e+00 7.741980611749466057e-02 6.361664358250893048e-02 4.412197908714532435e-02
3.620194659410113314e+00 7.706955229742686042e-02 7.485621186324838139e-02 1.833748720000336410e-02
