# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.614786841424791120e-03 -9.614786841424791120e-03 0.000000000000000000e+00
3.067961575771282340e-02 9.961027142919041955e-03 -9.909225176207849331e-03 1.014553177107256014e-03
6.135923151542564680e-02 1.084444522900901257e-02 -1.051589143374448768e-02 2.649154521479569948e-03
9.203884727313846326e-02 1.192788708415191620e-02 -1.076958673368732210e-02 5.127425462926217016e-03
1.227184630308512936e-01 1.288850695962130352e-02 -1.001440343749351522e-02 8.113281422416261657e-03
1.533980787885641239e-01 1.350380641739593914e-02 -8.001507302564813198e-03 1.087789817223464191e-02
1.840776945462769265e-01 1.366897137858717054e-02 -5.052699506239996009e-03 1.270082699072297948e-02
2.147573103039897569e-01 1.340522605237213540e-02 -1.891458992054579485e-03 1.327111406011463948e-02
2.454369260617025872e-01 1.287474800206389949e-02 7.624785986621994850e-04 1.285215011207192781e-02
2.761165418194154175e-01 1.238578251811425952e-02 2.598959944962166754e-03 1.211003781127487078e-02
3.067961575771282479e-01 1.232923947975497238e-02 3.884117240229835455e-03 1.170144347562718581e-02
3.374757733348410782e-01 1.298366565923956932e-02 5.284797994528361506e-03 1.185944704056415486e-02
3.681553890925538530e-01 1.431080020171742427e-02 7.445952744854924740e-03 1.222116157060624229e-02
3.988350048502666834e-01 1.598910522825024508e-02 1.056165303130338767e-02 1.200428970186988124e-02
4.295146206079795137e-01 1.761451313117482279e-02 1.418765917009115474e-02 1.043941569828784124e-02
4.601942363656923440e-01 1.884378399320053854e-02 1.740703003585038905e-02 7.216889947436026971e-03
4.908738521234051744e-01 1.944688748987380075e-02 1.925876664794272039e-02 2.698395864935163556e-03
5.215534678811180047e-01 1.931866089370452844e-02 1.919063021073389927e-02 -2.220443838698930514e-03
5.522330836388308350e-01 1.847354548184591827e-02 1.728901014740316655e-02 -6.508610511685274623e-03
5.829126993965436654e-01 1.702329979172441388e-02 1.417633061949585653e-02 -9.424669010934477384e-03
6.135923151542564957e-01 1.513037959042673464e-02 1.066754395862237227e-02 -1.072995304935027081e-02
6.442719309119693261e-01 1.293422883286150446e-02 7.418921754377419235e-03 -1.059499294493636799e-02
6.749515466696821564e-01 1.046964607973806770e-02 4.794823065661250015e-03 -9.307156429542674456e-03
7.056311624273949867e-01 7.644477870711233365e-03 3.021349179636349629e-03 -7.022071706448496445e-03
7.363107781851077061e-01 4.520006470625940152e-03 2.484404627888266506e-03 -3.776002137105821579e-03
7.669903939428205364e-01 3.905440896589546570e-03 3.900075466541955919e-03 2.046459186783514800e-04
7.976700097005333667e-01 9.104428805347951001e-03 8.133153802618402900e-03 4.091751836879077564e-03
8.283496254582461971e-01 1.686465199805712092e-02 1.565607858361369939e-02 6.269265539063131366e-03
8.590292412159590274e-01 2.631690879333354466e-02 2.590649578409122064e-02 4.629596594250975396e-03
8.897088569736718577e-01 3.704498120741914896e-02 3.695003302595347566e-02 -2.650602203082516681e-03
9.203884727313846881e-01 4.854282831388139624e-02 4.576895044338178536e-02 -1.617434252210047177e-02
9.510680884890975184e-01 6.021330966241787014e-02 4.918941025081697421e-02 -3.472815255205850826e-02
9.817477042468103487e-01 7.145301129969572340e-02 4.508164878732007913e-02 -5.543624957021503485e-02
1.012427320004523068e+00 8.178048391016599916e-02 3.323627024932623159e-02 -7.472213787422488096e-02
1.043106935762236009e+00 9.099764370113355705e-02 1.539900795901288574e-02 -8.968523687339355344e-02
1.073786551519948729e+00 9.936533439120807942e-02 -5.661275792669342825e-03 -9.920392953444906459e-02
1.104466167277661670e+00 1.077385046885586395e-01 -2.765143679143430497e-02 -1.041296472475340823e-01
1.135145783035374389e+00 1.175458237013297658e-01 -5.004581285480260572e-02 -1.063599421085126839e-01
1.165825398793087331e+00 1.304786949460309819e-01 -7.441018781404282190e-02 -1.071812193637406013e-01
1.196505014550800050e+00 1.479190528326253529e-01 -1.034429463714103131e-01 -1.057336419353014645e-01
1.227184630308512991e+00 1.704368703855710931e-01 -1.390992690480865601e-01 -9.848918791987266996e-02
1.257864246066225711e+00 1.977060870796519265e-01 -1.807211867488776602e-01 -8.017199965339638634e-02
1.288543861823938652e+00 2.288214315775883856e-01 -2.241932614373854660e-01 -4.578896237397273722e-02
1.319223477581651371e+00 2.627633946739947879e-01 -2.626641773032897809e-01 7.220217599732572759e-03
1.349903093339364313e+00 2.988419153405117989e-01 -2.885208248117814289e-01 7.786028521855660467e-02
1.380582709097077032e+00 3.370725258202679764e-01 -2.955256468121933988e-01 1.621187211246435944e-01
1.411262324854789973e+00 3.784510692218719941e-01 -2.798104674076343779e-01 2.548162359903688445e-01
1.441941940612502693e+00 4.250399792982575420e-01 -2.389966140795439231e-01 3.514820087292900852e-01
1.472621556370215412e+00 4.797475995700494766e-01 -1.698937477656367878e-01 4.486578582431948181e-01
1.503301172127928353e+00 5.457542170543842053e-01 -6.643411181328462423e-02 5.416956472228883213e-01
1.533980787885641073e+00 6.257254130931211300e-01 8.000260086580295027e-02 6.205899422688577749e-01
1.564660403643354014e+00 7.211108262362784238e-01 2.764190535440613772e-01 6.660280253510159065e-01
1.595340019401066733e+00 8.317758992051715872e-01 5.205683801697758017e-01 6.487370099400739942e-01
1.626019635158779675e+00 9.559990175361438025e-01 7.925213434830946646e-01 5.346438456148379093e-01
1.656699250916492394e+00 1.090702746549897073e+00 1.049706936104400246e+00 2.962226014770001359e-01
1.687378866674205335e+00 1.231774113941905835e+00 1.229630148026803038e+00 -7.264411084836633337e-02
1.718058482431918055e+00 1.374392939204195363e+00 1.262304873657709603e+00 -5.436380756296795846e-01
1.748738098189630996e+00 1.513343016669616237e+00 1.090696556304870501e+00 -1.049089180273722333e+00
1.779417713947343715e+00 1.643304681138289869e+00 6.935150918675899723e-01 -1.489794312112549646e+00
1.810097329705056657e+00 1.759130276163790807e+00 1.022570647968644580e-01 -1.756155693899383419e+00
1.840776945462769376e+00 1.856100010223961760e+00 -5.951824757057609938e-01 -1.758085626062095841e+00
