# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.034499829489461849e-02 -1.034499829489461849e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.062414436678033730e-02 -1.053979037650646863e-02 1.336137098314378819e-03
6.135923151542564680e-02 1.134421396550488494e-02 -1.089239146006361694e-02 3.169700108194667323e-03
9.203884727313846326e-02 1.223805545108437760e-02 -1.085038941098026392e-02 5.660304837542180258e-03
1.227184630308512936e-01 1.303372243606960162e-02 -9.883647018906163706e-03 8.496554722131281767e-03
1.533980787885641239e-01 1.353738441147929981e-02 -7.820715924471666539e-03 1.104975923415881488e-02
1.840776945462769265e-01 1.366245801030593898e-02 -4.974536430041000962e-03 1.272465112250893357e-02
2.147573103039897569e-01 1.344355929196052075e-02 -1.977885995173439288e-03 1.329726488517675789e-02
2.454369260617025872e-01 1.304729080109717602e-02 5.770075945051388435e-04 1.303452567162604464e-02
2.761165418194154175e-01 1.276107239982598313e-02 2.480129216148619590e-03 1.251774451987284174e-02
3.067961575771282479e-01 1.291014937439221438e-02 4.018148885605791858e-03 1.226892156638979305e-02
3.374757733348410782e-01 1.368281897634783702e-02 5.784119697407263776e-03 1.240014090506917632e-02
3.681553890925538530e-01 1.499567178943989401e-02 8.284974262204591877e-03 1.249917492841871348e-02
3.988350048502666834e-01 1.654962123307290867e-02 1.157278302500034002e-02 1.183049686253462643e-02
4.295146206079795137e-01 1.798797699561968319e-02 1.511813409464324298e-02 9.747273356756163548e-03
4.601942363656923440e-01 1.900780510401739107e-02 1.800764669524350381e-02 6.084514390778890218e-03
4.908738521234051744e-01 1.940580986597422591e-02 1.936143529447133943e-02 1.311594408474699288e-03
5.215534678811180047e-01 1.909044511758156704e-02 1.874034358949580592e-02 -3.639315448685022034e-03
5.522330836388308350e-01 1.807576245612064342e-02 1.632285614671022747e-02 -7.765150068344130879e-03
5.829126993965436654e-01 1.645675019510106987e-02 1.277282288076669534e-02 -1.037687923416871424e-02
6.135923151542564957e-01 1.436159524922760167e-02 8.906319388575705681e-03 -1.126644988677965448e-02
6.442719309119693261e-01 1.188205939943316573e-02 5.383106833870656902e-03 -1.059270958663519058e-02
