# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.046879738012135470e-02 -1.046879738012135470e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.070395060851755432e-02 -1.059791251309918220e-02 1.502933463024595144e-03
6.135923151542564680e-02 1.131414669048979617e-02 -1.078572315104042029e-02 3.417322262098192957e-03
9.203884727313846326e-02 1.207692305107915462e-02 -1.056024353303544779e-02 5.859464728511474228e-03
1.227184630308512936e-01 1.275774402360353027e-02 -9.479448090454201115e-03 8.538155331930651765e-03
1.533980787885641239e-01 1.318542574746361939e-02 -7.423809105896711502e-03 1.089690371165505031e-02
1.840776945462769265e-01 1.328507230536688649e-02 -4.697276175738429246e-03 1.242693617460339378e-02
2.147573103039897569e-01 1.309499328080120095e-02 -1.869745010820451003e-03 1.296082183423337593e-02
2.454369260617025872e-01 1.277610323662240963e-02 5.484757336801746475e-04 1.276432482673477142e-02
2.761165418194154175e-01 1.259470800462060211e-02 2.404073557512934316e-03 1.236313471785054248e-02
3.067961575771282479e-01 1.283590113130348050e-02 3.984988545919546619e-03 1.220164841902470106e-02
3.374757733348410782e-01 1.364517776380251915e-02 5.830167806555559135e-03 1.233693720309761085e-02
3.681553890925538530e-01 1.492388401299381620e-02 8.367834980664120431e-03 1.235725097947218756e-02
3.988350048502666834e-01 1.638980264908217882e-02 1.159243349598159528e-02 1.158624686933197936e-02
4.295146206079795137e-01 1.771550404036296641e-02 1.497457002535202211e-02 9.465798220960832191e-03
4.601942363656923440e-01 1.862591284618002677e-02 1.766615176883322424e-02 5.901839631339096323e-03
4.908738521234051744e-01 1.894138543546719858e-02 1.889137010790291685e-02 1.375579027595680770e-03
5.215534678811180047e-01 1.859062218646909473e-02 1.830578384984452023e-02 -3.241837584273526279e-03
5.522330836388308350e-01 1.760475040882382089e-02 1.612722720187436537e-02 -7.059729437882584190e-03
5.829126993965436654e-01 1.609093306374766510e-02 1.298261991417965118e-02 -9.506298281978830741e-03
6.135923151542564957e-01 1.418070060883768781e-02 9.589134625266235515e-03 -1.044704584540576131e-02
6.442719309119693261e-01 1.195675219264859604e-02 6.487222778355557044e-03 -1.004389683441600338e-02
6.749515466696821564e-01 9.387405429828752160e-03 3.999937354579538758e-03 -8.492578045765466696e-03
7.056311624273949867e-01 6.348380748103924116e-03 2.428329776289499167e-03 -5.865590560249012500e-03
7.363107781851077061e-01 3.204487238892885295e-03 2.307613591359288386e-03 -2.223433825685224973e-03
7.669903939428205364e-01 4.909057998054702776e-03 4.467457045361342485e-03 2.034865591658612145e-03
7.976700097005333667e-01 1.133709366401896255e-02 9.732120712962647607e-03 5.815111277960405972e-03
8.283496254582461971e-01 1.971909340481800207e-02 1.832698479601347491e-02 7.277655734824765334e-03
8.590292412159590274e-01 2.960800538324117465e-02 2.929638989629800017e-02 4.284334466183405132e-03
8.897088569736718577e-01 4.060568034206402804e-02 4.032726224389173580e-02 -4.746914361379301998e-03
9.203884727313846881e-01 5.219320587543836015e-02 4.822664212397530931e-02 -1.995799912320629990e-02
9.510680884890975184e-01 6.377479817307317445e-02 4.996559276125105142e-02 -3.963160887515208841e-02
9.817477042468103487e-01 7.477629675168957768e-02 4.384859742591373788e-02 -6.057057915916680413e-02
1.012427320004523068e+00 8.478186149071056943e-02 3.020734591063271510e-02 -7.921792909982823538e-02
1.043106935762236009e+00 9.370057660903770291e-02 1.117995340101082292e-02 -9.303121357274325709e-02
1.073786551519948729e+00 1.019384588913636869e-01 -1.042047328589765579e-02 -1.014044532436526591e-01
1.104466167277661670e+00 1.105080791025897652e-01 -3.263328851110450235e-02 -1.055798466938423358e-01
1.135145783035374389e+00 1.209472723039277664e-01 -5.546474511495184251e-02 -1.074797875281388870e-01
1.165825398793087331e+00 1.349308450600426312e-01 -8.090246777368467757e-02 -1.079866827749845493e-01
1.196505014550800050e+00 1.536776895974646673e-01 -1.116699907643735751e-01 -1.055776749256177871e-01
1.227184630308512991e+00 1.775304562152476839e-01 -1.492470464990039991e-01 -9.613730803032774497e-02
1.257864246066225711e+00 2.059861879932209372e-01 -1.921540442781345115e-01 -7.421005936889732424e-02
1.288543861823938652e+00 2.380717779729532857e-01 -2.354586541797621946e-01 -3.517660641759403489e-02
1.319223477581651371e+00 2.728120243341962681e-01 -2.718631099941988261e-01 2.273433626927013479e-02
1.349903093339364313e+00 3.096587540742402056e-01 -2.938464677206252817e-01 9.768724268256477605e-02
1.380582709097077032e+00 3.488482545406230706e-01 -2.956507883788668245e-01 1.851640246565024739e-01
1.411262324854789973e+00 3.916428827163899729e-01 -2.738627894717449718e-01 2.799702129248014537e-01
1.441941940612502693e+00 4.403563151271376319e-01 -2.261004283916075719e-01 3.778786585049259683e-01
1.472621556370215412e+00 4.980482481632489411e-01 -1.485731590154405202e-01 4.753715114714530676e-01
1.503301172127928353e+00 5.678779136397887894e-01 -3.439288474450267336e-02 5.668354737301034563e-01
1.533980787885641073e+00 6.523047995066861837e-01 1.252434966289351914e-01 6.401684294087111038e-01
1.564660403643354014e+00 7.524454235054061080e-01 3.358885380981522228e-01 6.733149376989315815e-01
1.595340019401066733e+00 8.677917212979117112e-01 5.916297749093993863e-01 6.348517000007527500e-01
1.626019635158779675e+00 9.962741513625603673e-01 8.670066058845922186e-01 4.907766600253818390e-01
1.656699250916492394e+00 1.134522921918538874e+00 1.113540962190372685e+00 2.171837606330592751e-01
1.687378866674205335e+00 1.278194396502678076e+00 1.264791729760966543e+00 -1.846152636677367564e-01
1.718058482431918055e+00 1.422297204613296007e+00 1.251187212166299023e+00 -6.763578182902305613e-01
1.748738098189630996e+00 1.561500966239036226e+00 1.021903738823404018e+00 -1.180676931317027112e+00
1.779417713947343715e+00 1.690427978555830268e+00 5.672704862318350694e-01 -1.592404140328280038e+00
1.810097329705056657e+00 1.803928540409297732e+00 -6.668478848073075560e-02 -1.802695569941996645e+00
1.840776945462769376e+00 1.897336080490362287e+00 -7.787102824650834476e-01 -1.730171811790286007e+00
1.871456561220482318e+00 1.966694436831818438e+00 -1.430663032054307449e+00 -1.349477786619105002e+00
1.902136176978195037e+00 2.008947937499264036e+00 -1.880419261867639635e+00 -7.070326832471802714e-01
1.932815792735907978e+00 2.022085224607796938e+00 -2.020377772691598128e+00 8.308014919883603688e-02
1.963495408493620697e+00 2.005229536452560968e+00 -1.809566204819637925e+00 8.639534965705075731e-01
1.994175024251333417e+00 1.958670906768243958e+00 -1.288465568483023960e+00 1.475211239061732460e+00
2.024854640009046136e+00 1.883839023568553595e+00 -5.707852138107458728e-01 1.795286524879731394e+00
2.055534255766759077e+00 1.783218951437749666e+00 1.861211583879470166e-01 1.773479276215844891e+00
2.086213871524472019e+00 1.660215256946804940e+00 8.233599400776457911e-01 1.441663313147102610e+00
2.116893487282184960e+00 1.518973035256530935e+00 1.222070525376999006e+00 9.021212295701858119e-01
2.147573103039897457e+00 1.364166718399651090e+00 1.331702692804387578e+00 2.958357205727796813e-01
2.178252718797610399e+00 1.200769212543369324e+00 1.176911327567539134e+00 -2.381731068681675334e-01
2.208932334555323340e+00 1.033814790754929547e+00 8.422972056910121852e-01 -5.994234220221722476e-01
2.239611950313036282e+00 8.681692712342967688e-01 4.414815385707645534e-01 -7.475372463072863516e-01
2.270291566070748779e+00 7.083204763593697884e-01 8.161660302948821333e-02 -7.036026061207358850e-01
2.300971181828461720e+00 5.582011984906678492e-01 -1.650889246987767012e-01 -5.332299925343844116e-01
2.331650797586174662e+00 4.210571010722072294e-01 -2.747930463874820317e-01 -3.190264315388586791e-01
2.362330413343887603e+00 2.993776159238303314e-01 -2.683161800739183867e-01 -1.327907542970408750e-01
2.393010029101600100e+00 1.949407458603444054e-01 -1.942455597460795991e-01 -1.644861439512806250e-02
2.423689644859313042e+00 1.092370611398217339e-01 -1.066723896743713568e-01 2.353161294140763971e-02
2.454369260617025983e+00 4.683479030932997944e-02 -4.598750955793876743e-02 8.868288897944201846e-03
2.485048876374738480e+00 3.849110977575950082e-02 -2.867593927144081872e-02 -2.567598174695967864e-02
2.515728492132451422e+00 6.807171313975907134e-02 -4.781943281091359521e-02 -4.844646504569934120e-02
2.546408107890164363e+00 9.207221991184263987e-02 -8.186998693396359272e-02 -4.212598864035525803e-02
2.577087723647877304e+00 1.069726223494850553e-01 -1.067394325224384211e-01 -7.059424701302922760e-03
2.607767339405589802e+00 1.143552285781097855e-01 -1.060450847663116786e-01 4.279670898629361897e-02
2.638446955163302743e+00 1.164670534271349256e-01 -7.613161442475425977e-02 8.813938857899826507e-02
2.669126570921015684e+00 1.155317141163753752e-01 -2.519675475742740381e-02 1.127506120442898080e-01
2.699806186678728626e+00 1.134490105692780582e-01 3.176192482878540529e-02 1.089121578627416237e-01
2.730485802436441123e+00 1.115941867822803357e-01 7.927917823920330176e-02 7.853708946297351112e-02
2.761165418194154064e+00 1.107256618571875184e-01 1.063793402846324176e-01 3.071820558428848755e-02
2.791845033951867006e+00 1.110438606012648238e-01 1.087584281631163580e-01 -2.241301587741798690e-02
2.822524649709579947e+00 1.123753504679172871e-01 8.828603222530841121e-02 -6.952550544008322120e-02
2.853204265467292444e+00 1.143794086703155272e-01 5.095071600554184482e-02 -1.024044611640219093e-01
2.883883881225005386e+00 1.166823491922697187e-01 4.593069119171796534e-03 -1.165919136522481081e-01
2.914563496982718327e+00 1.189191697682036447e-01 -4.270546801451976376e-02 -1.109865394542043915e-01
2.945243112740430824e+00 1.207212846144475604e-01 -8.345711147427607723e-02 -8.722694023828138354e-02
2.975922728498143766e+00 1.216997779448472511e-01 -1.112524711742064604e-01 -4.933278432703237099e-02
3.006602344255856707e+00 1.214532699865094462e-01 -1.214021743106642182e-01 -3.522621617354837475e-03
3.037281960013569648e+00 1.196040636230374654e-01 -1.118951378172829414e-01 4.224464661936291193e-02
3.067961575771282146e+00 1.158503338554877360e-01 -8.434410778977337320e-02 7.941896080644129940e-02
3.098641191528995087e+00 1.100183668462939857e-01 -4.429884937799452582e-02 1.007057743493960378e-01
3.129320807286708028e+00 1.021031485893518498e-01 -4.177894764701933859e-04 1.021022938224828286e-01
3.160000423044420970e+00 9.229292833035601662e-02 3.754095287937438824e-02 8.431287847476696962e-02
3.190680038802133467e+00 8.098121386817437595e-02 6.136700387204662571e-02 5.283983190104991207e-02
3.221359654559846408e+00 6.877862809982211723e-02 6.676198143602152246e-02 1.653292224713944283e-02
3.252039270317559350e+00 5.654993170930403684e-02 5.452877653275868541e-02 -1.498356787175258997e-02
3.282718886075272291e+00 4.551350743038315438e-02 3.013067394950172742e-02 -3.411190182274159016e-02
3.313398501832984788e+00 3.736821864757464140e-02 1.803837076075146158e-03 -3.732465588181519550e-02
3.344078117590697730e+00 3.393129576245386414e-02 -2.204824371069735722e-02 -2.579162231021565888e-02
3.374757733348410671e+00 3.552267624582126915e-02 -3.523554643467093073e-02 -4.507415569434798652e-03
3.405437349106123612e+00 4.027328817311125186e-02 -3.517938483851830445e-02 1.960481121199311380e-02
3.436116964863836110e+00 4.601638895560210274e-02 -2.303211366765347407e-02 3.983754250093182736e-02
3.466796580621549051e+00 5.143931745219220558e-02 -2.730604084023224333e-03 5.136679064613363516e-02
3.497476196379261992e+00 5.592962065652923309e-02 2.047734363958927592e-02 5.204614168456134227e-02
3.528155812136974490e+00 5.925445248055747488e-02 4.145534360988308020e-02 4.233845326599885994e-02
3.558835427894687431e+00 6.136163640807260761e-02 5.617540098737875548e-02 2.468956756574943595e-02
3.589515043652400372e+00 6.226871281967021748e-02 6.220931046337598025e-02 2.719243992337211195e-03
3.620194659410113314e+00 6.200274896486087511e-02 5.884991171991457715e-02 -1.951995824170269303e-02
3.650874275167825811e+00 6.057429145861940173e-02 4.704321775880848655e-02 -3.815993250270625220e-02
3.681553890925538752e+00 5.797639730173512196e-02 2.921157288556351303e-02 -5.007940348726261370e-02
3.712233506683251694e+00 5.420010909732983495e-02 8.911173826574305193e-03 -5.346253648298996547e-02
3.742913122440964635e+00 4.925708670233312769e-02 -9.783430269832754309e-03 -4.827571938932120194e-02
3.773592738198677132e+00 4.320116292133428099e-02 -2.318309248188795552e-02 -3.645387086074534239e-02
3.804272353956390074e+00 3.614380186620883006e-02 -2.899998276626220700e-02 -2.157256157483982556e-02
3.834951969714103015e+00 2.826406742239221184e-02 -2.712812677827665039e-02 -7.932354301169484284e-03
3.865631585471815956e+00 1.982837863239149054e-02 -1.981396891184215858e-02 7.558009989619808924e-04
3.896311201229528454e+00 1.132931177575865339e-02 -1.101447404167546669e-02 2.652294647583681043e-03
3.926990816987241395e+00 5.269532608612349268e-03 -5.058366944500241810e-03 -1.476786297341683941e-03
3.957670432744954336e+00 9.832996346345997118e-03 -5.049085114230171360e-03 -8.437686688690984246e-03
3.988350048502666834e+00 1.798010816589252700e-02 -1.161575918106804925e-02 -1.372437351228202908e-02
4.019029664260379775e+00 2.611891902618133920e-02 -2.253376110751999228e-02 -1.320710193212109966e-02
4.049709280018092272e+00 3.375560936163238268e-02 -3.341724614535324794e-02 -4.767475583156872802e-03
4.080388895775805658e+00 4.070925597588080647e-02 -3.926234439460981468e-02 1.075694355980537018e-02
4.111068511533518155e+00 4.688108423715056650e-02 -3.627362004771037679e-02 2.969950416901182347e-02
4.141748127291231540e+00 5.220931213838660850e-02 -2.328862047164593704e-02 4.672742696202217966e-02
4.172427743048944038e+00 5.665090291207375978e-02 -2.275371464640677053e-03 5.660518956289348896e-02
4.203107358806656535e+00 6.017262558631248509e-02 2.225658497194393445e-02 5.590518129240962947e-02
4.233786974564369920e+00 6.274885249315334534e-02 4.467758824807083889e-02 4.406054468051161244e-02
4.264466590322082418e+00 6.436496322336413001e-02 5.994709179350511674e-02 2.343490294936357091e-02
4.295146206079794915e+00 6.502449430877989267e-02 6.500640487616360375e-02 -1.533683536079837951e-03
4.325825821837508300e+00 6.475746314374057622e-02 5.942511647731635316e-02 -2.573294706150664954e-02
4.356505437595220798e+00 6.362717291387627594e-02 4.518650574764280364e-02 -4.479505364803745143e-02
4.387185053352934183e+00 6.173329593343145766e-02 2.581225867693024215e-02 -5.607786665699637102e-02
4.417864669110646680e+00 5.920993283030770438e-02 5.219165828718346986e-03 -5.897945789698214036e-02
4.448544284868359178e+00 5.621840972715274470e-02 -1.328449392119259061e-02 -5.462629232803394019e-02
4.479223900626072563e+00 5.293561359759828278e-02 -2.759096748417295270e-02 -4.517651713270449260e-02
4.509903516383785060e+00 4.953955059434373559e-02 -3.690492530624601281e-02 -3.304835186858710860e-02
4.540583132141497558e+00 4.619443188998928473e-02 -4.148364020372773131e-02 -2.032321660285408421e-02
4.571262747899210943e+00 4.303778273757594142e-02 -4.220210707476789586e-02 -8.439958614626904068e-03
4.601942363656923440e+00 4.017161150911260220e-02 -4.012959208234401220e-02 1.836902431742354173e-03
4.632621979414635938e+00 3.765845133291376851e-02 -3.623030995991706471e-02 1.027246791193670190e-02
4.663301595172349323e+00 3.552141868014607740e-02 -3.121579287201876884e-02 1.695126722169917888e-02
4.693981210930061820e+00 3.374624420787650930e-02 -2.552025321601403968e-02 2.207998355814976346e-02
4.724660826687775206e+00 3.228354024893058394e-02 -1.935449141687335325e-02 2.583854935940670811e-02
4.755340442445487703e+00 3.105139859389696375e-02 -1.280420191383633069e-02 2.828854481918036470e-02
4.786020058203200200e+00 2.994028802782351673e-02 -5.950755245446969453e-03 2.934296098211320106e-02
