# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 4.707970763879391722e-07 -4.707970763879391722e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.305773014826194485e-07 -5.213250560978899393e-07 9.865322464628466501e-08
6.135923151542564680e-02 6.934022850831789852e-07 -6.214649976011141651e-07 3.075515984598704901e-07
9.203884727313846326e-02 9.266125706874103451e-07 -6.485884442925977179e-07 6.617732890394102680e-07
1.227184630308512936e-01 1.194266501055050444e-06 -4.851250993812269904e-07 1.091295612330878600e-06
1.533980787885641239e-01 1.457773855326314537e-06 -9.384235061750406498e-08 1.454750228219101701e-06
1.840776945462769265e-01 1.679738185033242561e-06 4.531436481621170153e-07 1.617461345562576243e-06
2.147573103039897569e-01 1.831280685932456294e-06 1.009848332647718727e-06 1.527676436853651948e-06
2.454369260617025872e-01 1.901004617708435072e-06 1.436376871450554593e-06 1.245246979402363318e-06
2.761165418194154175e-01 1.904847696819238164e-06 1.676389268386928022e-06 9.045240565704683238e-07
3.067961575771282479e-01 1.894074192623412416e-06 1.785497232631741324e-06 6.320733180782318970e-07
3.374757733348410782e-01 1.948847246653708635e-06 1.891996434495519816e-06 4.672847982183688792e-07
3.681553890925538530e-01 2.137152404247367272e-06 2.110942279579997483e-06 3.336811221239593554e-07
3.988350048502666834e-01 2.462083569082470209e-06 2.460772194933019440e-06 8.034740686795153940e-08
4.295146206079795137e-01 2.863820489841268151e-06 2.831736688409266442e-06 -4.274752923288081135e-07
4.601942363656923440e-01 3.262906732181875328e-06 3.026820256393622322e-06 -1.218572721836104643e-06
4.908738521234051744e-01 3.590331593217682700e-06 2.854896141935999205e-06 -2.177165351556002462e-06
5.215534678811180047e-01 3.798323665558912885e-06 2.226340208232510467e-06 -3.077445685231848147e-06
5.522330836388308350e-01 3.863378166423478285e-06 1.200574749279059853e-06 -3.672099008495162929e-06
5.829126993965436654e-01 3.786457140158776790e-06 -3.649026572580501574e-08 -3.786281306871775858e-06
6.135923151542564957e-01 3.591538963903779743e-06 -1.246429934310763468e-06 -3.368317762339696909e-06
6.442719309119693261e-01 3.324416084117216438e-06 -2.216763624205411706e-06 -2.477438462351171562e-06
6.749515466696821564e-01 3.056840089099891601e-06 -2.798777220043430925e-06 -1.229275153451902877e-06
7.056311624273949867e-01 2.901878502262862971e-06 -2.890743553852966447e-06 2.539695803691442133e-07
7.363107781851077061e-01 3.023717678888114807e-06 -2.393679789524173534e-06 1.847475484774841706e-06
7.669903939428205364e-01 3.580249200204539614e-06 -1.190762488389292718e-06 3.376428443164490757e-06
7.976700097005333667e-01 4.627377749728393716e-06 8.097396289885694236e-07 4.555979211094675580e-06
8.283496254582461971e-01 6.128413331031708496e-06 3.571446894621650904e-06 4.980182429877897856e-06
8.590292412159590274e-01 8.012325638523777613e-06 6.820754729113723050e-06 4.204125005636517393e-06
8.897088569736718577e-01 1.019093284891488522e-05 1.001033395231200885e-05 1.910059290776568764e-06
9.203884727313846881e-01 1.255776435844411796e-05 1.241127716993710956e-05 -1.912496978613891101e-06
9.510680884890975184e-01 1.499315959722737472e-05 1.332501469527761161e-05 -6.873050129205154911e-06
9.817477042468103487e-01 1.738025859347252865e-05 1.233156556087286261e-05 -1.224768874497837758e-05
1.012427320004523068e+00 1.963094047005386453e-05 9.450562926188928338e-06 -1.720641404003001823e-05
1.043106935762236009e+00 2.171931723569848506e-05 5.116365275368991454e-06 -2.110809199226466491e-05
1.073786551519948729e+00 2.371713521546948395e-05 -4.486823593070037425e-08 -2.371709277441624527e-05
1.104466167277661670e+00 2.581770551041398908e-05 -5.540235567997433676e-06 -2.521625879613303956e-05
1.135145783035374389e+00 2.832458485276683114e-05 -1.127081717853909073e-05 -2.598558806741799624e-05
