# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 9.942165056982570776e-03 -9.942165056982570776e-03 0.000000000000000000e+00
3.067961575771282340e-02 1.024956178360625705e-02 -1.017983923909392824e-02 1.193478035895700461e-03
6.135923151542564680e-02 1.103962825070443736e-02 -1.064157387822673925e-02 2.937736766286899639e-03
9.203884727313846326e-02 1.201751576045284771e-02 -1.072563426613305955e-02 5.420466275320319147e-03
1.227184630308512936e-01 1.289041052881851647e-02 -9.846171148387703950e-03 8.319591174939596975e-03
1.533980787885641239e-01 1.345160126418738257e-02 -7.796448844881963096e-03 1.096179556367597556e-02
1.840776945462769265e-01 1.360449285797337392e-02 -4.892179566672203925e-03 1.269443992502558224e-02
2.147573103039897569e-01 1.337406645112515675e-02 -1.806810568375909979e-03 1.325145610901370258e-02
2.454369260617025872e-01 1.291993461090221347e-02 8.073715092877128919e-04 1.289468346241889884e-02
2.761165418194154175e-01 1.253419662048520233e-02 2.689677042974388064e-03 1.224221067967216567e-02
3.067961575771282479e-01 1.257084417523650181e-02 4.111227198894622410e-03 1.187955951191568826e-02
3.374757733348410782e-01 1.326499140709827898e-02 5.694914971882859486e-03 1.198031470761163481e-02
3.681553890925538530e-01 1.456431822135167455e-02 8.012102319967340930e-03 1.216246610137805551e-02
3.988350048502666834e-01 1.616810706859919330e-02 1.118634774406873124e-02 1.167361599207613482e-02
4.295146206079795137e-01 1.770121478654796895e-02 1.473514448628172532e-02 9.808594287047745289e-03
4.601942363656923440e-01 1.884098833327123301e-02 1.774673745288507520e-02 6.327412674453027422e-03
4.908738521234051744e-01 1.936744048420766667e-02 1.929788138622680338e-02 1.639977107293647419e-03
5.215534678811180047e-01 1.917547598415909535e-02 1.888206422075686813e-02 -3.341635824304554220e-03
5.522330836388308350e-01 1.826906346671624409e-02 1.661720738677261236e-02 -7.591251452553520948e-03
5.829126993965436654e-01 1.673797072794315846e-02 1.313783615421550664e-02 -1.037096549384241076e-02
6.135923151542564957e-01 1.471211510340198966e-02 9.267195769154157672e-03 -1.142652236649104730e-02
6.442719309119693261e-01 1.229343897684389425e-02 5.692540488575909170e-03 -1.089603710820170879e-02
6.749515466696821564e-01 9.482232707772561206e-03 2.850080144242313467e-03 -9.043770247841741508e-03
7.056311624273949867e-01 6.143641551939536642e-03 1.070902631507593275e-03 -6.049586686092542180e-03
7.363107781851077061e-01 2.214219516804107231e-03 8.407383865343606710e-04 -2.048396210210274172e-03
