# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 6.226974439850095582e-07 -6.226974439850095582e-07 0.000000000000000000e+00
3.067961575771282340e-02 6.653660990156596992e-07 -6.086063915622747435e-07 2.689057564814553281e-07
6.135923151542564680e-02 7.853450044268568641e-07 -5.465922238037377483e-07 5.639181827672384262e-07
9.203884727313846326e-02 9.620364419632105149e-07 -3.931064854009602630e-07 8.780554690911834580e-07
1.227184630308512936e-01 1.167938297488330777e-06 -1.170681797541613439e-07 1.162056327390797425e-06
1.533980787885641239e-01 1.373494563045390942e-06 2.684978814418129064e-07 1.346995249574588402e-06
1.840776945462769265e-01 1.552926912116428482e-06 7.025818251769383913e-07 1.384904608016923354e-06
2.147573103039897569e-01 1.691487347394056429e-06 1.105427271533927820e-06 1.280296838136858304e-06
2.454369260617025872e-01 1.792997611548211520e-06 1.423910245499747783e-06 1.089642165014936659e-06
2.761165418194154175e-01 1.884632760797450142e-06 1.663589878795489050e-06 8.856124198769058809e-07
3.067961575771282479e-01 2.012051400387698061e-06 1.884023601608391412e-06 7.062619247734105016e-07
3.374757733348410782e-01 2.217961869496422128e-06 2.155807123844414635e-06 5.213928454838414016e-07
3.681553890925538530e-01 2.514052087865053298e-06 2.502508565656364364e-06 2.406424304131799088e-07
3.988350048502666834e-01 2.872439776268562906e-06 2.862718689609458056e-06 -2.361185559215915918e-07
4.295146206079795137e-01 3.241280188337167729e-06 3.098414013380296791e-06 -9.516973578799252217e-07
4.601942363656923440e-01 3.565008416262263208e-06 3.050026194743120599e-06 -1.845704531988143543e-06
4.908738521234051744e-01 3.797725695961880670e-06 2.611037553568406784e-06 -2.757753316673676371e-06
5.215534678811180047e-01 3.910202642621526846e-06 1.782494339504994252e-06 -3.480287148497524623e-06
5.522330836388308350e-01 3.892775988329663482e-06 6.788886769352948138e-07 -3.833120798989386196e-06
5.829126993965436654e-01 3.755229600256046488e-06 -5.145528276858662907e-07 -3.719809771770549179e-06
6.135923151542564957e-01 3.524944476955816007e-06 -1.604390191287414095e-06 -3.138656668022490901e-06
6.442719309119693261e-01 3.247083866743732969e-06 -2.432105664193332920e-06 -2.151375298702236717e-06
6.749515466696821564e-01 2.994973216247449614e-06 -2.874427710059888507e-06 -8.411479689563897965e-07
7.056311624273949867e-01 2.896592104749101626e-06 -2.810596189491191310e-06 7.005675420060700596e-07
7.363107781851077061e-01 3.141265627513518207e-06 -2.095620141326566356e-06 2.340069649789150699e-06
7.669903939428205364e-01 3.884449190682775000e-06 -5.827326890600276809e-07 3.840490610338337507e-06
7.976700097005333667e-01 5.147277353030715266e-06 1.790030623662464500e-06 4.825997774074647969e-06
8.283496254582461971e-01 6.863268643277098220e-06 4.881493142314846892e-06 4.824466931312078846e-06
8.590292412159590274e-01 8.941103595602629481e-06 8.267368142601644627e-06 3.404990088384061309e-06
8.897088569736718577e-01 1.127535066802901242e-05 1.126936229551066956e-05 3.674318161847758155e-07
9.203884727313846881e-01 1.374613257851730907e-05 1.311841929702823209e-05 -4.106487064819791591e-06
9.510680884890975184e-01 1.622810673416207104e-05 1.320385346746741119e-05 -9.434495311621346610e-06
9.817477042468103487e-01 1.861076877778402333e-05 1.129845061960965284e-05 -1.478870271850722056e-05
1.012427320004523068e+00 2.082840683253227014e-05 7.639233453694997065e-06 -1.937691005866064482e-05
1.043106935762236009e+00 2.289615200664761092e-05 2.800590115409763365e-06 -2.272422653726596079e-05
1.073786551519948729e+00 2.494335987096328846e-05 -2.600115111787714137e-06 -2.480747071061124769e-05
1.104466167277661670e+00 2.722541381948452284e-05 -8.226116720970693389e-06 -2.595292201920903385e-05
1.135145783035374389e+00 3.008685176497541839e-05 -1.419958620917116314e-05 -2.652527852098674168e-05
1.165825398793087331e+00 3.386489913720269382e-05 -2.101630129256029100e-05 -2.655459420803188316e-05
1.196505014550800050e+00 3.877402110544252633e-05 -2.920791692490673977e-05 -2.550141763888919924e-05
1.227184630308512991e+00 4.484589845009303178e-05 -3.890327126372949306e-05 -2.230896888645317129e-05
1.257864246066225711e+00 5.195718358790947305e-05 -4.951245729013218261e-05 -1.575009522131742360e-05
1.288543861823938652e+00 5.991326322779926537e-05 -5.971132939942982938e-05 -4.914901011856684582e-06
1.319223477581651371e+00 6.854495050373533036e-05 -6.775038400200657761e-05 1.040652233650506112e-05
1.349903093339364313e+00 7.779703440291947875e-05 -7.192578993360408343e-05 2.964893428634650770e-05
1.380582709097077032e+00 8.779925119375130984e-05 -7.093841428559369560e-05 5.173441686951652305e-05
1.411262324854789973e+00 9.890498860820089101e-05 -6.391053617367670875e-05 7.548271416411515410e-05
1.441941940612502693e+00 1.116748466426683960e-04 -5.003407983184325294e-05 9.983918182779865779e-05
1.472621556370215412e+00 1.267877549423097069e-04 -2.809864800916570313e-05 1.236349496840120292e-04
1.503301172127928353e+00 1.448908074304064203e-04 3.659629084912270280e-06 1.448445828907521968e-04
1.533980787885641073e+00 1.664356791068401134e-04 4.697737978938982536e-05 1.596682844771574780e-04
1.564660403643354014e+00 1.915600223156832798e-04 1.021418879313857226e-04 1.620564003037131592e-04
1.595340019401066733e+00 2.200433860104419068e-04 1.661008451786652527e-04 1.443246373904102909e-04
