# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.053192355199996343e-02 -1.053192355199996343e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.094247308219764916e-02 -1.090842355006378488e-02 8.625617699816676967e-04
6.135923151542564680e-02 1.197463435127303633e-02 -1.172044093829502712e-02 2.454207012178515491e-03
9.203884727313846326e-02 1.320550887609161020e-02 -1.220010193288932968e-02 5.054006084646549962e-03
1.227184630308512936e-01 1.424489906232304093e-02 -1.157712323438446142e-02 8.299841378704013103e-03
1.533980787885641239e-01 1.483544518994191382e-02 -9.533288865716570484e-03 1.136691855282579051e-02
1.840776945462769265e-01 1.486439998315067061e-02 -6.401996813464768711e-03 1.341509685613475646e-02
2.147573103039897569e-01 1.436545980400227331e-02 -2.996545732399331918e-03 1.404945369236983502e-02
2.454369260617025872e-01 1.353034494388386140e-02 -1.632160184679847003e-04 1.352936047386568350e-02
2.761165418194154175e-01 1.271598543405264882e-02 1.686142086526031848e-03 1.260369828356283813e-02
3.067961575771282479e-01 1.238237685400242656e-02 2.793306625507824964e-03 1.206319587217372091e-02
3.374757733348410782e-01 1.286760658029074793e-02 3.895494146420478820e-03 1.226378507885496003e-02
3.681553890925538530e-01 1.412815947438812378e-02 5.774912752623050788e-03 1.289400142831287864e-02
3.988350048502666834e-01 1.578287127518947924e-02 8.768325761053219133e-03 1.312308991957502301e-02
4.295146206079795137e-01 1.737314527177894613e-02 1.251322382288509553e-02 1.205178020844705281e-02
4.601942363656923440e-01 1.852951853624110537e-02 1.607443837714281343e-02 9.217130141445381911e-03
4.908738521234051744e-01 1.901633758028706961e-02 1.838109486569472831e-02 4.874058525066061499e-03
5.215534678811180047e-01 1.873201099433317515e-02 1.873177231465375514e-02 -9.456132290776915906e-05
5.522330836388308350e-01 1.769659050156690075e-02 1.709485640582128832e-02 -4.575499955687770473e-03
5.829126993965436654e-01 1.602732546801062530e-02 1.405852309687164771e-02 -7.696303657748204685e-03
6.135923151542564957e-01 1.389513416442572993e-02 1.049435073712231062e-02 -9.107324308140759411e-03
6.442719309119693261e-01 1.145806683919636457e-02 7.164074395630524311e-03 -8.942221969139577814e-03
6.749515466696821564e-01 8.785476316327324106e-03 4.518731890380630126e-03 -7.534298653995965926e-03
7.056311624273949867e-01 5.839391330160312484e-03 2.798494761274065382e-03 -5.125126162142063478e-03
7.363107781851077061e-01 2.943937718349983433e-03 2.324576300950979488e-03 -1.806409231204482348e-03
7.669903939428205364e-01 4.334664850966885724e-03 3.719307051375759805e-03 2.226224253707232044e-03
