# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 4.578136322371067972e-07 -4.578136322371067972e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.207575719171137955e-07 -5.153779202378219951e-07 7.465954754982821647e-08
6.135923151542564680e-02 6.883032374676759329e-07 -6.345266422612890176e-07 2.667157418846849425e-07
9.203884727313846326e-02 9.228140804443769029e-07 -6.870962345900194894e-07 6.160232069318637364e-07
1.227184630308512936e-01 1.187747379388876955e-06 -5.485487170379302709e-07 1.053488558210854826e-06
1.533980787885641239e-01 1.445535559018256203e-06 -1.757175865671902477e-07 1.434815800776261800e-06
1.840776945462769265e-01 1.659989894175110261e-06 3.622141684939219489e-07 1.619989921235854545e-06
2.147573103039897569e-01 1.803274045777051650e-06 9.185060009837578617e-07 1.551819580469959284e-06
2.454369260617025872e-01 1.864831387854181434e-06 1.349679198014749493e-06 1.286841935737414051e-06
2.761165418194154175e-01 1.861334743360750067e-06 1.595019703838756780e-06 9.594160574057291934e-07
3.067961575771282479e-01 1.844886584230617155e-06 1.707301269053811149e-06 6.990914713836528641e-07
3.374757733348410782e-01 1.896446388246830792e-06 1.815098450909649523e-06 5.494784044890572378e-07
3.681553890925538530e-01 2.083371248869453196e-06 2.036980397086270389e-06 4.372031821729167197e-07
3.988350048502666834e-01 2.406041292228611855e-06 2.396732727171761858e-06 2.114401438065545219e-07
4.295146206079795137e-01 2.802180215805513459e-06 2.789518513714801217e-06 -2.660834897061441719e-07
4.601942363656923440e-01 3.191587466712617421e-06 3.020704205646187509e-06 -1.030328423207132787e-06
4.908738521234051744e-01 3.505541550744622740e-06 2.898009042011803418e-06 -1.972400860985120179e-06
5.215534678811180047e-01 3.696801582025897540e-06 2.327512885469368694e-06 -2.872111715244243467e-06
5.522330836388308350e-01 3.742247455969492546e-06 1.362545779261792284e-06 -3.485381617717924620e-06
5.829126993965436654e-01 3.642824416824242821e-06 1.825062014352388217e-07 -3.638249746546897823e-06
6.135923151542564957e-01 3.421751930195337138e-06 -9.805087563553842904e-07 -3.278260033997598336e-06
6.442719309119693261e-01 3.122911453965220017e-06 -1.920466327567880965e-06 -2.462597213103495029e-06
6.749515466696821564e-01 2.815378563289117786e-06 -2.495725309645698614e-06 -1.302962637001452819e-06
7.056311624273949867e-01 2.613224633465832249e-06 -2.611815833145350717e-06 8.579649575530203696e-08
7.363107781851077061e-01 2.694806332082062362e-06 -2.175018760206009641e-06 1.590997976171400249e-06
7.669903939428205364e-01 3.235727131356168089e-06 -1.068177171665555379e-06 3.054329320575466749e-06
7.976700097005333667e-01 4.285716733377757986e-06 8.097931332642935859e-07 4.208515534018154716e-06
8.283496254582461971e-01 5.793625153874314157e-06 3.441848600708510373e-06 4.660447471370752492e-06
8.590292412159590274e-01 7.683791617628979139e-06 6.580505310662676149e-06 3.967064844376212699e-06
8.897088569736718577e-01 9.869230776234198821e-06 9.704083929466131989e-06 1.797907451579598390e-06
9.203884727313846881e-01 1.224558858883997019e-05 1.209992993984478180e-05 -1.883118514054691064e-06
9.510680884890975184e-01 1.469452219638628273e-05 1.306964403616073748e-05 -6.716650009352667065e-06
9.817477042468103487e-01 1.709916679499823695e-05 1.217651685739508906e-05 -1.200474665724951618e-05
1.012427320004523068e+00 1.936978089752470396e-05 9.412914867680867052e-06 -1.692883474170344069e-05
1.043106935762236009e+00 2.147699347736533495e-05 5.186764099066464496e-06 -2.084127460131525415e-05
1.073786551519948729e+00 2.348719590335527892e-05 1.099272725465658859e-07 -2.348693865528965615e-05
1.104466167277661670e+00 2.558720522579894117e-05 -5.321369576400589152e-06 -2.502774654455552694e-05
1.135145783035374389e+00 2.807499387790310594e-05 -1.099101827228261815e-05 -2.583414017502123539e-05
1.165825398793087331e+00 3.129418602612268348e-05 -1.721769855306567434e-05 -2.613191411996703266e-05
1.196505014550800050e+00 3.552415387550688058e-05 -2.454118217048774115e-05 -2.568454566944148614e-05
1.227184630308512991e+00 4.088774835824869836e-05 -3.332288341099930455e-05 -2.369374193715329414e-05
1.257864246066225711e+00 4.733609907058723953e-05 -4.335498533676277616e-05 -1.900135578503636387e-05
1.288543861823938652e+00 5.470775736926698199e-05 -5.368713430617910959e-05 -1.051809518709882730e-05
