# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 4.708982078998288505e-07 -4.708982078998288505e-07 0.000000000000000000e+00
3.067961575771282340e-02 5.331235320437547041e-07 -5.271756986906297411e-07 7.941336870360527781e-08
6.135923151542564680e-02 6.992128100768535241e-07 -6.429719254735357158e-07 2.747465319679649110e-07
9.203884727313846326e-02 9.320413618120211981e-07 -6.914157834622486788e-07 6.250162513948673051e-07
1.227184630308512936e-01 1.195075520932609883e-06 -5.494620336755797286e-07 1.061271395205507773e-06
1.533980787885641239e-01 1.450815773012031769e-06 -1.749758666512196903e-07 1.440225625834422411e-06
1.840776945462769265e-01 1.663266041073379075e-06 3.627167790004277752e-07 1.623234567651720180e-06
2.147573103039897569e-01 1.804858983096813583e-06 9.176186223679430768e-07 1.554185321237085253e-06
2.454369260617025872e-01 1.865349802682409110e-06 1.347459466435367886e-06 1.289915839379072330e-06
2.761165418194154175e-01 1.861722522651903093e-06 1.592573488616465893e-06 9.642201173515021975e-07
3.067961575771282479e-01 1.846239699378271481e-06 1.706103305686838565e-06 7.055583164309039298e-07
3.374757733348410782e-01 1.899508192081817718e-06 1.816154932006188070e-06 5.565183148248886820e-07
3.681553890925538530e-01 2.087871548908121888e-06 2.040265798805643525e-06 4.433092317603699162e-07
3.988350048502666834e-01 2.410836154615226213e-06 2.401184802835708660e-06 2.155052366666969913e-07
4.295146206079795137e-01 2.806044815054047844e-06 2.793582480362371496e-06 -2.641674270308998143e-07
4.601942363656923440e-01 3.193648499433997734e-06 3.023130600484857698e-06 -1.029598033384431005e-06
4.908738521234051744e-01 3.505312567035085038e-06 2.898480433321141035e-06 -1.971300933462110656e-06
5.215534678811180047e-01 3.694117012864055565e-06 2.326774052731986607e-06 -2.869254783435033349e-06
5.522330836388308350e-01 3.737188599549024967e-06 1.361990607579623759e-06 -3.480166693344456465e-06
5.829126993965436654e-01 3.635638549069851783e-06 1.834826254351225907e-07 -3.631005616306062318e-06
6.135923151542564957e-01 3.412770874048256076e-06 -9.772504560468241987e-07 -3.269860331101066292e-06
6.442719309119693261e-01 3.112529022807143504e-06 -1.914839254159251677e-06 -2.453818972244617519e-06
6.749515466696821564e-01 2.804262532348862820e-06 -2.487840817848109388e-06 -1.294038799798718661e-06
7.056311624273949867e-01 2.603032677793000457e-06 -2.601296089668615708e-06 9.506721586839534244e-08
7.363107781851077061e-01 2.688854135897948903e-06 -2.160596585317810902e-06 1.600549580503059889e-06
7.669903939428205364e-01 3.237232881600109561e-06 -1.047999271366143084e-06 3.062902913402411605e-06
7.976700097005333667e-01 4.295477487265150922e-06 8.371175038731727703e-07 4.213117744415752932e-06
8.283496254582461971e-01 5.810913401306619509e-06 3.475884620350850097e-06 4.656709209677289744e-06
8.590292412159590274e-01 7.707514962845685491e-06 6.618052057725932907e-06 3.950591584018737099e-06
8.897088569736718577e-01 9.898165252310815458e-06 9.739322287386700325e-06 1.766147429991596603e-06
9.203884727313846881e-01 1.227838606977577483e-05 1.212585369988398824e-05 -1.929361689127666869e-06
