# r  chir_mag  chir_re  chir_im
0.000000000000000000e+00 1.102493718840856854e-02 -1.102493718840856854e-02 0.000000000000000000e+00
3.067961575771282340e-02 1.132041622738310695e-02 -1.124062877751908635e-02 1.341673673889657659e-03
6.135923151542564680e-02 1.207944088351444074e-02 -1.164497160788017724e-02 3.210533960260306824e-03
9.203884727313846326e-02 1.301282615409456341e-02 -1.165779857569455326e-02 5.781814324692684769e-03
1.227184630308512936e-01 1.382807914059760133e-02 -1.071745875526529217e-02 8.737954597491213657e-03
1.533980787885641239e-01 1.431930028854822880e-02 -8.632286241373828342e-03 1.142479737240908316e-02
1.840776945462769265e-01 1.439747141417599928e-02 -5.716461721284040245e-03 1.321397928373998013e-02
2.147573103039897569e-01 1.410318816691000753e-02 -2.625895118146488738e-03 1.385657213382028748e-02
2.454369260617025872e-01 1.361544138921961383e-02 1.201044813994942362e-05 1.361543609189254031e-02
2.761165418194154175e-01 1.323786672617990358e-02 1.956090124610312259e-03 1.309254852519183866e-02
3.067961575771282479e-01 1.331138534419919195e-02 3.481214953400320767e-03 1.284811745860003733e-02
3.374757733348410782e-01 1.403192405691562443e-02 5.195774964499399844e-03 1.303452397509509073e-02
3.681553890925538530e-01 1.531045505155142691e-02 7.645839184579113039e-03 1.326465894959727963e-02
3.988350048502666834e-01 1.683460469989100580e-02 1.093321762884356257e-02 1.280111978234469566e-02
4.295146206079795137e-01 1.823705936937177266e-02 1.457130171670467655e-02 1.096665403497119710e-02
4.601942363656923440e-01 1.921198886565160871e-02 1.766789490058987347e-02 7.546257745109940553e-03
4.908738521234051744e-01 1.956084998783774384e-02 1.933638427850590744e-02 2.954842682892162582e-03
5.215534678811180047e-01 1.920263949764094979e-02 1.910645433699595039e-02 -1.919574521775292307e-03
5.522330836388308350e-01 1.816556643849874531e-02 1.711112161487880756e-02 -6.098960658369524321e-03
5.829126993965436654e-01 1.655994778528205313e-02 1.396555949547313540e-02 -8.899158310181259912e-03
6.135923151542564957e-01 1.452751837038129476e-02 1.044111004246049516e-02 -1.010108959880054620e-02
6.442719309119693261e-01 1.216947460022049440e-02 7.158543187910666912e-03 -9.841309438902403478e-03
6.749515466696821564e-01 9.479384437310899719e-03 4.499548375057371360e-03 -8.343428176166596891e-03
7.056311624273949867e-01 6.360781096923180666e-03 2.775065441102684063e-03 -5.723508361186591467e-03
7.363107781851077061e-01 3.230941217333521600e-03 2.491688295714649965e-03 -2.056810780519988113e-03
7.669903939428205364e-01 5.009241109779414940e-03 4.453487192493986793e-03 2.293239700117746197e-03
7.976700097005333667e-01 1.140619087683624258e-02 9.508628524843651050e-03 6.299775701987491219e-03
8.283496254582461971e-01 1.974471680182455710e-02 1.797502233569947191e-02 8.170215028709959526e-03
8.590292412159590274e-01 2.959228155283627482e-02 2.903080779105012346e-02 5.737188030859520504e-03
8.897088569736718577e-01 4.056224047941914962e-02 4.047159877296666042e-02 -2.710174435388548221e-03
9.203884727313846881e-01 5.214371771873684003e-02 4.911582274044491714e-02 -1.751009006431730047e-02
9.510680884890975184e-01 6.374295417797784524e-02 5.181350476194116622e-02 -3.712849218080481462e-02
9.817477042468103487e-01 7.477878927372452744e-02 4.664619456893518562e-02 -5.844655556558607523e-02
1.012427320004523068e+00 8.481580282833527107e-02 3.371224415615575037e-02 -7.782804766516238093e-02
1.043106935762236009e+00 9.372774184682222676e-02 1.501797364432408757e-02 -9.251675555986027533e-02
1.073786551519948729e+00 1.018697326423625288e-01 -6.580093561301623636e-03 -1.016569958111636363e-01
1.104466167277661670e+00 1.101977215723293768e-01 -2.891380634431701610e-02 -1.063368686882210229e-01
1.135145783035374389e+00 1.202124999391388505e-01 -5.172014779100683746e-02 -1.085176089586103454e-01
1.165825398793087331e+00 1.336030757419006954e-01 -7.680626445172943073e-02 -1.093187064900928152e-01
1.196505014550800050e+00 1.516597988058247526e-01 -1.069275464470897941e-01 -1.075508920680284253e-01
1.227184630308512991e+00 1.748175009470166741e-01 -1.438344939898853758e-01 -9.936194933692578390e-02
1.257864246066225711e+00 2.026399293894969866e-01 -1.864619841899920472e-01 -7.934021322703567469e-02
1.288543861823938652e+00 2.341743894627278666e-01 -2.302591650471567664e-01 -4.264225125421473861e-02
1.319223477581651371e+00 2.684205324258850944e-01 -2.681099704674588802e-01 1.290836797329378630e-02
1.349903093339364313e+00 3.047656369615338035e-01 -2.924154123145358830e-01 8.587968393915633436e-02
1.380582709097077032e+00 3.433496534271994749e-01 -2.971727348772570387e-01 1.719806679663428706e-01
1.411262324854789973e+00 3.853215938502708160e-01 -2.787612606328933595e-01 2.660167104857760201e-01
1.441941940612502693e+00 4.328926515425713384e-01 -2.348217342560409981e-01 3.636685316061087914e-01
1.472621556370215412e+00 4.890686389365718756e-01 -1.618498416566846454e-01 4.615113891844674354e-01
1.503301172127928353e+00 5.570337911817689891e-01 -5.329048704018158472e-02 5.544788260243621592e-01
1.533980787885641073e+00 6.393535459905042018e-01 9.970873544656402854e-02 6.315307790173640967e-01
1.564660403643354014e+00 7.373029013295453460e-01 3.035914789053221208e-01 6.718986398594988252e-01
1.595340019401066733e+00 8.505461439188084505e-01 5.543999351094519579e-01 6.450344602312266806e-01
1.626019635158779675e+00 9.771718392388264451e-01 8.294404081535078355e-01 5.166172787698193325e-01
1.656699250916492394e+00 1.113941463199309423e+00 1.083019004288577447e+00 2.606442398834022955e-01
1.687378866674205335e+00 1.256612788150428761e+00 1.250332970220543682e+00 -1.254717614551885962e-01
1.718058482431918055e+00 1.400266167563973374e+00 1.261174368249450506e+00 -6.084279356628004010e-01
1.748738098189630996e+00 1.539613728902784917e+00 1.061212740526034315e+00 -1.115454146781104328e+00
1.779417713947343715e+00 1.669291460030730478e+00 6.347298458454360137e-01 -1.543908028777801533e+00
1.810097329705056657e+00 1.784135398950531748e+00 2.051582568778777607e-02 -1.784017439008016348e+00
1.840776945462769376e+00 1.879438632030318912e+00 -6.865342759595464139e-01 -1.749560018833505870e+00
1.871456561220482318e+00 1.951181711182430334e+00 -1.351599090093888345e+00 -1.407227760424790031e+00
1.902136176978195037e+00 1.996227111592160375e+00 -1.831372027059753993e+00 -7.943545679094614620e-01
1.932815792735907978e+00 2.012468417367505147e+00 -2.012393105992592357e+00 -1.741028015735555587e-02
1.963495408493620697e+00 1.998926545827242718e+00 -1.844482617458861107e+00 7.704487066021594721e-01
1.994175024251333417e+00 1.955787988978830105e+00 -1.358065656308733438e+00 1.407396294932093728e+00
2.024854640009046136e+00 1.884383323604791549e+00 -6.588477255917836173e-01 1.765451835865927466e+00
2.055534255766759077e+00 1.787107749821867708e+00 9.942456151391688979e-02 1.784339896443820850e+00
2.086213871524472019e+00 1.667288848118967604e+00 7.560744959579244195e-01 1.486002509965526297e+00
2.116893487282184960e+00 1.529009832039216699e+00 1.185762832429733571e+00 9.653173424842264039e-01
2.147573103039897457e+00 1.376899104144163388e+00 1.328896359209307487e+00 3.603964615159903073e-01
2.178252718797610399e+00 1.215898740735058770e+00 1.201342319251432089e+00 -1.875803286506666778e-01
2.208932334555323340e+00 1.051025548194890691e+00 8.817124430450800077e-01 -5.720470878676399140e-01
2.239611950313036282e+00 8.871385485124383408e-01 4.818799051072178985e-01 -7.448533824254373048e-01
2.270291566070748779e+00 7.287262877560248819e-01 1.114425036181342643e-01 -7.201545465065112284e-01
2.300971181828461720e+00 5.797265939707468840e-01 -1.521246855472213888e-01 -5.594113011050834139e-01
2.331650797586174662e+00 4.433914095262455057e-01 -2.789705865870469315e-01 -3.446322008474392296e-01
2.362330413343887603e+00 3.222136888708854174e-01 -2.851400186912103063e-01 -1.500560929671300447e-01
2.393010029101600100e+00 2.179574613654118032e-01 -2.168779716880010755e-01 -2.166564934068620704e-02
2.423689644859313042e+00 1.319639881190844410e-01 -1.284930996898607514e-01 3.006688364938027783e-02
2.454369260617025983e+00 6.687896898097621390e-02 -6.235905164899548797e-02 2.416909533673718483e-02
2.485048876374738480e+00 3.788669311309850879e-02 -3.748228260923527899e-02 -5.520869990094361829e-03
2.515728492132451422e+00 5.581922735620581388e-02 -4.892853489890413438e-02 -2.686604949170078721e-02
2.546408107890164363e+00 7.907104463733542754e-02 -7.609301273579997804e-02 -2.149612785663677569e-02
2.577087723647877304e+00 9.559965505459984414e-02 -9.495925716091764557e-02 1.104687856388352450e-02
2.607767339405589802e+00 1.056324621141612602e-01 -8.895926185894091620e-02 5.696022104778118017e-02
2.638446955163302743e+00 1.109969343273311815e-01 -5.464088901650366453e-02 9.661621332650124905e-02
2.669126570921015684e+00 1.135806348607862615e-01 -1.082444547523358797e-03 1.135754767948644467e-01
2.699806186678728626e+00 1.148739217161138942e-01 5.540484175584280135e-02 1.006296248648969188e-01
2.730485802436441123e+00 1.157871253277097667e-01 9.827642744330972180e-02 6.122419620243819277e-02
2.761165418194154064e+00 1.166633996720590344e-01 1.164680255313359364e-01 6.748914866455655442e-03
2.791845033951867006e+00 1.174442979810199211e-01 1.070284865245788308e-01 -4.835355416629315284e-02
2.822524649709579947e+00 1.178905929448919448e-01 7.449950625256598902e-02 -9.136747491871539950e-02
2.853204265467292444e+00 1.177576937605301494e-01 2.815002780144299638e-02 -1.143435628908631846e-01
2.883883881225005386e+00 1.168798719143908232e-01 -2.134568308349825763e-02 -1.149141691543008187e-01
2.914563496982718327e+00 1.151742805516314111e-01 -6.451831260647233890e-02 -9.540703453624065078e-02
2.945243112740430824e+00 1.126023913178335750e-01 -9.449569396160596713e-02 -6.123611967792397942e-02
2.975922728498143766e+00 1.091273382293258265e-01 -1.073897796734328558e-01 -1.939616381425014052e-02
3.006602344255856707e+00 1.046936859956176941e-01 -1.022216677160586451e-01 2.261633340523375862e-02
