pdb_id,consensus_name,best_hit_name,motif1,motif2,motif3
13sb,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sc,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13se,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sf,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13si,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sj,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sk,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sl,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sm,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sn,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13so,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sq,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13ss,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13su,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sv,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13sy,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13ta,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
13tb,E3 ubiquitin-protein ligase MYLIP,E3 ubiquitin-protein ligase MYLIP,ZF_RING_2,,
1a73,Intron-encoded endonuclease I-PpoI,INTRON-ENCODED ENDONUCLEASE I-PPOI,,,
1a8h,Methionyl-tRNA synthetase,Methionine--tRNA ligase,,,
1btk,Tyrosine-protein kinase BTK,Tyrosine-protein kinase BTK,PS50003,PS51113,
1cyq,Intron-encoded endonuclease I-PpoI,Intron-encoded endonuclease I-PpoI,,,
1d0q,DNA primase,DNA primase,,,
1efz,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1enu,Queuine tRNA-ribosyltransferase,QUEUINE TRNA-RIBOSYLTRANSFERASE,,,
1evx,Intron-encoded endonuclease I-PpoI,INTRON 3 (I-PPO) ENCODED ENDONUCLEASE,,,
1f3e,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1fn9,Outer capsid protein sigma-3,Outer capsid protein sigma-3,ZINC_FINGER_C2H2_1,,
1g73,Baculoviral IAP repeat-containing protein 4,E3 ubiquitin-protein ligase XIAP,PS50143,PS01282,
1h3n,LEUCYL-TRNA SYNTHETASE,LEUCYL-TRNA SYNTHETASE,PS00178,,
1jd5,Baculoviral IAP repeat-containing protein 2,APOPTOSIS 1 INHIBITOR,PS50143,PS01282,
1k4g,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1k4h,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1oqj,Nuclear body protein SP140,Nuclear body protein SP140,PS50864,,
1ozm,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
1ozq,Queuine tRNA-ribosyltransferase,Queuine tRNA-ribosyltransferase,,,
1p0b,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1p0d,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1ptq,Protein kinase C delta type,PROTEIN KINASE C DELTA TYPE,PS00479,PS50081,
1pud,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1pxg,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1q4w,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1q63,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1q66,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
1r5y,Queuine tRNA-ribosyltransferase,TRNA-GUANINE TRANSGLYCOSYLASE,,,
